Data_Hora_UTC,Temp_Med_C,Radiacao_kJ/m2,Radiacao_W/m2,Vel_Vento_m/s
01/01/2025 03:00:00,21.4,,,1.9
01/01/2025 04:00:00,20.6,,,0.6
01/01/2025 05:00:00,20.2,,,1.5
01/01/2025 06:00:00,20.3,,,1.1
01/01/2025 07:00:00,19.8,,,1.4
01/01/2025 08:00:00,19.6,,,1.7
01/01/2025 09:00:00,19.5,17.7,4.9,1.6
01/01/2025 10:00:00,20.6,391.4,108.7,2.8
01/01/2025 11:00:00,21.8,982.5,272.9,2.5
01/01/2025 12:00:00,24.1,1853,514.7,2.8
01/01/2025 13:00:00,26.5,2507,696.4,2.2
01/01/2025 14:00:00,27.5,2975.3,826.5,2.4
01/01/2025 15:00:00,29.2,3438.2,955.1,2.6
01/01/2025 16:00:00,31.1,3426.7,951.9,2.4
01/01/2025 17:00:00,31.9,2832.5,786.8,1.7
01/01/2025 18:00:00,32.6,3492.6,970.2,2.7
01/01/2025 19:00:00,32.9,2370.5,658.5,3.1
01/01/2025 20:00:00,33.9,2009.1,558.1,2.3
01/01/2025 21:00:00,33.3,1175.4,326.5,2.1
01/01/2025 22:00:00,31.2,323.4,89.8,0.7
01/01/2025 23:00:00,27,39.2,10.9,0.7
01/02/2025 00:00:00,26.9,,,1
01/02/2025 01:00:00,26.1,,,4
01/02/2025 02:00:00,24.2,,,1.9
01/02/2025 03:00:00,23.5,,,1.6
01/02/2025 04:00:00,22.9,,,2.2
01/02/2025 05:00:00,22.7,,,2.1
01/02/2025 06:00:00,22.5,,,1.2
01/02/2025 07:00:00,22.5,,,2.4
01/02/2025 08:00:00,22.1,,,0.6
01/02/2025 09:00:00,22,17,4.7,0.3
01/02/2025 10:00:00,23.7,221,61.4,0.4
01/02/2025 11:00:00,26.6,1031.1,286.4,1.1
01/02/2025 12:00:00,27.8,1876.7,521.3,1
01/02/2025 13:00:00,28.7,2565.7,712.7,2.4
01/02/2025 14:00:00,31.2,3232.5,897.9,2.1
01/02/2025 15:00:00,33.1,3580.9,994.7,1.5
01/02/2025 16:00:00,33.5,3184.9,884.7,2.6
01/02/2025 17:00:00,35.7,3377.5,938.2,1.6
01/02/2025 18:00:00,35.2,3074.7,854.1,1.7
