Hora_decimal,P_3f,Q_3f
0.0,24.290000000000003,5.471
0.25,25.259999999999998,5.481
0.5,26.369999999999997,7.640000000000001
0.75,22.87,6.049
1.0,22.560000000000002,5.3834
1.25,24.04,5.427
1.5,22.02,4.651
1.75,21.95,4.07
2.0,23.33,5.964
2.25,22.55,5.8580000000000005
2.5,22.05,5.837
2.75,22.47,5.135999999999999
3.0,21.48,6.0600000000000005
3.25,20.11,5.507
3.5,20.07,4.9451
3.75,19.630000000000003,5.504
4.0,20.16,5.253
4.25,20.869999999999997,5.686999999999999
4.5,22.17,6.471
4.75,20.2,4.696
5.0,20.580000000000002,4.836
5.25,19.700000000000003,4.054
5.5,20.89,5.054
5.75,21.65,6.1899999999999995
6.0,20.9,5.111
6.25,21.64,6.0489999999999995
6.5,21.75,5.422000000000001
6.75,21.16,5.1160000000000005
7.0,20.99,4.827999999999999
7.25,21.88,4.081
7.5,21.32,4.97
7.75,21.27,5.023
8.0,22.1,5.182
8.25,24.37,5.313000000000001
8.5,24.98,5.417
8.75,23.38,5.755
9.0,21.9,5.5089999999999995
9.25,22.66,5.636
9.5,23.25,5.869
9.75,22.57,4.9670000000000005
10.0,23.45,6.045999999999999
10.25,22.69,4.361
10.5,22.85,4.22
10.75,23.930000000000003,4.981
11.0,25.04,6.470000000000001
11.25,24.919999999999998,5.75
11.5,25.6,5.159000000000001
11.75,23.4,5.630000000000001
12.0,24.34,6.56
12.25,26.57,7.0
12.5,24.689999999999998,6.279999999999999
12.75,26.150000000000002,6.390000000000001
13.0,24.16,5.008
13.25,24.29,5.180000000000001
13.5,28.24,5.782
13.75,27.669999999999998,5.673
14.0,27.150000000000002,6.17
14.25,25.52,5.61
14.5,27.459999999999997,6.25
14.75,26.43,5.533
15.0,26.92,5.98
15.25,28.580000000000002,6.3999999999999995
15.5,27.56,5.2
15.75,28.019999999999996,6.03
16.0,31.650000000000002,4.925
16.25,29.17,5.4
16.5,28.68,5.554
16.75,29.33,6.14
17.0,27.72,5.61
17.25,27.07,5.108
17.5,28.0,5.149
17.75,28.07,6.67
18.0,29.629999999999995,6.27
18.25,28.630000000000003,5.335
18.5,27.83,5.816000000000001
18.75,26.22,5.58
19.0,27.46,6.33
19.25,28.02,6.8
19.5,28.990000000000002,6.5600000000000005
19.75,29.53,6.42
20.0,27.720000000000002,4.554
20.25,34.28,7.65
20.5,36.9,6.633
20.75,31.07,4.942
21.0,32.57,6.86
21.25,35.0,7.8100000000000005
21.5,34.99,7.365
21.75,35.14,7.567
22.0,30.589999999999996,6.88
22.25,32.32,7.828
22.5,35.0,7.5169999999999995
22.75,36.9,9.1
23.0,37.0,8.83
23.25,33.42,7.1
23.5,32.96,6.143
23.75,32.09,6.78
24.0,33.7,6.66
24.25,33.379999999999995,6.800000000000001
24.5,35.18,8.15
24.75,36.2,7.17
25.0,36.019999999999996,7.75
25.25,34.4,8.09
25.5,31.56,7.2700000000000005
25.75,31.89,6.66
26.0,31.540000000000003,6.901
26.25,31.75,6.98
26.5,31.48,7.2989999999999995
26.75,30.38,6.970000000000001
27.0,30.279999999999998,7.25
27.25,29.08,5.756
27.5,29.85,6.605
27.75,30.400000000000002,7.148
28.0,30.37,7.027000000000001
28.25,30.24,6.9590000000000005
28.5,30.380000000000003,7.4
28.75,29.869999999999997,7.18
29.0,29.92,7.66
29.25,27.53,6.175
29.5,27.04,6.341000000000001
29.75,27.8,7.03
30.0,27.240000000000002,6.301
30.25,29.11,7.640000000000001
30.5,29.740000000000002,7.89
30.75,29.19,7.02
31.0,28.18,6.39
31.25,27.78,6.39
31.5,29.01,6.712000000000001
31.75,29.65,6.058
32.0,29.22,6.09
32.25,29.56,6.72
32.5,28.62,5.915
32.75,30.639999999999997,6.803
33.0,30.619999999999997,7.62
33.25,29.45,5.922000000000001
33.5,27.71,5.766
33.75,27.07,5.0600000000000005
34.0,28.91,7.09
34.25,30.130000000000003,6.707
34.5,27.730000000000004,6.375
34.75,27.849999999999998,6.067
35.0,27.18,6.062
35.25,28.68,5.542
35.5,30.189999999999998,6.2379999999999995
35.75,32.5,7.050000000000001
36.0,34.58,5.961
36.25,38.7,7.25
36.5,33.480000000000004,6.390000000000001
36.75,34.589999999999996,6.686
37.0,35.47,8.469999999999999
37.25,38.2,7.84
37.5,39.4,6.507
37.75,40.0,7.180000000000001
38.0,35.9,7.45
38.25,36.79,9.899999999999999
38.5,35.7,7.680000000000001
38.75,34.290000000000006,7.609999999999999
39.0,35.230000000000004,7.41
39.25,36.63,7.43
39.5,35.75,7.33
