Hora_decimal,P_3f,Q_3f
0.0,38.31,41.13
0.25,38.29,40.27
0.5,37.12,38.97
0.75,38.24,40.33
1.0,37.45,39.5
1.25,37.95,39.92
1.5,37.75,39.79
1.75,37.81,40.15
2.0,37.86,39.58
2.25,37.62,39.69
2.5,37.38,39.89
2.75,37.55,39.98
3.0,37.63,39.97
3.25,38.54,40.54
3.5,37.73,40.120000000000005
3.75,37.3,39.36
4.0,38.120000000000005,41.13
4.25,38.7,41.42
4.5,38.77,41.33
4.75,38.62,40.75
5.0,38.39,39.24
5.25,39.2,39.95
5.5,37.39,38.2
5.75,36.69,38.01
6.0,36.95,38.23
6.25,36.89,38.85
6.5,37.04,38.44
6.75,35.879999999999995,35.69
7.0,36.49,38.65
7.25,36.23,36.37
7.5,36.4,38.45
7.75,36.13,36.68
8.0,36.55,37.31
8.25,36.46000000000001,37.48
8.5,36.69,38.41
8.75,36.36,36.88
9.0,36.01,38.25
9.25,37.47,41.77
9.5,39.580000000000005,45.06
9.75,40.7,45.93
10.0,40.7,45.870000000000005
10.25,40.07,45.03
10.5,41.900000000000006,45.92
10.75,40.7,45.870000000000005
11.0,40.8,46.27
11.25,42.1,47.260000000000005
11.5,43.9,48.97
11.75,43.3,48.01
12.0,42.0,48.33
12.25,42.9,49.22
12.5,43.1,48.84
12.75,43.0,48.35
13.0,43.2,49.06
13.25,44.7,49.22
13.5,44.6,49.11
13.75,45.0,49.59
14.0,44.5,49.46
14.25,43.9,48.290000000000006
14.5,43.3,47.68
14.75,41.9,47.594
15.0,42.3,47.721
15.25,41.8,46.995000000000005
15.5,42.9,48.370000000000005
15.75,43.5,49.59
16.0,42.9,49.21
16.25,42.1,48.29
16.5,43.8,49.53
16.75,43.6,50.35
17.0,42.3,49.63
17.25,42.4,49.33
17.5,42.5,48.55
17.75,42.1,48.52
18.0,42.3,49.09
18.25,41.5,46.32
18.5,42.3,47.72
18.75,41.1,44.93
19.0,41.5,45.935
19.25,42.4,47.075
19.5,42.2,46.260000000000005
19.75,40.7,45.94
20.0,42.400000000000006,48.16
20.25,42.2,47.266
20.5,43.2,47.86
20.75,40.7,44.92
21.0,38.1,39.82
21.25,37.6,39.260000000000005
21.5,38.870000000000005,40.53
21.75,38.620000000000005,41.33
22.0,37.83,40.33
22.25,37.8,40.59
22.5,38.3,40.870000000000005
22.75,37.98,40.78
23.0,37.52,39.43
23.25,37.36,39.34
23.5,37.5,41.21
23.75,37.73,40.46
24.0,38.08,40.06
24.25,37.97,40.16
24.5,37.68000000000001,40.11
24.75,36.58,38.17
25.0,36.92,38.45
25.25,36.88,38.75
25.5,37.98,39.03
25.75,36.66,38.53
26.0,36.97,37.55
26.25,37.73,38.71
26.5,36.84,37.64
26.75,37.1,38.84
27.0,38.04,39.69
27.25,37.55,38.92
27.5,38.42,40.760000000000005
27.75,37.35,39.42
28.0,37.5,39.5
28.25,37.36,39.36
28.5,38.13,40.16
28.75,37.41,39.46
29.0,37.42,39.67
29.25,36.73,38.65
29.5,36.9,37.76
29.75,36.26,37.21
30.0,35.84,37.56
30.25,36.27,37.41
30.5,38.18,38.08
30.75,41.120000000000005,39.73
31.0,46.8,45.510000000000005
31.25,48.8,46.91
31.5,51.5,51.61
31.75,58.6,60.46
32.0,63.3,65.81
32.25,65.0,67.62
32.5,70.3,73.05
32.75,67.6,71.44999999999999
33.0,68.5,73.321
33.25,71.5,74.70400000000001
33.5,69.9,75.55199999999999
33.75,70.30000000000001,75.08699999999999
34.0,70.8,77.378
34.25,71.3,74.362
34.5,74.5,78.67
34.75,74.1,78.322
35.0,74.3,77.412
35.25,74.30000000000001,78.244
35.5,74.6,78.501
35.75,75.60000000000001,79.34
36.0,76.3,80.569
36.25,77.5,80.69
36.5,76.2,79.36
36.75,75.8,80.28899999999999
37.0,73.9,78.719
37.25,70.69999999999999,72.66300000000001
37.5,64.4,67.984
37.75,62.3,66.55699999999999
38.0,58.49999999999999,60.333
38.25,59.3,60.95
38.5,58.8,61.47
38.75,58.2,61.47
39.0,57.5,60.092
39.25,55.4,58.02
39.5,56.3,59.9
39.75,53.2,57.688
40.0,51.7,57.642
40.25,51.2,57.735
40.5,50.400000000000006,56.648
40.75,48.6,56.002
41.0,46.5,52.646
41.25,46.8,53.135000000000005
41.5,46.4,53.483
41.75,46.2,51.886
42.0,44.8,51.806
42.25,45.400000000000006,52.1
42.5,45.1,52.02
42.75,45.1,51.71
43.0,44.5,51.28
43.25,44.400000000000006,51.91
43.5,43.5,49.25
43.75,43.5,49.18
44.0,44.0,50.434
44.25,43.8,48.46
44.5,43.8,49.71
44.75,43.5,49.214
45.0,41.900000000000006,47.83
45.25,40.1,45.24
45.5,38.38,40.87
45.75,40.1,44.27
46.0,39.31999999999999,43.28
46.25,39.9,42.3
46.5,39.9,42.92
46.75,39.7,42.49
47.0,39.5,42.22
47.25,39.65,42.400000000000006
47.5,39.49,43.09
47.75,39.7,42.97
48.0,40.1,42.56
48.25,39.5,42.34
48.5,39.260000000000005,42.370000000000005
48.75,39.82,43.01
49.0,39.82,42.94
49.25,39.47,41.84
