Hora_decimal,P_3f,Q_3f
0.0,15.580000000000002,4.82
0.25,15.41,4.979
0.5,15.29,4.723
0.75,15.44,4.613
1.0,14.73,4.674
1.25,15.09,4.554
1.5,15.31,4.682
1.75,14.94,4.976
2.0,16.189999999999998,5.029999999999999
2.25,15.09,4.517
2.5,14.38,4.189
2.75,14.76,4.54
3.0,15.419999999999998,4.867
3.25,14.37,5.008
3.5,15.650000000000002,4.484
3.75,13.69,4.558
4.0,15.02,4.772
4.25,13.91,5.039
4.5,14.97,5.154999999999999
4.75,14.35,5.343
5.0,14.919999999999998,4.427
5.25,13.09,4.338
5.5,13.69,4.601
5.75,12.19,4.843999999999999
6.0,12.79,4.552
6.25,11.84,4.593
6.5,13.01,4.579
6.75,12.62,5.09
7.0,13.96,5.08
7.25,13.7,5.757
7.5,14.46,5.805
7.75,14.93,6.356999999999999
8.0,16.36,6.95
8.25,17.04,8.04
8.5,18.24,8.39
8.75,17.88,8.46
9.0,18.6,8.44
9.25,20.08,9.25
9.5,18.42,9.49
9.75,20.09,9.11
10.0,20.2,9.71
10.25,21.21,9.48
10.5,21.43,10.04
10.75,20.99,9.41
11.0,22.83,10.13
11.25,23.6,10.89
11.5,23.380000000000003,11.04
11.75,23.880000000000003,10.989999999999998
12.0,23.82,11.29
12.25,24.87,11.57
12.5,24.340000000000003,11.99
12.75,25.28,11.81
13.0,24.09,10.98
13.25,25.16,11.61
13.5,24.49,11.66
13.75,25.45,11.2
14.0,25.72,11.92
14.25,24.85,11.66
14.5,25.28,11.51
14.75,25.200000000000003,11.32
15.0,24.97,11.08
15.25,24.47,11.59
15.5,24.07,10.73
15.75,24.56,10.55
16.0,23.33,11.05
16.25,23.43,10.54
16.5,24.23,10.65
16.75,23.24,10.43
17.0,21.86,9.41
17.25,24.01,10.2
17.5,23.8,10.87
17.75,23.22,10.26
18.0,23.47,10.42
18.25,22.75,10.32
18.5,23.450000000000003,10.16
18.75,19.85,7.970000000000001
19.0,20.08,6.390000000000001
19.25,19.12,6.2700000000000005
19.5,18.94,6.46
19.75,19.72,6.73
20.0,20.14,6.3100000000000005
20.25,19.380000000000003,6.32
20.5,18.61,6.054
20.75,19.25,6.36
21.0,19.27,6.8
21.25,19.99,6.74
21.5,18.98,6.959999999999999
21.75,19.51,6.72
22.0,19.04,6.74
22.25,19.51,7.24
22.5,18.42,6.256
22.75,16.43,4.633
23.0,17.439999999999998,4.93
23.25,15.44,4.101
23.5,16.810000000000002,4.077999999999999
23.75,16.310000000000002,4.627
24.0,16.78,4.828
24.25,16.52,4.816
24.5,17.169999999999998,4.233
24.75,16.33,4.033
25.0,16.55,4.587
25.25,17.04,4.781000000000001
25.5,15.829999999999998,4.785
25.75,16.76,4.434
26.0,14.94,4.436
26.25,16.05,4.828
26.5,16.46,4.644
26.75,15.86,4.69
27.0,15.62,4.798
27.25,15.47,4.468999999999999
27.5,15.989999999999998,4.156
27.75,14.97,4.477
28.0,16.46,4.627000000000001
28.25,15.57,4.978999999999999
28.5,15.63,4.184
28.75,15.35,4.157
29.0,14.66,4.569
29.25,15.669999999999998,4.548
29.5,14.590000000000002,4.863
29.75,14.68,4.811
30.0,14.2,4.775
30.25,16.25,4.295999999999999
30.5,15.61,3.77
30.75,17.59,5.414
31.0,19.53,7.02
31.25,20.64,7.49
31.5,20.44,7.56
31.75,20.65,7.21
32.0,23.24,8.280000000000001
32.25,24.07,8.92
32.5,26.87,9.22
32.75,26.47,9.72
33.0,27.85,9.75
33.25,26.92,10.25
33.5,29.08,10.98
33.75,29.880000000000003,10.81
34.0,29.62,11.3
34.25,32.58,11.48
34.5,33.84,11.28
34.75,33.39,11.4
35.0,33.68,10.16
35.25,34.51,9.86
35.5,34.56,10.1
35.75,35.79,10.51
36.0,36.79,10.6
36.25,34.980000000000004,10.33
36.5,33.89,10.9
36.75,34.49,9.48
37.0,36.86,10.46
37.25,37.95,10.34
37.5,39.23,10.12
37.75,36.92,9.59
38.0,40.2,9.8
38.25,41.0,10.29
38.5,37.84,9.88
38.75,37.43,10.38
39.0,37.76,10.09
39.25,37.97,10.68
39.5,37.09,11.54
39.75,34.85,11.21
40.0,35.89,10.94
40.25,35.99,11.1
40.5,34.97,10.81
40.75,34.980000000000004,11.13
41.0,34.63,11.18
41.25,33.91,10.34
41.5,35.1,10.39
