Hora_decimal,P_3f,Q_3f
0.0,1.901,-0.1879
0.25,1.812,-0.305
0.5,1.759,-0.3379999999999999
0.75,1.822,-0.313
1.0,1.741,-0.352
1.25,1.814,-0.3161
1.5,1.826,-0.2515
1.75,1.823,-0.299
2.0,1.82,-0.294
2.25,1.756,-0.35
2.5,1.84,-0.2892
2.75,1.72,-0.39
3.0,1.91,-0.2093
3.25,1.731,-0.38
3.5,1.78,-0.359
3.75,1.836,-0.288
4.0,1.77,-0.35
4.25,1.858,-0.27
4.5,1.787,-0.314
4.75,1.894,-0.2224
5.0,1.681,-0.42
5.25,1.745,-0.358
5.5,1.778,-0.329
5.75,1.736,-0.369
6.0,1.868,-0.2629
6.25,1.821,-0.2496
6.5,1.833,-0.2978
6.75,1.72,-0.378
7.0,1.781,-0.342
7.25,1.802,-0.316
7.5,1.759,-0.3379999999999999
7.75,1.881,-0.2301
8.0,1.813,-0.249
8.25,1.818,-0.3189
8.5,1.717,-0.395
8.75,1.79,-0.3485
9.0,1.7959999999999998,-0.332
9.25,1.766,-0.3349999999999999
9.5,1.955,-0.126
9.75,1.759,-0.3289999999999999
10.0,1.84,-0.2906
10.25,1.702,-0.4
10.5,1.792,-0.3268
10.75,1.815,-0.3092
11.0,1.826,-0.263
11.25,1.886,-0.2157
11.5,1.747,-0.35
11.75,1.848,-0.2885
12.0,1.704,-0.4
12.25,1.772,-0.345
12.5,1.764,-0.323
12.75,1.803,-0.288
13.0,1.849,-0.28
13.25,1.747,-0.35
13.5,1.861,-0.2714
13.75,1.726,-0.38
14.0,1.8010000000000002,-0.3236
14.25,1.803,-0.281
14.5,1.716,-0.393
14.75,1.827,-0.3
15.0,1.73,-0.36
15.25,1.832,-0.285
15.5,1.752,-0.3299999999999999
15.75,1.866,-0.2784999999999999
16.0,1.717,-0.387
16.25,1.731,-0.382
16.5,1.714,-0.39
16.75,1.747,-0.36
17.0,1.905,-0.202
17.25,1.786,-0.291
17.5,1.812,-0.30379
17.75,1.691,-0.396
18.0,1.6880000000000002,-0.397
18.25,1.737,-0.363
18.5,1.751,-0.322
18.75,1.878,-0.2241
19.0,1.726,-0.35
19.25,1.804,-0.29
19.5,1.715,-0.361
19.75,1.713,-0.384
20.0,1.793,-0.288
20.25,1.722,-0.3409999999999999
20.5,1.794,-0.33
20.75,1.722,-0.37
21.0,1.809,-0.306
21.25,1.735,-0.34
21.5,1.796,-0.287
21.75,1.835,-0.27353
22.0,1.717,-0.38
22.25,1.848,-0.3
22.5,1.734,-0.37
22.75,1.853,-0.2757
23.0,1.792,-0.302
23.25,1.873,-0.228
23.5,1.816,-0.339643
23.75,1.7639999999999998,-0.43
24.0,1.878,-0.233
24.25,1.727,-0.379
24.5,1.957,-0.1898
24.75,1.846,-0.246
25.0,1.797,-0.312
25.25,1.831,-0.2843
25.5,1.739,-0.38
25.75,1.819,-0.3154
26.0,1.757,-0.331
26.25,1.851,-0.2644
26.5,1.775,-0.346
26.75,1.807,-0.3
27.0,1.82,-0.297
27.25,1.759,-0.35
27.5,1.865,-0.2589
27.75,1.738,-0.347
28.0,1.783,-0.34625
28.25,1.721,-0.399
28.5,1.802,-0.322
28.75,1.838,-0.27792
29.0,1.774,-0.3199999999999999
29.25,1.965,-0.1341
29.5,1.767,-0.3259999999999999
29.75,1.817,-0.3131
30.0,1.737,-0.37
30.25,1.744,-0.367
30.5,1.826,-0.3115799999999999
30.75,2.705,0.1822
31.0,2.019,-0.2918
31.25,2.1,-0.41
31.5,2.203,-0.3468
31.75,3.850000000000001,-0.52
32.0,5.37,-0.0182
32.25,5.74,0.4543999999999999
32.5,5.34,-0.0204
32.75,5.460000000000001,0.088
33.0,5.51,0.176
33.25,5.01,-0.235
33.5,5.25,-0.4838
33.75,6.550000000000001,-0.27
34.0,6.7,0.038
34.25,6.24,-0.148
34.5,6.159999999999999,-0.0509999999999999
34.75,5.739999999999999,-0.6000000000000001
35.0,6.25,-0.555
35.25,7.18,-0.62
35.5,7.15,-0.7
35.75,7.17,-0.7
36.0,8.01,-0.252
36.25,7.689999999999999,-0.51
36.5,6.369999999999999,-0.41
36.75,5.69,-0.72
37.0,5.15,-0.74
37.25,4.38,-0.74
37.5,3.4690000000000003,-0.5800000000000001
37.75,2.549,-0.532
38.0,2.636,-0.433
38.25,2.578,-0.49
38.5,2.531,-0.53
38.75,2.676,-0.434
39.0,3.129,-0.73
39.25,4.609999999999999,-1.04
39.5,4.49,-1.17
39.75,4.4,-1.26
40.0,4.550000000000001,-1.14
40.25,3.4,-0.72
40.5,2.667,-0.446
40.75,2.708,-0.436
41.0,2.587,-0.52
41.25,2.644,-0.49
41.5,2.591,-0.54
41.75,2.699,-0.438
42.0,2.708,-0.455
42.25,2.618,-0.52
42.5,2.662,-0.49
42.75,2.722,-0.4419999999999999
43.0,2.682,-0.431
43.25,2.728,-0.418
43.5,2.611,-0.53
43.75,2.553,-0.5700000000000001
44.0,2.672,-0.487
44.25,2.6,-0.52
44.5,2.652,-0.445
44.75,2.675,-0.472
45.0,2.5780000000000003,-0.54
45.25,2.678,-0.48
45.5,2.683,-0.49
45.75,2.682,-0.47
46.0,2.86,-0.368
46.25,2.587,-0.54
46.5,1.521,-0.344
46.75,1.593,-0.25
47.0,1.483,-0.3299999999999999
47.25,1.7039999999999995,-0.1463
47.5,1.5619999999999998,-0.263
47.75,1.436,-0.4
48.0,1.557,-0.305
48.25,1.4420000000000002,-0.384
48.5,1.525,-0.327
48.75,1.6749999999999998,-0.151
49.0,1.511,-0.318
49.25,1.617,-0.235
49.5,1.517,-0.311
49.75,1.5100000000000002,-0.325
50.0,1.577,-0.276565
50.25,1.564,-0.238
50.5,1.633,-0.21
50.75,1.5219999999999998,-0.309
51.0,1.501,-0.3249999999999999
51.25,1.636,-0.30769
51.5,1.519,-0.284
51.75,1.661,-0.1531
52.0,1.498,-0.3369999999999999
52.25,1.4380000000000002,-0.398
52.5,1.575,-0.2885999999999999
52.75,1.507,-0.316
53.0,1.549,-0.283
53.25,1.642,-0.1695
53.5,1.503,-0.297
53.75,1.618,-0.2342
54.0,1.4620000000000002,-0.351
54.25,1.478,-0.336
54.5,1.5710000000000002,-0.27752
54.75,2.121,-0.0957
55.0,1.944,-0.2529
55.25,1.801,-0.378
55.5,2.741,0.1052
55.75,6.66,0.542
56.0,5.859999999999999,0.115
56.25,6.13,0.3807
56.5,5.95,0.2288
56.75,6.8100000000000005,0.449
57.0,8.42,0.7889999999999999
57.25,6.08,0.1096999999999999
57.5,6.470000000000001,0.3797999999999999
57.75,6.01,0.0619299999999999
58.0,6.35,0.3399999999999999
58.25,6.029999999999999,0.05129
58.5,6.42,0.1872
58.75,7.49,0.4276
59.0,6.38,0.213
59.25,6.91,0.4853
59.5,7.870000000000001,0.5524
59.75,8.649999999999999,0.589
60.0,6.800000000000001,0.1348
60.25,6.27,0.175
60.5,6.879999999999999,1.041
60.75,6.33,0.492
61.0,6.62,0.736
61.25,5.9,0.2445
61.5,4.3100000000000005,0.1682
61.75,2.109,-0.49
62.0,1.869,-0.3419999999999999
62.25,1.817,-0.386
62.5,1.888,-0.288
62.75,2.0460000000000003,-0.145
63.0,1.915,-0.2263
63.25,3.015,-0.308
63.5,4.08,-0.505
63.75,3.968,-0.56
64.0,2.508,-0.252
64.25,1.883,-0.26538
64.5,1.971,-0.2171
64.75,1.866,-0.3359999999999999
65.0,1.819,-0.355
65.25,1.946,-0.2653
65.5,1.811,-0.36
65.75,1.89,-0.3124
66.0,1.824,-0.372
66.25,1.77,-0.41
66.5,1.7600000000000002,-0.266
66.75,1.529,-0.3269999999999999
67.0,1.6110000000000002,-0.257
67.25,1.626,-0.236
67.5,1.542,-0.3
67.75,1.664,-0.215
68.0,1.493,-0.354
68.25,1.507,-0.3429999999999999
68.5,1.583,-0.2944
68.75,1.482,-0.367
69.0,1.632,-0.2515
69.25,1.59,-0.263
69.5,1.544,-0.309
69.75,1.6670000000000005,-0.2193
70.0,1.53,-0.317
70.25,1.592,-0.28178
70.5,1.558,-0.302
70.75,1.508,-0.341
71.0,1.687,-0.205
71.25,1.627,-0.197
71.5,1.621,-0.256
71.75,1.6030000000000002,-0.258
72.0,1.534,-0.325
72.25,1.67,-0.2459
72.5,1.599,-0.2423
72.75,1.586,-0.298
73.0,1.667,-0.2318
73.25,1.538,-0.3199999999999999
73.5,1.7240000000000002,-0.1639999999999999
73.75,1.642,-0.2339999999999999
74.0,1.61,-0.263
74.25,1.629,-0.27152
74.5,1.522,-0.334
74.75,1.658,-0.2294
75.0,1.654,-0.246
75.25,1.703,-0.1409
75.5,1.689,-0.1863
75.75,1.589,-0.268
76.0,1.663,-0.225
76.25,1.553,-0.31
76.5,1.574,-0.295
76.75,1.749,-0.109
77.0,1.593,-0.271
77.25,1.68,-0.21
77.5,1.5739999999999998,-0.282
77.75,1.575,-0.293
78.0,1.622,-0.2563
78.25,1.522,-0.333
78.5,1.723,-0.124
78.75,1.6880000000000002,-0.249
79.0,1.597,-0.249
79.25,1.636,-0.21
79.5,1.581,-0.265
79.75,1.632,-0.242
80.0,1.531,-0.322
80.25,1.543,-0.309
80.5,1.749,-0.0924
80.75,1.605,-0.249
81.0,1.702,-0.1825
81.25,1.573,-0.269
81.5,1.616,-0.245
81.75,1.597,-0.276
82.0,1.528,-0.329
82.25,1.7439999999999998,-0.1115
82.5,1.561,-0.3
82.75,1.653,-0.217
83.0,1.625,-0.233
83.25,1.574,-0.272
83.5,1.653,-0.2263
83.75,1.566,-0.28
84.0,1.705,-0.1592
84.25,1.565,-0.3
84.5,1.612,-0.269
84.75,1.7040000000000002,-0.1810999999999999
85.0,1.556,-0.302
85.25,1.6990000000000005,-0.1744
85.5,1.603,-0.2271
85.75,1.6110000000000002,-0.2566
86.0,1.5910000000000002,-0.274
86.25,1.5510000000000002,-0.307
86.5,1.685,-0.187
86.75,1.557,-0.296
87.0,1.694,-0.1685
87.25,1.625,-0.2239999999999999
87.5,1.5,-0.349
87.75,1.633,-0.258
88.0,1.502,-0.362
88.25,1.6070000000000002,-0.2764999999999999
88.5,1.592,-0.255
88.75,1.633,-0.1866
89.0,1.616,-0.2428
89.25,1.507,-0.322
89.5,1.594,-0.2759
89.75,1.479,-0.35
90.0,1.491,-0.346
90.25,1.628,-0.1887
90.5,1.552,-0.304
90.75,1.661,-0.2203
91.0,1.54,-0.314
91.25,1.631,-0.255
91.5,1.561,-0.289
91.75,1.5749999999999995,-0.24886
92.0,1.576,-0.292
92.25,1.534,-0.328
92.5,1.67,-0.2183
92.75,1.548,-0.302
93.0,1.661,-0.21439
93.25,1.6109999999999998,-0.2251
93.5,1.5510000000000002,-0.316
93.75,1.598,-0.28441
94.0,1.508,-0.353
94.25,1.659,-0.243
94.5,1.55,-0.308
94.75,1.753,-0.1017
95.0,1.554,-0.302
95.25,1.624,-0.256
95.5,1.549,-0.314
95.75,1.532,-0.344
96.0,1.5510000000000002,-0.32
96.25,1.701,-0.1520999999999999
96.5,1.577,-0.269
96.75,1.634,-0.241
97.0,1.58,-0.284
97.25,1.608,-0.28
97.5,1.5379999999999998,-0.328
97.75,1.669,-0.1847
98.0,1.554,-0.313
98.25,1.667,-0.215
98.5,1.57,-0.281
98.75,1.657,-0.2221999999999999
99.0,1.53,-0.325
99.25,1.646,-0.23017
99.5,1.585,-0.26036
99.75,1.618,-0.2884
100.0,1.58,-0.297
100.25,1.67,-0.2212
100.5,1.574,-0.287
100.75,1.629,-0.248
101.0,1.603,-0.2299999999999999
101.25,1.652,-0.2228
101.5,1.5550000000000002,-0.284
101.75,1.662,-0.22
102.0,1.56,-0.284
102.25,1.65,-0.187
102.5,1.554,-0.297
102.75,1.701,-0.1476
103.0,1.538,-0.329
103.25,1.614,-0.2698
103.5,1.531,-0.327
103.75,1.6700000000000002,-0.2148
104.0,1.572,-0.282
104.25,1.7110000000000003,-0.1532
104.5,1.577,-0.275
104.75,1.618,-0.26476
105.0,1.5459999999999998,-0.316
105.25,1.61,-0.268
105.5,1.622,-0.261
105.75,1.6869999999999998,-0.206
106.0,1.69,-0.1533
106.25,1.568,-0.309
106.5,1.6310000000000002,-0.338
106.75,1.549,-0.307
107.0,1.668,-0.1924
107.25,1.624,-0.2219999999999999
107.5,1.744,-0.1041999999999999
107.75,1.561,-0.286
108.0,1.5830000000000002,-0.288
108.25,1.519,-0.342
108.5,1.624,-0.2546
108.75,1.531,-0.322
109.0,1.753,-0.0871999999999999
109.25,1.618,-0.2289999999999999
109.5,1.62,-0.244
109.75,1.598,-0.261
110.0,1.56,-0.303
110.25,1.577,-0.295
110.5,1.5710000000000002,-0.268
110.75,1.6860000000000002,-0.1848
111.0,1.5670000000000002,-0.279
111.25,1.682,-0.2047999999999999
111.5,1.5510000000000002,-0.299
111.75,1.638,-0.2475
112.0,1.542,-0.309
112.25,1.661,-0.1984999999999999
112.5,1.5219999999999998,-0.3429999999999999
112.75,1.553,-0.322
113.0,1.602,-0.259
113.25,1.522,-0.312
113.5,1.6309999999999998,-0.222
113.75,1.523,-0.306
114.0,1.593,-0.2809999999999999
114.25,1.488,-0.344
114.5,1.5659999999999998,-0.2949299999999999
114.75,1.548,-0.295
115.0,1.708,-0.12848
115.25,1.646,-0.1791
115.5,1.513,-0.316
115.75,1.5699999999999998,-0.294
116.0,1.442,-0.38
116.25,1.5499999999999998,-0.2952
116.5,1.463,-0.352
116.75,1.6999999999999995,-0.1292
117.0,1.535,-0.29
117.25,1.5470000000000002,-0.287
117.5,1.573,-0.2692
117.75,1.467,-0.358
118.0,1.581,-0.2855999999999999
118.25,1.536,-0.2616699999999999
118.5,1.5630000000000002,-0.3
118.75,1.521,-0.32
119.0,1.586,-0.272
119.25,1.533,-0.315
119.5,1.564,-0.278
119.75,1.626,-0.21137
120.0,1.535,-0.292
120.25,1.605,-0.275
120.5,1.522,-0.3389999999999999
120.75,1.711,-0.1824
121.0,1.54,-0.311
121.25,1.6550000000000002,-0.209
121.5,1.593,-0.243
121.75,1.5259999999999998,-0.3389999999999999
122.0,1.581,-0.304
122.25,1.501,-0.351
122.5,1.652,-0.2465999999999999
122.75,1.576,-0.285
123.0,1.7320000000000002,-0.1464
123.25,1.5670000000000002,-0.286
123.5,1.549,-0.311
123.75,1.5339999999999998,-0.3279999999999999
124.0,1.483,-0.361
124.25,1.5779999999999998,-0.2885
124.5,1.61,-0.21238
124.75,1.657,-0.2289
125.0,1.527,-0.319
125.25,1.536,-0.31
125.5,1.529,-0.3329999999999999
125.75,1.525,-0.3329999999999999
126.0,1.628,-0.236
