Hora_decimal,P_3f,Q_3f
0.0,3.746,-0.72
0.25,3.279,-0.453
0.5,3.994,-0.321
0.75,3.139,-0.6292000000000001
1.0,3.772,-0.8480000000000001
1.25,2.593,-0.385
1.5,2.597,-0.3335
1.75,1.902,-0.6176
2.0,2.711,-0.536
2.25,2.538,-0.2739999999999999
2.5,4.252,-0.4449999999999999
2.75,3.091,-0.7007
3.0,3.868,-0.65
3.25,2.802,-0.8799999999999999
3.5,3.59,-0.521
3.75,3.667,-0.257
4.0,3.2920000000000003,-0.5558000000000001
4.25,3.267,-0.876
4.5,3.719,-0.551
4.75,3.605,-0.4594
5.0,3.066,-0.5880000000000001
5.25,3.528,-0.68
5.5,3.347,-0.6291
5.75,3.863,-0.673
6.0,3.281,-0.6756
6.25,3.563,-0.8300000000000001
6.5,3.4130000000000003,-0.9240000000000002
6.75,3.5330000000000004,-0.765
7.0,3.527,-0.526
7.25,2.03,-0.819
7.5,2.2960000000000003,-1.24
7.75,2.735,-0.636
8.0,3.0250000000000004,-0.4906000000000001
8.25,2.89,-0.642
8.5,2.765,-0.6712
8.75,3.229,-0.7953
9.0,3.868,-0.9089999999999998
9.25,4.042,-0.807
9.5,4.092,-0.7
9.75,4.263,-0.647
10.0,4.458,-0.528
10.25,4.309,-0.3450000000000001
10.5,4.013,-0.616
10.75,3.892,-1.15
11.0,3.827,-0.8500000000000001
11.25,4.206,-0.48
11.5,4.725,-0.5947
11.75,4.927,-0.6631999999999999
12.0,4.416,-0.2840000000000001
12.25,4.505,-0.66
12.5,4.14,-0.9052
12.75,4.041,-0.7372000000000001
13.0,4.405,-0.489
13.25,4.315,-0.48
13.5,4.2620000000000005,-0.5592
13.75,4.467,-0.5496000000000001
14.0,3.981,-0.8936999999999999
14.25,4.06,-0.891
14.5,3.927000000000001,-0.8
14.75,3.832,-0.78
15.0,4.559,-0.625
15.25,4.406,-0.243
15.5,4.481,-0.5000000000000001
15.75,4.523000000000001,-1.14
16.0,3.757,-0.95
16.25,4.731,-0.563
16.5,3.84,-0.532
16.75,3.872,-0.6416
17.0,4.274,-0.3854
17.25,4.056,-0.6615
17.5,3.927,-0.8527000000000001
17.75,4.2330000000000005,-0.828
18.0,4.133,-0.8790000000000001
18.25,3.831,-0.64
18.5,4.211,-0.305
18.75,4.479,-0.3279999999999999
19.0,3.850000000000001,-0.89
19.25,3.819,-0.8800000000000001
19.5,3.459,-0.6733000000000001
19.75,3.631,-0.6480000000000001
20.0,3.801,-0.64087
20.25,4.24,-0.418
20.5,3.897,-0.5765
20.75,3.46,-0.5139
21.0,3.961,-0.8200000000000001
21.25,3.922,-1.02
21.5,3.842,-0.548
21.75,4.132,-0.236
22.0,4.078,-0.5638000000000001
22.25,3.482,-0.8999999999999999
22.5,3.563,-0.527
22.75,3.841,-0.6262000000000001
23.0,3.689,-0.756
23.25,3.664,-0.6711999999999999
23.5,3.727,-0.418
23.75,3.736,-0.4979999999999999
24.0,4.176,-0.5962000000000001
24.25,4.194,-0.59
24.5,3.474,-0.76
24.75,3.746,-0.654
25.0,3.858,-0.33
25.25,4.04,-0.42
25.5,3.216,-0.9
25.75,3.84,-0.6930000000000001
26.0,3.868,-0.378
26.25,3.309,-0.7079
26.5,3.406,-0.8411
26.75,4.091,-0.438
27.0,3.785,-0.3760000000000001
27.25,3.67,-0.91
27.5,3.681,-0.6900000000000001
27.75,3.908,-0.308
28.0,3.569,-0.524
28.25,3.803,-0.497
28.5,3.979,-0.232
28.75,3.2110000000000003,-0.6828
29.0,4.192,-0.6953
29.25,4.1850000000000005,-0.68
29.5,3.406,-0.5760000000000001
29.75,3.656,-0.5309999999999999
30.0,3.877,-0.453
30.25,3.239,-0.76409
30.5,3.49,-1.17
30.75,4.377,-0.7709
31.0,3.819,-0.5980000000000001
31.25,3.743,-0.8730000000000002
31.5,3.969,-0.9404
31.75,4.296,-0.6565
32.0,3.763,-0.8230000000000001
32.25,3.953,-0.9
32.5,4.0600000000000005,-0.91
32.75,4.34,-0.6456
33.0,4.273,-0.734
33.25,4.519,-0.325
33.5,4.264,-0.368
33.75,4.532,-0.95
34.0,4.927,-0.7889999999999999
34.25,4.839,-0.428
34.5,4.914,-0.514
34.75,4.392,-0.9257
35.0,4.664,-0.5759
35.25,5.289,-0.381
35.5,4.637,-0.6922
35.75,4.425,-0.83
36.0,4.616,-0.5721
36.25,4.833,-0.553
36.5,4.447,-0.669
36.75,4.813,-0.589
37.0,4.651,-0.7200000000000001
37.25,4.546,-0.766
37.5,4.544,-0.5512
37.75,4.484,-0.4299999999999999
38.0,4.893,-0.7814
38.25,5.4110000000000005,-0.6111000000000001
38.5,8.9,0.022
38.75,8.19,-0.342
39.0,7.890000000000001,-0.4796
39.25,7.04,-0.466
39.5,7.35,-0.217
39.75,8.41,-0.054
40.0,6.662,-0.6783
40.25,7.18,-0.9137
40.5,7.359999999999999,-0.3969
40.75,7.819999999999999,-0.0408
41.0,8.17,-0.35
41.25,6.780000000000001,-0.43
41.5,7.1,-0.547
41.75,7.119999999999999,-0.6756
42.0,8.03,-0.3429999999999999
42.25,7.45,-0.198
42.5,6.8,-0.20367
42.75,6.98,-0.1661
43.0,5.8,-0.89
43.25,5.5600000000000005,-0.8496
43.5,5.42,-0.5362
43.75,5.62,-0.302
44.0,5.109999999999999,-0.5070000000000001
44.25,5.569999999999999,-0.4165
44.5,5.140000000000001,-0.549
44.75,5.04,-1.08
45.0,5.24,-0.7290000000000001
45.25,5.76,-0.369
45.5,5.33,-0.4864
45.75,5.0600000000000005,-0.508
46.0,4.87,-0.54
46.25,5.67,-0.481
46.5,5.41,-0.377
46.75,5.62,-0.6160000000000001
47.0,5.28,-0.7
47.25,5.52,-0.6
47.5,4.98,-0.6186
47.75,5.300000000000001,-0.153
48.0,5.32,-0.373
48.25,5.180000000000001,-0.8300000000000001
48.5,5.61,-0.834
48.75,4.62,-0.4471
49.0,4.035,-0.3710000000000001
49.25,4.72,-0.6121
49.5,5.45,-0.65
49.75,4.756,-0.51
50.0,4.96,-0.7305
50.25,4.859999999999999,-0.7140000000000001
50.5,4.6000000000000005,-0.5900000000000001
50.75,3.717,-0.9054
51.0,4.048,-0.78
51.25,4.640000000000001,-0.782
51.5,3.678,-1.006
51.75,4.574,-0.742
52.0,4.686,-0.5871
52.25,4.33,-0.7893
52.5,3.566,-1.06
52.75,4.365,-0.5770000000000001
53.0,4.31,-0.377
53.25,4.1000000000000005,-0.557
53.5,4.769,-0.65
53.75,4.17,-0.5599999999999999
54.0,4.202,-0.6437999999999999
54.25,4.44,-0.384
54.5,5.32,-0.25
54.75,3.762,-1.05
55.0,3.792,-0.986
55.25,5.51,-0.3369999999999999
55.5,5.699999999999999,-0.321
55.75,5.26,-0.6533
56.0,5.25,-0.621
56.25,4.268,-0.415
56.5,9.72,-0.2529999999999999
56.75,10.092,0.1659999999999999
57.0,9.688,0.298
57.25,9.093,-0.0330000000000001
57.5,9.304,0.0544999999999999
57.75,9.86,-0.4109
58.0,9.719,-0.8367000000000001
58.25,9.161,-0.704
58.5,9.862,-0.3360000000000001
58.75,10.222,-0.5039
59.0,10.515,-0.1723999999999999
59.25,9.879,-0.314
59.5,7.866,-0.706
59.75,5.354,-0.3929999999999999
60.0,6.187,-0.1649999999999999
60.25,5.587999999999999,-0.5750000000000001
60.5,5.6690000000000005,-0.542
60.75,5.832,-0.248
61.0,5.8870000000000005,-0.6429999999999999
61.25,5.539,-0.5459999999999998
61.5,5.494,-0.4619999999999999
61.75,6.007,-0.4620000000000001
62.0,5.417,-0.534
62.25,5.848,-0.4155
62.5,5.670999999999999,-0.71
62.75,5.523999999999999,-0.6700000000000002
63.0,5.689,-0.261
63.25,5.593999999999999,-0.375
63.5,5.471,-0.741
63.75,5.861,-0.4853
64.0,5.652,-0.499
64.25,5.643,-0.462
64.5,4.965,-0.4830000000000001
64.75,5.788,-0.6990000000000001
65.0,4.965,-0.5990000000000001
65.25,5.408,-0.418
65.5,5.181,-0.7929999999999999
65.75,5.022,-0.7878000000000001
66.0,5.856999999999999,-0.3779999999999999
66.25,5.649,-0.3269999999999999
66.5,5.355,-0.6890000000000001
66.75,5.077,-0.6619999999999999
67.0,5.26,-0.4823999999999999
67.25,4.77,-0.635
67.5,5.15,-0.5840000000000001
67.75,5.464,-0.4639999999999999
68.0,5.864,-0.469
68.25,4.98,-0.3789999999999999
68.5,5.178,-0.609
68.75,4.15,-0.856
69.0,5.031000000000001,-0.529
69.25,4.763,-0.325
69.5,4.808,-0.638
69.75,4.805,-0.4825
70.0,5.048,-0.273
70.25,4.69,-0.583
70.5,4.963,-0.6415000000000001
70.75,5.14,-0.534
71.0,4.389,-0.604
71.25,4.811,-0.387
71.5,4.723,-0.3785
71.75,4.83,-0.6370000000000001
72.0,4.457,-0.6336
72.25,5.051,-0.25
72.5,4.584,-0.481
72.75,4.02,-0.751
73.0,4.909000000000001,-0.375
73.25,5.356999999999999,-0.3450000000000001
73.5,4.707000000000001,-0.5633
73.75,4.502,-0.4785
74.0,4.829000000000001,-0.582
74.25,4.699,-0.469
74.5,5.072,-0.217
74.75,4.579,-0.6110000000000001
75.0,4.672000000000001,-0.5619999999999999
75.25,3.732,-0.205
75.5,3.548,-0.1
75.75,3.517,-0.35
76.0,3.426,-0.201
76.25,3.923,-0.3666999999999999
76.5,3.718,-0.6956
76.75,4.928,-0.364
77.0,4.201,-0.294
77.25,4.077999999999999,-0.637
77.5,3.868,-0.5069999999999999
77.75,4.491,-0.206
78.0,4.674,-0.6
78.25,4.055,-0.7589999999999999
78.5,4.032,-0.7
78.75,4.487,-0.336
79.0,4.74,-0.3340000000000001
