Hora_decimal,P_3f,Q_3f
0.0,0.999,-0.1399999999999999
0.25,0.997,-0.1399999999999999
0.5,1.036,-0.103
0.75,1.009,-0.136
1.0,0.997,-0.1498
1.25,0.9957,-0.1495
1.5,0.9948,-0.15
1.75,1.047,-0.086
2.0,1.007,-0.121
2.25,1.049,-0.06
2.5,1.049,-0.06
2.75,1.049,-0.06
3.0,1.107,-0.002
3.25,1.051,-0.06
3.5,1.05,-0.06
3.75,1.05,-0.06
4.0,1.049,-0.06
4.25,1.089,-0.032
4.5,1.004,-0.1389999999999999
4.75,0.996,-0.1457999999999999
5.0,0.9838,-0.15638
5.25,0.884,-0.19
5.5,0.754,-0.207831
5.75,0.433,-0.1873799999999999
6.0,0.308,-0.17017
6.25,0.3107999999999999,-0.17
6.5,0.3073,-0.17
6.75,0.349,-0.131
7.0,0.3269999999999999,-0.151
7.25,0.314,-0.17
7.5,0.315,-0.17
7.75,0.313,-0.17
8.0,0.3319999999999999,-0.165
8.25,0.353,-0.139
8.5,0.316,-0.18
8.75,0.3189999999999999,-0.18
9.0,0.3179999999999999,-0.18
9.25,0.3189999999999999,-0.18
9.5,0.3707,-0.125
9.75,0.3188999999999999,-0.18
10.0,0.3189999999999999,-0.17
10.25,0.3208,-0.17
10.5,0.3195,-0.17
10.75,0.3686999999999999,-0.12
11.0,0.3289999999999999,-0.1631
11.25,0.3228,-0.17
11.5,0.3205,-0.17
11.75,0.3562999999999999,-0.12
12.0,0.418,-0.047
12.25,0.393,-0.072
12.5,0.3755,-0.09
12.75,0.3748,-0.09
13.0,0.3739,-0.09
13.25,0.406,-0.058
13.5,0.3954,-0.065
13.75,0.3704,-0.098
14.0,0.3722,-0.1
14.25,0.3699,-0.09
14.5,0.3844999999999999,-0.07717
14.75,0.3657,-0.11188
15.0,0.3146,-0.1710499999999999
15.25,0.3135,-0.17787
15.5,0.3164,-0.1699999999999999
15.75,0.3409999999999999,-0.133
16.0,0.3405,-0.133
16.25,0.3164,-0.17
16.5,0.3162,-0.16
16.75,0.3138999999999999,-0.1609
17.0,0.3505,-0.128
17.25,0.3264,-0.15737
17.5,0.3155,-0.17847
17.75,0.313,-0.179661
18.0,0.324,-0.171
18.25,0.3572999999999999,-0.137
18.5,0.3122,-0.1819
18.75,0.3112,-0.1868
19.0,0.3112,-0.19
19.25,0.3419999999999999,-0.1607
19.5,0.609,-0.206
19.75,0.8220000000000001,-0.181492
20.0,0.9613,-0.16
20.25,0.9592,-0.16
20.5,1.0,-0.122
20.75,1.032,-0.065123
21.0,1.022,-0.076649
21.25,1.018,-0.079825
21.5,1.036,-0.0625299999999999
21.75,1.089,-0.0089999999999999
22.0,1.04,-0.0699999999999999
22.25,1.038,-0.0699999999999999
22.5,1.04,-0.0699999999999999
22.75,1.085,-0.029
23.0,1.056,-0.059
23.25,1.043,-0.068
23.5,0.995,-0.1428999999999999
23.75,1.012,-0.124
24.0,1.015,-0.114
24.25,0.997,-0.1399999999999999
24.5,1.0,-0.1399999999999999
24.75,0.993,-0.1314
25.0,1.041,-0.095
25.25,0.992,-0.15
25.5,0.99,-0.15
25.75,0.99,-0.15
26.0,1.01,-0.13
26.25,1.014,-0.123
26.5,0.988,-0.15
26.75,0.9139,-0.1522
27.0,0.8335,-0.0819
27.25,0.779,-0.0171
27.5,0.8465,-0.1359
27.75,0.952,-0.1399999999999999
28.0,0.9676,-0.15
28.25,0.987,-0.142
28.5,1.03,-0.099
28.75,0.9777,-0.15
29.0,0.9838,-0.15
29.25,0.982,-0.15
29.5,0.7170000000000001,-0.2329999999999999
29.75,0.469,-0.1689999999999999
30.0,0.3085,-0.1696
30.25,0.3056,-0.17
30.5,0.316,-0.154
30.75,0.414,-0.028
31.0,0.374,-0.079
31.25,0.37,-0.09
31.5,0.37,-0.09
31.75,0.37,-0.09
32.0,0.414,-0.043
32.25,0.381,-0.078
32.5,0.4223,-0.0699999999999999
32.75,0.3938,-0.086
33.0,0.3315,-0.14682
33.25,0.3843999999999999,-0.12784
33.5,0.3157,-0.16933
33.75,0.307,-0.1812
34.0,0.311,-0.17897
34.25,0.3081,-0.179455
34.5,0.3536,-0.13354
34.75,0.3345,-0.15143
35.0,0.3096,-0.17439
35.25,0.314,-0.17276
35.5,0.3161,-0.17091
35.75,0.3618,-0.12317
36.0,0.3237,-0.1583999999999999
36.25,0.3132,-0.17467
36.5,0.3111,-0.1792979999999999
36.75,0.3067999999999999,-0.1844
37.0,0.3597,-0.136
37.25,0.3102,-0.1859
37.5,0.308,-0.19
37.75,0.3074,-0.18
38.0,0.3049,-0.18
38.25,0.3664,-0.126
38.5,0.3082,-0.19
38.75,0.3098999999999999,-0.19
39.0,0.312,-0.19
39.25,0.323,-0.1788
39.5,0.3645,-0.127
39.75,0.3644,-0.11
40.0,0.3659,-0.11
40.25,0.3627,-0.11
40.5,0.4034999999999999,-0.078
40.75,0.3923999999999999,-0.087
41.0,0.3667,-0.11
41.25,0.3651999999999999,-0.11
41.5,0.369,-0.11
41.75,0.4306999999999999,-0.03675
42.0,0.373,-0.108423
42.25,0.3369,-0.152091
42.5,0.3112,-0.1756899999999999
42.75,0.3276,-0.16392
43.0,0.3601999999999999,-0.12659
43.25,0.3143,-0.17525
43.5,0.395,-0.199831
43.75,0.716,-0.256
44.0,0.992,-0.091
44.25,0.984,-0.1356
44.5,0.963,-0.16
44.75,0.963,-0.1598
45.0,0.964,-0.1567
45.25,1.038,-0.07824
45.5,0.989,-0.1377
45.75,0.996,-0.1399999999999999
46.0,1.0,-0.1402999999999999
46.25,1.006,-0.125
46.5,1.032,-0.0909999999999999
46.75,0.989,-0.1399999999999999
47.0,0.987,-0.1399999999999999
47.25,0.991,-0.1399999999999999
47.5,1.027,-0.102
47.75,1.014,-0.112
48.0,0.985,-0.13
48.25,1.002,-0.117
48.5,1.043,-0.0599999999999999
48.75,1.098,-0.0039999999999999
49.0,1.059,-0.0429999999999999
49.25,1.047,-0.0599999999999999
49.5,1.051,-0.055
49.75,1.056,-0.06
50.0,1.113,0.0009999999999999
50.25,1.055,-0.06
50.5,1.06,-0.06
50.75,0.995,-0.1334499999999999
51.0,0.991,-0.15148
51.25,1.034,-0.1037899999999999
51.5,0.985,-0.14336
51.75,0.986,-0.1399999999999999
52.0,0.984,-0.14018
52.25,1.011,-0.112
52.5,1.013,-0.115
52.75,0.985,-0.15
53.0,0.984,-0.15
53.25,0.895,-0.18
53.5,0.7429999999999999,-0.2119999999999999
53.75,0.438,-0.1579999999999999
54.0,0.3154,-0.1683
54.25,0.3091,-0.17
54.5,0.3123,-0.17
54.75,0.3539,-0.129
55.0,0.3346,-0.145
55.25,0.3114,-0.17
55.5,0.3167,-0.17
55.75,0.3168999999999999,-0.17
56.0,0.3722999999999999,-0.129
56.25,0.3355,-0.139
56.5,0.3145,-0.17
56.75,0.3112,-0.17
57.0,0.3117999999999999,-0.17069
57.25,0.3265,-0.14588
57.5,0.3564,-0.1121699999999999
57.75,0.3087,-0.16
58.0,0.3540999999999999,-0.1
58.25,0.3675,-0.09
58.5,0.3573,-0.0776
58.75,0.3571,-0.017
59.0,0.2956,-0.08
59.25,0.2949,-0.0699999999999999
59.5,0.2958,-0.08
59.75,0.2985,-0.0757
60.0,0.3636999999999999,-0.0079
60.25,0.256,-0.1426
60.5,0.247,-0.1522
60.75,0.2497999999999999,-0.1568
61.0,0.2502999999999999,-0.16
61.25,0.3016,-0.102
61.5,0.2496,-0.1505
61.75,0.2391999999999999,-0.16
62.0,0.2399,-0.1553
62.25,0.2365,-0.16
62.5,0.2842,-0.112
62.75,0.2627,-0.138
63.0,0.2434,-0.16
63.25,0.2405999999999999,-0.16
63.5,0.2406999999999999,-0.16
63.75,0.2852,-0.124
64.0,0.2752,-0.125
64.25,0.243,-0.1582
64.5,0.2436999999999999,-0.1579
64.75,0.2434,-0.1553
65.0,0.272,-0.125
65.25,0.2753,-0.123
65.5,0.2435,-0.1598
65.75,0.2431999999999999,-0.1539
66.0,0.2411999999999999,-0.1571
66.25,0.2799999999999999,-0.125
66.5,0.2793,-0.111
66.75,0.297,-0.08
67.0,0.298,-0.08
67.25,0.3,-0.08
67.5,0.4479999999999999,-0.054
67.75,0.704,-0.1645
68.0,0.941,-0.0363
68.25,0.95,-0.0697
68.5,0.989,-0.0302
68.75,0.993,-0.0193
69.0,0.937,-0.0916
69.25,0.907,-0.1325
69.5,0.911,-0.1397
69.75,0.937,-0.114
70.0,0.95,-0.079
70.25,0.911,-0.13
70.5,0.916,-0.13
70.75,0.915,-0.1301999999999999
71.0,0.935,-0.11
71.25,0.951,-0.0849999999999999
71.5,0.911,-0.14
71.75,0.911,-0.14
72.0,0.918,-0.14
72.25,0.927,-0.1303
72.5,0.968,-0.085
72.75,0.921,-0.1375
73.0,0.925,-0.132
73.25,0.915,-0.1398
73.5,0.916,-0.14
73.75,0.968,-0.089
