Hora_decimal,P_3f,Q_3f
0.0,2.793,0.563
0.25,2.89,0.663
0.5,2.861,0.6299999999999999
0.75,2.678,0.4329999999999999
1.0,2.6370000000000005,0.396
1.25,2.878,0.647
1.5,2.682,0.407
1.75,2.617,0.3098999999999999
2.0,2.879,0.614
2.25,2.675,0.4
2.5,2.551,0.2737999999999999
2.75,2.625,0.275
3.0,2.844,0.496
3.25,2.76,0.456
3.5,2.8310000000000004,0.5840000000000001
3.75,2.891,0.718
4.0,2.6670000000000003,0.449
4.25,2.79,0.5599999999999999
4.5,2.78,0.5700000000000001
4.75,3.141689473684212,1.0568863157894737
5.0,2.57175939849624,0.4284597207303972
5.25,2.685,0.385
5.5,2.904,0.396
5.75,2.548976572133169,0.164
6.0,2.466525062656642,0.1259397243107768
6.25,2.78,0.54
6.5,2.625,0.361
6.75,2.762,0.4449999999999999
7.0,2.89,0.6
7.25,2.782,0.4620000000000001
7.5,2.657,0.314
7.75,2.63,0.31
8.0,2.6740000000000004,0.299
8.25,2.655,0.305
8.5,2.755,0.4179999999999999
8.75,2.738,0.3918
9.0,2.855,0.5329999999999999
9.25,2.957,0.5800000000000001
9.5,2.6380000000000003,0.264
9.75,2.825,0.417
10.0,2.91,0.565
10.25,2.735,0.379
10.5,2.699,0.3854999999999999
10.75,2.929,0.555
11.0,2.707,0.2469999999999999
11.25,2.708,0.2931
11.5,2.7749999999999995,0.358
11.75,2.692,0.246
12.0,2.754,0.339
12.25,2.8840000000000003,0.509
12.5,2.8070000000000004,0.395
12.75,2.821,0.446
13.0,2.881,0.524
13.25,2.8610000000000007,0.489
13.5,2.679,0.253
13.75,2.738,0.3289999999999999
14.0,2.726,0.3279999999999999
14.25,2.704,0.403
14.5,2.673,0.329
14.75,2.593,0.2822
15.0,2.718,0.4299999999999999
15.25,2.931,0.5539999999999999
15.5,2.588,0.1669999999999999
15.75,2.821,0.446
16.0,2.859,0.511
16.25,2.71,0.328
16.5,2.8160000000000003,0.42
16.75,2.808,0.41
17.0,2.641,0.234
17.25,2.75,0.317
17.5,2.585,0.2523
17.75,2.87,0.268
18.0,4.88,0.964
18.25,4.433,0.7461
18.5,4.417,0.7350000000000001
18.75,4.46,0.906
19.0,4.171,0.605
19.25,4.242,0.6423
19.5,4.469,0.89089
19.75,4.289000000000001,0.776
20.0,4.484,0.56267
20.25,4.886,0.551
20.5,4.747,0.339
20.75,5.154,0.481
21.0,4.852,0.5373300000000001
21.25,4.685,0.42
21.5,4.983,0.8456
21.75,4.934000000000001,0.7929999999999999
22.0,4.811,0.648
22.25,4.951,0.8636
22.5,4.887999999999999,0.8596699999999999
22.75,4.552,0.528
23.0,4.721,0.698
23.25,4.71,0.6922999999999999
23.5,4.7700000000000005,0.715
23.75,4.764,0.7834000000000001
24.0,4.691,0.717
24.25,4.554,0.596
24.5,4.679,0.7450000000000001
24.75,4.561,0.607
25.0,4.561999999999999,0.7243999999999999
25.25,4.834,1.015
25.5,4.552,0.6990000000000001
25.75,4.601,0.7523
26.0,4.628,0.7889999999999999
26.25,4.424,0.563
26.5,4.397,0.487
26.75,4.574,0.658
27.0,4.493,0.632
27.25,4.489,0.612
27.5,4.581,0.686
27.75,4.42,0.534
28.0,4.522,0.668
28.25,4.53,0.64
28.5,4.582,0.7483299999999999
28.75,4.863,1.0907
29.0,4.553,0.738
29.25,4.358,0.57
29.5,3.991,0.714
29.75,2.432,0.455
30.0,1.963,0.344
30.25,2.411,0.907
30.5,2.106,0.6100000000000001
30.75,12.24,-1.2089
31.0,24.74,-2.9800000000000004
31.25,29.879999999999995,-3.5
31.5,35.4,-3.4
31.75,37.8,-2.9600000000000004
32.0,36.8,-3.08
32.25,40.2,-3.1
32.5,48.3,-1.0059999999999998
32.75,50.1,-1.0020000000000002
33.0,50.8,-1.0020000000000002
33.25,49.99999999999999,-1.1230000000000002
33.5,48.5,-0.937
33.75,40.9,0.031
34.0,42.3,0.078
34.25,42.2,-0.179
34.5,43.4,0.1779999999999999
34.75,43.8,0.295
35.0,43.7,0.1050000000000001
35.25,44.6,0.418
35.5,44.1,0.502
35.75,44.2,0.7300000000000001
36.0,45.0,0.6390000000000001
36.25,44.1,0.2889999999999999
36.5,44.7,0.3399999999999999
36.75,43.34,0.2109999999999998
37.0,31.75,1.777
37.25,26.59,2.01
37.5,20.05,1.999
37.75,19.17,1.762
38.0,13.15,1.538
38.25,12.77,1.5750000000000002
38.5,13.01,1.928
38.75,15.65,1.185
39.0,15.86,1.41
39.25,14.77,1.378
39.5,14.420000000000002,1.016
39.75,14.4,1.029
40.0,14.52,1.178
40.25,13.05,1.019
40.5,12.36,0.99
40.75,9.89,1.925
41.0,9.04,2.031
41.25,9.079999999999998,2.048
41.5,8.78,2.04
41.75,4.76,1.161
42.0,2.8,0.5640000000000001
42.25,2.888,0.406
42.5,4.682,0.6612
42.75,5.065,0.8828
43.0,4.696,0.512
43.25,4.574,0.511
43.5,4.765,0.7454000000000001
43.75,4.737,0.7253000000000001
44.0,4.644,0.583
44.25,4.566999999999999,0.5044200000000001
44.5,4.47,0.3785
44.75,5.257,0.4736
45.0,4.672,0.5242
45.25,4.607,0.6152
45.5,4.763000000000001,0.8471
45.75,4.6850000000000005,0.752
46.0,4.711,0.79
46.25,4.863,0.9218
46.5,4.735,0.7725
46.75,4.531000000000001,0.5598
47.0,4.682,0.7269000000000001
47.25,4.551,0.6
47.5,4.571,0.5966
47.75,4.802,0.8520000000000001
48.0,4.581,0.582
48.25,4.557,0.585
48.5,4.6770000000000005,0.7709999999999999
48.75,4.56,0.566769
49.0,4.663,0.6341
49.25,4.938000000000001,1.0937
49.5,4.576,0.882
49.75,2.979,0.654
50.0,2.776,0.389
50.25,2.7230000000000003,0.3289999999999999
50.5,2.879,0.5229999999999999
50.75,2.851,0.4509999999999999
51.0,2.701,0.20443
51.25,2.887,0.451
51.5,2.715,0.267
51.75,2.6290000000000004,0.1799999999999999
52.0,2.851,0.423
52.25,2.769,0.322
52.5,2.869,0.495
52.75,2.964,0.587
53.0,2.799,0.383
53.25,2.6620000000000004,0.256
53.5,2.717,0.4619999999999999
53.75,2.62,0.3649
54.0,2.388,0.7070000000000001
54.25,2.124,0.702
54.5,5.03,0.8190000000000001
54.75,13.44,2.057
55.0,16.66,1.924
55.25,17.89,1.729
55.5,34.39,2.69
55.75,36.21,3.04
56.0,36.66,2.83
56.25,38.15,2.91
56.5,41.04,2.02
56.75,41.25,1.99
57.0,41.65,1.635
57.25,40.83,1.98
57.5,41.81,2.0700000000000003
57.75,47.8,2.5700000000000003
58.0,48.5,2.89
58.25,49.0,3.0
58.5,50.2,2.78
58.75,50.7,3.02
59.0,50.8,2.78
59.25,50.900000000000006,2.8600000000000003
59.5,50.400000000000006,3.07
59.75,51.2,2.94
60.0,49.3,2.8
60.25,49.0,2.173
60.5,45.5,3.52
60.75,27.72,2.54
61.0,23.87,2.83
61.25,20.14,1.885
61.5,19.41,2.68
61.75,19.18,2.84
62.0,19.07,2.72
62.25,17.9,2.98
62.5,17.44,2.92
62.75,16.29,2.078
63.0,16.93,2.58
63.25,15.4,2.35
63.5,15.24,2.72
63.75,15.11,2.67
64.0,14.740000000000002,2.59
64.25,12.43,1.684
64.5,10.95,2.433
64.75,10.88,2.8200000000000003
65.0,10.72,2.62
65.25,10.760000000000002,2.57
65.5,9.77,2.2300000000000004
65.75,2.594,0.277
66.0,2.5940000000000003,0.274
66.25,2.628,0.306
66.5,3.298,0.2209999999999999
66.75,4.958,-0.1589999999999999
67.0,4.800000000000001,-0.299
67.25,4.804,-0.3282
67.5,4.929,-0.265
67.75,5.208,-0.304
68.0,5.404999999999999,-0.064
68.25,5.375,-0.214
68.5,5.152,-0.4651
68.75,4.825,0.2299999999999999
69.0,3.187,0.0969999999999999
69.25,3.2880000000000003,0.218
69.5,3.272,0.29
69.75,3.227,0.2436999999999999
70.0,3.212,0.201
70.25,2.991,-0.064
70.5,3.095,0.06
70.75,3.281,0.285
71.0,3.053,0.0149999999999999
71.25,3.461,0.497
71.5,3.301,0.3319999999999999
71.75,3.148,0.1306999999999999
72.0,3.274,0.184
72.25,3.204,0.1659999999999999
72.5,3.309,0.339
72.75,3.184,0.1806999999999999
73.0,3.2110000000000003,0.2375999999999999
73.25,3.288,0.297
73.5,3.123,0.1089999999999999
73.75,3.198,0.205
74.0,3.17,0.166
74.25,3.257,0.282
74.5,3.375,0.432
74.75,3.185,0.2249999999999999
75.0,3.29,0.3399999999999999
75.25,3.385,0.4889999999999999
75.5,3.131,0.1578
75.75,3.208,0.2199999999999999
76.0,3.192,0.2259999999999999
76.25,3.115,0.127
76.5,3.197,0.2179999999999999
76.75,3.2030000000000003,0.2629999999999999
77.0,3.2960000000000003,0.379
77.25,3.275,0.3219999999999999
77.5,3.213,0.2599999999999999
77.75,3.3030000000000004,0.446
78.0,3.124,0.1285
78.25,2.887,0.1392999999999999
78.5,2.212,0.535
78.75,2.732,0.2656
79.0,3.468,0.279
79.25,3.342,0.107
79.5,3.93,0.3194
79.75,4.032,0.74
80.0,3.524,0.3179999999999999
80.25,3.454,0.243
80.5,3.59,0.371
80.75,3.415,0.2219999999999999
81.0,3.5940000000000003,0.331
81.25,3.531,0.2895
81.5,3.513,0.266
81.75,3.998,0.3579999999999999
82.0,3.4110000000000005,0.2151
82.25,3.257,-0.0025
82.5,3.508,0.311
82.75,3.655,0.521
83.0,3.561,0.436
83.25,3.398,0.206
83.5,3.457,0.244
83.75,3.868,0.446
84.0,3.606,0.171
84.25,3.64,0.426
84.5,3.619,0.393
84.75,3.847,0.172
85.0,3.41,0.102
85.25,3.502,0.203
85.5,3.404,0.144
85.75,6.65,1.617
86.0,8.59,2.6100000000000003
86.25,8.82,2.88
86.5,8.75,2.68
86.75,9.25,2.55
87.0,7.84,1.583
87.25,8.34,2.082
87.5,8.53,2.22
87.75,8.64,2.32
88.0,8.61,2.293
88.25,7.86,1.492
88.5,8.65,2.26
88.75,8.7,2.33
89.0,8.780000000000001,2.34
89.25,9.04,1.89
89.5,5.7700000000000005,0.914
89.75,2.779,0.257
90.0,2.55,0.0925999999999999
90.25,2.694,0.303
90.5,2.677,0.288
90.75,2.529,0.1199
91.0,2.678,0.2669999999999999
91.25,2.6100000000000003,0.1931999999999999
91.5,2.8070000000000004,0.424
91.75,2.726,0.3419999999999999
92.0,2.552,0.1131999999999999
92.25,2.841,0.459
92.5,2.743,0.387
92.75,2.6420000000000003,0.254
93.0,2.813,0.4319999999999999
93.25,2.68,0.3077
93.5,2.547,0.1214
93.75,2.559,0.162
94.0,2.746,0.3967
94.25,2.672,0.291
94.5,2.694,0.32
94.75,2.739,0.362
95.0,2.875,0.534
95.25,2.615,0.245
95.5,2.753,0.4179999999999999
95.75,2.699,0.344
96.0,2.613,0.2506
96.25,2.794,0.396
96.5,2.6790000000000003,0.268
96.75,2.74,0.396
97.0,2.778,0.4349999999999999
97.25,2.555,0.1156
97.5,2.8240000000000003,0.481
97.75,2.793,0.471
98.0,2.643,0.278
98.25,2.883,0.562
98.5,2.752,0.434
98.75,2.661,0.2969999999999999
99.0,2.617,0.2
99.25,2.66,0.3029999999999999
99.5,2.738,0.4
99.75,2.692,0.32
100.0,2.626,0.2403
100.25,2.912,0.6180000000000001
100.5,2.66,0.318
100.75,2.71,0.39
101.0,2.76,0.43
101.25,2.741,0.426
101.5,2.8440000000000003,0.348
101.75,2.635,0.1947
102.0,2.621,0.2502999999999999
102.25,2.708,0.357
102.5,2.598,0.2535
102.75,2.6130000000000004,0.12757
103.0,2.861,0.432
103.25,2.845,0.423
103.5,2.8600000000000003,0.446
103.75,2.687,0.2
104.0,2.882,0.496
104.25,2.888,0.474
104.5,2.612,0.1318999999999999
104.75,2.638,0.1223999999999999
105.0,2.958,0.55
105.25,2.692,0.2329999999999999
105.5,2.723,0.285
105.75,2.826,0.388
106.0,2.743,0.281
106.25,2.827,0.4039999999999999
106.5,2.827,0.3319999999999999
106.75,2.8680000000000003,0.388
107.0,3.098,0.618
107.25,2.679,0.0983
107.5,2.804,0.1669999999999999
107.75,2.891,0.381
108.0,2.6420000000000003,0.1639999999999999
108.25,2.781,0.292
108.5,2.923,0.448
108.75,2.843,0.3179999999999999
109.0,2.938,0.455
109.25,2.79,0.281
