Hora_decimal,P_3f,Q_3f
0.0,2.6521679999999996,-0.50976
0.25,2.321532,-0.320724
0.5,2.827752,-0.227268
0.75,2.222412,-0.4454736
1.0,2.6705759999999996,-0.600384
1.25,1.8358439999999998,-0.27258
1.5,1.838676,-0.236118
1.75,1.3466159999999998,-0.4372608
2.0,1.9193879999999999,-0.379488
2.25,1.7969039999999998,-0.19399199999999991
2.5,3.0104159999999998,-0.3150599999999999
2.75,2.188428,-0.49609559999999997
3.0,2.7385439999999996,-0.4602
3.25,1.983816,-0.6230399999999999
3.5,2.5417199999999998,-0.368868
3.75,2.5962359999999998,-0.181956
4.0,2.330736,-0.39350640000000003
4.25,2.313036,-0.620208
4.5,2.6330519999999997,-0.390108
4.75,2.55234,-0.32525519999999997
5.0,2.170728,-0.416304
5.25,2.497824,-0.48144000000000003
5.5,2.3696759999999997,-0.4454028
5.75,2.735004,-0.476484
6.0,2.322948,-0.47832479999999994
6.25,2.522604,-0.58764
6.5,2.416404,-0.6541920000000001
6.75,2.501364,-0.54162
7.0,2.497116,-0.372408
7.25,1.4372399999999999,-0.5798519999999999
7.5,1.6255680000000001,-0.8779199999999999
7.75,1.9363799999999998,-0.45028799999999997
8.0,2.1417,-0.34734480000000006
8.25,2.04612,-0.454536
8.5,1.95762,-0.4752096
8.75,2.286132,-0.5630724
9.0,2.7385439999999996,-0.6435719999999998
9.25,2.8617359999999996,-0.571356
9.5,2.8971359999999997,-0.49559999999999993
9.75,3.018204,-0.458076
10.0,3.156264,-0.373824
10.25,3.050772,-0.24426000000000006
10.5,2.841204,-0.43612799999999996
10.75,2.7555359999999998,-0.8141999999999999
11.0,2.709516,-0.6018
11.25,2.9778480000000003,-0.33984
11.5,3.3452999999999995,-0.42104759999999997
11.75,3.4883159999999998,-0.4695455999999999
12.0,3.126528,-0.20107200000000006
12.25,3.1895399999999996,-0.46728
12.5,2.9311199999999995,-0.6408815999999999
12.75,2.861028,-0.5219376
13.0,3.11874,-0.34621199999999996
13.25,3.0550200000000003,-0.33984
13.5,3.017496,-0.3959136
13.75,3.1626359999999996,-0.38911680000000004
14.0,2.818548,-0.6327396
14.25,2.8744799999999997,-0.6308279999999999
14.5,2.7803160000000005,-0.5664
14.75,2.713056,-0.55224
15.0,3.227772,-0.4425
15.25,3.1194479999999998,-0.17204399999999997
15.5,3.172548,-0.35400000000000004
15.75,3.202284,-0.8071199999999998
16.0,2.6599559999999998,-0.6726
16.25,3.3495479999999995,-0.39860399999999996
16.5,2.71872,-0.376656
16.75,2.741376,-0.45425279999999996
17.0,3.025992,-0.2728632
17.25,2.871648,-0.468342
17.5,2.780316,-0.6037116
17.75,2.996964,-0.586224
18.0,2.926164,-0.622332
18.25,2.712348,-0.45311999999999997
18.5,2.981388,-0.21594
18.75,3.171132,-0.23222399999999993
19.0,2.7258000000000004,-0.63012
19.25,2.703852,-0.62304
19.5,2.448972,-0.4766964000000001
19.75,2.5707479999999996,-0.4587840000000001
20.0,2.691108,-0.45373596
