Hora_decimal,P_3f,Q_3f
0.0,9.045270000000002,2.1472776000000002
0.25,9.226386,2.28478536
0.5,8.949798,2.26018728
0.75,9.32607,2.2930970399999997
1.0,9.170226,2.201823
1.25,8.935056,2.219022
1.5,9.182160000000001,2.1547188
1.75,9.182862,2.2446660599999997
2.0,9.060713999999999,2.2509629999999996
2.25,9.081071999999999,2.2394502000000003
2.5,8.977878,2.0941081199999996
2.75,8.798165999999998,2.174094
3.0,9.076158000000001,2.168478
3.25,8.760257999999999,2.12706
3.5,8.89434,2.219724
3.75,8.904168,2.2979970000000005
4.0,8.897148,2.124252
4.25,8.787636000000001,2.17622808
4.5,8.67321,2.0470319999999997
4.75,8.70831,2.15163
5.0,8.488584,2.0056139999999996
5.25,8.515962000000002,1.9184185800000002
5.5,8.414874,2.0315178
5.75,8.176896000000001,1.957878
6.0,8.160048,1.9880640000000003
6.25,8.145306,2.022462
6.5,8.148815999999998,2.0248488
6.75,8.374158,1.9396259999999999
7.0,8.362926,2.17269
7.25,8.638812,2.162862
7.5,8.69778,2.1593519999999997
7.75,8.713224,2.210598
8.0,8.805888,2.3776740000000003
8.25,9.10845,2.264652
8.5,8.777807999999999,2.205684
8.75,9.144953999999998,2.3736936600000003
9.0,9.274121999999998,2.3699519999999996
9.25,9.183563999999999,2.308176
9.5,9.345725999999999,2.427516
9.75,8.796762,2.1307806
10.0,9.517014,2.3907452399999998
10.25,9.526841999999998,2.4099660000000003
10.5,9.489636,2.343978
10.75,9.665837999999999,2.305368
11.0,9.479807999999998,2.326428
11.25,9.359064,2.1586499999999997
11.5,9.721998000000001,2.245698
11.75,9.518418,2.202525
12.0,9.752184000000002,2.3759892000000002
12.25,9.924174000000002,2.36925
12.5,9.96489,2.372058
12.75,10.026665999999999,2.41839
13.0,9.79992,2.314494
13.25,9.976824,2.213406
13.5,10.076507999999999,2.2246379999999997
13.75,10.268154000000001,2.3004539999999998
14.0,10.336248000000001,2.293434
14.25,10.414170000000002,2.308878
14.5,10.429613999999999,2.300454
14.75,10.50543,2.3474880000000002
15.0,10.857834,2.6240759999999996
15.25,10.237967999999999,2.27799
15.5,10.483667999999998,2.3973299999999997
15.75,10.341162,2.332044
16.0,10.489985999999998,2.4431705999999997
16.25,10.353798000000001,2.5545779999999993
16.5,10.771488,2.5722964799999994
16.75,10.451376,2.3804819999999998
17.0,10.214802,2.3222159999999996
17.25,10.355904,2.3565438000000003
17.5,10.548252,2.353806
17.75,10.183211999999997,2.3109839999999995
18.0,10.198655999999998,2.36574
18.25,10.130562000000001,2.2393799999999997
18.5,10.169874,2.222532
18.75,9.942426,2.326428
19.0,10.157940000000002,2.375568
19.25,10.147409999999999,2.255526
19.5,9.865908000000001,2.19316734
19.75,10.059660000000003,2.21827086
20.0,10.01754,2.161458
20.25,9.990864,2.103192
20.5,10.055447999999998,2.2070879999999997
20.75,9.872226,2.27608056
21.0,9.773945999999999,2.256228
21.25,9.811152,2.1881339999999994
21.5,9.656712,2.1740939999999997
21.75,9.776052000000002,2.2999682159999995
22.0,9.760608,2.4081407999999995
22.25,9.816066,2.387502
22.5,9.727614,2.4087023999999997
22.75,9.74376,2.3025599999999997
23.0,9.703746,2.4324299999999996
23.25,9.746568,2.56000446
23.5,9.738144,2.49956226
23.75,9.569664,2.6019630000000005
24.0,9.787986,2.5373579400000006
24.25,9.458046,2.5062803999999996
24.5,9.736037999999999,2.5638444
24.75,9.636354,2.45196666
25.0,9.546498,2.4379056
25.25,9.269910000000001,2.427516
25.5,9.312029999999998,2.454894
25.75,9.42786,2.2997520000000002
26.0,9.399779999999998,2.4515244000000003
26.25,9.523332,2.5069823999999996
26.5,9.478404,2.511756
26.75,9.422244,2.4009804
27.0,9.113363999999999,2.3387480999999997
27.25,9.293778,2.3654591999999997
27.5,9.126702,2.350296
27.75,9.235512,2.23236
28.0,9.393462,2.4001379999999997
28.25,8.98911,2.3138622
28.5,9.057204,2.2760945999999995
28.75,9.098621999999999,2.3797800000000002
29.0,9.344322,2.38362696
29.25,8.92944,2.387151
29.5,8.944884,2.261844
29.75,8.723052000000001,2.1846240000000003
30.0,8.812206,2.2289904000000003
30.25,8.751132,2.26044
30.5,8.802378,2.21481
30.75,9.086687999999999,2.311686
31.0,9.729719999999997,2.47455
31.25,10.258326000000002,2.47324428
31.5,11.201112,2.6909766
31.75,12.487176,2.7209519999999996
32.0,13.62933,2.6444340000000004
32.25,14.042807999999999,2.463669
32.5,15.410725199999998,2.5107732000000005
32.75,15.823431000000001,2.33415
33.0,15.78070728,2.3306400000000003
33.25,16.104231,2.4666875999999998
33.5,16.197105600000004,2.4051924
33.75,16.3792746,2.3585094
34.0,16.195982400000002,2.3708645999999995
34.25,16.019429400000003,2.2492781999999996
34.5,16.4978424,2.3205311999999996
34.75,16.752527999999998,2.4015419999999996
35.0,16.8865398,2.5482599999999995
35.25,16.9257114,2.6565785999999996
35.5,16.5298536,2.55881808
35.75,16.2774144,2.592486
36.0,16.1320653,2.6221805999999996
36.25,15.6825396,2.5319034
36.5,16.03229004,2.5241112
36.75,15.92644248,2.4880986
37.0,14.856425999999999,2.4067367999999996
37.25,14.706197999999999,2.6286389999999993
