Hora_decimal,P_3f,Q_3f
0.0,2.4910900000000002,-0.4788
0.25,2.180535,-0.30124500000000004
0.5,2.6560100000000006,-0.21346500000000004
0.75,2.087435,-0.41841800000000007
1.0,2.5083800000000003,-0.5639200000000001
1.25,1.7243450000000002,-0.256025
1.5,1.7270050000000001,-0.22177750000000002
1.75,1.2648300000000001,-0.410704
2.0,1.802815,-0.35644000000000003
2.25,1.6877699999999998,-0.18220999999999996
2.5,2.8275799999999998,-0.29592499999999994
2.75,2.055515,-0.4659655
3.0,2.57222,-0.4322500000000001
3.25,1.8633300000000004,-0.5852
3.5,2.38735,-0.346465
3.75,2.438555,-0.17090500000000003
4.0,2.1891800000000003,-0.3696070000000001
4.25,2.1725550000000005,-0.5825400000000001
4.5,2.473135,-0.3664150000000001
4.75,2.397325,-0.305501
5.0,2.0388900000000003,-0.39102000000000003
5.25,2.34612,-0.45220000000000005
5.5,2.2257550000000004,-0.41835150000000004
5.75,2.568895,-0.447545
6.0,2.181865,-0.44927399999999995
6.25,2.3693950000000004,-0.55195
6.5,2.2696450000000006,-0.6144600000000002
6.75,2.3494450000000007,-0.5087250000000001
7.0,2.3454550000000003,-0.34979000000000005
7.25,1.34995,-0.544635
7.5,1.5268400000000002,-0.8246
7.75,1.818775,-0.4229400000000001
8.0,2.0116250000000004,-0.3262490000000001
8.25,1.9218500000000005,-0.4269300000000001
8.5,1.8387250000000004,-0.446348
8.75,2.1472850000000006,-0.5288745
9.0,2.57222,-0.6044849999999999
9.25,2.6879300000000006,-0.5366550000000001
9.5,2.72118,-0.4655
9.75,2.834895,-0.43025500000000005
10.0,2.96457,-0.35112000000000004
10.25,2.8654850000000005,-0.2294250000000001
10.5,2.668645,-0.40964
10.75,2.58818,-0.7647499999999999
11.0,2.5449550000000003,-0.5652500000000001
11.25,2.7969900000000005,-0.3192
11.5,3.1421249999999996,-0.39547550000000004
11.75,3.276455,-0.441028
12.0,2.9366400000000006,-0.18886000000000006
12.25,2.995825,-0.4389000000000001
12.5,2.7531,-0.6019580000000001
12.75,2.6872650000000005,-0.4902380000000001
13.0,2.929325,-0.325185
13.25,2.8694750000000004,-0.3192
13.5,2.8342300000000002,-0.37186800000000003
13.75,2.970555,-0.3654840000000001
14.0,2.647365,-0.5943105000000001
14.25,2.6999,-0.592515
14.5,2.6114550000000007,-0.5319999999999999
14.75,2.54828,-0.5187
15.0,3.031735,-0.415625
15.25,2.92999,-0.16159500000000002
15.5,2.9798650000000007,-0.3325000000000001
15.75,3.0077950000000007,-0.7581
16.0,2.498405,-0.63175
16.25,3.146115,-0.374395
16.5,2.5536,-0.35378000000000004
16.75,2.57488,-0.426664
17.0,2.84221,-0.25629100000000005
17.25,2.6972400000000003,-0.43989750000000005
17.5,2.6114550000000003,-0.5670455000000001
17.75,2.8149450000000003,-0.55062
18.0,2.7484450000000002,-0.5845350000000001
18.25,2.5476150000000004,-0.42560000000000003
18.5,2.8003150000000003,-0.20282500000000003
18.75,2.9785350000000004,-0.21811999999999998
19.0,2.560250000000001,-0.5918500000000001
19.25,2.539635,-0.5852
19.5,2.3002350000000003,-0.44774450000000016
19.75,2.4146150000000004,-0.43092000000000014
20.0,2.5276650000000003,-0.4261785500000001
20.25,2.8196000000000003,-0.27797
20.5,2.591505,-0.38337250000000006
20.75,2.3009,-0.3417435000000001
21.0,2.634065,-0.5453
21.25,2.6081300000000005,-0.6783000000000001
21.5,2.55493,-0.36442
21.75,2.74778,-0.15694000000000002
22.0,2.7118700000000002,-0.3749270000000001
22.25,2.3155300000000003,-0.5985
22.5,2.3693950000000004,-0.35045500000000007
22.75,2.5542650000000005,-0.4164230000000001
23.0,2.4531850000000004,-0.50274
23.25,2.4365600000000005,-0.44634799999999997
23.5,2.478455,-0.27797
23.75,2.48444,-0.3311699999999999
24.0,2.77704,-0.3964730000000001
24.25,2.78901,-0.39235
24.5,2.3102100000000005,-0.5054000000000001
24.75,2.4910900000000002,-0.43491
25.0,2.56557,-0.21945000000000006
25.25,2.6866000000000003,-0.27930000000000005
25.5,2.1386400000000005,-0.5985
25.75,2.5536,-0.46084500000000006
26.0,2.57222,-0.25137
26.25,2.2004850000000005,-0.47075350000000005
26.5,2.26499,-0.5593315000000001
26.75,2.7205150000000002,-0.29127000000000003
27.0,2.5170250000000003,-0.2500400000000001
27.25,2.44055,-0.6051500000000001
27.5,2.447865,-0.45885000000000004
27.75,2.5988200000000004,-0.20482
28.0,2.3733850000000003,-0.34846000000000005
28.25,2.528995,-0.330505
28.5,2.6460350000000004,-0.15428
28.75,2.1353150000000003,-0.45406199999999997
29.0,2.7876800000000004,-0.4623745000000001
29.25,2.7830250000000007,-0.45220000000000005
29.5,2.26499,-0.3830400000000001
29.75,2.4312400000000003,-0.35311499999999996
30.0,2.5782050000000005,-0.30124500000000004
30.25,2.153935,-0.50811985
30.5,2.32085,-0.7780499999999999
30.75,2.910705,-0.5126485000000001
31.0,2.539635,-0.3976700000000001
31.25,2.4890950000000003,-0.5805450000000002
31.5,2.6393850000000003,-0.6253660000000001
31.75,2.8568400000000005,-0.4365725
32.0,2.502395,-0.5472950000000001
32.25,2.6287450000000003,-0.5985
32.5,2.6999000000000004,-0.6051500000000001
32.75,2.8861000000000003,-0.429324
33.0,2.841545,-0.48811
33.25,3.005135,-0.21612500000000004
33.5,2.8355600000000005,-0.24471999999999997
33.75,3.01378,-0.63175
34.0,3.276455,-0.524685
34.25,3.2179350000000007,-0.28462
34.5,3.2678100000000003,-0.34181000000000006
34.75,2.9206800000000004,-0.6155905
35.0,3.1015600000000005,-0.3829735000000001
35.25,3.5171849999999996,-0.253365
35.5,3.0836050000000004,-0.46031299999999997
35.75,2.942625,-0.55195
36.0,3.0696399999999997,-0.3804465000000001
36.25,3.2139450000000003,-0.36774500000000004
36.5,2.957255,-0.4448850000000001
36.75,3.200645,-0.391685
37.0,3.092915,-0.4788000000000001
37.25,3.02309,-0.50939
37.5,3.02176,-0.366548
37.75,2.98186,-0.2859499999999999
38.0,3.2538450000000005,-0.5196310000000001
38.25,3.598315000000001,-0.4063815000000001
38.5,5.918500000000001,0.01463
38.75,5.446350000000001,-0.22743000000000002
39.0,5.246850000000001,-0.31893400000000005
39.25,4.6816,-0.30989000000000005
39.5,4.8877500000000005,-0.14430500000000002
39.75,5.592650000000001,-0.03591
40.0,4.43023,-0.4510695
40.25,4.7747,-0.6076105
40.5,4.8944,-0.26393849999999996
40.75,5.2002999999999995,-0.027132000000000003
41.0,5.43305,-0.23275
41.25,4.508700000000001,-0.28595000000000004
41.5,4.721500000000001,-0.36375500000000005
41.75,4.7348,-0.44927399999999995
42.0,5.33995,-0.22809499999999994
42.25,4.954250000000001,-0.13167
42.5,4.522,-0.13544055
42.75,4.6417,-0.11045650000000001
43.0,3.857,-0.5918500000000001
43.25,3.697400000000001,-0.564984
43.5,3.6043000000000003,-0.35657300000000003
43.75,3.7373000000000003,-0.20083000000000004
44.0,3.39815,-0.33715500000000015
44.25,3.7040499999999996,-0.27697249999999995
44.5,3.4181000000000004,-0.36508500000000005
44.75,3.3516000000000004,-0.7182000000000001
45.0,3.4846,-0.48478500000000013
45.25,3.8304,-0.24538500000000002
45.5,3.5444500000000003,-0.32345599999999997
45.75,3.3649,-0.33782
46.0,3.2385499999999996,-0.35910000000000003
46.25,3.7705499999999996,-0.319865
46.5,3.5976500000000007,-0.25070499999999996
46.75,3.7373000000000003,-0.4096400000000001
47.0,3.511200000000001,-0.4655
47.25,3.6708000000000003,-0.399
47.5,3.3117000000000005,-0.41136900000000004
47.75,3.5245000000000006,-0.101745
48.0,3.5378000000000007,-0.24804500000000002
48.25,3.4447000000000005,-0.55195
48.5,3.7306500000000002,-0.55461
48.75,3.0723000000000003,-0.2973215
49.0,2.6832750000000005,-0.24671500000000013
49.25,3.1388,-0.4070465
49.5,3.62425,-0.4322500000000001
49.75,3.1627400000000003,-0.33915000000000006
50.0,3.2984,-0.4857825
50.25,3.2318999999999996,-0.4748100000000001
50.5,3.059,-0.3923500000000001
50.75,2.4718050000000003,-0.602091
51.0,2.6919200000000005,-0.5187
51.25,3.0856000000000003,-0.52003
51.5,2.44587,-0.66899
51.75,3.04171,-0.49343
52.0,3.11619,-0.39042150000000003
52.25,2.8794500000000003,-0.5248845
52.5,2.37139,-0.7049000000000001
52.75,2.902725,-0.3837050000000001
53.0,2.8661499999999998,-0.25070499999999996
53.25,2.7265,-0.3704050000000001
53.5,3.1713850000000003,-0.4322500000000001
53.75,2.77305,-0.3724
54.0,2.79433,-0.428127
54.25,2.9526000000000003,-0.2553600000000001
54.5,3.5378000000000007,-0.16625
54.75,2.5017300000000002,-0.69825
55.0,2.52168,-0.65569
55.25,3.6641500000000002,-0.22410499999999992
55.5,3.7904999999999998,-0.21346500000000004
55.75,3.4979,-0.4344445
56.0,3.49125,-0.412965
56.25,2.83822,-0.275975
56.5,6.463800000000001,-0.16824499999999995
56.75,6.711180000000001,0.11038999999999995
57.0,6.442520000000002,0.19817000000000004
57.25,6.046845,-0.02194500000000007
57.5,6.18716,0.036242499999999934
57.75,6.556900000000001,-0.2732485
58.0,6.463135,-0.5564055000000001
58.25,6.092065,-0.46816
58.5,6.558230000000001,-0.22344000000000008
58.75,6.79763,-0.33509350000000004
59.0,6.992475000000001,-0.11464599999999993
