Hora_decimal,P_3f,Q_3f
0.0,13.513822153955669,-15.675674245244341
0.25,13.983746250605112,-14.61516819375253
0.5,13.757744367630648,-14.337183935744878
0.75,13.801752324731597,-14.52611604735596
1.0,13.383654921813019,-13.374702351458406
1.25,14.093118433037638,-13.148921268390167
1.5,13.301606653746889,-13.982062421702548
1.75,14.669886554798886,-14.898910937462993
2.0,13.831730563521031,-15.613051849626238
2.25,15.358637805319688,-16.11219079575333
2.5,14.528102599111108,-15.785914079175157
2.75,14.717128367404225,-16.36698221623074
3.0,14.382091701120073,-14.831525332460195
3.25,13.568362422821133,-16.472644023254535
3.5,13.089414048881604,-17.015672261143163
3.75,13.250275734412863,-16.557336649855568
4.0,13.822989148770544,-17.24289441784415
4.25,13.371063144345118,-17.3565813421094
4.5,11.255188329299376,-15.09721578245151
4.75,12.149948604318116,-15.808457248884132
5.0,13.197770681791942,-10.401778025266138
5.25,12.842449622459421,-8.655619697371197
5.5,11.927072080328305,-9.959069622057536
5.75,9.632305693508982,-10.939484732268923
6.0,8.09528356968344,-11.786366931001176
6.25,6.53985970820534,-11.994213459201157
6.5,7.334223912579103,-12.544783490462368
6.75,5.520455424161457,-13.20433580209808
7.0,4.111209366548598,-12.21250544787112
7.25,0.28254217626252087,-12.590450117277303
7.5,0.6857059618519964,-14.559788576242703
7.75,-6.222035539950779,-14.790212349865346
8.0,-6.42068796272585,-10.877846506931625
8.25,-8.627699182741136,-11.851130867228362
8.5,-11.29001192762659,-11.55129906954698
8.75,-15.168455771001161,-13.192983603075186
9.0,-22.65053179697576,-14.841663500227051
9.25,-25.409911617720418,-13.35019760993849
9.5,-29.790629568188272,-13.871627962249686
9.75,-31.970092577492927,-13.376057061585147
10.0,-34.07967354401974,-12.672524571628571
10.25,-34.94767762581734,-12.40542635313733
10.5,-23.98806908070788,-11.827226658722019
10.75,-21.332885852752355,-11.844979475626069
11.0,-41.693144939315154,-13.70578206706069
11.25,-36.24359992015281,-11.286727324122394
11.5,-44.47875681973518,-13.484374717670923
11.75,-48.06318779958793,-14.033707641683677
12.0,-45.63738955825142,-12.97790729897835
12.25,-48.68749102307697,-13.872539781176755
12.5,-33.55699130528996,-14.15249328468947
12.75,-40.4424486387757,-13.618968663651557
13.0,-22.817197964479046,-13.153245431475408
13.25,-34.97046075580707,-11.764521622176094
13.5,-36.554371996072454,-10.727251924452277
13.75,-36.17391323766336,-10.33329766113026
14.0,-42.467754729913324,-11.135232407800558
14.25,-42.66631914217904,-11.03232969572134
14.5,-37.46252559234378,-11.106125396070546
14.75,-40.68038487494276,-9.797784362388144
15.0,-27.004999571378956,-8.93755995749006
15.25,-23.668598424991337,-9.95831875480081
15.5,-12.061493113601074,-9.270485658010836
15.75,-14.861271237570996,-10.088166414378946
16.0,-11.777770325707731,-10.068092050425735
16.25,-5.4771926060818235,-12.400053225702404
16.5,-17.01107869347995,-11.39772545531628
16.75,-15.851182941012874,-11.94502224072791
17.0,-2.4445997892057276,-11.41855084531215
17.25,-5.044371597344338,-10.781516733646942
17.5,-1.5308409843332267,-9.412405126560078
17.75,1.8594899066302837,-9.450725211079314
18.0,8.088703801926014,-9.511409101861878
18.25,9.944497837650117,-9.882554993937278
18.5,9.46435173512391,-7.603692593960691
18.75,11.323150087360112,-7.527035126979291
19.0,12.075235058200079,-7.817602535742385
19.25,12.740072647605967,-7.202615381523286
19.5,14.19957882542749,-7.556566576194133
19.75,14.832496271735641,-8.869379088974073
20.0,14.888328307927694,-8.079459600000202
20.25,16.598677260806685,-6.414967713063928
20.5,16.704336600149013,-6.508808028574313
20.75,16.005918143974114,-6.524934858483171
21.0,17.708782683801992,-9.747581068880931
21.25,16.421167289339195,-8.394914432883567
21.5,17.616415441546742,-11.05593490618739
21.75,16.01243444844668,-12.379495954728654
22.0,14.696563947888912,-11.195869756312364
22.25,15.490348547729585,-11.462148204980926
22.5,14.78196055190046,-10.477013570993071
22.75,13.62953718494693,-12.25664112193338
23.0,15.16248097150477,-12.02042860603415
23.25,15.152268813787906,-13.256730771590721
23.5,16.18114849282389,-13.75013641260008
23.75,16.889747935400102,-14.104337805944144
24.0,14.652691878993993,-15.077949375020824
24.25,15.456898526547384,-15.50779470984839
24.5,13.829458655980565,-15.04225206893848
24.75,13.34466350540486,-13.639594245227341
25.0,13.431619661472249,-10.97704929531722
25.25,13.091780724882671,-11.580717012001239
25.5,14.060929880534939,-13.677342045016125
25.75,14.500272379726155,-11.93822450971497
26.0,13.079275928728359,-11.997192042413467
26.25,15.639472280131164,-13.372141256064737
26.5,13.399345938371686,-10.928373759571075
26.75,13.976468905446666,-11.305469870053335
27.0,12.623580180181602,-10.859300862020968
27.25,13.24886092032333,-9.29290090109818
27.5,13.297146021697996,-10.250611708212132
27.75,13.4441426366326,-11.136525696621124
28.0,12.763010414313534,-10.381841345100856
28.25,13.008135744201677,-11.250166559512724
28.5,12.412430132298955,-10.726727898757371
28.75,11.690592869647286,-10.152619404922163
29.0,13.31116145560737,-11.768937622705717
29.25,12.651265817446875,-10.919130505646827
29.5,12.643975973623366,-11.742790670191884
29.75,11.820502272845863,-14.026061826791757
30.0,10.085215519224889,-13.60658959193709
30.25,10.763363541862343,-13.339034021900604
30.5,7.682568442368118,-13.580853767777695
30.75,7.107246979006424,-13.040172123558378
31.0,3.9694646388010915,-10.206667171848911
31.25,-0.3102451892884371,-11.562403837629411
31.5,-0.7968840249679887,-10.910043736807431
31.75,-4.6376503327710505,-13.264055701206889
32.0,-7.995965902090956,-12.478958706171845
32.25,-8.12638877034018,-12.23948572092343
32.5,-6.285315850094704,-8.972732808129264
32.75,-10.591939602407159,-6.902023289294897
33.0,-12.993599532781946,-9.618975412910928
33.25,-17.731882569736694,-11.877357874158523
33.5,-22.9159484930382,-13.20417201308457
33.75,-18.929547791482594,-12.398589073629825
34.0,-25.474306254889797,-11.422567081147697
34.25,-22.66087712758928,-9.338813445205973
34.5,-24.771892618414746,-7.9289660953446
34.75,-24.53091524829515,-8.361686518024987
35.0,-32.20277253420091,-9.941907188054685
35.25,-32.2804033404625,-9.63218809143875
35.5,-28.34548073022782,-7.645469524097662
35.75,-26.927386299189628,-7.44716077899248
36.0,-33.67867096486377,-7.448050566155713
36.25,-43.03448133365746,-7.9454866408493405
36.5,-48.86158372508486,-9.029007688196888
36.75,-32.50259682059419,-13.991660127830695
37.0,-34.00894574506902,-12.564084979678505
37.25,-20.690314237067618,-12.556961051361725
37.5,-42.06300114842132,-12.673748626099483
37.75,-43.405776813462595,-12.535257993346331
38.0,-44.21717132892304,-12.470359003547085
38.25,-35.060964087607246,-11.129113611334626
38.5,-14.915818273508798,-17.169409791668315
38.75,-37.96856867327028,-11.82169659546839
39.0,-31.529437564035536,-9.219532621343744
39.25,-23.94341018789538,-6.300733199270878
39.5,-18.863133604402112,-5.874631797480521
39.75,-17.771337647828425,-6.551092443985393
40.0,-18.548001206473327,-8.44770978315777
40.25,-14.025589101448677,-7.769488550007231
40.5,-11.711371963581055,-8.505111135301311
40.75,-7.549896258731244,-6.900137097262128
41.0,-3.202727402069908,-8.940297358882141
41.25,1.2230466284924282,-8.649328134143945
41.5,5.280789336590312,-7.084971669042185
41.75,9.516033331352501,-8.99392489217924
42.0,7.993748259058971,-10.629072193840354
42.25,13.197242257304728,-9.856607779963491
42.5,13.18197129247715,-9.064343104940697
42.75,14.824169727139115,-9.173571008080103
43.0,17.19430213480265,-10.840689780836033
43.25,18.05882636380209,-10.861332856753876
43.5,18.85405867738424,-12.51192455601006
43.75,18.358344791044914,-10.843727370069159
44.0,21.541869855730425,-9.062448579352084
44.25,19.71176716978303,-7.047092601354738
44.5,17.14591723632423,-6.741445311294337
44.75,17.748486811462257,-6.35735350698385
45.0,17.106391279066884,-8.367919532824017
45.25,17.735467561109758,-10.088026763085763
45.5,18.44077251955744,-12.121227098733826
45.75,18.230350295194697,-17.925571800376375
46.0,17.9152508531072,-15.740999391011906
46.25,17.513332354641868,-13.629631709507095
46.5,17.05141706841796,-10.641496129606477
46.75,16.889987938524726,-12.720226385716341
47.0,15.940866848108763,-13.194166652809892
47.25,15.530417696676063,-12.007080235934579
47.5,18.575323994287984,-16.246884984231524
47.75,16.304939952317717,-14.768203871437255
48.0,16.068078607581104,-11.7869079636316
48.25,15.731300917907877,-11.523475072580897
48.5,14.68108027969191,-11.83321753642897
48.75,17.289010310754648,-11.831554096239886
49.0,16.25496441022081,-14.274394457344428
49.25,15.055783239600128,-13.663260739733202
49.5,15.703936056583741,-14.85342074175848
49.75,16.07094905758576,-15.133321799069472
50.0,16.577447949716653,-16.80717940261381
50.25,15.588734761086823,-15.319919599247944
50.5,15.440535110919953,-15.686610180649406
50.75,15.54100215370634,-14.659655632171912
51.0,14.897653558646525,-8.76366088490018
51.25,15.43176429341416,-8.927872181783176
51.5,14.917682110366924,-10.035934627781828
51.75,14.902671485152313,-10.921017266281833
52.0,13.913957944257287,-10.54898107108593
52.25,12.699710987375788,-10.793827494634886
52.5,14.244699746916453,-10.151496264769111
52.75,13.087201814895234,-11.963869612798737
53.0,13.00521239210321,-12.428833007634166
53.25,13.965486767340108,-11.378223627591883
53.5,14.259601497136556,-13.696501010317235
53.75,12.975066512155859,-14.917306535707603
54.0,11.902735157604264,-16.588739776654894
54.25,10.706686742999006,-16.37039971058124
54.5,8.155090773715871,-15.838703622486783
54.75,5.410334260788028,-13.98526031930367
55.0,3.219544291718549,-12.940938672709906
55.25,1.8466517819574086,-10.860130453351331
55.5,-1.9223097515498009,-14.809900480489874
55.75,-3.4310267866626365,-13.137970962820367
56.0,-2.4321427348938163,-10.66775494122762
56.25,-5.213379558635838,-13.336697430774745
56.5,-5.932919637826849,-7.7606433022270505
56.75,-9.78215763424957,-8.48625935166751
57.0,-10.42934918000337,-7.622593442029598
57.25,-15.87703004335117,-7.912688641198828
57.5,-20.30487409366648,-8.613042208345338
57.75,-25.122290817848665,-9.389079983811147
58.0,-24.372704588691377,-7.234840399349297
58.25,-31.18477771675005,-7.473597062676953
58.5,-31.527581316452505,-6.150096688773579
58.75,-31.41765907023217,-6.814963574578117
59.0,-31.47807734178957,-6.855183340993934
59.25,-31.67308385367055,-8.652179356825314
59.5,-40.94894304383871,-7.586701745340618
59.75,-49.4089238757749,-7.629538534028108
60.0,-52.55274294987554,-8.24850720854393
60.25,-50.439077135790015,-8.387283299726558
60.5,-50.4002462880254,-11.964140091854183
60.75,-52.31553263556303,-10.986879791131438
61.0,-49.230874829685504,-13.917259749995917
61.25,-50.49961769888699,-10.179790819589751
61.5,-44.520302227998855,-10.376448373988053
61.75,-41.613393074783126,-11.581039253578332
62.0,-35.97637564492725,-11.878814819586339
62.25,-42.472939976842625,-9.829460297552862
62.5,-41.344619832845474,-8.767239110366692
62.75,-33.92476546512474,-7.656376430712926
63.0,-31.223693644267883,-7.175326929926938
63.25,-28.594829730528126,-6.830955967179904
63.5,-18.783339772422313,-7.592840123372011
63.75,-16.043198019373317,-6.851039628364793
64.0,-19.352911063053302,-9.39041034270982
64.25,-25.385093142604173,-12.065343506719891
64.5,-21.535539799580896,-12.548048853442756
64.75,-16.888770402165722,-13.12701862068521
65.0,-13.101525140063528,-13.080359100856429
65.25,-8.33126714385219,-11.394876766033152
65.5,-4.354456827063799,-11.887518896694926
65.75,-0.8521606337596477,-12.249809064156494
66.0,2.3436100210247766,-12.088744352284422
66.25,6.1151095039343595,-10.69118645359399
66.5,9.151875831963912,-9.97277727007462
66.75,11.44327363973197,-9.532475122821973
67.0,12.577393024027662,-10.47619978114479
67.25,13.742811673452257,-9.873453500419856
67.5,14.383599339015108,-12.414436330697765
67.75,15.297775694440913,-10.956830767310183
68.0,15.64051125107499,-9.307054571883022
68.25,14.268525919525992,-7.653185699101464
68.5,16.59699635301223,-7.93040157709824
68.75,16.24499047141644,-10.286539943084687
69.0,16.52370947129002,-10.624209771589795
69.25,17.186144629424483,-8.945417234265395
69.5,16.343795247225316,-10.913386292229253
69.75,17.0650495233413,-9.876519312389219
70.0,16.11686089627456,-10.440646376810752
70.25,16.552269739416623,-11.133958867502306
70.5,14.371222419797242,-10.283404997123682
70.75,14.162339669896108,-10.922475833643189
71.0,14.374345617460328,-11.842035510799759
71.25,15.552583652735017,-11.592340472650985
71.5,16.0381750957748,-12.329013986566164
71.75,15.245175473144768,-12.32314545861225
72.0,12.797642628137787,-10.521385488248399
72.25,14.216389524792588,-12.606280552498397
72.5,13.409957990370287,-13.305653779160618
