Hora_decimal,Posto_horario
0.0,FORA_PONTA
0.25,FORA_PONTA
0.5,FORA_PONTA
0.75,FORA_PONTA
1.0,FORA_PONTA
1.25,FORA_PONTA
1.5,FORA_PONTA
1.75,FORA_PONTA
2.0,FORA_PONTA
2.25,FORA_PONTA
2.5,FORA_PONTA
2.75,FORA_PONTA
3.0,FORA_PONTA
3.25,FORA_PONTA
3.5,FORA_PONTA
3.75,FORA_PONTA
4.0,FORA_PONTA
4.25,FORA_PONTA
4.5,FORA_PONTA
4.75,FORA_PONTA
5.0,FORA_PONTA
5.25,FORA_PONTA
5.5,FORA_PONTA
5.75,FORA_PONTA
6.0,FORA_PONTA
6.25,FORA_PONTA
6.5,FORA_PONTA
6.75,FORA_PONTA
7.0,FORA_PONTA
7.25,FORA_PONTA
7.5,FORA_PONTA
7.75,FORA_PONTA
8.0,FORA_PONTA
8.25,FORA_PONTA
8.5,FORA_PONTA
8.75,FORA_PONTA
9.0,FORA_PONTA
9.25,FORA_PONTA
9.5,FORA_PONTA
9.75,FORA_PONTA
10.0,FORA_PONTA
10.25,FORA_PONTA
10.5,FORA_PONTA
10.75,FORA_PONTA
11.0,FORA_PONTA
11.25,FORA_PONTA
11.5,FORA_PONTA
11.75,FORA_PONTA
12.0,FORA_PONTA
12.25,FORA_PONTA
12.5,FORA_PONTA
12.75,FORA_PONTA
13.0,FORA_PONTA
13.25,FORA_PONTA
13.5,FORA_PONTA
13.75,FORA_PONTA
14.0,FORA_PONTA
14.25,FORA_PONTA
14.5,FORA_PONTA
14.75,FORA_PONTA
15.0,FORA_PONTA
15.25,FORA_PONTA
15.5,FORA_PONTA
15.75,FORA_PONTA
16.0,FORA_PONTA
16.25,FORA_PONTA
16.5,FORA_PONTA
16.75,FORA_PONTA
17.0,FORA_PONTA
17.25,FORA_PONTA
17.5,FORA_PONTA
17.75,FORA_PONTA
18.0,FORA_PONTA
18.25,FORA_PONTA
18.5,FORA_PONTA
18.75,FORA_PONTA
19.0,FORA_PONTA
19.25,FORA_PONTA
19.5,FORA_PONTA
19.75,FORA_PONTA
20.0,FORA_PONTA
20.25,FORA_PONTA
20.5,FORA_PONTA
20.75,FORA_PONTA
21.0,FORA_PONTA
21.25,FORA_PONTA
21.5,FORA_PONTA
21.75,FORA_PONTA
22.0,FORA_PONTA
22.25,FORA_PONTA
22.5,FORA_PONTA
22.75,FORA_PONTA
23.0,FORA_PONTA
23.25,FORA_PONTA
23.5,FORA_PONTA
23.75,FORA_PONTA
24.0,FORA_PONTA
24.25,FORA_PONTA
24.5,FORA_PONTA
24.75,FORA_PONTA
25.0,FORA_PONTA
25.25,FORA_PONTA
25.5,FORA_PONTA
25.75,FORA_PONTA
26.0,FORA_PONTA
26.25,FORA_PONTA
26.5,FORA_PONTA
26.75,FORA_PONTA
27.0,FORA_PONTA
27.25,FORA_PONTA
27.5,FORA_PONTA
27.75,FORA_PONTA
28.0,FORA_PONTA
28.25,FORA_PONTA
28.5,FORA_PONTA
28.75,FORA_PONTA
29.0,FORA_PONTA
29.25,FORA_PONTA
29.5,FORA_PONTA
29.75,FORA_PONTA
30.0,FORA_PONTA
30.25,FORA_PONTA
30.5,FORA_PONTA
30.75,FORA_PONTA
31.0,FORA_PONTA
31.25,FORA_PONTA
31.5,FORA_PONTA
31.75,FORA_PONTA
32.0,FORA_PONTA
32.25,FORA_PONTA
32.5,FORA_PONTA
32.75,FORA_PONTA
33.0,FORA_PONTA
33.25,FORA_PONTA
33.5,FORA_PONTA
33.75,FORA_PONTA
34.0,FORA_PONTA
34.25,FORA_PONTA
34.5,FORA_PONTA
34.75,FORA_PONTA
35.0,FORA_PONTA
35.25,FORA_PONTA
35.5,FORA_PONTA
35.75,FORA_PONTA
36.0,FORA_PONTA
36.25,FORA_PONTA
36.5,FORA_PONTA
36.75,FORA_PONTA
37.0,FORA_PONTA
37.25,FORA_PONTA
37.5,FORA_PONTA
37.75,FORA_PONTA
38.0,FORA_PONTA
38.25,FORA_PONTA
38.5,FORA_PONTA
38.75,FORA_PONTA
39.0,FORA_PONTA
39.25,FORA_PONTA
39.5,FORA_PONTA
39.75,FORA_PONTA
40.0,FORA_PONTA
40.25,FORA_PONTA
40.5,FORA_PONTA
40.75,FORA_PONTA
41.0,FORA_PONTA
41.25,FORA_PONTA
41.5,FORA_PONTA
41.75,PONTA
42.0,PONTA
42.25,PONTA
42.5,PONTA
42.75,PONTA
43.0,PONTA
43.25,PONTA
43.5,PONTA
43.75,PONTA
44.0,PONTA
44.25,PONTA
44.5,PONTA
44.75,FORA_PONTA
45.0,FORA_PONTA
45.25,FORA_PONTA
45.5,FORA_PONTA
45.75,FORA_PONTA
46.0,FORA_PONTA
46.25,FORA_PONTA
46.5,FORA_PONTA
46.75,FORA_PONTA
47.0,FORA_PONTA
47.25,FORA_PONTA
47.5,FORA_PONTA
47.75,FORA_PONTA
48.0,FORA_PONTA
48.25,FORA_PONTA
48.5,FORA_PONTA
48.75,FORA_PONTA
49.0,FORA_PONTA
49.25,FORA_PONTA
49.5,FORA_PONTA
49.75,FORA_PONTA
50.0,FORA_PONTA
50.25,FORA_PONTA
50.5,FORA_PONTA
50.75,FORA_PONTA
51.0,FORA_PONTA
51.25,FORA_PONTA
51.5,FORA_PONTA
51.75,FORA_PONTA
52.0,FORA_PONTA
52.25,FORA_PONTA
52.5,FORA_PONTA
52.75,FORA_PONTA
53.0,FORA_PONTA
53.25,FORA_PONTA
53.5,FORA_PONTA
53.75,FORA_PONTA
54.0,FORA_PONTA
54.25,FORA_PONTA
54.5,FORA_PONTA
54.75,FORA_PONTA
55.0,FORA_PONTA
55.25,FORA_PONTA
55.5,FORA_PONTA
55.75,FORA_PONTA
56.0,FORA_PONTA
56.25,FORA_PONTA
56.5,FORA_PONTA
56.75,FORA_PONTA
57.0,FORA_PONTA
57.25,FORA_PONTA
57.5,FORA_PONTA
57.75,FORA_PONTA
58.0,FORA_PONTA
58.25,FORA_PONTA
58.5,FORA_PONTA
58.75,FORA_PONTA
59.0,FORA_PONTA
59.25,FORA_PONTA
59.5,FORA_PONTA
59.75,FORA_PONTA
60.0,FORA_PONTA
60.25,FORA_PONTA
60.5,FORA_PONTA
60.75,FORA_PONTA
61.0,FORA_PONTA
61.25,FORA_PONTA
61.5,FORA_PONTA
61.75,FORA_PONTA
62.0,FORA_PONTA
62.25,FORA_PONTA
62.5,FORA_PONTA
62.75,FORA_PONTA
63.0,FORA_PONTA
63.25,FORA_PONTA
63.5,FORA_PONTA
63.75,FORA_PONTA
64.0,FORA_PONTA
64.25,FORA_PONTA
64.5,FORA_PONTA
64.75,FORA_PONTA
65.0,FORA_PONTA
65.25,FORA_PONTA
65.5,FORA_PONTA
65.75,PONTA
66.0,PONTA
66.25,PONTA
66.5,PONTA
66.75,PONTA
67.0,PONTA
67.25,PONTA
67.5,PONTA
67.75,PONTA
68.0,PONTA
68.25,PONTA
68.5,PONTA
68.75,FORA_PONTA
69.0,FORA_PONTA
69.25,FORA_PONTA
69.5,FORA_PONTA
69.75,FORA_PONTA
70.0,FORA_PONTA
70.25,FORA_PONTA
70.5,FORA_PONTA
70.75,FORA_PONTA
71.0,FORA_PONTA
71.25,FORA_PONTA
71.5,FORA_PONTA
71.75,FORA_PONTA
72.0,FORA_PONTA
72.25,FORA_PONTA
72.5,FORA_PONTA
72.75,FORA_PONTA
73.0,FORA_PONTA
73.25,FORA_PONTA
73.5,FORA_PONTA
73.75,FORA_PONTA
74.0,FORA_PONTA
74.25,FORA_PONTA
74.5,FORA_PONTA
74.75,FORA_PONTA
75.0,FORA_PONTA
75.25,FORA_PONTA
75.5,FORA_PONTA
75.75,FORA_PONTA
76.0,FORA_PONTA
76.25,FORA_PONTA
76.5,FORA_PONTA
76.75,FORA_PONTA
77.0,FORA_PONTA
77.25,FORA_PONTA
77.5,FORA_PONTA
77.75,FORA_PONTA
78.0,FORA_PONTA
78.25,FORA_PONTA
78.5,FORA_PONTA
78.75,FORA_PONTA
79.0,FORA_PONTA
79.25,FORA_PONTA
79.5,FORA_PONTA
79.75,FORA_PONTA
80.0,FORA_PONTA
80.25,FORA_PONTA
80.5,FORA_PONTA
80.75,FORA_PONTA
81.0,FORA_PONTA
81.25,FORA_PONTA
81.5,FORA_PONTA
81.75,FORA_PONTA
82.0,FORA_PONTA
82.25,FORA_PONTA
82.5,FORA_PONTA
82.75,FORA_PONTA
83.0,FORA_PONTA
83.25,FORA_PONTA
83.5,FORA_PONTA
83.75,FORA_PONTA
84.0,FORA_PONTA
84.25,FORA_PONTA
84.5,FORA_PONTA
84.75,FORA_PONTA
85.0,FORA_PONTA
85.25,FORA_PONTA
85.5,FORA_PONTA
85.75,FORA_PONTA
86.0,FORA_PONTA
86.25,FORA_PONTA
86.5,FORA_PONTA
86.75,FORA_PONTA
87.0,FORA_PONTA
87.25,FORA_PONTA
87.5,FORA_PONTA
87.75,FORA_PONTA
88.0,FORA_PONTA
88.25,FORA_PONTA
88.5,FORA_PONTA
88.75,FORA_PONTA
89.0,FORA_PONTA
89.25,FORA_PONTA
89.5,FORA_PONTA
89.75,FORA_PONTA
90.0,FORA_PONTA
90.25,FORA_PONTA
90.5,FORA_PONTA
90.75,FORA_PONTA
91.0,FORA_PONTA
91.25,FORA_PONTA
91.5,FORA_PONTA
91.75,FORA_PONTA
92.0,FORA_PONTA
92.25,FORA_PONTA
92.5,FORA_PONTA
92.75,FORA_PONTA
93.0,FORA_PONTA
93.25,FORA_PONTA
93.5,FORA_PONTA
93.75,FORA_PONTA
94.0,FORA_PONTA
94.25,FORA_PONTA
94.5,FORA_PONTA
94.75,FORA_PONTA
95.0,FORA_PONTA
95.25,FORA_PONTA
95.5,FORA_PONTA
95.75,FORA_PONTA
96.0,FORA_PONTA
96.25,FORA_PONTA
96.5,FORA_PONTA
96.75,FORA_PONTA
97.0,FORA_PONTA
97.25,FORA_PONTA
97.5,FORA_PONTA
97.75,FORA_PONTA
98.0,FORA_PONTA
98.25,FORA_PONTA
98.5,FORA_PONTA
98.75,FORA_PONTA
99.0,FORA_PONTA
99.25,FORA_PONTA
99.5,FORA_PONTA
99.75,FORA_PONTA
100.0,FORA_PONTA
100.25,FORA_PONTA
100.5,FORA_PONTA
100.75,FORA_PONTA
101.0,FORA_PONTA
101.25,FORA_PONTA
101.5,FORA_PONTA
101.75,FORA_PONTA
102.0,FORA_PONTA
102.25,FORA_PONTA
102.5,FORA_PONTA
102.75,FORA_PONTA
103.0,FORA_PONTA
103.25,FORA_PONTA
103.5,FORA_PONTA
103.75,FORA_PONTA
104.0,FORA_PONTA
104.25,FORA_PONTA
104.5,FORA_PONTA
104.75,FORA_PONTA
105.0,FORA_PONTA
105.25,FORA_PONTA
105.5,FORA_PONTA
105.75,FORA_PONTA
106.0,FORA_PONTA
106.25,FORA_PONTA
106.5,FORA_PONTA
106.75,FORA_PONTA
107.0,FORA_PONTA
107.25,FORA_PONTA
107.5,FORA_PONTA
107.75,FORA_PONTA
108.0,FORA_PONTA
108.25,FORA_PONTA
108.5,FORA_PONTA
108.75,FORA_PONTA
109.0,FORA_PONTA
109.25,FORA_PONTA
109.5,FORA_PONTA
109.75,FORA_PONTA
110.0,FORA_PONTA
110.25,FORA_PONTA
110.5,FORA_PONTA
110.75,FORA_PONTA
111.0,FORA_PONTA
111.25,FORA_PONTA
111.5,FORA_PONTA
111.75,FORA_PONTA
112.0,FORA_PONTA
112.25,FORA_PONTA
112.5,FORA_PONTA
112.75,FORA_PONTA
113.0,FORA_PONTA
113.25,FORA_PONTA
113.5,FORA_PONTA
113.75,FORA_PONTA
114.0,FORA_PONTA
114.25,FORA_PONTA
114.5,FORA_PONTA
114.75,FORA_PONTA
115.0,FORA_PONTA
115.25,FORA_PONTA
115.5,FORA_PONTA
115.75,FORA_PONTA
116.0,FORA_PONTA
116.25,FORA_PONTA
116.5,FORA_PONTA
116.75,FORA_PONTA
117.0,FORA_PONTA
117.25,FORA_PONTA
117.5,FORA_PONTA
117.75,FORA_PONTA
118.0,FORA_PONTA
118.25,FORA_PONTA
118.5,FORA_PONTA
118.75,FORA_PONTA
119.0,FORA_PONTA
119.25,FORA_PONTA
119.5,FORA_PONTA
119.75,FORA_PONTA
120.0,FORA_PONTA
120.25,FORA_PONTA
120.5,FORA_PONTA
120.75,FORA_PONTA
121.0,FORA_PONTA
121.25,FORA_PONTA
121.5,FORA_PONTA
121.75,FORA_PONTA
122.0,FORA_PONTA
122.25,FORA_PONTA
122.5,FORA_PONTA
122.75,FORA_PONTA
123.0,FORA_PONTA
123.25,FORA_PONTA
123.5,FORA_PONTA
123.75,FORA_PONTA
124.0,FORA_PONTA
124.25,FORA_PONTA
124.5,FORA_PONTA
124.75,FORA_PONTA
125.0,FORA_PONTA
125.25,FORA_PONTA
125.5,FORA_PONTA
125.75,FORA_PONTA
126.0,FORA_PONTA
126.25,FORA_PONTA
126.5,FORA_PONTA
126.75,FORA_PONTA
127.0,FORA_PONTA
127.25,FORA_PONTA
127.5,FORA_PONTA
127.75,FORA_PONTA
128.0,FORA_PONTA
128.25,FORA_PONTA
128.5,FORA_PONTA
128.75,FORA_PONTA
129.0,FORA_PONTA
129.25,FORA_PONTA
129.5,FORA_PONTA
129.75,FORA_PONTA
130.0,FORA_PONTA
130.25,FORA_PONTA
130.5,FORA_PONTA
130.75,FORA_PONTA
131.0,FORA_PONTA
131.25,FORA_PONTA
131.5,FORA_PONTA
131.75,FORA_PONTA
132.0,FORA_PONTA
132.25,FORA_PONTA
132.5,FORA_PONTA
132.75,FORA_PONTA
133.0,FORA_PONTA
133.25,FORA_PONTA
133.5,FORA_PONTA
133.75,FORA_PONTA
134.0,FORA_PONTA
134.25,FORA_PONTA
134.5,FORA_PONTA
134.75,FORA_PONTA
135.0,FORA_PONTA
135.25,FORA_PONTA
135.5,FORA_PONTA
135.75,FORA_PONTA
136.0,FORA_PONTA
136.25,FORA_PONTA
136.5,FORA_PONTA
136.75,FORA_PONTA
137.0,FORA_PONTA
137.25,FORA_PONTA
137.5,FORA_PONTA
137.75,PONTA
138.0,PONTA
138.25,PONTA
138.5,PONTA
138.75,PONTA
139.0,PONTA
139.25,PONTA
139.5,PONTA
139.75,PONTA
140.0,PONTA
140.25,PONTA
140.5,PONTA
140.75,FORA_PONTA
141.0,FORA_PONTA
141.25,FORA_PONTA
141.5,FORA_PONTA
141.75,FORA_PONTA
142.0,FORA_PONTA
142.25,FORA_PONTA
142.5,FORA_PONTA
142.75,FORA_PONTA
143.0,FORA_PONTA
143.25,FORA_PONTA
143.5,FORA_PONTA
143.75,FORA_PONTA
144.0,FORA_PONTA
144.25,FORA_PONTA
144.5,FORA_PONTA
144.75,FORA_PONTA
145.0,FORA_PONTA
145.25,FORA_PONTA
145.5,FORA_PONTA
145.75,FORA_PONTA
146.0,FORA_PONTA
146.25,FORA_PONTA
146.5,FORA_PONTA
146.75,FORA_PONTA
147.0,FORA_PONTA
147.25,FORA_PONTA
147.5,FORA_PONTA
147.75,FORA_PONTA
148.0,FORA_PONTA
148.25,FORA_PONTA
148.5,FORA_PONTA
148.75,FORA_PONTA
149.0,FORA_PONTA
149.25,FORA_PONTA
149.5,FORA_PONTA
149.75,FORA_PONTA
150.0,FORA_PONTA
150.25,FORA_PONTA
150.5,FORA_PONTA
150.75,FORA_PONTA
151.0,FORA_PONTA
151.25,FORA_PONTA
151.5,FORA_PONTA
151.75,FORA_PONTA
152.0,FORA_PONTA
152.25,FORA_PONTA
152.5,FORA_PONTA
152.75,FORA_PONTA
153.0,FORA_PONTA
153.25,FORA_PONTA
153.5,FORA_PONTA
153.75,FORA_PONTA
154.0,FORA_PONTA
154.25,FORA_PONTA
154.5,FORA_PONTA
154.75,FORA_PONTA
155.0,FORA_PONTA
155.25,FORA_PONTA
155.5,FORA_PONTA
155.75,FORA_PONTA
156.0,FORA_PONTA
