Hora_decimal,P_3f_S,Q_3f_S
0.0,45.0702,18.42205
0.25,45.0702,18.42205
0.5,39.860699999999994,16.02458
0.75,43.292100000000005,16.141289999999998
1.0,44.852000000000004,17.28618
1.25,46.6378,18.11432
1.5,48.6647,18.41035
1.75,46.5388,16.51451
2.0,45.53530000000001,16.3506
2.25,48.357800000000005,17.18942
2.5,46.2108,17.76842
2.75,47.0184,17.74146
3.0,43.4208,17.45164
3.25,43.74250000000001,16.90552
3.5,43.0362,16.9773
3.75,44.0929,17.20012
4.0,41.451899999999995,17.585859999999997
4.25,42.492399999999996,17.58736
4.5,40.1013,18.378619999999998
4.75,39.2439,16.98551
5.0,40.7609,15.73554
5.25,38.9099,13.11514
5.5,40.4813,13.65667
5.75,35.0426,13.81233
6.0,34.477199999999996,14.12812
6.25,36.926700000000004,14.528599999999999
6.5,37.1226,14.75458
6.75,36.5502,14.50826
7.0,36.2862,14.70419
7.25,38.07299999999999,14.820640000000001
7.5,39.2148,15.777370000000001
7.75,39.7024,15.52719
8.0,23.27688,14.5387
8.25,23.45909,14.711950000000002
8.5,26.8134,15.97627
8.75,30.3021,16.91845
9.0,34.9413,16.28561
9.25,35.794799999999995,15.861679999999998
9.5,38.753699999999995,16.37742
9.75,40.4301,17.47299
10.0,42.3999,17.54719
10.25,41.1918,17.51956
10.5,27.244770000000003,15.27209
10.75,27.51719,15.11333
11.0,37.909800000000004,16.152610000000003
11.25,39.739599999999996,17.67274
11.5,40.313,16.47405
11.75,44.1813,16.69687
12.0,42.5343,16.4531
12.25,43.8661,16.57723
12.5,43.1094,17.20248
12.75,40.7913,16.66518
13.0,35.4174,15.853090000000002
13.25,34.0573,16.155320000000003
13.5,40.3812,16.59229
13.75,44.3005,16.68904
14.0,42.5179,14.94134
14.25,44.0488,14.8336
14.5,42.553200000000004,14.814530000000001
14.75,46.4082,15.375539999999999
15.0,43.783500000000004,15.443460000000002
15.25,43.1686,14.21291
15.5,34.9906,14.87377
15.75,36.8271,16.29123
16.0,36.3214,15.711490000000001
16.25,44.7025,19.07826
16.5,42.5592,16.57197
16.75,41.8525,15.19257
17.0,42.4728,14.705789999999999
17.25,42.4324,14.26191
17.5,44.258199999999995,14.36581
17.75,46.9977,14.09499
18.0,44.7817,13.980149999999998
18.25,43.1047,13.662630000000002
18.5,41.6262,13.45957
18.75,42.8836,13.146149999999999
19.0,44.2761,13.14433
19.25,44.8831,13.03614
19.5,46.348299999999995,13.03989
19.75,46.045,13.409510000000001
20.0,51.301,14.040300000000002
20.25,50.8105,13.00691
20.5,50.004400000000004,12.608150000000002
20.75,50.2411,13.022509999999999
21.0,49.7449,14.149429999999999
21.25,51.84910000000001,13.619039999999998
21.5,52.852000000000004,15.1474
21.75,48.3409,15.43779
22.0,49.7329,16.473840000000003
22.25,49.0321,15.675450000000001
22.5,45.6734,15.759160000000001
22.75,45.535000000000004,15.52531
23.0,45.5161,15.48011
23.25,45.0201,16.32038
23.5,50.0629,17.58151
23.75,50.1274,17.28244
24.0,44.5984,17.063660000000002
24.25,45.3603,18.09572
24.5,43.411899999999996,18.30073
24.75,42.1093,17.28514
25.0,45.6835,17.03948
25.25,45.1363,17.27272
25.5,45.9157,16.64884
25.75,45.621,16.18249
26.0,48.2389,17.50134
26.25,47.0695,16.44639
26.5,47.1359,17.40196
26.75,46.4237,15.24958
27.0,42.3022,15.29909
27.25,41.5603,14.862950000000001
27.5,41.8137,14.524260000000002
27.75,40.4532,14.65971
28.0,40.757099999999994,14.850259999999999
28.25,42.9118,15.245199999999999
28.5,39.456,14.677150000000001
28.75,39.6075,15.07668
29.0,40.0896,15.23115
29.25,38.9745,15.08709
29.5,43.982600000000005,16.13372
29.75,38.3721,15.559660000000001
30.0,39.5722,16.22177
30.25,40.367599999999996,16.29035
30.5,42.1026,16.07004
30.75,42.8593,15.294250000000002
31.0,53.6953,17.132620000000003
31.25,67.853,16.18674
31.5,71.0348,18.38632
31.75,87.0705,18.42098
32.0,81.6426,16.81002
32.25,105.51339999999999,19.02327
32.5,111.8644,21.7989
32.75,114.0529,21.01676
33.0,122.6155,18.12378
33.25,134.1968,20.18621
33.5,128.6933,18.38914
33.75,156.39499999999998,18.66468
34.0,144.3722,18.89323
34.25,135.5953,20.81537
34.5,122.4638,20.49927
34.75,122.3939,18.00067
35.0,147.56719999999999,24.40858
35.25,138.6243,21.32525
35.5,150.6553,27.860599999999998
35.75,150.5069,27.995730000000002
36.0,145.00379999999998,29.002720000000004
36.25,148.3579,28.43873
36.5,133.63569999999999,21.47362
36.75,130.6746,20.84984
37.0,126.9505,21.10804
37.25,108.0931,20.895490000000002
37.5,106.177,19.71725
37.75,111.8161,22.11647
38.0,94.9909,18.51884
38.25,90.5403,18.42669
38.5,95.80449999999999,17.862940000000002
38.75,102.96470000000001,20.153959999999998
39.0,98.23310000000001,18.40653
39.25,92.9682,18.26794
39.5,78.663,16.66378
39.75,79.6398,15.641020000000001
40.0,82.5294,15.85097
40.25,79.27,16.58895
40.5,76.251,15.31295
40.75,76.2692,16.97253
41.0,67.7842,15.157509999999998
41.25,72.8891,17.9538
41.5,62.3123,14.717690000000001
41.75,60.2585,15.226119999999998
42.0,56.794399999999996,15.41883
42.25,54.676,14.58673
42.5,53.7145,14.71941
42.75,55.5968,14.924339999999999
43.0,57.2722,15.21886
43.25,56.69409999999999,15.541479999999998
43.5,58.0063,16.151880000000002
43.75,54.1946,14.673929999999999
44.0,60.6944,14.12153
44.25,58.4273,13.13221
44.5,60.6179,13.21273
44.75,58.4807,12.79053
45.0,63.24600000000001,13.98843
45.25,60.8965,15.47379
45.5,60.2167,17.86623
45.75,61.0625,19.14797
46.0,57.283300000000004,18.8339
46.25,62.060199999999995,19.08506
46.5,55.5745,16.92913
46.75,54.11370000000001,16.08709
47.0,57.3322,16.90844
47.25,55.9411,18.01221
47.5,58.383399999999995,18.229570000000002
47.75,58.936899999999994,18.989089999999997
48.0,55.1712,17.28812
48.25,53.9182,16.05082
48.5,50.8999,16.00646
48.75,52.7884,16.46197
49.0,52.858000000000004,17.77324
49.25,55.53150000000001,18.89193
49.5,57.2059,19.476869999999998
49.75,53.832,18.93566
50.0,57.85810000000001,17.891939999999998
50.25,56.394600000000004,19.52518
50.5,57.6769,20.46059
50.75,54.7792,18.69097
51.0,52.556200000000004,14.839010000000002
51.25,48.94239999999999,14.3051
51.5,51.920100000000005,14.913799999999998
51.75,52.1332,14.97312
52.0,48.091300000000004,15.03309
52.25,49.798,16.0595
52.5,48.10119999999999,16.52426
52.75,46.9036,15.53206
53.0,49.7392,16.72479
53.25,44.9266,15.773420000000002
53.5,46.972300000000004,16.49792
53.75,44.6133,17.11795
54.0,47.4292,19.14272
54.25,46.531800000000004,17.96138
54.5,45.176100000000005,16.45249
54.75,48.22240000000001,17.876649999999998
55.0,59.03789999999999,17.62048
55.25,66.4957,17.35094
55.5,80.057,18.5278
55.75,92.5791,20.66771
56.0,84.2577,18.43834
56.25,96.9426,20.64378
56.5,108.2815,23.95776
56.75,108.2611,20.41003
57.0,118.0693,20.93631
57.25,116.92779999999999,19.44363
57.5,126.4032,21.75118
57.75,131.2372,22.36195
58.0,128.3512,21.62049
58.25,141.0309,24.18812
58.5,122.3995,25.957459999999998
58.75,115.3365,21.76987
59.0,128.5897,24.62036
59.25,138.96009999999998,21.9018
59.5,137.38150000000002,25.730580000000003
59.75,143.28629999999998,26.44548
60.0,133.6387,25.749190000000002
60.25,133.48080000000002,23.03898
60.5,140.69389999999999,25.70615
60.75,126.4091,25.08742
61.0,104.5027,17.269
61.25,99.57239999999999,20.89689
61.5,104.6624,22.7207
61.75,103.38419999999999,21.40732
62.0,101.1034,17.19452
62.25,80.884,16.62815
62.5,77.2023,15.38549
62.75,77.2599,16.62386
63.0,75.47030000000001,16.37792
63.25,77.1173,17.03525
