Hora_decimal,P_3f_S,Q_3f_S
0.0,664.311,78.0333
0.25,664.311,78.0333
0.5,673.406,79.0417
0.75,674.859,81.92680000000001
1.0,669.2,71.7564
1.25,656.88,75.7102
1.5,645.398,69.0924
1.75,652.502,72.32939999999999
2.0,639.593,66.4889
2.25,647.468,69.22810000000001
2.5,657.722,68.3235
2.75,652.11,68.0306
3.0,668.723,78.3897
3.25,658.266,77.1818
3.5,658.626,76.1406
3.75,665.238,85.3113
4.0,667.985,84.6092
4.25,679.767,88.9624
4.5,671.164,97.2181
4.75,672.943,93.26259999999999
5.0,646.789,68.62270000000001
5.25,649.684,56.9843
5.5,603.1909999999999,54.057399999999994
5.75,564.337,54.2722
6.0,535.1310000000001,47.4283
6.25,531.813,48.177099999999996
6.5,539.5600000000001,48.9746
6.75,552.4949999999999,51.5322
7.0,550.38,54.230000000000004
7.25,551.102,57.297
7.5,558.5219999999999,52.5571
7.75,572.1270000000001,56.96900000000001
8.0,480.245,60.8196
8.25,488.54999999999995,62.6766
8.5,519.5889999999999,72.7543
8.75,558.848,82.4323
9.0,576.0999999999999,69.18440000000001
9.25,583.499,69.86760000000001
9.5,582.168,67.0953
9.75,576.678,64.1307
10.0,599.8679999999999,71.3634
10.25,605.623,73.6996
10.5,541.6769999999999,74.9365
10.75,549.173,71.1323
11.0,595.363,70.2797
11.25,593.759,73.3568
11.5,606.539,66.26169999999999
11.75,636.873,72.2076
12.0,651.4929999999999,89.22550000000001
12.25,668.95,82.136
12.5,686.9069999999999,90.7841
12.75,685.635,95.1965
13.0,623.893,81.51480000000001
13.25,613.2750000000001,81.0921
13.5,617.034,71.53829999999999
13.75,656.5129999999999,74.6719
14.0,673.4350000000001,71.4176
14.25,698.81,80.4827
14.5,714.203,86.7196
14.75,720.1800000000001,82.8189
15.0,712.352,89.6124
15.25,713.994,80.17240000000001
15.5,618.514,69.2344
15.75,627.765,73.6732
16.0,654.836,87.3717
16.25,679.787,95.6235
16.5,707.906,101.70649999999999
16.75,713.399,92.247
17.0,699.7760000000001,85.2327
17.25,710.705,82.07990000000001
17.5,694.208,68.8648
17.75,681.027,63.6865
18.0,682.6220000000001,62.227199999999996
18.25,681.0260000000001,58.846900000000005
18.5,685.38,67.0131
18.75,673.278,66.343
19.0,661.729,57.62530000000001
19.25,654.211,52.4354
19.5,635.654,42.8491
19.75,676.3620000000001,48.3977
20.0,707.015,45.383
20.25,709.3820000000001,45.631699999999995
20.5,712.119,41.9876
20.75,698.099,45.0631
21.0,697.6189999999999,44.968599999999995
21.25,690.458,40.1633
21.5,691.2470000000001,52.913199999999996
21.75,693.491,62.838800000000006
22.0,682.29,62.80929999999999
22.25,680.855,62.700399999999995
22.5,687.758,70.258
22.75,672.354,63.265
23.0,667.6949999999999,60.272600000000004
23.25,678.074,69.3234
23.5,668.207,61.7051
23.75,665.309,65.96109999999999
24.0,692.216,78.923
24.25,694.43,81.8782
24.5,696.9449999999999,89.59710000000001
24.75,693.1909999999999,83.4889
25.0,670.352,69.7865
25.25,677.696,74.0397
25.5,666.234,70.5025
25.75,663.752,63.9467
26.0,655.939,63.4307
26.25,668.973,67.3206
26.5,662.561,65.0981
26.75,669.52,64.83489999999999
27.0,666.447,72.7033
27.25,654.688,65.2383
