MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JANEIRO,4669.0,2221.0,1265813.0,108028.0,0.0,0.0,406.0,824.0,153329.96,185098.14,11067.56,56996.08,0.0,0.0,189871.95,16204.2,468350.81,63736.52,1144655.22
FEVEREIRO,5372.0,2534.0,1321674.0,112653.0,297.0,0.0,0.0,511.0,176416.48,211183.56,0.0,35345.87,19506.96,0.0,198251.1,16897.95,489019.38,66465.27,1213086.57
MARCO,5505.0,2862.0,1418812.0,127405.0,430.0,0.0,0.0,183.0,180784.2,238519.08,0.0,12658.11,28242.4,0.0,212821.8,19110.75,524960.44,75168.95,1292265.73
ABRIL,3540.0,2136.0,1061143.0,107127.0,0.0,0.0,1535.0,909.0,116253.6,178014.24,41844.1,62875.53,0.0,0.0,159171.45,16069.05,392622.91,63204.93,1030055.81
MAIO,3503.0,2547.0,1105403.0,117649.0,0.0,0.0,1572.0,498.0,115038.52,212266.98,42852.72,34446.66,0.0,0.0,165810.45,17647.35,408999.11,69412.91,1066474.7
JUNHO,4441.0,2689.0,1260495.0,127375.0,0.0,0.0,634.0,356.0,145842.44,224101.26,17282.84,24624.52,0.0,0.0,189074.25,19106.25,466383.15,75151.25,1161565.96
JULHO,4676.0,3222.0,1246732.0,129591.0,0.0,177.0,399.0,0.0,153559.84,268521.48,10876.74,0.0,0.0,29502.36,187009.8,19438.65,461290.84,76458.69,1206658.4
AGOSTO,3506.0,2411.0,1166402.0,120814.0,0.0,0.0,1569.0,634.0,115137.04,200932.74,42770.94,43853.78,0.0,0.0,174960.3,18122.1,431568.74,71280.26,1098625.9
SETEMBRO,3138.0,2115.0,1080894.0,119201.0,0.0,0.0,1937.0,930.0,103051.92,176264.1,52802.62,64328.1,0.0,0.0,162134.1,17880.15,399930.78,70328.59,1046720.36
OUTUBRO,3954.0,2336.0,1112384.0,123658.0,0.0,0.0,1121.0,709.0,129849.36,194682.24,30558.46,49041.53,0.0,0.0,166857.6,18548.7,411582.08,72958.22,1074078.19
NOVEMBRO,5443.0,3145.0,1212973.0,113722.0,368.0,0.0,0.0,0.0,178748.12,262104.3,0.0,0.0,24170.24,0.0,181945.95,17058.3,448800.01,67095.98,1179922.9
DEZEMBRO,5351.0,2969.0,1227499.0,116136.0,276.0,0.0,0.0,76.0,175726.84,247436.46,0.0,5256.92,18127.68,0.0,184124.85,17420.4,454174.63,68520.24,1170788.02
TOTAIS,5505.0,3222.0,14480224.0,1423359.0,430.0,177.0,1937.0,930.0,1743738.32,2599124.58,250055.97999999998,389427.10000000003,90047.28,29502.36,2172033.6,213503.85,5357682.88,839781.8099999999,13684897.759999998
CTOTAL,,,15903583.0,,,,,,,,,,,,,,,,
R$TOTAL,,,,,,,,,,,,,,,,,,,13684897.759999998
DCFP,5075.0,,,,,,,,,,,,,,,,,,
DCP,,3045.0,,,,,,,,,,,,,,,,,
