Mes,Posto,N_pontos_SIM,Consumo_P_SIM_kWh,Consumo_Q_SIM_kVArh,DemandaMax_P_SIM_kW,DemandaMax_Q_SIM_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1378754.54125,131095.648275,5100.38,607.946,2712
JANEIRO,PONTA,264,117586.994,10577.161975,2420.999,371.274,264
FEVEREIRO,FORA_PONTA,2448,1440507.74575,141928.0775825,5868.62,626.646,2448
FEVEREIRO,PONTA,240,122702.053,11645.910875,2762.813,412.82,240
MARCO,FORA_PONTA,2736,1546113.9875,138107.40685,6015.45,552.78,2736
MARCO,PONTA,240,138840.26975,10881.1071,3122.42,286.8973,240
ABRIL,FORA_PONTA,2640,1154940.07,75177.537473825,3863.68,319.486,2640
ABRIL,PONTA,240,116653.51025,6064.7387,2327.624,259.901,240
MAIO,FORA_PONTA,2724,1203173.43075,61729.16480246,3823.7,366.779,2724
MAIO,PONTA,252,128138.99575,5349.15871,2777.224,176.19889999999998,252
JUNHO,FORA_PONTA,2640,1373082.43535,49866.557377975,4850.4,247.4847,2640
JUNHO,PONTA,240,138811.41475,4202.676525,2932.589,129.7145,240
JULHO,FORA_PONTA,2700,1357875.65475,37783.051816715,5107.530000000001,233.1067,2700
JULHO,PONTA,276,141152.04200000002,3535.87812275,3515.83,163.0256,276
AGOSTO,FORA_PONTA,2724,1269913.279,42991.115070500004,3827.12,219.282,2724
AGOSTO,PONTA,252,131602.6315,4892.200035,2629.203,204.3593,252
SETEMBRO,FORA_PONTA,2616,1176595.58575,52961.412637475,3423.76,285.96500000000003,2616
SETEMBRO,PONTA,264,129808.776,5824.612195,2305.319,173.1583,264
OUTUBRO,FORA_PONTA,2700,1210871.3657,71231.8537625,4317.68,411.45400000000006,2700
OUTUBRO,PONTA,276,134658.3315,7780.55735,2546.259,271.3447,276
NOVEMBRO,FORA_PONTA,2652,1321067.599,91982.6230175,5947.38,511.147,2652
NOVEMBRO,PONTA,228,123897.372,8923.258,3432.37,361.112,228
DEZEMBRO,FORA_PONTA,2712,1336836.7965,108140.678,5846.88,549.0619999999999,2712
DEZEMBRO,PONTA,264,126457.879,11504.648925,3239.53,392.558,264
