Hora_decimal,P_3f_S,Q_3f_S
0.0,758.102,95.57419999999999
0.25,758.102,95.57419999999999
0.5,767.892,96.6943
0.75,769.4800000000001,99.85309999999998
1.0,762.3800000000001,88.6918
1.25,749.735,93.009
1.5,736.116,85.3918
1.75,745.5920000000001,88.9388
2.0,731.5160000000001,82.4294
2.25,740.321,85.7859
2.5,751.166,84.8748
2.75,744.383,84.1725
3.0,763.241,96.2906
3.25,750.597,94.4761
3.5,750.2429999999999,92.6575
3.75,757.625,103.1295
4.0,761.577,102.4566
4.25,774.189,107.7741
4.5,764.415,116.4526
4.75,766.601,112.0201
5.0,738.262,85.1865
5.25,739.8009999999999,71.9652
5.5,688.4259999999999,68.199
5.75,642.144,68.789
6.0,606.603,60.699200000000005
6.25,600.636,61.60130000000001
6.5,609.975,62.6027
6.75,621.824,65.6607
7.0,617.8470000000001,68.8244
7.25,614.277,71.8661
7.5,622.644,66.5876
7.75,631.4340000000001,71.279
8.0,656.169,94.4932
8.25,648.46,94.3125
8.5,635.928,98.795
8.75,641.268,105.0839
9.0,644.388,89.37660000000001
9.25,636.985,88.7269
9.5,620.169,84.80340000000001
9.75,599.037,80.1643
10.0,621.864,88.2386
10.25,625.531,90.8013
10.5,688.7220000000001,110.8348
10.75,691.5,104.7022
11.0,684.952,96.73559999999999
11.25,652.147,96.00829999999999
11.5,650.629,86.6601
11.75,675.616,92.3018
12.0,678.415,109.6928
12.25,685.8489999999999,100.4048
12.5,719.101,109.2308
12.75,709.603,114.6175
13.0,792.0390000000001,117.45509999999999
13.25,749.163,115.8256
13.5,710.284,98.3776
13.75,726.593,97.81889999999999
14.0,728.435,92.7322
14.25,747.449,101.4005
14.5,756.791,106.6156
14.75,751.472,101.1925
15.0,751.785,108.5682
15.25,761.201,97.5364
15.5,799.0609999999999,103.8296
15.75,794.898,107.0282
16.0,784.057,115.47380000000001
16.25,790.0210000000001,119.6789
16.5,792.664,125.636
16.75,792.221,113.6908
17.0,784.0360000000001,104.4504
17.25,781.601,99.3295
17.5,765.141,84.5583
17.75,753.372,79.1426
18.0,763.341,77.7105
18.25,767.808,73.90690000000001
18.5,773.673,82.7788
18.75,761.658,82.3467
19.0,749.606,72.4948
19.25,742.393,66.7308
19.5,724.39,55.982299999999995
19.75,771.1680000000001,62.3412
20.0,805.5980000000001,59.5549
20.25,809.2760000000001,60.2916
20.5,812.2040000000001,56.1231
20.75,796.355,59.343799999999995
21.0,798.094,59.6165
21.25,790.091,54.0723
21.5,790.8119999999999,67.9845
21.75,791.9179999999999,78.9991
22.0,778.0060000000001,78.6806
22.25,777.1759999999999,78.7585
22.5,785.059,87.4952
22.75,766.433,78.7235
23.0,762.8100000000001,76.10249999999999
23.25,775.363,86.55080000000001
23.5,763.847,77.7355
23.75,761.598,82.4773
24.0,789.5450000000001,96.60210000000001
24.25,792.673,99.8532
24.5,794.078,108.4812
24.75,789.932,101.4032
25.0,764.897,86.3309
25.25,772.517,91.1553
25.5,760.731,87.3374
25.75,758.355,80.3202
26.0,747.6320000000001,79.15050000000001
26.25,765.491,84.2253
26.5,756.26,81.5954
26.75,763.401,81.0764
27.0,759.615,89.4079
27.25,747.629,81.68130000000001
27.5,741.63,76.4197
27.75,752.976,81.1185
28.0,765.5,90.56269999999999
28.25,778.3199999999999,95.0122
28.5,788.415,103.219
28.75,778.98,101.8261
29.0,773.3719999999998,93.0501
29.25,764.76,90.6968
29.5,725.314,80.2822
29.75,682.7,83.5705
30.0,652.524,77.6961
30.25,648.809,74.3122
30.5,662.983,70.37
30.75,692.781,73.8052
31.0,739.944,84.7077
31.25,821.358,82.8249
31.5,1002.96,97.13069999999999
31.75,1152.589,109.93010000000001
32.0,1365.3319999999999,135.0093
32.25,1411.949,134.4492
32.5,1502.643,148.0675
32.75,1548.935,143.953
33.0,1555.341,156.4497
33.25,1654.924,158.7489
33.5,1717.875,157.5895
33.75,1573.8110000000001,139.8309
34.0,1690.792,143.5522
34.25,1672.1989999999998,149.6313
34.5,1821.8509999999999,184.06150000000002
34.75,1714.0929999999998,179.1778
35.0,1743.075,183.5324
35.25,1751.8080000000002,188.8708
35.5,1660.6479999999997,161.6936
35.75,1645.7440000000001,166.447
36.0,1607.513,175.35070000000002
36.25,1564.68,171.28900000000002
36.5,1595.0089999999998,177.3504
36.75,1578.7709999999997,168.93099999999998
37.0,1537.5529999999999,162.1005
37.25,1519.0610000000001,165.2708
37.5,1444.102,143.5999
37.75,1322.933,141.742
38.0,1327.8090000000002,139.0359
38.25,1333.124,138.4808
38.5,1360.578,160.1309
38.75,1394.5610000000001,153.43099999999998
39.0,1337.153,139.7724
39.25,1312.3319999999999,136.2798
39.5,1322.7839999999999,139.9522
39.75,1320.6280000000002,137.1773
40.0,1281.313,127.6233
40.25,1252.9270000000001,121.68369999999999
40.5,1243.742,122.86600000000001
40.75,1225.847,121.1288
41.0,1127.0990000000002,105.5721
41.25,1073.371,107.3826
41.5,1028.307,90.5056
41.75,1016.961,99.28559999999999
42.0,1007.7239999999999,96.3366
42.25,978.954,91.8356
42.5,973.626,98.0451
42.75,948.13,97.0515
43.0,940.328,90.8326
43.25,922.2919999999999,93.0208
43.5,900.9200000000001,85.9818
43.75,918.0830000000001,83.4529
44.0,937.855,72.1662
44.25,928.421,64.4208
44.5,919.5050000000001,64.5586
44.75,915.221,59.3116
45.0,901.224,58.53609999999999
45.25,899.827,68.7093
45.5,904.934,91.3951
45.75,896.9,101.36970000000001
46.0,898.701,100.23960000000001
46.25,906.6579999999999,89.8549
46.5,894.752,90.5684
46.75,911.687,92.9701
47.0,875.726,85.5569
47.25,861.954,85.3901
47.5,858.233,81.6945
47.75,852.9630000000001,88.955
48.0,868.617,84.0144
48.25,872.145,86.49170000000001
48.5,892.796,98.7079
48.75,876.1800000000001,105.0433
49.0,869.829,106.38910000000001
49.25,859.983,97.95689999999999
49.5,840.9460000000001,88.2849
49.75,849.3119999999999,100.5782
50.0,835.0440000000001,87.5321
50.25,838.9390000000001,94.7765
50.5,823.874,98.2002
50.75,824.652,86.2501
51.0,819.154,74.5311
51.25,831.184,77.5103
51.5,828.779,80.839
51.75,824.578,81.0347
52.0,828.54,86.0863
52.25,827.8530000000001,90.6601
52.5,844.693,102.085
52.75,838.374,100.1636
