Hora_decimal,P_3f_S,Q_3f_S
0.0,44.4691,18.31184
0.25,44.4691,18.31184
0.5,39.3367,15.950040000000001
0.75,42.7173,16.06488
1.0,44.2542,17.19281
1.25,46.013600000000004,18.00865
1.5,48.0104,18.30017
1.75,45.916,16.43236
2.0,44.9273,16.27094
2.25,47.708,17.09715
2.5,45.5929,17.66779
2.75,46.3885,17.64116
3.0,42.844,17.355849999999997
3.25,43.1611,16.8178
3.5,42.4652,16.88857
3.75,43.5062,17.10799
4.0,40.904399999999995,17.48821
4.25,41.9294,17.48957
4.5,39.5737,18.26944
4.75,38.728899999999996,16.89687
5.0,40.2235,15.665399999999998
5.25,38.3999,13.08372
5.5,39.9481,13.61726
5.75,34.5898,13.77093
6.0,34.0329,14.08207
6.25,36.4461,14.476529999999999
6.5,36.639,14.699160000000001
6.75,36.0753,14.45648
7.0,35.8149,14.64951
7.25,37.5754,14.76412
7.5,38.7003,15.706620000000001
7.75,39.180800000000005,15.46012
8.0,22.998179999999998,14.48701
8.25,23.17767,14.657689999999999
8.5,26.4824,15.90323
8.75,29.919559999999997,16.83133
9.0,34.4901,16.20754
9.25,35.330799999999996,15.789839999999998
9.5,38.2461,16.29777
9.75,39.8976,17.37719
10.0,41.838300000000004,17.45015
10.25,40.647999999999996,17.42301
10.5,26.907370000000004,15.209399999999999
10.75,27.175759999999997,15.052970000000002
11.0,37.4148,16.07632
11.25,39.217400000000005,17.573999999999998
11.5,39.7823,16.39287
11.75,43.5934,16.61212
12.0,41.9707,16.37211
12.25,43.2829,16.49425
12.5,42.5374,17.11038
12.75,40.2534,16.5811
13.0,34.9591,15.781379999999999
13.25,33.6192,16.07921
13.5,39.849399999999996,16.50947
13.75,43.7108,16.60453
14.0,41.9545,14.882629999999999
14.25,43.4629,14.77637
14.5,41.9893,14.757719999999999
14.75,45.7873,15.31017
15.0,43.2014,15.377400000000002
15.25,42.595600000000005,14.16499
15.5,34.5387,14.81661
15.75,36.347899999999996,16.21304
16.0,35.8498,15.641869999999999
16.25,44.1069,18.95848
16.5,41.9953,16.48929
16.75,41.299,15.13021
17.0,41.9101,14.65063
17.25,41.8702,14.213239999999999
17.5,43.669,14.31552
17.75,46.3681,14.04861
18.0,44.184999999999995,13.935559999999999
18.25,42.5327,13.622810000000001
18.5,41.076100000000004,13.422979999999999
18.75,42.3149,13.114090000000001
19.0,43.686699999999995,13.112189999999998
19.25,44.2849,13.00558
19.5,45.7283,13.009210000000001
19.75,45.4294,13.37325
20.0,50.6077,13.99446
20.25,50.1245,12.97632
20.5,49.330299999999994,12.58343
20.75,49.563500000000005,12.99173
21.0,49.07469999999999,14.101869999999998
21.25,51.1477,13.57928
21.5,52.1358,15.084979999999998
21.75,47.6914,15.37131
22.0,49.0628,16.392139999999998
22.25,48.3724,15.6055
22.5,45.0634,15.68823
22.75,44.927,15.45785
23.0,44.908500000000004,15.41326
23.25,44.4197,16.2411
23.5,49.3879,17.48322
23.75,49.451499999999996,17.18864
24.0,44.0042,16.97339
24.25,44.7549,17.99015
24.5,42.8353,18.19227
24.75,41.552,17.19182
25.0,45.0733,16.94972
25.25,44.5342,17.17955
25.5,45.3022,16.56476
25.75,45.0118,16.10534
26.0,47.5909,17.404600000000002
26.25,46.4389,16.36521
26.5,46.5043,17.30676
26.75,45.8026,15.186160000000001
27.0,41.7421,15.23525
27.25,41.0112,14.805589999999999
27.5,41.2608,14.471899999999998
27.75,39.9204,14.6053
28.0,40.2198,14.793120000000002
28.25,42.3427,15.1821
28.5,38.938,14.622660000000002
28.75,39.087199999999996,15.01627
29.0,39.5621,15.16834
29.25,38.4636,15.02654
29.5,43.397600000000004,16.05752
29.75,37.87,15.49219
30.0,39.0525,16.14445
30.25,39.8361,16.212
30.5,41.5454,15.994860000000001
30.75,42.291000000000004,15.230550000000001
31.0,52.9666,17.04126
31.25,66.9149,16.10837
31.5,70.0496,18.274929999999998
31.75,85.8478,18.30757
32.0,80.50019999999999,16.7209
32.25,104.01740000000001,18.89873
32.5,110.27420000000001,21.63239
32.75,112.4305,20.86141
33.0,120.8662,18.00986
33.25,132.2756,20.03971
33.5,126.8538,18.26977
33.75,154.14440000000002,18.53642
34.0,142.3001,18.764229999999998
34.25,133.6534,20.65941
34.5,120.7166,20.34995
