Hora_decimal,P_3f_S,Q_3f_S
0.0,548.36,184.6302
0.25,548.36,184.6302
0.5,560.951,186.3219
0.75,561.739,188.2004
1.0,552.817,177.7698
1.25,545.722,182.53320000000002
1.5,534.586,176.3846
1.75,539.384,179.0297
2.0,528.48,174.7479
2.25,536.319,177.3115
2.5,541.364,174.6326
2.75,537.1659999999999,174.24169999999998
3.0,552.946,185.59539999999998
3.25,547.099,185.8793
3.5,545.685,184.6298
3.75,553.028,191.4781
4.0,556.312,191.5644
4.25,567.6709999999999,195.9751
4.5,553.797,203.1158
4.75,564.143,199.899
5.0,540.946,177.46859999999998
5.25,540.168,165.7353
5.5,494.04400000000004,161.61520000000002
5.75,458.23699999999997,160.5621
6.0,432.161,154.6688
6.25,429.48499999999996,155.6001
6.5,437.55899999999997,156.8275
6.75,447.943,157.5248
7.0,446.4200000000001,160.0552
7.25,450.881,163.44799999999998
7.5,455.93800000000005,161.06889999999999
7.75,467.091,164.3569
8.0,385.3670000000001,167.453
8.25,390.543,169.1009
8.5,422.66099999999994,179.0045
8.75,451.04200000000003,186.3045
9.0,463.555,173.0583
9.25,472.389,174.9441
9.5,466.044,170.8447
9.75,460.634,166.2244
10.0,488.65999999999997,175.6222
10.25,488.089,175.6987
10.5,426.4839999999999,175.52779999999998
10.75,430.46299999999997,172.375
11.0,481.90700000000004,174.5323
11.25,478.78,176.1723
11.5,483.79100000000005,167.98899999999998
11.75,516.142,174.29500000000002
12.0,535.517,191.7125
12.25,554.086,186.66559999999998
12.5,567.653,195.4564
12.75,566.8489999999999,198.4903
13.0,508.3,184.5641
13.25,500.40099999999995,184.4825
13.5,502.108,175.1395
13.75,533.8530000000001,175.45409999999998
14.0,551.654,175.32569999999998
14.25,568.191,181.2866
14.5,585.881,188.7039
14.75,590.648,183.5652
15.0,581.72,188.9244
15.25,591.47,183.5061
15.5,501.348,172.9931
15.75,509.582,177.0782
16.0,522.407,186.0021
16.25,557.296,197.4988
16.5,582.251,202.0907
16.75,593.792,194.8757
17.0,571.572,185.5239
17.25,582.8330000000001,182.714
17.5,567.895,171.40109999999999
17.75,562.7270000000001,169.5884
18.0,560.871,166.9612
18.25,555.962,162.1186
18.5,566.6959999999999,170.8426
18.75,553.427,170.33259999999999
19.0,540.6080000000001,162.1502
19.25,537.588,159.1966
19.5,524.02,151.4795
19.75,556.0459999999999,155.9744
20.0,579.956,151.93880000000001
20.25,581.0029999999999,152.0516
20.5,587.987,149.2677
20.75,578.711,153.4434
21.0,574.373,153.03
21.25,570.638,148.5041
21.5,571.7570000000001,159.8011
21.75,565.954,165.64440000000002
22.0,564.1700000000001,169.2947
22.25,562.181,169.3426
22.5,570.737,176.4756
22.75,561.402,171.9355
23.0,557.024,169.4533
23.25,557.876,173.5289
23.5,554.3299999999999,168.62439999999998
23.75,549.956,172.0083
24.0,577.344,186.0383
24.25,579.032,189.3822
24.5,585.1700000000001,196.38500000000002
24.75,579.035,190.35229999999999
25.0,559.319,176.6422
25.25,558.197,177.9878
25.5,546.731,174.9678
25.75,546.454,169.6408
26.0,544.943,171.68789999999998
26.25,550.173,173.9564
26.5,541.866,171.46269999999998
26.75,546.098,168.8913
27.0,546.5269999999999,176.9269
27.25,539.125,171.3866
27.5,541.054,169.8033
27.75,550.015,173.5988
28.0,561.3710000000001,180.7232
28.25,569.75,185.0159
28.5,573.374,188.824
28.75,566.8820000000001,187.7696
29.0,569.934,184.5951
29.25,559.2339999999999,181.87259999999998
29.5,526.847,171.6124
29.75,493.445,173.5536
30.0,469.75399999999996,167.737
30.25,466.18899999999996,166.566
30.5,481.159,163.7419
30.75,492.664,163.1747
31.0,531.8030000000001,170.2819
31.25,607.115,169.5266
31.5,746.539,180.3993
31.75,867.125,188.7015
32.0,934.927,196.7507
32.25,979.4989999999999,198.7647
32.5,1073.891,215.64980000000003
32.75,1149.752,214.0087
33.0,1152.982,221.3558
33.25,1226.589,222.4902
33.5,1294.721,225.31749999999997
33.75,1194.074,214.8659
34.0,1294.283,215.80990000000003
34.25,1277.964,219.77519999999998
34.5,1277.727,231.32150000000001
34.75,1214.219,232.72910000000002
35.0,1263.731,235.73970000000003
35.25,1285.25,246.2634
35.5,1220.346,225.6438
35.75,1211.843,227.132
36.0,1195.43,234.22039999999998
36.25,1192.813,232.80969999999996
36.5,1219.9940000000001,239.10829999999999
36.75,1185.773,233.195
37.0,1051.9950000000001,217.03520000000003
37.25,1045.15,218.6134
37.5,1052.954,207.68649999999997
37.75,969.566,205.2582
38.0,998.0889999999999,209.49380000000002
38.25,1009.803,206.641
38.5,1005.078,229.0364
38.75,1072.43,226.02949999999998
39.0,1036.576,214.6322
39.25,1008.5169999999999,209.90000000000003
39.5,905.2649999999999,197.28479999999996
39.75,912.509,197.6255
40.0,920.367,198.03390000000002
40.25,930.4770000000001,197.4624
40.5,928.838,201.9575
40.75,917.8820000000001,200.65879999999999
41.0,841.3130000000001,189.19189999999998
41.25,805.8599999999999,189.73379999999997
41.5,771.798,176.1685
41.75,761.6980000000001,183.5283
42.0,753.54,182.216
42.25,721.53,178.6165
42.5,718.92,184.1258
42.75,693.2280000000001,183.0776
43.0,684.003,178.2084
43.25,676.365,181.81
43.5,650.532,175.09040000000002
43.75,662.157,172.5457
44.0,674.604,163.2054
44.25,672.996,157.61239999999998
44.5,670.983,157.0577
44.75,661.557,151.82049999999998
45.0,649.644,150.9463
45.25,649.882,160.321
45.5,646.568,175.6461
45.75,652.1099999999999,190.1591
46.0,656.4359999999999,188.3821
46.25,666.414,181.2576
46.5,657.13,180.5682
46.75,665.4,180.2734
47.0,639.57,175.3766
47.25,628.296,174.4751
47.5,626.673,175.0895
47.75,616.972,178.9806
48.0,637.293,175.8182
48.25,642.183,177.481
48.5,648.75,184.1497
48.75,647.632,193.5992
49.0,639.918,193.70730000000003
49.25,636.954,188.3734
49.5,616.659,179.9633
49.75,624.652,189.16219999999998
50.0,609.855,178.43529999999998
50.25,607.1220000000001,180.4726
50.5,602.7909999999999,186.61430000000001
50.75,608.298,179.7421
51.0,606.119,168.8958
51.25,604.718,167.6214
51.5,611.1890000000001,172.69740000000002
51.75,605.829,173.19979999999998
52.0,610.456,177.0273
52.25,610.472,182.5174
52.5,619.5939999999999,190.4001
52.75,621.443,190.0285
53.0,603.512,183.7951
53.25,604.442,186.2895
53.5,566.6179999999999,181.41750000000002
53.75,531.0409999999999,182.3942
54.0,511.15200000000004,177.28029999999998
54.25,511.411,174.0115
54.5,515.014,170.257
54.75,519.2959999999999,172.81369999999998
55.0,577.595,173.50560000000002
55.25,637.833,182.1044
55.5,781.588,186.5014
55.75,857.069,190.4515
56.0,903.796,200.7373
56.25,995.042,209.7255
56.5,1070.715,224.7621
56.75,1154.475,228.94009999999997
57.0,1196.434,227.41269999999997
57.25,1229.844,223.98879999999997
57.5,1268.995,238.69830000000002
57.75,1265.215,226.1605
58.0,1286.137,224.1051
