Hora_decimal,P_3f_S,Q_3f_S
0.0,688.632,84.4148
0.25,688.632,84.4148
0.5,697.43,85.3798
0.75,698.86,88.2207
1.0,692.479,78.203
1.25,681.091,82.0959
1.5,668.842,75.2813
1.75,677.374,78.4642
2.0,664.6899999999999,72.6119
2.25,672.6189999999999,75.63069999999999
2.5,682.39,74.8089
2.75,676.279,74.1781
3.0,693.253,85.04469999999999
3.25,681.865,83.4146
3.5,681.547,81.77839999999999
3.75,688.196,91.2093
4.0,691.741,90.57060000000001
4.25,703.101,95.3542
4.5,694.2819999999999,103.14070000000001
4.75,696.2479999999999,99.145
5.0,670.729,75.01769999999999
5.25,672.116,63.1046
5.5,625.863,59.7817
5.75,584.178,60.33669999999999
6.0,552.192,53.1093
6.25,546.819,53.9239
6.5,555.23,54.820899999999995
6.75,565.901,57.567499999999995
7.0,562.32,60.4216
7.25,559.1009999999999,63.1541
7.5,566.639,58.3959
7.75,574.554,62.6149
8.0,596.72,83.1865
8.25,589.788,83.0715
8.5,578.534,87.2287
8.75,583.364,92.9538
9.0,586.2139999999999,78.8831
9.25,579.547,78.301
9.5,564.417,74.81400000000001
9.75,545.3820000000001,70.6435
10.0,565.929,77.8704
10.25,569.232,80.17150000000001
10.5,626.037,97.8504
10.75,628.554,92.3824
11.0,622.71,85.3771
11.25,593.1840000000001,84.80860000000001
11.5,591.837,76.4318
11.75,614.344,81.5086
12.0,616.837,97.10210000000001
12.25,623.53,88.7243
12.5,653.468,96.63889999999999
12.75,644.91,101.4802
13.0,719.0889999999999,103.76610000000001
13.25,680.476,102.33739999999999
13.5,645.5319999999999,86.843
13.75,660.241,86.3999
14.0,661.8810000000001,81.7886
14.25,679.009,89.5918
14.5,687.406,94.2529
14.75,682.6120000000001,89.3669
15.0,682.903,96.00919999999999
15.25,691.384,86.08330000000001
15.5,725.419,91.4971
15.75,721.684,94.4295
16.0,711.958,102.173
16.25,717.3530000000001,106.0332
16.5,719.711,111.34550000000002
16.75,719.313,100.5991
17.0,711.954,92.32900000000001
17.25,709.758,87.70400000000001
17.5,694.951,74.4477
17.75,684.352,69.583
18.0,693.3489999999999,68.3062
18.25,697.372,64.88149999999999
18.5,702.6379999999999,72.8306
18.75,691.816,72.4511
19.0,680.9739999999999,63.608399999999996
19.25,674.479,58.4201
19.5,658.2819999999999,48.7907
19.75,700.417,54.4943
20.0,731.419,51.967400000000005
20.25,734.73,52.6284
20.5,737.364,48.867900000000006
20.75,723.0889999999999,51.7744
21.0,724.681,52.0629
21.25,717.473,47.0744
21.5,718.124,59.608
21.75,719.12,69.5277
22.0,706.578,69.22579999999999
22.25,705.8290000000001,69.2928
22.5,712.912,77.1201
22.75,696.136,69.23150000000001
23.0,692.878,66.8943
23.25,704.1850000000001,76.2996
23.5,693.8290000000001,68.40390000000001
23.75,691.804,72.6798
24.0,716.9490000000001,85.31909999999999
24.25,719.767,88.2478
24.5,721.0129999999999,95.97649999999999
24.75,717.279,89.6043
25.0,694.7439999999999,76.0723
25.25,701.61,80.4157
25.5,691.009,77.0178
25.75,688.872,70.70020000000001
26.0,679.207,69.652
