Mes,P_SIM_max,P_RGE_max,Delta_Pmax,Q_SIM_max,Q_RGE_max,Delta_Qmax
2025-01,4601.09,4604.32,-3.23,531.024,621.6,-90.576
2025-02,5293.83,5303.2,-9.37,548.232,618.24,-70.008
2025-03,5424.81,5434.24,-9.43,479.288,543.2,-63.912
2025-04,3488.39,3491.04,-2.65,276.142,342.72,-66.5782
2025-05,3452.44,3454.08,-1.64,318.556,362.88,-44.324
2025-06,4376.42,4378.08,-1.66,208.067,229.6,-21.5328
2025-07,4607.84,4609.92,-2.08,195.147,197.12,-1.9735
2025-08,3455.62,3456.32,-0.7,185.349,264.32,-78.9708
2025-09,3092.47,3092.32,0.15,245.436,228.48,16.9564
2025-10,3897.04,3897.6,-0.56,357.192,432.32,-75.128
2025-11,5363.5,5363.68,-0.18,442.332,528.64,-86.308
2025-12,5272.67,5277.44,-4.77,478.684,571.2,-92.516
