Hora_decimal,P_3f_S,Q_3f_S
0.0,826.4849999999999,63.653099999999995
0.25,826.4849999999999,63.653099999999995
0.5,826.5439999999999,63.65389999999999
0.75,826.5419999999999,63.654399999999995
1.0,826.547,63.653099999999995
1.25,826.535,63.657300000000006
1.5,826.55,63.6558
1.75,826.5459999999999,63.653099999999995
2.0,826.55,63.648599999999995
2.25,826.54,63.648300000000006
2.5,12.785150000000002,14.934289999999999
2.75,12.78536,14.935360000000001
3.0,12.784469999999999,14.930810000000001
3.25,12.78492,14.933060000000001
3.5,12.78485,14.93272
3.75,12.784020000000002,14.928529999999999
4.0,12.78378,14.927200000000001
4.25,12.783180000000002,14.92419
4.5,12.783180000000002,14.92412
4.75,12.78417,14.92914
5.0,12.7865,14.94098
5.25,12.78839,14.950909999999999
5.5,12.78929,14.95562
5.75,12.79091,14.963989999999999
6.0,12.792379999999998,14.97166
6.25,12.792,14.96979
6.5,12.792089999999998,14.97018
6.75,12.79202,14.96978
7.0,12.79178,14.96862
7.25,12.791509999999999,14.96725
7.5,12.79092,14.964220000000001
7.75,12.79085,14.963750000000001
8.0,12.79004,14.95959
8.25,12.790109999999999,14.95985
8.5,12.80951,14.967590000000001
8.75,12.828409999999998,14.9727
9.0,12.84944,14.988710000000001
9.25,12.87126,14.99982
9.5,12.894009999999998,15.010930000000002
9.75,12.918050000000001,15.02405
10.0,12.942139999999998,15.03276
10.25,12.95109,15.037400000000002
10.5,12.959,15.04122
10.75,12.96906,15.046759999999999
11.0,12.97754,15.04908
11.25,12.98928,15.05406
11.5,13.001900000000001,15.06392
11.75,13.012249999999998,15.06195
12.0,13.02477,15.06636
12.25,13.03596,15.073319999999999
12.5,13.04597,15.07404
12.75,13.057009999999998,15.08031
13.0,13.067719999999998,15.080019999999998
13.25,13.07294,15.0884
13.5,13.07747,15.09335
13.75,13.081499999999998,15.090989999999998
14.0,13.087699999999998,15.09995
14.25,13.086559999999999,15.09412
14.5,13.08746,15.09405
14.75,13.0901,15.09844
15.0,13.09008,15.09374
15.25,13.07638,15.08766
15.5,13.063010000000002,15.078780000000002
15.75,13.048729999999999,15.065219999999998
16.0,13.03733,15.057120000000001
16.25,13.04028,15.049329999999998
16.5,13.0472,15.05728
16.75,13.05353,15.06665
17.0,13.059920000000002,15.07195
17.25,13.04858,15.068940000000001
17.5,13.03733,15.066380000000002
17.75,13.02563,15.06147
18.0,13.011690000000002,15.04965
18.25,12.996590000000001,15.045560000000002
18.5,12.97808,15.03336
18.75,12.959150000000001,15.027989999999999
19.0,12.93776,15.01933
19.25,12.91227,15.007950000000001
19.5,12.884250000000002,14.992849999999999
19.75,12.85566,14.97024
20.0,12.82664,14.949860000000001
20.25,12.82536,14.94774
20.5,12.82449,14.947860000000002
20.75,12.82247,14.946549999999998
21.0,12.821579999999999,14.94665
21.25,12.81815,14.947409999999998
21.5,12.81272,14.93804
21.75,12.80831,14.93363
22.0,12.804290000000002,14.931359999999998
22.25,12.79568,14.928529999999999
22.5,12.785420000000002,14.92182
22.75,12.7835,14.925630000000002
23.0,12.78353,14.925930000000001
23.25,12.78284,14.922360000000001
23.5,12.78344,14.925360000000001
23.75,12.78349,14.92568
