Hora_decimal,P_3f_S,Q_3f_S
0.0,812.61,55.004799999999996
0.25,812.61,55.004799999999996
0.5,812.6759999999999,55.0034
0.75,812.673,55.0037
1.0,812.6759999999999,55.0031
1.25,812.664,55.0087
1.5,812.682,55.0081
1.75,812.6790000000001,55.00450000000001
2.0,812.682,55.0004
2.25,812.673,54.9997
2.5,12.57166,14.802979999999998
2.75,12.57184,14.80396
3.0,12.57103,14.79982
3.25,12.571449999999999,14.80197
3.5,12.57133,14.80132
3.75,12.570519999999998,14.79715
4.0,12.570219999999999,14.795649999999998
4.25,12.56965,14.792679999999999
4.5,12.56972,14.793010000000002
4.75,12.57085,14.79878
5.0,12.5732,14.810780000000001
5.25,12.57536,14.822
5.5,12.57613,14.82609
5.75,12.577930000000002,14.835339999999999
6.0,12.57944,14.84326
6.25,12.57892,14.84066
6.5,12.579130000000001,14.841679999999998
6.75,12.579130000000001,14.841679999999998
7.0,12.57886,14.84035
7.25,12.57853,14.83861
7.5,12.57779,14.83483
7.75,12.57774,14.834499999999998
8.0,12.57718,14.831600000000002
8.25,12.57721,14.831579999999999
8.5,12.596440000000001,14.83852
8.75,12.61519,14.842789999999999
9.0,12.6352,14.8582
9.25,12.656949999999998,14.86891
9.5,12.67945,14.8788
9.75,12.70231,14.890460000000001
10.0,12.7264,14.899150000000002
10.25,12.73538,14.903939999999999
10.5,12.74392,14.911010000000001
10.75,12.752949999999998,14.91584
11.0,12.76106,14.91626
11.25,12.7726,14.92025
11.5,12.78517,14.9298
11.75,12.79531,14.926839999999999
12.0,12.80695,14.931260000000002
12.25,12.818080000000002,14.93787
12.5,12.82825,14.93948
12.75,12.83929,14.94565
13.0,12.85027,14.9468
13.25,12.85546,14.955070000000001
13.5,12.859659999999998,14.95825
13.75,12.863529999999999,14.95504
14.0,12.86887,14.964299999999998
14.25,12.867700000000001,14.95825
14.5,12.86872,14.95878
14.75,12.87139,14.963289999999999
15.0,12.871300000000002,14.95825
15.25,12.858519999999999,14.952370000000002
15.5,12.8455,14.94531
15.75,12.83095,14.93032
16.0,12.81946,14.92186
16.25,12.82213,14.912510000000001
16.5,12.829239999999999,14.92134
16.75,12.835659999999999,14.931329999999999
17.0,12.84205,14.936590000000002
17.25,12.830770000000001,14.933869999999999
17.5,12.81946,14.930969999999999
17.75,12.8077,14.92582
18.0,12.794619999999998,14.91377
18.25,12.77971,14.910689999999999
18.5,12.76126,14.89872
18.75,12.743500000000001,14.89473
19.0,12.72205,14.88582
19.25,12.69655,14.874489999999998
19.5,12.66931,14.858640000000001
19.75,12.64069,14.835899999999999
20.0,12.612580000000001,14.815710000000001
20.25,12.61123,14.813130000000001
20.5,12.610330000000001,14.81304
20.75,12.60826,14.81157
21.0,12.60745,14.81202
21.25,12.60399,14.81265
21.5,12.59845,14.80278
21.75,12.5941,14.7987
22.0,12.590019999999999,14.79609
22.25,12.581499999999998,14.79372
22.5,12.57134,14.787510000000001
22.75,12.56944,14.7914
23.0,12.56941,14.79147
23.25,12.56878,14.788229999999999
23.5,12.569379999999999,14.79126
23.75,12.569500000000001,14.791900000000002
24.0,12.56842,14.786270000000002
24.25,12.567429999999998,14.78127
24.5,12.567219999999999,14.78
24.75,12.56824,14.785229999999999
25.0,12.569679999999998,14.792620000000001
25.25,12.56959,14.79236
25.5,12.57001,14.7945
25.75,12.57019,14.795430000000001
26.0,12.569770000000002,14.79327
26.25,12.56965,14.79267
26.5,12.56965,14.7926
26.75,12.57058,14.797359999999998
27.0,12.570910000000001,14.79908
27.25,12.57142,14.80181
27.5,12.5716,14.80278
27.75,12.57097,14.79957
28.0,12.57031,14.79608
28.25,12.56964,14.79263
28.5,12.569689999999998,14.79287
28.75,12.570340000000002,14.79617
29.0,12.571359999999999,14.801419999999998
29.25,12.57208,14.80506
29.5,12.572199999999999,14.805800000000001
29.75,12.574959999999999,14.8199
30.0,12.57578,14.824359999999999
30.25,12.574840000000002,14.81955
30.5,12.57463,14.818349999999999
30.75,12.57379,14.81411
31.0,12.56872,14.788599999999999
31.25,12.589780000000001,14.78181
31.5,12.61026,14.757150000000001
31.75,12.628,14.72846
32.0,12.64548,14.707709999999999
32.25,12.660720000000001,14.6846
32.5,12.67607,14.66669
32.75,12.69368,14.657150000000001
33.0,12.70532,14.60961
33.25,12.70121,14.59285
33.5,12.700970000000002,14.59215
33.75,12.701899999999998,14.59637
34.0,12.708749999999998,14.622519999999998
34.25,12.72269,14.588239999999999
34.5,12.74242,14.583659999999998
34.75,12.76294,14.58314
35.0,12.781849999999999,14.57169
35.25,12.80498,14.5913
35.5,12.82712,14.60468
35.75,12.8519,14.621389999999998
36.0,12.876739999999998,14.63888
36.25,12.858170000000001,14.63915
36.5,12.84283,14.64416
36.75,12.829640000000001,14.64471
37.0,12.81829,14.647009999999998
37.25,12.84497,14.6784
37.5,12.872359999999999,14.70888
37.75,12.900929999999999,14.739460000000001
38.0,12.93411,14.77809
38.25,12.92406,14.76819
38.5,12.91401,14.75292
38.75,12.91533,14.796789999999998
39.0,12.91728,14.84388
39.25,12.90699,14.845749999999999
39.5,12.897400000000001,14.847719999999999
39.75,12.889320000000001,14.8473
40.0,12.88336,14.84919
40.25,12.87219,14.851109999999998
40.5,12.861419999999999,14.85157
40.75,12.84967,14.850569999999998
41.0,12.84112,14.86161
41.25,12.836400000000001,14.85207
41.5,12.841359999999998,14.890320000000001
41.75,12.837520000000001,14.89
42.0,-787.639,52.9945
42.25,-787.648,52.9735
42.5,-787.6700000000001,52.96600000000001
42.75,-787.6930000000001,52.953700000000005
43.0,-787.7139999999999,52.9414
43.25,-787.735,52.9314
43.5,-787.7570000000001,52.92100000000001
43.75,-787.778,52.911100000000005
44.0,-787.799,52.9015
44.25,-787.8100000000001,52.8907
44.5,-787.8199999999999,52.8826
44.75,-787.8309999999999,52.8694
45.0,812.681,55.09010000000001
45.25,812.732,55.1138
45.5,812.7339999999999,55.1321
45.75,812.748,55.1462
46.0,812.769,55.1438
46.25,812.778,55.137
46.5,812.76,55.1237
46.75,812.76,55.1208
47.0,812.7630000000001,55.116499999999995
47.25,812.748,55.11300000000001
47.5,812.738,55.111999999999995
47.75,812.7349999999999,55.113200000000006
48.0,812.733,55.0988
48.25,812.73,55.0959
48.5,812.723,55.087900000000005
48.75,12.58855,14.77449
49.0,12.58319,14.77013
49.25,12.57832,14.76792
49.5,12.57331,14.76978
49.75,12.56785,14.764859999999999
50.0,12.564879999999999,14.76783
50.25,12.56419,14.76443
50.5,12.56395,14.76321
50.75,12.56566,14.77188
51.0,12.568269999999998,14.78549
51.25,12.568150000000001,14.784959999999998
51.5,12.56737,14.780909999999999
51.75,12.56767,14.782409999999999
52.0,12.56731,14.78056
52.25,12.566740000000001,14.777639999999998
52.5,12.566379999999999,14.775720000000002
52.75,12.56683,14.777970000000002
53.0,12.56701,14.779049999999998
53.25,12.56761,14.78208
53.5,12.56935,14.791070000000001
53.75,12.570789999999999,14.798370000000002
54.0,12.57058,14.79759
54.25,12.57046,14.79683
54.5,12.571740000000002,14.80329
54.75,12.569980000000001,14.794529999999998
55.0,12.56608,14.77476
55.25,12.56119,14.74974
55.5,12.553989999999999,14.713169999999998
55.75,12.554860000000001,14.68094
56.0,12.56117,14.656220000000001
56.25,12.56625,14.622219999999999
56.5,12.574349999999999,14.603929999999998
56.75,12.58493,14.6035
57.0,12.594809999999999,14.59526
57.25,12.62565,14.614619999999999
57.5,12.65454,14.60802
57.75,12.697799999999999,14.6354
58.0,12.74988,14.663879999999999
58.25,12.74754,14.652660000000001
58.5,12.74784,14.648709999999998
58.75,12.749469999999999,14.6525
59.0,12.751080000000002,14.65155
59.25,12.74726,14.65469
59.5,12.7438,14.659669999999998
59.75,12.74301,14.66933
60.0,12.74043,14.67057
60.25,12.750800000000002,14.68208
60.5,12.75916,14.68872
60.75,12.77127,14.712670000000001
61.0,12.78454,14.74119
61.25,12.78519,14.752770000000002
61.5,12.78605,14.77211
61.75,12.785879999999999,14.77997
62.0,12.788219999999999,14.801870000000001
62.25,12.786249999999999,14.810080000000001
62.5,12.78309,14.81242
62.75,12.778960000000001,14.80503
63.0,12.77686,14.808
63.25,12.781649999999999,14.809650000000001
63.5,12.78781,14.818349999999999
63.75,12.79354,14.824379999999998
64.0,12.799150000000001,14.82603
64.25,12.790200000000002,14.830259999999999
64.5,12.7804,14.83101
64.75,12.771070000000002,14.83335
65.0,12.7627,14.840969999999999
65.25,12.758949999999999,14.8494
65.5,12.753820000000001,14.855519999999999
65.75,12.74784,14.85697
66.0,-787.738,52.9273
66.25,-787.7479999999999,52.903600000000004
66.5,-787.7739999999999,52.8907
66.75,-787.796,52.8676
67.0,-787.819,52.85379999999999
67.25,-787.846,52.8407
67.5,-787.87,52.828900000000004
67.75,-787.897,52.8241
68.0,-787.904,52.8184
68.25,-787.906,52.825
68.5,-787.904,52.8283
68.75,-787.903,52.82470000000001
69.0,812.616,55.0265
69.25,812.697,55.0313
69.5,812.673,55.033699999999996
69.75,812.694,55.0296
70.0,812.682,55.030100000000004
70.25,812.6790000000001,55.0322
70.5,812.682,55.0268
70.75,812.688,55.0235
71.0,812.6779999999999,55.023399999999995
71.25,812.6669999999999,55.030800000000006
71.5,812.7060000000001,55.0215
71.75,812.682,55.01610000000001
72.0,812.6779999999999,55.0163
72.25,812.67,55.021
72.5,812.6790000000001,55.0242
72.75,12.567969999999999,14.783949999999999
73.0,12.568539999999999,14.786950000000001
73.25,12.5686,14.787130000000001
73.5,12.56944,14.79153
73.75,12.56869,14.787769999999998
74.0,12.568629999999999,14.78736
74.25,12.56932,14.79092
74.5,12.56899,14.78934
74.75,12.568360000000002,14.786089999999998
75.0,12.5683,14.785710000000002
75.25,12.56821,14.785229999999999
75.5,12.56845,14.786359999999998
75.75,12.56907,14.78955
76.0,12.56917,14.79015
76.25,12.5689,14.78886
76.5,12.56884,14.788520000000002
76.75,12.5683,14.78574
77.0,12.56881,14.78831
77.25,12.57001,14.79438
77.5,12.574539999999999,14.81757
77.75,12.5758,14.82433
78.0,12.57742,14.832740000000001
78.25,12.578199999999999,14.83683
78.5,12.57712,14.831330000000001
78.75,12.57571,14.824089999999998
79.0,12.57574,14.824160000000001
79.25,12.57577,14.82433
79.5,12.575289999999999,14.82188
79.75,12.574539999999999,14.817960000000001
80.0,12.597430000000001,14.82518
80.25,12.613869999999999,14.83137
80.5,12.628630000000001,14.833590000000001
80.75,12.64293,14.842559999999999
81.0,12.655930000000001,14.84532
81.25,12.663969999999999,14.84965
81.5,12.670630000000001,14.85182
81.75,12.67756,14.85503
82.0,12.68467,14.85931
82.25,12.694780000000002,14.86531
82.5,12.705369999999998,14.86911
82.75,12.71545,14.87491
83.0,12.726009999999999,14.88329
83.25,12.74638,14.89115
