Hora_decimal,P_3f_S,Q_3f_S
0.0,547.8760000000001,183.7988
0.25,547.8760000000001,183.7988
0.5,560.476,185.496
0.75,561.264,187.3748
1.0,552.34,176.9417
1.25,545.245,181.7045
1.5,534.1089999999999,175.5531
1.75,538.908,178.1988
2.0,528.037,173.92319999999998
2.25,535.875,176.4865
2.5,541.332,174.6108
2.75,537.134,174.2199
3.0,552.9110000000001,185.5727
3.25,547.0640000000001,185.8569
3.5,545.6510000000001,184.6073
3.75,552.992,191.4554
4.0,556.2769999999999,191.54160000000002
4.25,567.635,195.9518
4.5,553.763,203.0932
4.75,564.108,199.8759
5.0,540.912,177.45229999999998
5.25,540.136,165.7138
5.5,494.013,161.5954
5.75,458.207,160.5435
6.0,432.131,154.6505
6.25,429.455,155.5817
6.5,437.53,156.8089
6.75,447.913,157.5059
7.0,446.389,160.0362
7.25,450.85,163.4288
7.5,455.907,161.0497
7.75,467.06000000000006,164.3373
8.0,385.34000000000003,167.4361
8.25,390.516,169.0837
8.5,422.633,178.9865
8.75,451.01300000000003,186.2856
9.0,463.52199999999993,173.0443
9.25,472.35699999999997,174.9241
9.5,466.012,170.82479999999998
9.75,460.603,166.2045
10.0,488.629,175.6014
10.25,488.0559999999999,175.6779
10.5,426.45399999999995,175.5089
10.75,430.433,172.3561
11.0,481.876,174.5121
11.25,478.749,176.15200000000002
11.5,483.76000000000005,167.9687
11.75,516.111,174.2731
12.0,535.483,191.68990000000002
12.25,554.051,186.6422
12.5,567.617,195.4328
12.75,566.813,198.4665
13.0,508.266,184.5426
13.25,500.369,184.4612
13.5,502.07399999999996,175.1181
13.75,533.819,175.4314
14.0,551.6210000000001,175.3028
14.25,568.157,181.2631
14.5,585.845,188.6798
14.75,590.612,183.5409
15.0,581.684,188.90030000000002
15.25,591.433,183.48149999999998
15.5,501.31500000000005,172.972
15.75,509.54900000000004,177.0566
16.0,522.374,185.9801
16.25,557.261,197.4753
16.5,582.2149999999999,202.0665
16.75,593.755,194.851
17.0,571.537,185.5058
17.25,582.797,182.6902
17.5,567.86,171.37779999999998
17.75,562.694,169.5654
18.0,560.837,166.938
18.25,555.927,162.09550000000002
18.5,566.66,170.8193
18.75,553.391,170.3098
19.0,540.572,162.1334
19.25,537.554,159.1746
19.5,523.9870000000001,151.458
19.75,556.011,155.9515
20.0,579.923,151.9154
20.25,580.967,152.0281
20.5,587.953,149.2442
20.75,578.677,153.4201
21.0,574.337,153.0066
21.25,570.6020000000001,148.4808
21.5,571.721,159.7776
21.75,565.919,165.6211
22.0,564.134,169.2715
22.25,562.145,169.3195
22.5,570.701,176.4524
22.75,561.3679999999999,171.91250000000002
23.0,556.988,169.4362
23.25,557.843,173.5063
23.5,554.297,168.6019
23.75,549.923,171.98590000000002
24.0,577.309,186.0145
24.25,578.9960000000001,189.3582
24.5,585.134,196.3609
24.75,578.999,190.3286
25.0,559.283,176.6248
25.25,558.1610000000001,177.9649
25.5,546.695,174.9453
25.75,546.419,169.6184
26.0,544.91,171.6658
26.25,550.14,173.9341
26.5,541.835,171.4407
26.75,546.0649999999999,168.8693
27.0,546.4929999999999,176.9045
27.25,539.0899999999999,171.36450000000002
27.5,541.02,169.78109999999998
27.75,549.98,173.5762
28.0,561.336,180.7003
28.25,569.714,184.99259999999998
28.5,573.338,188.80059999999997
28.75,566.846,187.7466
29.0,569.898,184.57760000000002
29.25,559.201,181.8502
29.5,526.815,171.5913
29.75,493.414,173.5336
30.0,469.72299999999996,167.7173
30.25,466.159,166.5463
30.5,481.129,163.7217
30.75,492.63100000000003,163.154
31.0,531.77,170.2596
31.25,607.077,169.50130000000001
31.5,746.4939999999999,180.3679
31.75,867.0719999999999,188.6634
32.0,934.871,196.7089
32.25,979.439,198.7197
32.5,1073.8229999999999,215.598
32.75,1149.6770000000001,213.95170000000002
33.0,1152.904,221.2974
33.25,1226.504,222.426
