Hora_decimal,P_3f_S,Q_3f_S
0.0,1507.9,145.5181
0.25,1507.9,145.5181
0.5,1517.433,146.596
0.75,1518.926,149.5692
1.0,1513.099,139.0795
1.25,1500.394,143.15120000000002
1.5,1488.587,136.315
1.75,1495.8980000000001,139.6504
2.0,1482.683,133.6394
2.25,1490.7730000000001,136.46020000000001
2.5,688.4,85.9694
2.75,682.6189999999999,85.6678
3.0,699.723,96.3417
3.25,688.958,95.09989999999999
3.5,689.328,94.0269
3.75,696.134,103.4648
4.0,698.966,102.74990000000001
4.25,711.098,107.2306
4.5,702.244,115.73949999999999
4.75,704.077,111.6731
5.0,677.152,86.3111
5.25,680.136,74.3335
5.5,632.26,71.305
5.75,592.256,71.52850000000001
6.0,562.174,64.47229999999999
6.25,558.759,65.24080000000001
6.5,566.736,66.0637
6.75,580.054,68.699
7.0,577.876,71.4743
7.25,578.619,74.6329
7.5,586.259,69.7506
7.75,600.268,74.29440000000001
8.0,505.669,78.25059999999999
8.25,514.222,80.1648
8.5,546.2049999999999,90.5647
8.75,586.645,100.5392
9.0,604.414,86.9031
9.25,612.0550000000001,87.61319999999999
9.5,610.702,84.7577
9.75,605.073,81.7159
10.0,628.978,89.184
10.25,634.912,91.5952
10.5,569.086,92.8752
10.75,576.814,88.9657
11.0,624.3820000000001,88.0894
11.25,622.742,91.2621
11.5,635.908,83.9572
11.75,667.1510000000001,90.0827
12.0,682.222,107.6298
12.25,700.208,100.34210000000002
12.5,718.712,109.26139999999998
12.75,717.413,113.81139999999999
13.0,653.846,99.70320000000001
13.25,642.9200000000001,99.27620000000002
13.5,646.79,89.43299999999999
13.75,687.443,92.6642
14.0,704.8820000000001,89.33500000000001
14.25,731.008,98.66760000000001
14.5,746.864,105.1032
14.75,753.02,101.0932
15.0,744.956,108.08529999999999
15.25,746.633,98.35829999999999
15.5,648.303,87.0591
15.75,657.815,91.6163
16.0,685.6800000000001,105.7253
16.25,711.375,114.2165
16.5,740.34,120.50680000000001
16.75,746.0020000000001,110.7773
17.0,731.981,103.55510000000001
17.25,743.2249999999999,100.30449999999999
17.5,726.221,86.6817
17.75,712.637,81.3409
18.0,714.26,79.8221
18.25,712.601,76.33709999999999
18.5,717.071,84.7448
18.75,704.591,84.0466
19.0,692.672,75.0595
19.25,684.908,69.6973
19.5,665.768,59.796800000000005
19.75,707.654,65.4934
20.0,739.191,62.3741
20.25,741.629,62.629000000000005
20.5,744.446,58.8788
20.75,730.009,62.042699999999996
21.0,729.5020000000001,61.932199999999995
21.25,722.127,56.98389999999999
21.5,722.932,70.1008
21.75,725.2379999999999,80.3164
22.0,713.706,80.2884
22.25,712.219,80.1742
22.5,719.322,87.961
22.75,703.459,80.7611
23.0,698.662,77.6801
23.25,709.349,86.9906
23.5,699.185,79.1371
23.75,696.202,83.5178
24.0,723.908,96.8809
24.25,726.188,99.91890000000001
24.5,728.782,107.8773
24.75,724.919,101.5924
25.0,701.398,87.4855
25.25,708.961,91.8583
25.5,697.154,88.2068
25.75,694.598,81.4573
26.0,686.559,80.92349999999999
26.25,699.98,84.9307
26.5,693.377,82.6411
26.75,700.544,82.3748
27.0,697.379,90.48740000000001
27.25,685.274,82.80359999999999
27.5,679.805,78.18090000000001
27.75,690.428,82.7636
28.0,702.395,91.0539
28.25,714.766,95.4459
28.5,723.904,102.93450000000001
28.75,715.648,101.65020000000001
29.0,710.09,93.7909
29.25,702.488,91.277
29.5,666.377,82.26259999999999
29.75,628.309,85.3896
30.0,603.063,79.68469999999999
30.25,599.2049999999999,76.8429
30.5,615.225,73.0002
30.75,640.654,75.7131
31.0,687.3499999999999,85.3424
31.25,766.9499999999999,83.35409999999999
31.5,929.757,95.553
31.75,1060.163,103.5147
32.0,1137.692,110.52439999999999
32.25,1193.713,111.7013
32.5,1309.703,128.8541
32.75,1387.6350000000002,129.27530000000002
33.0,1408.021,140.7962
33.25,1502.7939999999999,141.6897
33.5,1572.966,141.0587
33.75,1461.325,126.1676
34.0,1565.024,129.446
34.25,1548.644,135.22480000000002
34.5,1563.7979999999998,149.9
34.75,1480.542,147.144
35.0,1546.363,156.8812
35.25,1585.0449999999998,165.9712
35.5,1509.96,141.26319999999998
