Hora_decimal,P_3f_S,Q_3f_S
0.0,826.815,64.7888
0.25,826.815,64.7888
0.5,826.8510000000001,64.7811
0.75,826.848,64.781
1.0,826.8510000000001,64.78139999999999
1.25,826.83,64.7861
1.5,826.86,64.7892
1.75,826.859,64.78399999999999
2.0,826.8629999999999,64.7796
2.25,826.845,64.7769
2.5,12.774909999999998,14.8857
2.75,12.775030000000001,14.886599999999998
3.0,12.77427,14.882660000000001
3.25,12.7747,14.884830000000001
3.5,12.77452,14.883960000000002
3.75,12.7737,14.87979
4.0,12.77341,14.87822
4.25,12.77284,14.87536
4.5,12.77292,14.87565
4.75,12.774160000000002,14.881979999999999
5.0,12.776489999999999,14.89386
5.25,12.77878,14.90578
5.5,12.78046,14.909939999999999
5.75,12.782350000000001,14.91962
6.0,12.78388,14.927679999999999
6.25,12.78331,14.92483
6.5,12.78359,14.92623
6.75,12.783639999999998,14.926480000000002
7.0,12.78336,14.925050000000002
7.25,12.78298,14.92316
7.5,12.78217,14.918959999999998
7.75,12.782110000000001,14.91862
8.0,12.781780000000001,14.91687
8.25,12.781780000000001,14.91679
8.5,12.80095,14.92332
8.75,12.819609999999999,14.92724
9.0,12.839649999999999,14.94277
9.25,12.86238,14.95383
9.5,12.88474,14.963049999999999
9.75,12.90849,14.97459
10.0,12.932559999999999,14.98322
10.25,12.94157,14.988150000000001
10.5,12.95038,14.99671
10.75,12.959410000000002,15.00148
11.0,12.96837,15.00161
11.25,12.979800000000001,15.00498
11.5,12.992350000000002,15.01455
11.75,13.00243,15.011230000000001
12.0,13.014100000000001,15.01578
12.25,13.02618,15.022689999999999
12.5,13.036449999999999,15.024799999999999
12.75,13.04748,15.03097
13.0,13.05858,15.032709999999998
13.25,13.063749999999999,15.040880000000001
13.5,13.06774,15.043040000000001
13.75,13.071539999999999,15.03949
14.0,13.07701,15.049299999999999
14.25,13.075800000000001,15.043170000000002
14.5,13.07689,15.04401
14.75,13.07956,15.048489999999997
15.0,13.07944,15.043289999999999
15.25,13.066659999999999,15.037390000000002
15.5,13.053740000000001,15.03089
15.75,13.03905,15.01513
16.0,13.027560000000001,15.0066
16.25,13.03005,14.99644
16.5,13.03726,15.005849999999999
16.75,13.043769999999999,15.016219999999999
17.0,13.05015,15.021429999999999
17.25,13.0389,15.018909999999998
17.5,13.02757,15.015870000000001
17.75,13.014759999999999,15.009879999999999
18.0,13.001650000000001,14.997720000000001
18.25,12.98685,14.99514
18.5,12.96837,14.98311
18.75,12.94971,14.97909
19.0,12.92823,14.97001
19.25,12.90273,14.95862
19.5,12.87436,14.941680000000002
19.75,12.845740000000001,14.918979999999998
20.0,12.81647,14.897310000000001
20.25,12.81507,14.894520000000002
20.5,12.814140000000002,14.89431
20.75,12.8121,14.89293
21.0,12.811330000000002,14.893650000000001
21.25,12.807849999999998,14.894100000000002
21.5,12.80227,14.884049999999998
21.75,12.797979999999999,14.88024
22.0,12.79384,14.87733
22.25,12.78537,14.87517
22.5,12.774239999999999,14.868569999999998
22.75,12.77233,14.87247
23.0,12.77233,14.87265
23.25,12.77173,14.869589999999999
23.5,12.77233,14.87259
23.75,12.772480000000002,14.8734
24.0,12.77141,14.86788
24.25,12.77038,14.862659999999998
24.5,12.77017,14.861429999999999
24.75,12.77126,14.866950000000001
25.0,12.772659999999998,14.874179999999999
25.25,12.77262,14.874130000000001
25.5,12.77307,14.8764
25.75,12.7732,14.87712
26.0,12.7727,14.87457
26.25,12.77262,14.87415
26.5,12.772590000000001,14.873909999999999
26.75,12.77364,14.879259999999999
27.0,12.774000000000001,14.881260000000001
27.25,12.77447,14.883659999999999
27.5,12.77461,14.88444
27.75,12.77403,14.88147
28.0,12.77338,14.878050000000002
28.25,12.77271,14.874649999999999
28.5,12.77281,14.875110000000001
28.75,12.773499999999999,14.878620000000002
29.0,12.77458,14.884179999999999
29.25,12.77533,14.888020000000001
29.5,12.77533,14.88811
29.75,12.77827,14.903100000000002
30.0,12.780060000000002,14.90794
30.25,12.77801,14.9021
30.5,12.77776,14.90072
30.75,12.77695,14.8966
31.0,12.77154,14.869409999999998
31.25,12.79335,14.861809999999998
31.5,12.813749999999999,14.836649999999999
31.75,12.831030000000002,14.80564
32.0,12.84957,14.78571
32.25,12.864139999999999,14.759160000000001
32.5,12.879259999999999,14.74008
32.75,12.896569999999999,14.7291
33.0,12.90792,14.67529
33.25,12.90381,14.65852
33.5,12.90388,14.659399999999998
33.75,12.90415,14.66025
34.0,12.912110000000002,14.69207
34.25,12.92491,14.65192
34.5,12.9449,14.64873
34.75,12.96565,14.644749999999998
35.0,12.984169999999999,14.63147
