Hora_decimal,P_3f_S,Q_3f_S
0.0,4363.64,365.812
0.25,4363.64,365.812
0.5,4345.66,355.308
0.75,4344.4400000000005,357.56399999999996
1.0,4349.3,350.996
1.25,4352.86,362.199
1.5,4345.79,357.414
1.75,4344.5,353.736
2.0,4332.71,349.05899999999997
2.25,4337.41,349.71
2.5,1194.768,150.3548
2.75,1193.527,147.0272
3.0,1195.907,162.39339999999999
3.25,1187.507,158.1104
3.5,1191.124,157.6636
3.75,1197.089,170.0267
4.0,1200.701,173.3285
4.25,1211.4650000000001,179.2623
4.5,1187.554,190.4094
4.75,1180.343,175.6274
5.0,1160.04,142.1264
5.25,1140.853,114.80550000000001
5.5,1100.085,115.9278
5.75,1025.8110000000001,119.1765
6.0,986.238,109.27340000000001
6.25,994.596,111.8613
6.5,991.0,112.1259
6.75,994.596,111.95750000000001
7.0,990.9960000000001,117.73479999999999
7.25,992.1669999999999,122.17270000000002
7.5,1011.33,124.5016
7.75,1013.7270000000001,125.1825
8.0,993.637,149.5085
8.25,990.019,150.2151
8.5,992.48,160.2691
8.75,1010.5020000000001,172.64280000000002
9.0,1015.207,151.9751
9.25,1012.917,155.8226
9.5,1016.588,159.0082
9.75,1014.2909999999999,159.683
10.0,1033.589,168.5089
10.25,1034.827,168.8308
10.5,1030.208,172.9315
10.75,1038.6109999999999,168.70589999999999
11.0,1057.735,169.3021
11.25,1050.589,177.8802
11.5,1049.41,166.3381
11.75,1092.6119999999999,177.2767
12.0,1085.4869999999999,190.2398
12.25,1099.914,180.1783
12.5,1127.545,186.7097
12.75,1113.184,192.0392
13.0,1177.9959999999999,187.5196
13.25,1122.894,190.0859
13.5,1125.2649999999999,178.64170000000001
13.75,1163.62,179.4588
14.0,1144.531,165.6749
14.25,1169.6770000000001,175.2393
14.5,1172.0839999999998,176.547
14.75,1164.967,167.914
15.0,1182.8519999999999,178.682
15.25,1206.758,162.51139999999998
15.5,1204.37,170.2612
15.75,1221.167,186.0978
16.0,1223.504,192.91610000000003
16.25,1266.539,211.04049999999998
16.5,1245.027,204.12089999999998
16.75,1239.0049999999999,182.9462
17.0,1248.62,170.9965
17.25,1241.3600000000001,161.6729
17.5,1236.539,149.5802
17.75,1235.279,144.3244
