Hora_decimal,P_3f_S,Q_3f_S
0.0,1927.708,138.33839999999998
0.25,1927.708,138.33839999999998
0.5,1899.1490000000001,126.31569999999999
0.75,1896.321,125.4933
1.0,1908.442,129.857
1.25,1924.859,137.1771
1.5,1931.107,139.85399999999998
1.75,1920.302,132.4879
2.0,1921.997,134.1562
2.25,1918.1000000000001,131.4649
2.5,456.751,42.8642
2.75,462.25800000000004,40.1153
3.0,445.88100000000003,43.9644
3.25,449.808,41.330600000000004
3.5,453.915,42.686
3.75,452.72400000000005,45.0499
4.0,452.524,49.164100000000005
4.25,451.08000000000004,50.0116
4.5,436.053,52.9059
4.75,426.384,41.9912
5.0,433.65100000000007,34.0193
5.25,412.19999999999993,18.88076
5.5,421.27199999999993,23.77386
5.75,390.494,26.52077
6.0,384.97300000000007,24.29736
6.25,399.611,26.08562
6.5,386.542,25.35855
6.75,378.424,22.12811
7.0,378.66700000000003,24.95957
7.25,383.453,26.52926
7.5,394.96900000000005,34.2345
7.75,388.66700000000003,30.253999999999998
8.0,343.138,32.4285
8.25,347.089,33.3253
8.5,362.11899999999997,39.2132
8.75,375.425,45.7293
9.0,377.139,39.9309
9.25,382.117,44.5578
9.5,402.68600000000004,51.751999999999995
9.75,421.38699999999994,57.06570000000001
10.0,418.534,58.148399999999995
10.25,416.13,55.9113
10.5,348.17199999999997,40.2473
10.75,354.085,41.9624
11.0,380.43100000000004,50.497099999999996
11.25,405.78700000000003,60.0787
11.5,406.052,57.424800000000005
11.75,425.86,63.144800000000004
12.0,415.65999999999997,59.2166
12.25,423.172,58.0637
12.5,418.56300000000005,56.00829999999999
12.75,413.14,56.147099999999995
13.0,397.94399999999996,48.7068
13.25,383.64300000000003,52.9717
13.5,424.945,58.460300000000004
13.75,448.40999999999997,59.85300000000001
14.0,426.75700000000006,50.63499999999999
14.25,433.831,51.9051
14.5,426.99,48.054500000000004
14.75,424.923,44.5142
15.0,443.162,48.311099999999996
15.25,458.574,42.5749
15.5,418.29100000000005,44.4253
15.75,439.904,57.671600000000005
16.0,453.177,56.266000000000005
16.25,491.84499999999997,70.8574
16.5,466.88100000000003,57.726200000000006
16.75,461.06100000000004,47.6785
17.0,479.196,44.4775
17.25,474.123,39.9444
17.5,485.601,42.157
17.75,496.086,42.1265
18.0,517.164,47.4359
18.25,499.002,40.4277
18.5,493.192,40.6494
18.75,480.252,32.0678
19.0,488.502,31.297400000000003
19.25,488.206,30.342799999999997
19.5,518.496,35.2311
19.75,522.63,35.7095
20.0,536.511,36.275000000000006
20.25,551.4570000000001,33.1764
20.5,558.4110000000001,30.4863
20.75,557.944,35.461600000000004
21.0,552.252,34.507
21.25,559.08,29.702870000000004
21.5,564.564,39.7357
21.75,548.61,44.0128
22.0,551.559,49.7624
22.25,541.065,47.2476
22.5,528.342,45.533199999999994
22.75,522.096,45.2999
23.0,533.049,43.2954
23.25,521.7180000000001,45.6285
23.5,525.797,46.6124
23.75,521.922,43.421
24.0,502.793,47.7659
24.25,512.034,55.437799999999996
24.5,500.784,57.115300000000005
24.75,495.01800000000003,50.806
25.0,501.441,46.5287
25.25,492.555,44.6999
25.5,498.01200000000006,42.871399999999994
25.75,507.79200000000003,41.707100000000004
26.0,513.6379999999999,51.042
26.25,510.627,43.2044
26.5,510.01800000000003,49.7365
26.75,496.65000000000003,38.5893
27.0,478.11,36.408
27.25,486.39199999999994,34.548100000000005
27.5,494.85699999999997,33.8228
27.75,490.94399999999996,37.6613
28.0,484.71299999999997,39.4171
28.25,490.485,38.9875
28.5,468.033,38.4412
28.75,458.82899999999995,37.372699999999995
29.0,453.20399999999995,33.3017
29.25,445.64699999999993,30.6678
29.5,468.892,40.9183
29.75,424.475,31.3047
30.0,422.275,34.514799999999994
30.25,445.864,42.2354
30.5,454.06500000000005,39.4656
30.75,465.37799999999993,32.8926
31.0,548.826,45.4221
31.25,626.578,41.2168
31.5,682.7950000000001,59.287200000000006
31.75,805.682,64.5323
32.0,809.3610000000001,65.9865
32.25,959.19,84.9445
32.5,1005.4179999999999,108.6083
32.75,1068.154,129.4632
33.0,1321.381,176.58929999999998
33.25,1339.498,177.1934
33.5,1304.348,173.9652
33.75,1436.195,165.53379999999999
34.0,1245.308,134.0864
34.25,1416.344,196.6882
34.5,1340.084,200.88099999999997
34.75,1447.921,232.6935
35.0,1517.855,259.0851
35.25,1476.674,246.6843
35.5,1547.783,266.2005
35.75,1537.6219999999998,261.4225
36.0,1515.667,264.79269999999997
36.25,1496.927,257.2682
36.5,1413.353,233.65179999999998
36.75,1405.699,224.49880000000002
37.0,1386.208,226.8437
37.25,1297.64,217.12480000000002
37.5,1286.974,212.52450000000002
37.75,1267.153,216.70589999999999
38.0,1167.8400000000001,193.9686
38.25,1179.749,203.48399999999998
38.5,1199.5729999999999,201.06189999999998
38.75,997.8919999999999,141.9946
39.0,848.779,89.188
39.25,827.465,87.0942
39.5,777.933,79.3779
39.75,768.921,72.6671
40.0,784.5360000000001,69.6811
40.25,760.7090000000001,70.4385
40.5,738.71,61.503099999999996
40.75,709.287,66.28699999999999
41.0,697.213,67.6089
41.25,744.699,88.6656
41.5,629.3140000000001,52.5432
41.75,607.042,54.8382
42.0,-229.60309999999998,74.1085
42.25,-214.61240000000004,69.3908
42.5,-210.53840000000002,68.6675
42.75,-193.7776,71.2152
43.0,-187.23520000000002,71.4092
43.25,-178.5428,75.1026
43.5,-159.80280000000002,78.8175
43.75,-166.9475,72.9279
44.0,-166.157,66.5291
44.25,-161.23629999999997,62.7702
44.5,-159.1755,58.8215
44.75,-164.1877,53.481899999999996
45.0,2066.343,126.48579999999998
45.25,2077.6929999999998,139.2103
45.5,2079.9790000000003,147.2302
45.75,2086.942,158.08339999999998
46.0,2061.289,159.0779
46.25,2063.512,150.9747
46.5,2052.907,142.2455
46.75,2038.297,137.5594
47.0,1296.1660000000002,90.0341
47.25,609.366,60.032
47.5,628.807,60.352999999999994
47.75,624.418,65.7204
48.0,597.72,56.17320000000001
48.25,595.3439999999999,53.3896
48.5,557.514,45.93
48.75,572.6880000000001,53.00770000000001
49.0,572.848,59.6712
49.25,588.972,60.85809999999999
49.5,586.838,61.457800000000006
49.75,570.891,62.510099999999994
50.0,583.972,56.0766
50.25,577.644,62.50710000000001
50.5,582.798,67.2163
50.75,565.785,57.867
51.0,545.319,35.7648
51.25,534.5020000000001,35.5801
51.5,546.828,40.5224
51.75,546.0519999999999,37.3391
52.0,535.935,42.4752
52.25,536.6370000000001,47.948499999999996
52.5,522.3629999999999,45.672799999999995
52.75,521.154,42.8264
53.0,533.5409999999999,49.5162
53.25,509.98199999999997,44.496700000000004
53.5,501.60900000000004,43.9808
53.75,482.961,45.5539
54.0,494.17499999999995,54.6164
54.25,502.452,54.58369999999999
54.5,489.955,42.7665
54.75,515.208,49.320800000000006
55.0,581.221,49.6836
55.25,657.922,56.179199999999994
55.5,738.193,64.1095
55.75,821.0450000000001,82.5299
56.0,825.2850000000001,79.2834
56.25,955.528,98.7798
56.5,1010.083,119.8614
56.75,1011.377,111.6309
57.0,1052.666,120.75550000000001
57.25,1039.345,112.4556
57.5,1099.883,130.2875
57.75,1112.633,125.40379999999999
58.0,1101.161,120.67720000000001
58.25,1119.776,130.7954
58.5,1034.576,139.2854
58.75,1056.1370000000002,127.7673
59.0,1107.5629999999999,140.4169
59.25,1145.249,127.67080000000001
59.5,1113.047,143.5903
59.75,1112.5549999999998,143.2732
60.0,1064.6750000000002,144.3366
60.25,1059.932,131.0153
60.5,1087.792,140.17759999999998
60.75,978.0219999999999,143.24790000000002
61.0,889.087,110.95070000000001
61.25,843.478,113.4572
61.5,868.111,114.4093
61.75,867.2560000000001,109.6482
62.0,860.778,88.0917
62.25,744.454,77.83879999999999
62.5,725.024,73.7511
62.75,743.6220000000001,91.06290000000001
63.0,732.4010000000001,77.5472
63.25,734.9970000000001,78.9161
63.5,718.261,71.8509
63.75,705.1959999999999,75.7491
64.0,697.975,74.29929999999999
64.25,687.456,69.5574
64.5,660.082,67.7168
64.75,621.8140000000001,62.9651
65.0,605.866,58.389
65.25,571.1999999999999,55.9462
65.5,574.567,53.0626
65.75,560.869,50.086000000000006
66.0,-192.0119,66.9513
66.25,-177.8759,64.1941
66.5,-189.9588,59.7284
66.75,-175.2382,51.8644
67.0,-167.62959999999998,50.74
67.25,-162.823,55.0677
67.5,-139.6454,55.236000000000004
67.75,-141.003,61.07339999999999
68.0,-155.4214,51.58859999999999
68.25,-133.88420000000002,55.2384
68.5,-143.0585,60.3498
68.75,-140.63670000000002,55.21079999999999
69.0,2037.244,126.7986
69.25,2025.1039999999998,123.7248
69.5,2032.2009999999998,129.3311
69.75,2003.853,128.664
70.0,2000.143,127.5234
70.25,2015.233,131.8231
70.5,1992.02,127.13719999999999
70.75,1987.9570000000003,127.596
71.0,550.489,41.8729
71.25,563.895,46.1712
71.5,551.707,43.6663
71.75,545.115,42.3124
72.0,533.004,42.9155
72.25,527.001,43.0148
72.5,514.3199999999999,37.7161
72.75,511.54200000000003,45.2186
73.0,511.926,45.2094
73.25,523.202,44.5903
73.5,519.372,41.855599999999995
73.75,535.7940000000001,51.1956
74.0,525.285,54.276399999999995
74.25,520.386,50.313900000000004
74.5,512.7750000000001,48.8715
74.75,525.761,56.177800000000005
75.0,501.225,53.4652
75.25,504.602,53.2237
75.5,494.687,52.524300000000004
75.75,490.284,50.6472
76.0,483.13199999999995,44.7955
76.25,482.38500000000005,44.3263
76.5,476.31300000000005,49.7207
76.75,474.08500000000004,51.9101
77.0,479.424,51.4868
77.25,466.90599999999995,48.676100000000005
77.5,447.48,33.2009
77.75,420.48400000000004,30.05876
78.0,412.72200000000004,29.84215
78.25,409.33200000000005,26.532919999999997
78.5,415.57900000000006,33.339600000000004
78.75,428.02500000000003,41.7244
79.0,425.937,36.9916
79.25,425.568,36.5099
79.5,423.717,40.1262
79.75,425.131,38.098
80.0,381.14599999999996,40.0219
80.25,390.134,38.7476
80.5,399.043,41.4912
80.75,406.991,41.4369
81.0,435.82800000000003,53.1141
81.25,434.929,57.72789999999999
81.5,458.718,66.0632
81.75,454.44000000000005,63.020199999999996
82.0,445.663,58.3528
82.25,436.299,58.341
82.5,392.981,55.0835
82.75,402.677,54.7231
83.0,419.749,60.077600000000004
83.25,449.852,64.7923
83.5,439.34900000000005,60.807599999999994
83.75,451.54599999999994,65.9623
84.0,429.657,62.53
84.25,432.01,63.9511
84.5,415.29999999999995,59.3254
84.75,426.47,62.6663
85.0,379.18899999999996,48.3769
85.25,386.47300000000007,46.5102
85.5,424.024,59.2529
85.75,447.67499999999995,62.628
86.0,457.192,63.0925
86.25,451.663,58.459
86.5,440.862,54.5193
86.75,467.17499999999995,57.378800000000005
87.0,457.45899999999995,55.278099999999995
87.25,470.1,52.1395
87.5,444.625,50.5728
87.75,462.38700000000006,60.3414
88.0,494.24699999999996,54.67569999999999
88.25,486.21999999999997,48.426500000000004
88.5,482.487,45.1803
88.75,475.499,40.9463
89.0,491.289,37.555899999999994
89.25,510.719,37.3028
89.5,511.369,35.8789
89.75,514.184,34.2298
90.0,518.694,34.9753
90.25,496.377,32.0205
90.5,491.735,33.0338
90.75,495.606,40.7406
91.0,495.975,42.3479
91.25,483.52500000000003,37.432900000000004
91.5,480.75700000000006,37.6973
91.75,508.38699999999994,43.2043
92.0,543.302,42.9161
92.25,546.873,39.804
92.5,539.229,38.9533
92.75,541.127,37.8679
93.0,566.823,45.455600000000004
93.25,554.3430000000001,46.8862
93.5,551.886,43.3732
93.75,556.8240000000001,49.33670000000001
94.0,550.8629999999999,47.731899999999996
94.25,555.004,46.5522
94.5,548.847,48.9674
94.75,539.052,44.9277
95.0,542.5440000000001,47.1524
95.25,544.698,48.5894
95.5,536.036,46.9068
95.75,540.886,48.6673
96.0,535.097,57.070699999999995
96.25,521.349,53.441
96.5,506.697,47.4234
96.75,497.163,46.0035
97.0,508.457,53.68679999999999
97.25,499.818,45.9187
97.5,511.50299999999993,47.3639
97.75,516.096,52.903200000000005
98.0,504.21,49.0904
98.25,507.216,50.104800000000004
98.5,498.429,47.966899999999995
98.75,488.33500000000004,41.2378
99.0,479.221,44.902300000000004
99.25,464.78200000000004,37.3551
99.5,464.68499999999995,39.614
99.75,480.99699999999996,47.327799999999996
100.0,467.54699999999997,49.7348
100.25,465.89799999999997,47.5084
100.5,450.436,42.5544
100.75,452.269,45.1168
101.0,452.46,43.647999999999996
101.25,469.623,59.3241
101.5,441.439,36.612
101.75,418.523,25.96941
102.0,412.337,23.49905
102.25,421.031,33.1639
102.5,416.35400000000004,31.2079
102.75,408.172,32.0253
103.0,417.54600000000005,32.1931
103.25,429.90000000000003,48.462199999999996
103.5,425.65,41.1277
103.75,415.40400000000005,41.8523
104.0,360.137,40.302
104.25,382.358,50.319199999999995
104.5,385.901,51.467699999999994
104.75,395.014,61.0569
105.0,413.355,56.8813
105.25,431.778,63.5163
105.5,437.54099999999994,64.7161
105.75,437.938,64.7718
106.0,437.881,67.3172
106.25,440.06399999999996,63.746300000000005
106.5,381.386,55.95100000000001
106.75,382.322,61.623599999999996
107.0,404.46899999999994,64.2841
107.25,408.252,50.7541
107.5,444.615,58.580600000000004
107.75,462.255,62.1791
108.0,436.81500000000005,53.429500000000004
108.25,424.67,54.6128
108.5,428.131,51.7004
108.75,418.08299999999997,57.613
109.0,395.998,64.2671
109.25,374.302,53.543099999999995
109.5,412.68999999999994,57.5167
109.75,426.698,58.2602
110.0,431.06800000000004,49.34
110.25,438.12,54.5757
110.5,453.70899999999995,49.417
110.75,452.119,55.9863
111.0,455.23799999999994,51.951499999999996
111.25,441.58200000000005,47.639700000000005
111.5,445.669,56.123400000000004
111.75,442.0,49.3719
112.0,446.101,49.5685
112.25,438.102,41.9747
112.5,443.952,35.942
112.75,448.16700000000003,38.1087
113.0,467.452,39.2751
113.25,468.13199999999995,39.2577
113.5,495.47,40.738
113.75,496.042,40.8863
114.0,504.959,39.7013
114.25,525.683,47.978
114.5,497.358,31.613099999999996
114.75,511.971,37.9911
115.0,519.849,34.126599999999996
