MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,5126,0,1475886,-1,0.0,0.0,0.0,0.0,168337.84,0.0,0.0,0.0,0.0,0.0,221382.9,-0.15,546077.82,-0.59,935797.82
FEV,5437,0,1522061,-1,362.0,0.0,0.0,0.0,178551.08,0.0,0.0,0.0,23776.16,0.0,228309.15,-0.15,563162.57,-0.59,993798.22
MAR,5570,0,1640597,-2,495.0,0.0,0.0,0.0,182918.8,0.0,0.0,0.0,32511.6,0.0,246089.55,-0.3,607020.89,-1.18,1068539.36
ABR,5126,0,1254442,-1,0.0,0.0,0.0,0.0,168337.84,0.0,0.0,0.0,0.0,0.0,188166.3,-0.15,464143.54,-0.59,820646.94
MAI,5126,0,1315356,-3,0.0,0.0,0.0,0.0,168337.84,0.0,0.0,0.0,0.0,0.0,197303.4,-0.45,486681.72,-1.77,852320.74
JUN,5124,0,1480207,-3,0.0,0.0,0.0,0.0,168272.16,0.0,0.0,0.0,0.0,0.0,222031.05,-0.45,547676.59,-1.77,937977.58
JUL,5125,0,1472515,-3,0.0,0.0,0.0,0.0,168305.0,0.0,0.0,0.0,0.0,0.0,220877.25,-0.45,544830.55,-1.77,934010.58
AGO,5126,0,1379367,-1,0.0,0.0,0.0,0.0,168337.84,0.0,0.0,0.0,0.0,0.0,206905.05,-0.15,510365.79,-0.59,885607.94
SET,5126,0,1292999,-1,0.0,0.0,0.0,0.0,168337.84,0.0,0.0,0.0,0.0,0.0,193949.85,-0.15,478409.63,-0.59,840696.58
OUT,5126,0,1331136,-1,0.0,0.0,0.0,0.0,168337.84,0.0,0.0,0.0,0.0,0.0,199670.4,-0.15,492520.32,-0.59,860527.82
NOV,5508,0,1414978,-2,433.0,0.0,0.0,0.0,180882.72,0.0,0.0,0.0,28439.44,0.0,212246.7,-0.3,523541.86,-1.18,945109.24
DEZ,5416,0,1439119,-2,341.0,0.0,0.0,0.0,177861.44,0.0,0.0,0.0,22396.88,0.0,215867.85,-0.3,532474.03,-1.18,948598.72
TOTAIS,5570,0,17018663,-21,1631.0,0.0,0.0,0.0,2066818.24,0.0,0.0,0.0,107124.08,0.0,2552799.45,-3.1499999999999995,6296905.3100000005,-12.39,11023631.540000001
