Hora_decimal,P_3f_S,Q_3f_S
0.0,48.64150000000001,18.78653
0.25,48.64150000000001,18.78653
0.5,42.9455,16.162959999999998
0.75,46.6982,16.292189999999998
1.0,48.4045,17.5445
1.25,50.3566,18.450409999999998
1.5,52.574799999999996,18.77611
1.75,50.2499,16.70289
2.0,49.1525,16.52286
2.25,52.2391,17.44228
2.5,50.1147,18.5518
2.75,50.99719999999999,18.5227
3.0,47.0624,18.20411
3.25,47.4143,17.60692
3.5,46.6418,17.68489
3.75,47.7975,17.92935
4.0,44.9092,18.34991
4.25,46.0471,18.35235
4.5,43.431700000000006,19.2155
4.75,42.494200000000006,17.69253
5.0,44.1534,16.325409999999998
5.25,42.1291,13.46001
5.5,43.847500000000004,14.05216
5.75,37.8994,14.22043
6.0,37.2811,14.565640000000002
6.25,39.9598,15.004290000000001
6.5,40.174,15.251669999999999
6.75,39.5482,14.98223
7.0,39.259299999999996,15.19653
7.25,41.2136,15.324760000000001
7.5,42.4624,16.37153
7.75,42.995799999999996,16.09812
8.0,25.03156,15.011709999999999
8.25,25.230900000000002,15.201250000000002
8.5,28.89926,16.58437
8.75,32.7148,17.61577
9.0,37.788700000000006,16.92593
9.25,38.722,16.46238
9.5,41.9581,17.02769
9.75,43.791399999999996,18.22534
10.0,45.945699999999995,18.30745
10.25,44.6244,18.27675
10.5,29.37094,15.81446
10.75,29.66896,15.640910000000002
11.0,41.03530000000001,16.781280000000002
11.25,43.0363,18.44348
11.5,43.6634,17.13381
11.75,47.8942,17.379289999999997
12.0,46.0927,17.111530000000002
12.25,47.5495,17.24844
12.5,46.7218,17.93125
12.75,44.1865,17.34316
13.0,38.3092,16.45249
13.25,36.821799999999996,16.782510000000002
13.5,43.737700000000004,17.26222
13.75,48.0244,17.369770000000003
14.0,46.075,15.45873
14.25,47.749300000000005,15.341620000000002
14.5,46.1134,15.31989
14.75,50.3298,15.93526
15.0,47.4589,16.00726
15.25,46.7864,14.66181
15.5,37.8422,15.38084
15.75,39.8506,16.931549999999998
16.0,39.297700000000006,16.29737
16.25,48.4638,19.98194
16.5,46.1198,17.24071
16.75,45.3472,15.73293
17.0,46.0256,15.200479999999999
17.25,45.9814,14.71558
17.5,47.9783,14.82988
17.75,50.9743,14.53425
18.0,48.5509,14.40799
18.25,46.7168,14.060369999999999
18.5,45.099399999999996,13.83674
18.75,46.4749,13.494670000000001
19.0,47.9978,13.493479999999998
19.25,48.661699999999996,13.375440000000001
19.5,50.2641,13.38001
19.75,49.9323,13.78498
20.0,55.68079999999999,14.47652
20.25,55.1445,13.346540000000001
20.5,54.26299999999999,12.91068
20.75,54.5219,13.363320000000002
21.0,53.9795,14.596609999999998
21.25,56.2808,14.016919999999999
21.5,57.377399999999994,15.688679999999998
21.75,52.443799999999996,16.0047
22.0,53.9659,17.13689
22.25,53.19969999999999,16.26435
22.5,49.5262,16.35409
22.75,49.3748,16.09826
23.0,49.3543,16.04935
23.25,48.8117,16.968269999999997
23.5,54.3271,18.34998
23.75,54.397600000000004,18.02239
24.0,48.3505,17.781080000000003
24.25,49.1838,18.909959999999998
24.5,47.0529,19.13324
24.75,45.628299999999996,18.02184
25.0,49.537099999999995,17.75356
25.25,48.938599999999994,18.008380000000002
25.5,49.7911,17.3271
25.75,49.468799999999995,16.816860000000002
26.0,52.331900000000005,18.25988
26.25,51.0531,17.10638
26.5,51.12559999999999,18.15071
26.75,50.3468,15.79707
27.0,45.839,15.849039999999999
27.25,45.0277,15.3719
27.5,45.304700000000004,15.00158
27.75,43.816900000000004,15.14992
28.0,44.1491,15.35781
28.25,46.5056,15.790400000000002
28.5,42.726099999999995,15.16778
28.75,42.8918,15.60477
29.0,43.4191,15.77459
29.25,42.1996,15.61632
29.5,47.6767,16.76208
29.75,41.5408,16.13279
30.0,42.8533,16.85725
30.25,43.723,16.932389999999998
30.5,45.6205,16.692
30.75,46.4481,15.843490000000001
31.0,58.2987,17.85687
31.25,73.7831,16.82898
31.5,77.2639,19.23742
31.75,94.803,19.28493
32.0,88.86590000000001,17.5195
32.25,114.9759,19.957929999999998
32.5,121.9228,22.99952
32.75,124.3154,22.14675
33.0,133.68290000000002,18.99109
33.25,146.3515,21.26089
33.5,140.3312,19.29193
33.75,170.6359,19.62616
34.0,157.4826,19.85834
34.25,147.8811,21.949640000000002
34.5,133.517,21.59039
34.75,133.4405,18.85663
35.0,160.9888,25.899680000000004
35.25,151.1959,22.512620000000002
35.5,164.3561,29.67473
35.75,164.1944,29.822380000000003
36.0,158.1741,30.9165
36.25,161.8445,30.3042
36.5,145.7378,22.66902
36.75,142.4996,21.98453
37.0,138.4249,22.25978
37.25,117.79760000000002,22.009149999999998
37.5,115.70179999999999,20.71932
37.75,121.8702,23.34706
38.0,103.4665,19.399990000000003
38.25,98.5981,19.295550000000002
38.5,104.3563,18.68359
38.75,112.1884,21.195610000000002
39.0,107.01310000000001,19.28146
39.25,101.25489999999999,19.125890000000002
39.5,85.6073,17.35967
39.75,86.676,16.242849999999997
40.0,89.83630000000001,16.47375
40.25,86.2718,17.27876
40.5,82.9693,15.88161
40.75,82.9896,17.69696
41.0,73.71000000000001,15.70927
41.25,79.2919,18.76651
41.5,67.7251,15.22342
41.75,65.4782,15.77957
42.0,61.7687,16.15699
42.25,59.4494,15.24284
42.5,58.3982,15.38698
42.75,60.455,15.609739999999999
43.0,62.28829999999999,15.93304
43.25,61.6541,16.283679999999997
43.5,63.0901,16.95178
43.75,58.9237,15.33592
44.0,66.0335,14.73885
44.25,63.5525,13.65486
44.5,65.94749999999999,13.742350000000002
44.75,63.608599999999996,13.277809999999999
45.0,68.5197,13.952140000000002
45.25,65.9501,15.57389
45.5,65.2065,18.19077
45.75,66.1327,19.5943
46.0,62.0013,19.249
46.25,67.2264,19.52531
46.5,60.1315,17.16169
46.75,58.721999999999994,16.63671
47.0,62.2778,17.61766
47.25,60.755900000000004,18.82352
47.5,63.4277,19.064329999999998
47.75,64.0326,19.89417
48.0,59.914100000000005,18.031570000000002
48.25,58.5439,16.67833
48.5,55.2425,16.6276
48.75,57.30799999999999,17.12717
49.0,57.3842,18.561700000000002
49.25,60.30799999999999,19.78467
49.5,62.1395,20.42543
49.75,58.4496,19.834220000000002
50.0,62.852900000000005,18.69314
50.25,61.2521,20.47861
50.5,62.654399999999995,21.50128
50.75,59.4859,19.56591
51.0,57.0536,15.350559999999998
51.25,53.1017,14.765870000000001
51.5,56.3582,15.433
51.75,56.591300000000004,15.49761
52.0,52.1708,15.56139
52.25,54.037099999999995,16.6843
52.5,52.181200000000004,17.19122
52.75,50.8715,16.10596
53.0,53.972699999999996,17.41131
53.25,48.7094,16.36964
53.5,50.9467,17.16238
53.75,48.3667,17.83951
54.0,51.446400000000004,20.05488
54.25,50.4649,18.76236
54.5,48.982299999999995,17.11181
54.75,52.313599999999994,18.66977
55.0,64.1423,18.39341
55.25,72.29860000000001,18.1017
55.5,87.1382,19.40109
55.75,100.8357,21.74966
56.0,91.7264,19.30246
56.25,105.601,21.72423
56.5,118.0038,25.357570000000003
56.75,117.9813,21.47835
57.0,128.7089,22.06391
57.25,127.46170000000001,20.43173
57.5,137.82410000000002,22.96559
57.75,143.1145,23.63912
58.0,139.9576,22.82601
58.25,153.8263,25.64696
58.5,133.4468,27.56168
58.75,125.7209,22.97244
59.0,140.2181,26.10346
59.25,151.5625,23.14202
59.5,149.83620000000002,27.329569999999997
59.75,156.2955,28.11825
60.0,145.7412,27.344229999999996
60.25,145.56889999999999,24.38005
60.5,153.459,27.30441
60.75,137.83440000000002,26.61267
61.0,113.87030000000001,18.04007
61.25,108.4777,22.00391
61.5,114.0451,24.00155
61.75,112.64760000000001,22.56473
62.0,110.15209999999999,17.95408
62.25,88.0375,17.32457
62.5,84.0101,15.96264
62.75,84.0727,17.31637
63.0,82.11540000000001,17.04539
63.25,83.9169,17.76569
63.5,81.25319999999999,16.44582
63.75,79.2348,18.294549999999997
64.0,77.1243,17.74118
64.25,82.11080000000001,18.21014
64.5,78.8038,18.44766
64.75,72.63289999999999,18.73193
65.0,68.83539999999999,17.06344
65.25,64.9194,17.13457
65.5,63.18079999999999,16.524430000000002
65.75,60.2605,16.28599
66.0,60.4993,16.33303
66.25,58.7675,15.5332
66.5,55.8836,14.754180000000002
66.75,55.703900000000004,14.37565
67.0,56.0966,14.91623
67.25,53.108000000000004,15.21631
67.5,57.2777,15.529739999999999
67.75,54.702600000000004,16.34082
68.0,54.922900000000006,14.5337
68.25,57.9221,14.57611
68.5,58.4487,15.49639
68.75,57.4766,15.17322
69.0,58.9804,14.83593
69.25,55.3156,14.04993
69.5,57.8712,14.89165
69.75,54.577,14.78349
70.0,53.3979,15.041060000000002
70.25,56.1673,15.642529999999999
70.5,51.9223,15.0748
70.75,48.2441,15.35422
71.0,49.9404,15.96895
71.25,53.289,16.43481
71.5,50.7713,16.49523
71.75,51.6202,16.33645
72.0,48.1484,16.109650000000002
72.25,48.866,16.14439
72.5,46.218199999999996,15.89953
72.75,47.2602,17.72292
73.0,46.6767,16.84957
73.25,47.9597,16.06758
73.5,48.180899999999994,16.15146
73.75,53.7328,18.35192
74.0,51.1871,18.664920000000002
74.25,50.595299999999995,18.157629999999997
74.5,47.6141,17.699730000000002
74.75,52.4593,19.8906
75.0,46.999399999999994,18.966299999999997
75.25,48.62899999999999,18.588810000000002
75.5,45.7078,18.768
75.75,48.357800000000005,18.64089
76.0,44.1854,17.3536
76.25,45.9004,17.822119999999998
76.5,41.9365,17.81386
76.75,42.220699999999994,17.80365
77.0,44.9754,18.603839999999998
77.25,45.3409,19.29196
77.5,43.922200000000004,16.58895
77.75,39.089600000000004,15.31072
78.0,39.1498,15.70486
78.25,39.1452,15.68142
78.5,40.542100000000005,16.58343
78.75,42.3775,16.9985
79.0,42.3739,16.51028
79.25,42.750600000000006,16.38914
79.5,45.4022,17.940350000000002
79.75,45.7264,17.07465
80.0,36.1036,17.39439
80.25,37.5313,15.95307
80.5,39.4294,16.97601
80.75,43.5787,17.34245
81.0,50.1165,18.77577
81.25,51.432900000000004,18.91272
81.5,53.893600000000006,19.99213
81.75,56.6522,19.770139999999998
82.0,55.71679999999999,19.59968
82.25,55.24929999999999,19.44336
82.5,38.754999999999995,18.33344
82.75,40.0345,18.63618
83.0,46.3318,19.34784
83.25,48.2626,19.04611
83.5,50.760099999999994,18.671789999999998
83.75,50.4766,19.07428
84.0,51.2466,19.17156
84.25,49.783300000000004,19.07861
84.5,47.197,18.734879999999997
84.75,49.3967,20.01509
85.0,37.169799999999995,17.517490000000002
85.25,37.6024,16.65341
85.5,44.2862,17.45846
85.75,49.759,18.42479
86.0,50.084,18.8138
86.25,52.8194,18.56828
86.5,49.334500000000006,17.36101
86.75,51.04560000000001,17.862830000000002
87.0,49.98350000000001,17.05039
87.25,48.95779999999999,16.16655
87.5,41.8376,15.845010000000002
87.75,44.344899999999996,18.41149
88.0,46.809999999999995,16.43269
88.25,46.4795,15.76797
88.5,45.5047,15.307849999999998
88.75,46.593599999999995,15.38547
89.0,47.8442,14.693079999999998
89.25,49.4867,13.932649999999999
89.5,50.922,13.94172
89.75,52.4898,13.902099999999999
90.0,54.02539999999999,13.7052
90.25,47.6239,13.455930000000002
90.5,46.6873,13.775849999999998
90.75,48.9251,15.29816
91.0,49.6062,16.31004
91.25,49.5757,15.870940000000001
91.5,48.524100000000004,15.51681
91.75,49.3853,16.1807
92.0,55.1927,16.47876
92.25,52.1866,15.40055
92.5,51.897200000000005,16.29167
92.75,50.3159,16.11894
93.0,53.586,17.29609
93.25,51.425,17.21181
93.5,52.584,17.57853
93.75,53.0426,18.45991
94.0,51.3417,17.68399
94.25,50.3392,16.927780000000002
94.5,50.234700000000004,17.00663
94.75,51.047000000000004,16.85606
95.0,50.800799999999995,16.997120000000002
95.25,48.6563,17.70771
95.5,51.811,18.578400000000002
95.75,52.9255,18.665950000000002
96.0,50.592699999999994,19.17754
96.25,47.8471,18.59026
96.5,46.4132,17.33308
96.75,46.6006,17.64435
97.0,50.2428,20.02471
97.25,48.2128,18.76901
97.5,49.701499999999996,18.608
97.75,51.440200000000004,19.70429
98.0,49.846900000000005,19.13528
98.25,50.8858,19.11678
98.5,48.6088,18.10381
