MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,5050,0,1467671,-1,0.0,0.0,0.0,0.0,165842.0,0.0,0.0,0.0,0.0,0.0,220150.65,-0.15,543038.27,-0.59,929030.18
FEV,5372,0,1509824,-1,372.0,0.0,0.0,0.0,176416.48,0.0,0.0,0.0,24432.96,0.0,226473.6,-0.15,558634.88,-0.59,985957.18
MAR,5502,0,1629313,-1,502.0,0.0,0.0,0.0,180685.68,0.0,0.0,0.0,32971.36,0.0,244396.95,-0.15,602845.81,-0.59,1060899.06
ABR,5049,0,1249991,-1,0.0,0.0,0.0,0.0,165809.16,0.0,0.0,0.0,0.0,0.0,187498.65,-0.15,462496.67,-0.59,815803.74
MAI,5050,0,1310187,-2,0.0,0.0,0.0,0.0,165842.0,0.0,0.0,0.0,0.0,0.0,196528.05,-0.3,484769.19,-1.18,847137.76
JUN,5048,0,1469895,-2,0.0,0.0,0.0,0.0,165776.32,0.0,0.0,0.0,0.0,0.0,220484.25,-0.3,543861.15,-1.18,930120.24
JUL,5050,0,1468890,-2,0.0,0.0,0.0,0.0,165842.0,0.0,0.0,0.0,0.0,0.0,220333.5,-0.3,543489.3,-1.18,929663.32
AGO,5048,0,1373655,-1,0.0,0.0,0.0,0.0,165776.32,0.0,0.0,0.0,0.0,0.0,206048.25,-0.15,508252.35,-0.59,880076.18
SET,5050,0,1284975,-2,0.0,0.0,0.0,0.0,165842.0,0.0,0.0,0.0,0.0,0.0,192746.25,-0.3,475440.75,-1.18,834027.52
OUT,5050,0,1327185,-1,0.0,0.0,0.0,0.0,165842.0,0.0,0.0,0.0,0.0,0.0,199077.75,-0.15,491058.45,-0.59,855977.46
NOV,5442,0,1406876,-1,442.0,0.0,0.0,0.0,178715.28,0.0,0.0,0.0,29030.56,0.0,211031.4,-0.15,520544.12,-0.59,939320.62
DEZ,5350,0,1429273,-1,350.0,0.0,0.0,0.0,175694.0,0.0,0.0,0.0,22988.0,0.0,214390.95,-0.15,528831.01,-0.59,941903.22
TOTAIS,5502,0,16927735,-16,,,,,,,,,,,,,,,10949916.48
