Segmento,Year,LDCurve,Hour,Meter,kWh,kvarh,Max kW,Max kVA,Zone kWh,Zone kvarh,Zone Max kW,Zone Max kVA,Overload kWh Normal,Overload kWh Emerg,Load EEN,Load UE,Zone Losses kWh,Zone Losses kvarh,Zone Max kW Losses,Zone Max kvar Losses,Load Losses kWh,Load Losses kvarh,No Load Losses kWh,No Load Losses kvarh,Max kW Load Losses,Max kW No Load Losses,Line Losses,Transformer Losses,Line Mode Line Losses,Zero Mode Line Losses,3-phase Line Losses,1- and 2-phase Line Losses,Gen kWh,Gen kvarh,Gen Max kW,Gen Max kVA,13.8 kV Losses,Aux1,Aux6,Aux11,Aux16,Aux21,Aux26,13.8 kV Line Loss,Aux2,Aux7,Aux12,Aux17,Aux22,Aux27,13.8 kV Load Loss,Aux3,Aux8,Aux13,Aux18,Aux23,Aux28,13.8 kV No Load Loss,Aux4,Aux9,Aux14,Aux19,Aux24,Aux29,13.8 kV Load Energy,Aux5,Aux10,Aux15,Aux20,Aux25,Aux30
S00000_FORA_PONTA,0, ,41.0," ""GERAL""       ",64788.0,6856.0,3063.0,3090.0,55486.0,8662.0,2936.0,2967.0,0.0,0.0,2687.0,2331.0,4268.0,10488.0,120.0,322.0,230.0,-877.0,4038.0,11365.0,25.0,98.0,91.0,4176.0,91.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,4268.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,4038.0,0.0,0.0,0.0,0.0,0.0,0.0,55486.0,0.0,0.0,0.0,0.0,0.0,0.0
S00001_PONTA,0, ,44.0," ""GERAL""       ",0.0,569.0,0.0,210.0,4071.0,540.0,1395.0,1408.0,0.0,0.0,194.0,168.0,347.0,925.0,117.0,312.0,53.0,95.0,295.0,831.0,19.0,98.0,3.0,344.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,4071.0,0.0,0.0,0.0,0.0,0.0,0.0
S00002_FORA_PONTA,0, ,65.0," ""GERAL""       ",41751.0,4071.0,3043.0,3053.0,33733.0,4761.0,2554.0,2572.0,0.0,0.0,1350.0,1172.0,2201.0,5464.0,121.0,323.0,181.0,-220.0,2020.0,5684.0,26.0,97.0,63.0,2138.0,63.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,2201.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,33733.0,0.0,0.0,0.0,0.0,0.0,0.0
S00003_PONTA,0, ,68.0," ""GERAL""       ",0.0,488.0,0.0,190.0,3678.0,495.0,1287.0,1300.0,0.0,0.0,194.0,168.0,339.0,890.0,114.0,302.0,44.0,59.0,295.0,831.0,16.0,98.0,3.0,336.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,3678.0,0.0,0.0,0.0,0.0,0.0,0.0
S00004_FORA_PONTA,0, ,137.0," ""GERAL""       ",100347.0,9752.0,3182.0,3195.0,87012.0,12952.0,3055.0,3071.0,0.0,0.0,4446.0,3857.0,6992.0,17149.0,121.0,322.0,307.0,-1664.0,6685.0,18814.0,25.0,98.0,124.0,6867.0,124.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,6992.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,6685.0,0.0,0.0,0.0,0.0,0.0,0.0,87012.0,0.0,0.0,0.0,0.0,0.0,0.0
S00005_PONTA,0, ,140.0," ""GERAL""       ",53.0,536.0,106.0,232.0,4191.0,501.0,1555.0,1566.0,0.0,0.0,194.0,168.0,349.0,932.0,118.0,318.0,54.0,101.0,295.0,831.0,20.0,98.0,3.0,346.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,4191.0,0.0,0.0,0.0,0.0,0.0,0.0
S00006_FORA_PONTA,0, ,161.0," ""GERAL""       ",47005.0,4252.0,3234.0,3250.0,38775.0,4861.0,3107.0,3125.0,0.0,0.0,1349.0,1171.0,2224.0,5527.0,121.0,323.0,210.0,-139.0,2014.0,5667.0,26.0,97.0,79.0,2145.0,79.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,2224.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,38775.0,0.0,0.0,0.0,0.0,0.0,0.0
S00007_PONTA,0, ,164.0," ""GERAL""       ",86.0,556.0,178.0,276.0,4267.0,516.0,1627.0,1638.0,0.0,0.0,194.0,168.0,350.0,936.0,118.0,318.0,55.0,105.0,295.0,831.0,20.0,98.0,3.0,347.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,4267.0,0.0,0.0,0.0,0.0,0.0,0.0
S00008_FORA_PONTA,0, ,185.0," ""GERAL""       ",46620.0,4066.0,3057.0,3065.0,38393.0,4686.0,2901.0,2915.0,0.0,0.0,1349.0,1171.0,2220.0,5518.0,121.0,323.0,205.0,-151.0,2015.0,5669.0,26.0,97.0,76.0,2144.0,76.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,2220.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,38393.0,0.0,0.0,0.0,0.0,0.0,0.0
S00009_PONTA,0, ,188.0," ""GERAL""       ",119.0,682.0,201.0,331.0,4364.0,635.0,1650.0,1668.0,0.0,0.0,194.0,168.0,352.0,943.0,118.0,319.0,57.0,113.0,294.0,830.0,20.0,98.0,3.0,348.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,4364.0,0.0,0.0,0.0,0.0,0.0,0.0
