Mes,Posto,N_pontos_SIM16,Consumo_P_SIM16_kWh,Consumo_Q_SIM16_kVArh,DemandaMax_P_SIM16_kW,DemandaMax_Q_SIM16_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1513148.7735000001,157634.885775,5123.469999999999,636.566,2712
JANEIRO,PONTA,264,29286.82817475,16824.960075,1082.447,465.335,264
FEVEREIRO,FORA_PONTA,2448,1560046.10025,165777.95405,5604.6,655.127,2448
FEVEREIRO,PONTA,240,42408.07685,17312.828275,1424.433,506.761,240
MARCO,FORA_PONTA,2736,1667397.8645,164155.5209,5604.15,584.423,2736
MARCO,PONTA,240,58528.743,16534.69015,1783.458,380.703,240
ABRIL,FORA_PONTA,2640,1275189.93475,100456.7886875,3886.36,348.399,2640
ABRIL,PONTA,240,36351.5293,11726.800675,988.893,354.006,240
MAIO,FORA_PONTA,2724,1330216.61275,87990.2650475,3846.38,395.549,2724
MAIO,PONTA,252,43810.727525,11283.705175,1437.491,270.6827,252
JUNHO,FORA_PONTA,2640,1492309.3542,75098.017685,4873.07,275.9963,2640
JUNHO,PONTA,240,58469.075,9827.0205,1592.9789999999998,223.3729,240
JULHO,FORA_PONTA,2700,1494260.996,64390.057651575,5130.18,261.6093,2700
JULHO,PONTA,276,48785.444625000004,10027.732125,2175.298,255.5085,276
AGOSTO,FORA_PONTA,2724,1396618.35775,69245.09355625,3849.82,255.0174,2724
AGOSTO,PONTA,252,47668.482953,10794.2690575,1289.792,298.7757,252
SETEMBRO,FORA_PONTA,2616,1306186.00225,78609.221545,3533.86,314.97,2616
SETEMBRO,PONTA,264,41471.797,12047.5794,966.522,267.2906,264
OUTUBRO,FORA_PONTA,2700,1347260.73385,97842.217575,4340.74,440.214,2700
OUTUBRO,PONTA,276,42311.5876325,14291.95735,1207.672,365.5220000000001,276
NOVEMBRO,FORA_PONTA,2652,1437429.45075,117160.0272,5603.18,540.767,2652
NOVEMBRO,PONTA,228,47604.730675,14296.792375,2092.901,454.42,228
DEZEMBRO,FORA_PONTA,2712,1466817.61075,134484.202775,5599.28,577.601,2712
DEZEMBRO,PONTA,264,38804.6512685,17680.7363,1900.221,486.077,264
