Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Q_SIM2_kVAr,N_pontos_SIM17,Consumo_P_SIM17_kWh,Consumo_Q_SIM17_kVArh,DemandaMax_P_SIM17_kW,DemandaMax_Q_SIM17_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,111081.57335,4601.09,531.024,2712,1426009.952,150673.90155,4639.58,574.249,2712
JANEIRO,PONTA,264,106519.01625,8881.22425,2189.518,323.368,264,-2.521685099999999,16184.408775,0.159211,481.725,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,121155.239031,5293.83,548.232,2448,1474296.23325,157277.2312325,5036.13,591.246,2448
FEVEREIRO,PONTA,240,111067.2575,9884.754675,2497.443,360.838,240,111.48486685,17624.9436,172.3673,532.6179999999999,240
MARCO,FORA_PONTA,2736,1398718.94925,117092.46215,5424.81,479.288,2736,1587890.311,157288.261425,5044.39,523.287,2736
MARCO,PONTA,240,125599.891,9179.0273,2821.215,246.9417,240,1222.27850965,18062.097525,495.098,418.259,240
ABRIL,FORA_PONTA,2640,1046336.75975,61263.5519619,3488.3900000000003,276.1418,2640,1213604.55625,99433.4990175,4034.17,334.58,2640
ABRIL,PONTA,240,105623.26225,4871.96111,2105.641,223.8575,240,-1.3181657499999992,12141.92025,0.2099569999999999,374.056,240
MAIO,FORA_PONTA,2724,1089969.021,48919.905416855,3452.44,318.556,2724,1270562.0205,88751.489515,4037.14,361.916,2724
MAIO,PONTA,252,115993.521,4187.1933913,2510.263,148.8718,252,247.60496587499998,12222.329375,184.0161,275.968,252
JUNHO,FORA_PONTA,2640,1242724.09375,38102.155019485,4376.42,208.0672,2640,1429457.58645,76892.610595,4414.52,291.7816,2640
JUNHO,PONTA,240,125569.913,3151.4850875,2650.217,106.1559,240,1720.0973652,12000.06415,323.79200000000003,277.4778,240
JULHO,FORA_PONTA,2700,1229188.7010000001,27148.2271470175,4607.84,195.1465,2700,1424747.5632500001,67366.1469575,4645.92,276.3748,2700
JULHO,PONTA,276,127765.63075,2482.835064725,3175.17,134.29919999999998,276,3249.492043325,11168.595800000001,847.616,304.534,276
AGOSTO,FORA_PONTA,2724,1150062.316,31955.9060229875,3455.62,185.3492,2724,1335866.859,71909.273645,4038.2,282.3143,2724
AGOSTO,PONTA,252,119110.506175,3766.06350575,2377.106,174.1023,252,64.0553335,12101.003905,51.212,301.613,252
SETEMBRO,FORA_PONTA,2616,1065787.183,41289.61118589175,3092.4700000000003,245.4364,2616,1249698.2435,80202.3017875,4037.900000000001,319.329,2616
SETEMBRO,PONTA,264,117526.443,4590.8948225,2085.462,145.6909,264,-0.6339474999999997,12675.0961,0.194662,284.705,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,57517.6741775,3897.04,357.192,2700,1284659.35195,97596.4212,4038.16,400.58,2700
OUTUBRO,PONTA,276,121921.60075,6324.1117525,2302.502,234.2899,276,-1.510531799999999,14739.732675,0.190978,376.307,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,76081.170921425,5363.5,442.332,2652,1369180.3175000001,114572.9792,5027.450000000001,485.7480000000001,2652
NOVEMBRO,PONTA,228,112115.74475,7458.345525,3100.21,313.14500000000004,228,1831.32486085,15237.40915,773.6899999999999,484.133,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,90455.0494375,5272.67,478.684,2712,1388620.90225,129940.94135000001,5028.51,521.9390000000001,2712
DEZEMBRO,PONTA,264,114506.35875,9707.184525,2926.615,342.048,264,1253.0621759,17664.891325,600.3489999999999,513.319,264
