Hora_decimal,P_3f_S,Q_3f_S
0.0,729.839,54.085800000000006
0.25,729.839,54.085800000000006
0.5,729.856,54.080999999999996
0.75,729.853,54.0813
1.0,729.858,54.080600000000004
1.25,729.841,54.082300000000004
1.5,729.864,54.0827
1.75,729.858,54.080200000000005
2.0,729.867,54.076800000000006
2.25,729.85,54.0754
2.5,11.607009999999999,14.770889999999998
2.75,11.60715,14.77205
3.0,11.60608,14.76663
3.25,11.60662,14.76933
3.5,11.627559999999999,14.872970000000002
3.75,11.6266,14.86811
4.0,11.62632,14.866579999999999
4.25,11.62561,14.86304
4.5,11.62561,14.86298
4.75,11.626719999999999,14.868590000000001
5.0,11.62942,14.882369999999998
5.25,11.63155,14.893520000000002
5.5,11.63269,14.899430000000002
5.75,11.63461,14.909300000000002
6.0,11.63633,14.91836
6.25,11.63593,14.916350000000001
6.5,11.63599,14.91665
6.75,11.63587,14.91602
7.0,11.63563,14.914760000000001
7.25,11.63533,14.913230000000002
7.5,11.63467,14.909809999999998
7.75,11.63453,14.909119999999998
8.0,11.63353,14.903899999999998
8.25,11.63362,14.90428
8.5,11.65297,14.91176
8.75,11.67172,14.916080000000001
9.0,11.69287,14.93285
9.25,11.71471,14.94388
9.5,11.737449999999999,14.95505
9.75,11.761569999999999,14.96846
10.0,11.78545,14.97623
10.25,11.79439,14.98076
10.5,11.8021,14.98351
10.75,11.81218,14.9891
11.0,11.82061,14.99127
11.25,11.83241,14.9965
11.5,11.84512,15.00683
11.75,11.8552,15.00353
12.0,11.86762,15.0074
12.25,11.87884,15.01445
12.5,11.88862,15.01409
12.75,11.89969,15.02042
13.0,11.91004,15.018349999999998
13.25,11.9155,15.027940000000001
13.5,11.92024,15.03389
13.75,11.924109999999999,15.03077
14.0,11.93044,15.040429999999999
14.25,11.92912,15.03362
14.5,11.92996,15.03332
14.75,11.93272,15.038179999999999
15.0,11.93257,15.032829999999999
15.25,11.918890000000001,15.02693
15.5,11.90539,15.01736
15.75,11.89099,15.00311
16.0,11.879529999999999,14.994829999999999
16.25,11.88223,14.98578
16.5,11.88925,14.99411
16.75,11.89573,15.004340000000001
17.0,11.90221,15.010100000000001
17.25,11.89096,15.007550000000002
17.5,11.87989,15.005809999999999
17.75,11.86825,15.001309999999998
18.0,11.85418,14.98888
18.25,11.839210000000001,14.985310000000002
18.5,11.82061,14.97269
18.75,11.801829999999999,14.96809
19.0,11.78056,14.960069999999998
19.25,11.75515,14.94917
19.5,11.727219999999999,14.934439999999999
19.75,11.69833,14.91033
20.0,11.66913,14.889020000000002
20.25,11.6678,14.88665
20.5,11.66695,14.88684
20.75,11.664940000000001,14.88569
21.0,11.66407,14.885930000000002
21.25,11.66074,14.8871
21.5,11.65513,14.87678
