MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,5148.0,0.0,1578512.0,-3,0.0,0.0,402.0,483.0,169060.32,0.0,10958.52,33409.11,0.0,0.0,236776.8,-0.45,584049.44,-1.77,1034251.97
FEV,5603.0,2.0,1634204.0,-2,0.0,0.0,0.0,481.0,184002.52,166.68,0.0,33270.77,0.0,0.0,245130.6,-0.3,604655.48,-1.18,1067224.57
MAR,5605.0,361.0,1761940.0,358,0.0,0.0,0.0,122.0,184068.2,30085.74,0.0,8438.74,0.0,0.0,264291.0,53.7,651917.8,211.22,1139066.4
ABR,4477.0,0.0,1346087.0,-2,0.0,0.0,1073.0,483.0,147024.68,0.0,29249.98,33409.11,0.0,0.0,201913.05,-0.3,498052.19,-1.18,909647.53
MAI,4480.0,14.0,1406900.0,1,0.0,0.0,1070.0,469.0,147123.2,1166.76,29168.2,32440.73,0.0,0.0,211035.0,0.15,520553.0,0.59,941487.63
JUN,4897.0,170.0,1584116.0,341,0.0,0.0,653.0,313.0,160817.48,14167.8,17800.78,21650.21,0.0,0.0,237617.4,51.15,586122.92,201.19,1038428.93
JUL,5154.0,750.0,1581907.0,2118,0.0,267.0,396.0,0.0,169257.36,62505.0,10794.96,0.0,0.0,44503.56,237286.05,317.7,585305.59,1249.62,1111219.84
AGO,4481.0,0.0,1478474.0,-1,0.0,0.0,1069.0,483.0,147156.04,0.0,29140.94,33409.11,0.0,0.0,221771.1,-0.15,547035.38,-0.59,978511.83
SET,4484.0,0.0,1382691.0,-1,0.0,0.0,1066.0,483.0,147254.56,0.0,29059.16,33409.11,0.0,0.0,207403.65,-0.15,511595.67,-0.59,928721.41
OUT,4483.0,0.0,1424425.0,-2,0.0,0.0,1067.0,483.0,147221.72,0.0,29086.42,33409.11,0.0,0.0,213663.75,-0.3,527037.25,-1.18,950416.77
NOV,5602.0,670.0,1517158.0,911,0.0,187.0,0.0,0.0,183969.68,55837.8,0.0,0.0,0.0,31169.16,227573.7,136.65,561348.46,537.49,1060572.94
DEZ,5605.0,477.0,1539413.0,520,0.0,0.0,0.0,6.0,184068.2,39753.18,0.0,415.02,0.0,0.0,230911.95,78.0,569582.81,306.8,1025115.96
TOTAIS,5605.0,750.0,18235827.0,4238,0.0,267.0,1073.0,483.0,1971023.96,203682.96,185258.95999999996,263261.02,0.0,75672.72,2735374.0500000003,635.7,6747255.99,2500.42,12184665.779999997
CTOTAL,,,18240065.0,,,,,,,,,,,,,,,,
R$TOTAL,,,,,,,,,,,,,,,,,,,12184665.779999997
DCFP,5550.0,,,,,,,,,,,,,,,,,,
DCP,,483.0,,,,,,,,,,,,,,,,,
KW_TARGET_FP,5550.0,,,,,,,,,,,,,,,,,,
KW_TARGET_LOW_FP,4440.0,,,,,,,,,,,,,,,,,,
