segmento_idx,posto,hora_ini,n_steps,soc_inicial_m1_pct,soc_final_m1_pct,soc_inicial_m2_pct,soc_final_m2_pct,soc_inicial_m3_pct,soc_final_m3_pct,soc_inicial_m4_pct,soc_final_m4_pct,monitor_bessm1_csv,monitor_bessm2_csv,monitor_bessm3_csv,monitor_bessm4_csv
0,FORA_PONTA,0.0,167,50.0,100.0,50.0,100.0,50.0,100.0,50.0,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00000_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00000_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00000_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00000_FORA_PONTA.csv
1,PONTA,41.75,12,100.0,69.2465,100.0,55.8138,100.0,56.9046,100.0,57.603,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00001_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00001_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00001_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00001_PONTA.csv
2,FORA_PONTA,44.75,84,69.2465,100.0,55.8138,100.0,56.9046,100.0,57.603,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00002_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00002_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00002_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00002_FORA_PONTA.csv
3,PONTA,65.75,12,100.0,71.8837,100.0,59.6094,100.0,60.61,100.0,61.2505,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00003_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00003_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00003_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00003_PONTA.csv
4,FORA_PONTA,68.75,276,71.8837,100.0,59.6094,100.0,60.61,100.0,61.2505,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00004_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00004_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00004_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00004_FORA_PONTA.csv
5,PONTA,137.75,12,100.0,68.4509,100.0,54.6684,100.0,55.7862,100.0,56.502,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00005_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00005_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00005_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00005_PONTA.csv
6,FORA_PONTA,140.75,84,68.4509,100.0,54.6684,100.0,55.7862,100.0,56.502,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00006_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00006_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00006_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00006_FORA_PONTA.csv
7,PONTA,161.75,12,100.0,67.9446,100.0,53.9396,100.0,55.0732,100.0,55.8001,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00007_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00007_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00007_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00007_PONTA.csv
8,FORA_PONTA,164.75,84,67.9446,100.0,53.9396,100.0,55.0732,100.0,55.8001,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00008_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00008_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00008_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00008_FORA_PONTA.csv
9,PONTA,185.75,12,100.0,67.2921,100.0,53.0002,100.0,54.1574,100.0,54.8984,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM1_IN_s00009_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM2_IN_s00009_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM3_IN_s00009_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 018 segmentos_pass1_sem_hvac_int_ano_2038\UFSM_Mon_BESSM4_IN_s00009_PONTA.csv
