Hora_decimal,P_3f_S,Q_3f_S
0.0,1857.373,167.8734
0.25,1857.373,167.8734
0.5,1866.071,168.8023
0.75,1867.4969999999998,171.6485
1.0,1861.119,161.6057
1.25,1849.662,165.4908
1.5,1837.4410000000003,158.6362
1.75,1845.982,161.8344
2.0,1833.4030000000002,155.9752
2.25,1841.32,159.0137
2.5,1851.118,158.20159999999998
2.75,1844.9989999999998,157.56119999999999
3.0,1861.879,168.4529
3.25,1850.494,166.7998
3.5,706.9939999999999,111.2749
3.75,713.633,120.69550000000001
4.0,717.1790000000001,120.0547
4.25,728.537,124.8324
4.5,719.7170000000001,132.61950000000002
4.75,721.686,128.6338
5.0,696.1759999999999,104.53630000000001
5.25,697.5699999999999,92.6377
5.5,651.316,89.32390000000001
5.75,609.634,89.8957
6.0,577.642,82.681
6.25,572.268,83.4913
6.5,580.6800000000001,84.3891
6.75,591.3509999999999,87.135
7.0,587.769,89.98689999999999
7.25,584.55,92.7167
7.5,592.086,87.9524
7.75,600.0029999999999,92.17060000000001
8.0,622.176,112.7421
8.25,615.2439999999999,112.62689999999999
8.5,604.027,116.7973
8.75,608.896,122.5314
9.0,611.779,108.4866
9.25,605.157,107.9298
9.5,590.071,104.46409999999999
9.75,571.084,100.31989999999999
10.0,591.679,107.565
10.25,595.0,109.8756
10.5,651.823,127.56899999999999
10.75,654.358,122.10990000000001
11.0,648.541,115.10840000000002
11.25,619.038,114.54830000000001
11.5,617.7149999999999,106.19030000000001
11.75,640.2429999999999,111.26330000000002
12.0,642.754,126.8646
12.25,649.471,118.502
12.5,679.43,126.4186
12.75,670.894,131.2726
13.0,745.097,133.5633
13.25,706.493,132.1507
13.5,671.555,116.6618
13.75,686.273,116.2128
14.0,687.931,111.6201
14.25,705.056,119.41189999999999
14.5,713.456,124.07339999999999
14.75,708.668,119.1961
15.0,708.951,125.8279
15.25,717.4069999999999,115.89020000000001
15.5,751.416,121.29159999999999
15.75,747.653,124.19579999999999
16.0,737.905,131.92079999999999
16.25,743.304,135.76389999999998
16.5,745.678,141.0933
16.75,745.292,130.36499999999998
17.0,737.951,122.1114
17.25,735.734,117.475
17.5,720.902,104.2127
17.75,710.279,99.33679999999998
18.0,719.242,98.0358
18.25,723.233,94.6028
18.5,728.465,102.5283
18.75,717.603,102.1379
19.0,706.718,93.28280000000001
19.25,700.172,88.0662
19.5,683.918,78.4055
19.75,725.996,84.0639
20.0,756.95,81.49780000000001
20.25,760.258,82.15480000000001
20.5,762.891,78.3946
20.75,748.612,81.2987
21.0,750.1959999999999,81.577
21.25,742.9789999999999,76.59809999999999
21.5,743.62,89.113
21.75,744.608,99.0241
22.0,732.057,98.718
22.25,731.291,98.77929999999999
22.5,738.3520000000001,106.593
22.75,721.571,98.7116
23.0,718.319,96.38149999999999
23.25,729.626,105.77429999999998
23.5,719.27,97.88380000000001
23.75,717.245,102.1602
24.0,742.384,114.7878
24.25,745.199,117.70779999999999
24.5,746.4459999999999,125.43430000000001
