Hora_decimal,P_3f_S,Q_3f_S
0.0,1048.625,200.3503
0.25,1048.625,200.3503
0.5,1061.376,208.8731
0.75,1062.185,211.6514
1.0,1053.118,201.8773
1.25,1045.934,206.85109999999997
1.5,1034.612,201.1429
1.75,1039.479,204.36440000000005
2.0,1028.504,200.8105
2.25,1036.469,203.76080000000002
2.5,1041.585,201.3391
2.75,1037.324,201.26370000000003
3.0,1053.261,212.30440000000002
3.25,1047.316,212.6388
3.5,1045.884,211.33800000000002
3.75,1053.353,217.6848
4.0,1056.69,217.2532
4.25,588.293,209.11809999999997
4.5,574.203,217.1129
4.75,584.699,214.4101
5.0,561.1519999999999,192.0737
5.25,560.366,180.4833
5.5,513.548,176.5335
5.75,477.202,175.6478
6.0,450.722,169.8059
6.25,448.01099999999997,170.83849999999998
6.5,456.20500000000004,172.1597
6.75,466.744,172.92360000000002
7.0,465.19800000000004,175.5324
7.25,469.726,179.00740000000002
7.5,474.8589999999999,176.613
7.75,486.179,179.9682
8.0,403.23900000000003,183.1216
8.25,408.48900000000003,184.8046
8.5,441.11400000000003,194.8807
8.75,469.941,202.30139999999997
9.0,482.64200000000005,188.8698
9.25,491.636,190.79340000000002
9.5,485.216,186.6389
9.75,479.74699999999996,181.96280000000002
10.0,508.22,191.5178
10.25,507.65,191.601
10.5,445.13,191.4349
10.75,449.17500000000007,188.2401
11.0,501.41200000000003,190.43359999999998
11.25,498.246,192.1028
11.5,503.345,183.8012
11.75,536.1999999999999,190.2027
12.0,555.866,207.89550000000003
12.25,574.7270000000001,202.7819
12.5,588.51,211.71229999999997
12.75,587.706,214.7985
13.0,528.2840000000001,200.6528
13.25,520.268,200.5781
13.5,522.004,191.094
13.75,554.233,191.41330000000002
14.0,572.319,191.2997
14.25,589.108,197.3466
14.5,607.062,204.8813
14.75,611.902,199.6696
15.0,602.832,205.1054
15.25,612.713,199.59890000000001
15.5,521.223,188.9075
15.75,529.569,193.041
16.0,542.574,202.0956
16.25,577.995,213.76080000000002
16.5,603.3299999999999,218.4369
16.75,615.045,211.122
17.0,592.507,201.6363
17.25,603.928,198.7783
17.5,588.751,187.2858
17.75,583.495,185.4406
18.0,581.589,182.7588
18.25,576.586,177.83769999999998
18.5,587.47,186.68869999999998
18.75,573.9780000000001,186.1637
19.0,560.944,177.8515
19.25,557.855,174.83689999999999
19.5,544.055,166.9819
19.75,576.54,171.5247
20.0,600.789,167.4112
20.25,601.845,167.5231
20.5,608.934,164.6984
20.75,599.514,168.9355
21.0,595.098,168.5074
21.25,591.302,163.9135
21.5,592.44,175.3719
21.75,586.5419999999999,181.29749999999999
22.0,584.727,185.0035
22.25,582.699,185.0497
22.5,591.3770000000001,192.29000000000002
22.75,581.895,187.6835
23.0,577.462,185.1692
23.25,578.331,189.2968
23.5,574.725,184.315
23.75,570.287,187.74939999999998
24.0,598.082,201.9949
24.25,599.796,205.38479999999998
24.5,606.0260000000001,212.4976
24.75,599.796,206.37720000000002
25.0,579.78,192.4684
25.25,578.6469999999999,193.8286
25.5,567.006,190.7593
25.75,566.7239999999999,185.3532
26.0,565.203,187.4318
26.25,570.513,189.7337
26.5,562.079,187.20170000000002
26.75,566.373,184.5952
27.0,566.804,192.7576
27.25,559.288,187.1364
27.5,561.249,185.5308
27.75,570.346,189.38170000000002
28.0,581.8720000000001,196.614
28.25,590.3789999999999,200.9682
28.5,594.057,204.8385
28.75,587.466,203.7706
29.0,590.571,200.5565
29.25,579.712,197.7902
29.5,546.838,187.3701
29.75,512.93,189.3505
30.0,488.874,183.451
30.25,485.26200000000006,182.2499
30.5,500.456,179.38330000000002
30.75,512.134,178.8036
31.0,551.874,186.0015
31.25,628.3420000000001,185.2375
31.5,769.8620000000001,196.26639999999998
31.75,892.2829999999999,204.68969999999996
32.0,961.1389999999999,212.85719999999998
32.25,1006.395,214.8886
32.5,1102.227,232.0305
32.75,1179.311,230.3943
33.0,1182.534,237.80100000000002
33.25,1257.245,238.9584
33.5,1326.434,241.84369999999998
33.75,1224.234,231.2091
34.0,1325.961,232.20589999999999
34.25,1309.424,236.22159999999997
34.5,1309.2130000000002,247.9514
34.75,1244.783,249.399
35.0,1295.183,252.5499
35.25,1316.925,263.1963
35.5,1251.087,242.2715
35.75,1242.476,243.79610000000002
36.0,1225.844,251.0029
36.25,1223.1190000000001,249.53590000000003
36.5,1250.717,255.91799999999998
36.75,1215.929,249.8792
37.0,1080.1460000000002,233.45169999999996
37.25,1073.2179999999998,235.0664
37.5,1081.164,224.0014
37.75,996.501,221.5376
38.0,1025.543,225.88899999999998
38.25,1037.436,222.99079999999998
38.5,1032.618,245.69960000000003
38.75,1100.98,242.6909
39.0,1064.576,231.1548
39.25,1036.068,226.3428
39.5,931.27,213.5247
39.75,938.6030000000001,213.8659
40.0,946.5849999999999,214.29049999999998
40.25,956.821,213.7104
40.5,955.165,218.28269999999998
40.75,944.014,216.95069999999998
41.0,866.277,205.3084
41.25,830.3229999999999,205.85539999999997
41.5,795.704,192.094
41.75,785.486,199.57580000000002
