Hora_decimal,P_3f_S,Q_3f_S
0.0,554.644,183.65
0.25,554.644,183.65
0.5,567.406,185.3558
0.75,568.2090000000001,187.2635
1.0,559.141,176.6652
1.25,551.951,181.4992
1.5,540.636,175.2394
1.75,545.505,177.92600000000002
2.0,534.532,173.59040000000002
2.25,542.4929999999999,176.1929
2.5,547.609,173.47039999999998
2.75,543.3489999999999,173.0709
3.0,559.2760000000001,184.5994
3.25,553.338,184.8856
3.5,551.904,183.6169
3.75,559.366,190.5755
4.0,562.704,190.67919999999998
4.25,575.4929999999999,197.4488
4.5,561.405,204.6904
4.75,571.899,201.4168
5.0,548.351,178.6446
5.25,547.562,166.7262
5.5,500.74699999999996,162.5337
5.75,464.40099999999995,161.4608
6.0,437.91999999999996,155.4771
6.25,435.20799999999997,156.4109
6.5,443.404,157.6562
6.75,453.943,158.364
7.0,452.397,160.9314
7.25,456.925,164.37580000000003
7.5,462.058,161.9605
7.75,473.378,165.29819999999998
8.0,390.441,168.4441
8.25,395.691,170.1166
8.5,428.295,180.1769
8.75,457.10299999999995,187.5865
9.0,469.782,174.1344
9.25,478.754,176.0435
9.5,472.31100000000004,171.8754
9.75,466.818,167.18439999999998
10.0,495.26699999999994,176.72899999999998
10.25,494.687,176.8067
10.5,432.16200000000003,176.638
10.75,436.197,173.437
11.0,488.423,175.6267
11.25,485.24600000000004,177.2903
11.5,490.332,168.9785
11.75,523.174,175.3813
12.0,542.829,193.0698
12.25,561.677,187.9481
12.5,575.4490000000001,196.8779
12.75,574.634,199.9577
13.0,515.204,185.8147
13.25,507.184,185.7314
13.5,508.915,176.2416
13.75,541.138,176.5627
14.0,559.217,176.4397
14.25,576.006,182.4922
14.5,593.958,190.02679999999998
14.75,598.797,184.8105
15.0,589.726,190.2514
15.25,599.62,184.7504
15.5,508.149,174.0706
15.75,516.508,178.2173
16.0,529.524,187.2798
16.25,564.941,198.95180000000002
16.5,590.268,203.6196
16.75,601.976,196.2948
17.0,579.432,186.8044
17.25,590.865,183.949
17.5,575.7,172.459
17.75,570.456,170.6185
18.0,568.563,167.9487
18.25,563.5749999999999,163.03209999999999
18.5,574.477,171.8949
18.75,561.004,171.37550000000002
19.0,547.9929999999999,163.072
19.25,544.9290000000001,160.0687
