Hora_decimal,P_3f_S,Q_3f_S
0.0,493.972,-40.3889
0.25,493.972,-40.3889
0.5,493.95599999999996,-40.2096
0.75,493.96299999999997,-40.715
1.0,493.96299999999997,-41.081199999999995
1.25,493.97399999999993,-42.0133
1.5,493.96700000000004,-42.389199999999995
1.75,493.962,-42.3286
2.0,493.95799999999997,-42.0164
2.25,493.962,-41.936
2.5,493.96,-41.6828
2.75,493.96,-41.4335
3.0,493.96900000000005,-41.8076
3.25,493.96299999999997,-41.708600000000004
3.5,493.96500000000003,-41.7937
3.75,493.97399999999993,-42.3904
4.0,493.97399999999993,-42.9182
4.25,12.78048,9.08097
4.5,12.779029999999999,10.5233
4.75,12.78097,11.612540000000001
5.0,12.78305,12.43617
5.25,12.78528,13.05735
5.5,12.78586,13.517550000000002
5.75,12.78771,13.87002
6.0,12.78925,14.135110000000001
6.25,12.78865,14.32497
6.5,12.78892,14.47099
6.75,12.78896,14.579709999999999
7.0,12.78866,14.65954
7.25,12.78828,14.718570000000001
7.5,12.787420000000001,14.759879999999999
7.75,12.78733,14.79377
8.0,12.787049999999999,14.818090000000002
8.25,12.78703,14.837319999999998
8.5,12.806169999999998,14.85813
8.75,12.824819999999999,14.87276
9.0,12.845849999999999,14.89698
9.25,12.867569999999999,14.913540000000001
9.5,12.8899,14.92707
9.75,12.91357,14.94173
10.0,12.937619999999999,14.9528
10.25,12.94664,14.95973
10.5,12.95557,14.97032
10.75,12.96556,14.97672
11.0,12.973469999999999,14.97681
11.25,12.984820000000001,14.980510000000002
11.5,12.997440000000001,14.990599999999999
11.75,13.007489999999999,14.987400000000001
12.0,13.019110000000001,14.99212
12.25,13.031190000000002,14.999219999999998
12.5,13.041459999999999,15.00149
12.75,13.05253,15.00789
13.0,13.06362,15.00975
13.25,13.06879,15.018
13.5,13.07274,15.019919999999999
13.75,13.07649,15.01621
14.0,13.08201,15.02631
14.25,13.080820000000001,15.02013
14.5,13.081900000000001,15.02112
14.75,13.085550000000001,15.02607
15.0,13.08542,15.020770000000002
15.25,13.07166,15.01449
15.5,13.058769999999999,15.008049999999999
15.75,13.04403,14.99202
16.0,13.032509999999998,14.983460000000001
16.25,13.034939999999999,14.97282
16.5,13.042170000000002,14.982479999999999
16.75,13.04872,14.99316
17.0,13.055109999999999,14.998420000000001
17.25,13.04391,14.996010000000002
17.5,13.03256,14.99295
17.75,13.01973,14.986829999999998
18.0,13.00662,14.974620000000002
18.25,12.99183,14.97222
18.5,12.97336,14.960130000000001
18.75,12.95472,14.95635
19.0,12.93327,14.94735
19.25,12.90777,14.93597
19.5,12.8794,14.91894
19.75,12.85082,14.896169999999998
20.0,12.821460000000002,14.87403
20.25,12.82002,14.871269999999999
20.5,12.81909,14.871119999999998
20.75,12.81705,14.86983
21.0,12.816329999999999,14.870730000000002
21.25,12.81282,14.871119999999998
21.5,12.807269999999999,14.86092
21.75,12.80298,14.857199999999999
22.0,12.79875,14.85396
22.25,12.79032,14.851949999999999
22.5,12.7802,14.845950000000002
22.75,12.77729,14.84946
23.0,12.77736,14.84979
23.25,12.77676,14.84673
23.5,12.7773,14.84955
23.75,12.77747,14.85039
24.0,12.77639,14.844809999999999
24.25,12.77535,14.839469999999999
24.5,12.77511,14.83824
24.75,12.77622,14.84391
25.0,12.777610000000001,14.851140000000001
25.25,12.77762,14.851170000000002
25.5,12.77808,14.85351
25.75,12.778220000000001,14.85426
26.0,12.777660000000001,14.851409999999998
26.25,12.7776,14.851109999999998
26.5,12.777540000000002,14.850750000000001
26.75,12.77862,14.85633
27.0,12.78003,14.858999999999998
27.25,12.78045,14.86122
27.5,12.7806,14.86194
27.75,12.78005,14.85909
28.0,12.778380000000002,14.85509
28.25,12.777719999999999,14.85171
28.5,12.777830000000002,14.852249999999998
28.75,12.77852,14.855820000000001
29.0,12.780630000000002,14.862150000000002
29.25,12.78141,14.86609
29.5,12.781379999999999,14.865960000000001
29.75,12.78436,14.8814
30.0,12.78519,14.885670000000001
30.25,12.78415,14.88034
30.5,12.78387,14.87886
30.75,12.783059999999999,14.874680000000001
31.0,12.77661,14.84598
31.25,12.79825,14.83745
31.5,12.81832,14.8115
31.75,12.83531,14.7789
32.0,12.85376,14.75855
32.25,12.86795,14.73001
32.5,12.88288,14.70991
32.75,12.90034,14.6983
33.0,12.91077,14.64106
33.25,12.906589999999998,14.624020000000002
33.5,12.90691,14.62568
33.75,12.906770000000002,14.624939999999999
34.0,12.915210000000002,14.65937
34.25,12.92779,13.031210000000002
34.5,12.94878,8.34079
34.75,12.971999999999998,1.282231
35.0,12.99645,-7.19899
35.25,13.01901,-6.86315
35.5,13.04174,-6.85932
35.75,13.06605,-6.4043600000000005
36.0,13.091270000000002,-5.56013
36.25,13.06937,-2.246775
36.5,13.05214,2.7487839999999997
36.75,13.037500000000001,6.52096
37.0,13.025269999999999,9.8488
37.25,13.05223,11.088899999999999
37.5,13.07955,12.02432
37.75,13.10851,12.732680000000002
38.0,13.14275,13.28461
38.25,13.13262,13.65586
38.5,13.12248,13.926879999999999
38.75,13.12558,14.194849999999999
39.0,13.12903,14.410890000000002
39.25,13.11881,14.53446
39.5,13.10962,14.62853
39.75,13.101560000000003,14.69652
40.0,13.095609999999999,14.74916
40.25,13.08354,14.789810000000001
40.5,13.07307,14.81994
40.75,13.06124,14.8405
41.0,13.05263,14.86767
41.25,13.04756,14.86742
41.5,13.053239999999999,14.91984
41.75,13.04982,14.927399999999999
42.0,-238.69869999999997,21.34114
42.25,-234.4929,21.053340000000002
42.5,-234.1152,20.90448
42.75,-231.4464,20.721330000000002
43.0,-231.0756,20.62787
43.25,-228.21429999999998,20.475070000000002
43.5,-227.4298,20.39216
43.75,-230.48770000000002,20.45441
44.0,-236.75209999999998,20.64992
44.25,-235.3713,20.61313
44.5,-233.28,20.52278
44.75,-230.4315,20.40933
45.0,450.543,-36.412
45.25,450.54100000000005,-38.3755
45.5,443.013,-41.444900000000004
45.75,443.02500000000003,-42.3982
46.0,443.01599999999996,-42.4015
46.25,443.00700000000006,-41.9863
46.5,442.996,-41.0263
46.75,442.998,-40.3537
47.0,450.59400000000005,-39.3427
47.25,452.99699999999996,-41.9701
47.5,12.82076,9.6404
47.75,12.81477,10.93437
48.0,12.81092,11.91393
48.25,12.806830000000001,12.643519999999999
48.5,12.80238,13.192810000000001
48.75,12.79738,13.59737
49.0,12.792,13.901580000000001
49.25,12.78689,14.12998
49.5,12.78184,14.305430000000001
49.75,12.77552,14.43083
50.0,12.77235,14.530739999999998
50.25,12.77169,14.60066
50.5,12.77139,14.65398
50.75,12.773249999999999,14.70494
51.0,12.776069999999999,14.750390000000001
51.25,12.776069999999999,14.77353
51.5,12.7752,14.78646
51.75,12.775459999999999,14.80083
52.0,12.7751,14.808779999999999
52.25,12.77448,14.81292
52.5,12.774180000000001,14.816830000000001
52.75,12.77468,14.82357
53.0,12.77478,14.827199999999998
53.25,12.775560000000002,14.83353
53.5,12.77731,14.844359999999998
53.75,12.7788,14.853420000000002
54.0,12.77859,14.85321
54.25,12.778369999999999,14.852819999999998
54.5,12.780719999999999,14.860959999999999
54.75,12.77791,14.85144
55.0,12.77373,14.83008
55.25,12.76837,14.80264
55.5,12.76112,14.7653
55.75,12.76142,14.72993
56.0,12.76731,14.7049
56.25,12.771630000000002,14.667100000000001
56.5,12.78013,14.64625
56.75,12.791030000000003,14.64707
57.0,12.80088,14.63786
57.25,12.831600000000002,14.65772
57.5,12.86149,14.650190000000002
57.75,12.90522,14.67716
58.0,12.957430000000002,14.70626
58.25,12.95496,14.693480000000001
58.5,12.95533,14.6908
58.75,12.956990000000001,14.69477
59.0,12.95821,14.6918
59.25,12.95413,14.69387
59.5,12.95083,14.69999
59.75,12.94998,14.70941
60.0,12.94777,14.71193
60.25,12.95815,14.72393
60.5,12.967229999999999,14.729149999999999
60.75,12.97959,14.75605
61.0,12.993839999999999,14.78811
61.25,12.99452,14.80088
61.5,12.995450000000002,14.81952
61.75,12.995270000000001,14.82791
62.0,12.99776,14.849999999999998
62.25,12.99661,14.86262
62.5,12.99363,14.865770000000001
62.75,12.98939,14.857700000000001
63.0,12.987260000000003,14.860610000000001
63.25,12.992019999999998,14.86205
63.5,12.99823,14.870989999999999
63.75,13.00395,14.877410000000001
64.0,13.009800000000002,14.879859999999997
64.25,13.00076,14.884070000000001
64.5,12.99117,14.885449999999999
64.75,12.98202,14.889129999999998
65.0,12.973760000000002,14.897310000000001
65.25,12.97024,14.906930000000001
65.5,12.96519,14.91327
65.75,12.95837,14.915009999999999
66.0,-221.4017,20.647019999999998
66.25,-216.2531,20.3388
66.5,-214.00130000000001,20.12941
66.75,-208.4694,19.86354
67.0,-205.829,19.689
67.25,-203.1603,19.538899999999998
67.5,-203.93440000000004,19.50316
67.75,-207.3315,19.56666
68.0,-212.86110000000002,19.73019
68.25,-216.21409999999997,19.84316
68.5,-215.6288,19.827479999999998
68.75,-214.62849999999997,19.78724
69.0,466.35900000000004,-36.8424
69.25,466.34400000000005,-37.0191
69.5,466.35699999999997,-37.9902
69.75,466.34400000000005,-37.9362
70.0,466.34999999999997,-38.1792
70.25,466.354,-38.6319
70.5,466.34400000000005,-38.3919
70.75,474.62199999999996,-37.3754
71.0,474.718,-40.4369
71.25,12.777199999999999,9.66612
71.5,12.77851,10.96872
71.75,12.77837,11.939820000000001
72.0,12.77806,12.66704
72.25,12.77731,13.209769999999999
72.5,12.777159999999999,13.619
72.75,12.776140000000002,13.92117
73.0,12.776620000000001,14.154240000000001
73.25,12.77661,14.32713
73.5,12.777479999999999,14.46134
73.75,12.776589999999999,14.554020000000001
74.0,12.776489999999999,14.626459999999998
74.25,12.77721,14.684940000000001
74.5,12.777000000000001,14.72481
74.75,12.77622,14.75157
75.0,12.776309999999999,14.77515
75.25,12.77621,14.791920000000001
75.5,12.776489999999999,14.806370000000001
75.75,12.777059999999999,14.819070000000002
76.0,12.77729,14.82755
76.25,12.77703,14.831669999999999
76.5,12.7769,14.835090000000001
76.75,12.77637,14.83546
77.0,12.776879999999998,14.84037
77.25,12.778110000000002,14.84846
77.5,12.783750000000001,14.87433
77.75,12.78526,14.883120000000002
78.0,12.78694,14.89253
78.25,12.78777,14.89736
78.5,12.78664,14.89197
78.75,12.785130000000002,14.88441
79.0,12.785130000000002,14.88467
79.25,12.785160000000001,14.88498
79.5,12.78467,14.88261
79.75,12.78393,14.87892
80.0,12.80691,14.886569999999999
80.25,12.8233,14.892690000000002
80.5,12.83799,14.894540000000001
