Hora_decimal,P_3f_S,Q_3f_S
0.0,4093.51,25.46754
0.25,4093.51,25.46754
0.5,4076.1099999999997,30.592
0.75,4075.04,33.4196
1.0,4079.63,28.035890000000002
1.25,4083.2299999999996,36.2332
1.5,4076.41,31.6985
1.75,4075.13,29.54298
2.0,4063.8499999999995,27.623039999999996
2.25,4068.41,29.235819999999997
2.5,4066.07,29.111690000000003
2.75,4064.93,27.44106
3.0,4067.08,40.018
3.25,4059.07,36.4399
3.5,4062.58,35.792100000000005
3.75,4068.31,44.6082
4.0,4071.71,45.1403
4.25,1183.523,173.6892
4.5,1160.815,190.2679
4.75,1153.96,180.7729
5.0,1134.697,152.4247
5.25,1116.499,129.07479999999998
5.5,1077.85,132.0898
5.75,1007.396,136.6363
6.0,969.8699999999999,128.37079999999997
6.25,977.81,131.614
6.5,974.393,132.4679
6.75,977.8019999999999,132.7579
7.0,974.389,138.5764
7.25,975.498,143.03130000000002
7.5,993.6780000000001,145.4211
7.75,995.9459999999999,146.20420000000001
8.0,976.822,169.1966
8.25,973.383,169.9648
8.5,975.787,179.6349
8.75,992.933,191.4539
9.0,997.454,171.9504
9.25,995.337,175.6483
9.5,998.88,178.7256
9.75,996.7529999999999,179.40619999999998
10.0,1015.1019999999999,187.7836
10.25,1016.293,188.1027
10.5,1011.8699999999999,191.8517
10.75,1019.8589999999999,187.8865
11.0,1038.056,188.5195
11.25,1031.3129999999999,196.71320000000003
11.5,1030.2350000000001,185.79719999999998
11.75,1071.248,196.1604
12.0,1064.488,208.4368
12.25,1078.199,198.8955
12.5,1104.424,205.09770000000003
12.75,1090.825,210.1549
13.0,1152.292,205.7606
13.25,1100.017,208.21569999999997
13.5,1102.3319999999999,197.4719
13.75,1138.733,198.267
14.0,1120.629,185.19400000000002
14.25,1144.487,194.25150000000002
14.5,1146.7549999999999,195.4806
14.75,1140.008,187.2984
15.0,1156.984,197.5156
15.25,1179.623,182.16500000000002
15.5,1177.3039999999999,189.3943
15.75,1193.21,204.4033
16.0,1195.421,210.9171
16.25,1236.272,228.1271
16.5,1215.8600000000001,221.5491
16.75,1210.148,201.48720000000003
17.0,1219.298,190.1969
17.25,1212.3890000000001,181.33980000000003
17.5,1207.799,169.8863
17.75,1206.581,164.8946
18.0,1234.922,168.39600000000002
18.25,1222.328,158.502
18.5,1222.297,166.736
18.75,1199.39,158.4854
19.0,1195.841,148.7659
19.25,1188.8719999999998,142.5707
19.5,1200.011,137.1834
19.75,1246.4540000000002,143.322
20.0,1290.522,141.2243
20.25,1307.532,139.041
20.5,1316.556,132.7554
20.75,1301.6309999999999,140.2595
21.0,1298.027,139.6727
21.25,1296.933,130.2149
21.5,1302.605,152.0726
21.75,1289.0010000000002,166.0396
22.0,1278.951,170.9887
