Hora_decimal,P_3f_S,Q_3f_S
0.0,2407.89,-100.7338
0.25,2407.89,-100.7338
0.5,2381.5860000000002,-110.297
0.75,2379.049,-112.4784
1.0,2390.147,-109.44019999999999
1.25,2405.285,-106.0191
1.5,2410.9320000000002,-104.68290000000002
1.75,2401.002,-111.0145
2.0,2402.527,-108.07220000000001
2.25,2399.009,-110.1062
2.5,2386.737,-109.8749
2.75,2391.8070000000002,-111.34820000000002
3.0,2376.78,-109.42729999999999
3.25,2380.361,-111.455
3.5,2384.1809999999996,-110.46279999999999
3.75,2383.128,-110.65639999999999
4.0,2382.939,-108.9854
4.25,445.26000000000005,50.2238
4.5,431.514,58.13210000000001
4.75,422.67099999999994,52.111000000000004
5.0,429.313,47.7999
5.25,409.703,36.2049
5.5,418.00300000000004,42.3513
5.75,389.86300000000006,46.140299999999996
6.0,384.817,45.061
6.25,398.206,47.3897
6.5,386.25199999999995,47.2552
6.75,378.83,44.699600000000004
7.0,379.054,47.5809
7.25,383.428,49.231700000000004
7.5,393.958,56.4327
7.75,388.193,52.9149
8.0,346.543,54.962300000000006
8.25,350.153,55.848299999999995
8.5,363.94,61.2936
8.75,376.148,67.29549999999999
9.0,377.755,62.046099999999996
9.25,382.355,66.31540000000001
9.5,401.21000000000004,72.9148
9.75,418.36,77.8018
10.0,415.802,78.8176
10.25,413.623,76.7894
10.5,351.505,62.523700000000005
10.75,356.933,64.111
11.0,381.034,71.8734
11.25,404.246,80.6484
11.5,404.51,78.2215
11.75,422.648,83.4336
12.0,413.343,79.86439999999999
12.25,420.236,78.8104
12.5,416.052,76.9718
12.75,411.115,77.1005
13.0,397.252,70.3396
13.25,384.178,74.2397
13.5,421.95400000000006,79.2471
13.75,443.419,80.5062
14.0,423.626,72.0894
14.25,430.095,73.2359
14.5,423.841,69.7294
14.75,421.956,66.4986
15.0,438.64300000000003,69.9832
15.25,452.70300000000003,64.7226
15.5,415.85,66.4298
15.75,435.583,78.4999
16.0,447.69100000000003,77.19229999999999
16.25,483.05999999999995,90.50909999999999
16.5,460.24,78.5164
16.75,454.927,69.3481
17.0,471.528,66.4415
17.25,466.864,62.2885
17.5,477.33399999999995,64.30369999999999
17.75,486.894,64.2614
18.0,506.14,69.0852
18.25,489.498,62.677099999999996
18.5,484.15200000000004,62.8589
18.75,472.27299999999997,55.007400000000004
19.0,479.77199999999993,54.279300000000006
19.25,479.446,53.3796
19.5,507.08400000000006,57.8046
19.75,510.807,58.1939
20.0,523.454,58.697100000000006
20.25,537.1089999999999,55.847300000000004
20.5,543.462,53.377700000000004
20.75,543.033,57.9349
21.0,537.8249999999999,57.0638
21.25,544.059,52.66930000000001
21.5,549.069,61.8223
21.75,534.4680000000001,65.7298
22.0,537.159,70.9881
22.25,527.543,68.68450000000001
22.5,515.889,67.108
22.75,510.168,66.9028
23.0,520.185,65.06569999999999
23.25,509.826,67.2011
23.5,513.552,68.1014
23.75,510.01200000000006,65.1875
24.0,492.519,69.1558
24.25,500.97,76.1577
24.5,490.68,77.6929
24.75,485.408,71.9384
25.0,491.283,68.0417
25.25,483.163,66.3746
25.5,488.152,64.7042
25.75,497.09499999999997,63.6394
26.0,502.44100000000003,72.1687
26.25,499.688,64.99709999999999
26.5,499.12899999999996,70.9737
26.75,486.90600000000006,60.796200000000006
27.0,469.95900000000006,58.8151
27.25,477.53200000000004,57.1123
27.5,485.27200000000005,56.441900000000004
27.75,481.695,59.9481
28.0,475.99299999999994,61.5535
28.25,481.27199999999993,61.1544
28.5,460.74300000000005,60.6631
28.75,452.32599999999996,59.698499999999996
29.0,447.187,55.9877
29.25,440.278,53.592200000000005
29.5,461.536,62.9597
29.75,420.922,54.210499999999996
30.0,418.91700000000003,57.1583
30.25,440.48900000000003,64.2004
30.5,447.985,61.659099999999995
30.75,458.32800000000003,55.6357
31.0,534.633,66.9924
31.25,605.767,63.0761
31.5,657.184,79.5189
31.75,769.559,84.1315
32.0,772.9639999999999,85.40299999999999
32.25,909.9470000000001,102.4914
32.5,952.2360000000001,124.03629999999998
32.75,1009.684,143.1068
33.0,1241.08,185.6397
33.25,1257.627,186.1586
33.5,1225.527,183.2712
33.75,1345.9569999999999,175.19490000000002
34.0,1171.555,146.9328
34.25,1327.888,198.5464
34.5,1258.237,191.1712
34.75,1356.777,200.8062
35.0,1420.719,197.63100000000003
35.25,1383.098,187.641
35.5,1448.1680000000001,205.6429
35.75,1438.905,202.8424
36.0,1418.9050000000002,208.6506
36.25,1401.671,211.8281
36.5,1325.335,205.1934
36.75,1318.297,206.11179999999996
37.0,1300.49,216.2088
37.25,1219.628,211.3714
37.5,1209.926,210.02589999999998
37.75,1191.868,216.05329999999998
38.0,1101.1879999999999,197.1063
38.25,1112.074,206.962
38.5,1130.175,205.668
38.75,945.874,152.8553
39.0,809.582,105.3494
39.25,790.065,103.8492
39.5,744.79,97.1486
39.75,736.5229999999999,91.2344
40.0,750.7950000000001,88.6559
40.25,728.97,89.4901
40.5,708.855,81.4389
40.75,681.919,85.9006
41.0,670.852,87.19829999999999
41.25,714.289,106.45830000000001
41.5,608.761,73.5789
41.75,588.424,75.726
