Hora_decimal,P_3f_S,Q_3f_S
0.0,493.91400000000004,19.38042
0.25,493.91400000000004,19.38042
0.5,493.90599999999995,23.78453
0.75,493.905,25.201590000000003
1.0,493.905,26.2628
1.25,493.91400000000004,27.057589999999998
1.5,493.909,27.655600000000003
1.75,493.908,28.10409
2.0,493.905,28.44037
2.25,493.908,28.69174
2.5,493.908,28.88092
2.75,493.908,29.02259
3.0,493.91400000000004,29.12764
3.25,493.91099999999994,29.208289999999998
3.5,493.91099999999994,29.267780000000002
3.75,493.91700000000003,29.311669999999996
4.0,493.91700000000003,29.345480000000002
4.25,12.57554,14.73185
4.5,12.57521,14.740749999999998
4.75,12.575960000000002,14.752569999999999
5.0,12.578199999999999,14.77014
5.25,12.58004,14.784119999999998
5.5,12.58099,14.79238
5.75,12.58264,14.80347
6.0,12.58417,14.813280000000002
6.25,12.58379,14.812750000000001
6.5,12.58382,14.81392
6.75,12.583689999999999,14.814029999999999
7.0,12.58345,14.813379999999999
7.25,12.58316,14.81238
7.5,12.58255,14.80954
7.75,12.58241,14.80912
8.0,12.581509999999998,14.80462
8.25,12.581570000000001,14.80506
8.5,12.60098,14.81287
8.75,12.61984,14.81785
9.0,12.63986,14.83346
9.25,12.661729999999999,14.844660000000001
9.5,12.68452,14.85597
9.75,12.70759,14.868780000000001
10.0,12.731580000000001,14.87707
10.25,12.74052,14.88163
10.5,12.748270000000002,14.88465
10.75,12.7573,14.88966
11.0,12.76582,14.89203
11.25,12.77759,14.89734
11.5,12.79027,14.9073
11.75,12.80056,14.90493
12.0,12.81199,14.90849
12.25,12.82319,14.91544
12.5,12.83308,14.91562
12.75,12.844149999999999,14.92193
13.0,12.85466,14.92068
13.25,12.859960000000001,14.929549999999999
13.5,12.86462,14.93515
13.75,12.86861,14.93259
14.0,12.873830000000002,14.941049999999999
14.25,12.87263,14.934900000000003
14.5,12.87347,14.93461
14.75,12.87614,14.939130000000002
15.0,12.876100000000001,14.93431
15.25,12.86339,14.928809999999999
15.5,12.84997,14.919550000000001
15.75,12.83569,14.90596
16.0,12.824259999999999,14.8978
16.25,12.8272,14.88984
16.5,12.83408,14.89765
16.75,12.8404,14.90718
17.0,12.84685,14.91273
17.25,12.835540000000002,14.909850000000002
17.5,12.82438,14.907689999999999
17.75,12.81273,14.90302
18.0,12.799780000000002,14.89162
18.25,12.78466,14.88759
18.5,12.76615,14.87527
18.75,12.74824,14.87062
19.0,12.72692,14.86231
19.25,12.70147,14.85115
19.5,12.67454,14.836950000000002
19.75,12.64588,14.81375
20.0,12.61777,14.79352
20.25,12.61645,14.791289999999998
20.5,12.61558,14.7914
20.75,12.61356,14.79025
21.0,12.612680000000001,14.79034
21.25,12.60928,14.791269999999999
21.5,12.603850000000001,14.78174
21.75,12.59938,14.777140000000001
22.0,12.595390000000002,14.775010000000002
22.25,12.58678,14.77222
22.5,12.5765,14.76536
22.75,12.57461,14.7695
23.0,12.57469,14.76991
23.25,12.57395,14.76607
23.5,12.574570000000001,14.76929
23.75,12.57463,14.769599999999999
24.0,12.57338,14.76311
24.25,12.5725,14.75858
24.5,12.57218,14.75692
24.75,12.57314,14.761869999999998
25.0,12.57467,14.769770000000001
25.25,12.57451,14.76898
25.5,12.57499,14.771439999999998
25.75,12.57526,14.772839999999999
26.0,12.57497,14.771350000000002
26.25,12.57472,14.770039999999998
26.5,12.57478,14.770309999999998
26.75,12.57551,14.774150000000002
27.0,12.57571,14.77519
27.25,12.57634,14.77844
