Hora_decimal,P_3f_S,Q_3f_S
0.0,1033.166,85.82509999999999
0.25,1033.166,85.82509999999999
0.5,1027.904,83.42699999999999
0.75,1031.333,83.54860000000001
1.0,1032.911,84.6922
1.25,1034.647,85.5352
1.5,1036.7269999999999,85.8169
1.75,1034.605,83.91890000000001
2.0,1033.6,83.7508
2.25,1036.406,84.6022
2.5,1034.27,85.1724
2.75,1035.077,85.1482
3.0,1031.464,84.86019999999999
3.25,1031.805,84.30539999999999
3.5,1031.078,84.3858
3.75,1032.102,84.6186
4.0,1029.496,84.9927
4.25,68.0371,46.921
4.5,65.6452,47.7124
4.75,64.7914,46.3329
5.0,66.314,45.1072
5.25,64.4677,42.510999999999996
5.5,66.04060000000001,43.0594
5.75,60.6056,43.234899999999996
6.0,60.043499999999995,43.567
6.25,62.4918,43.961600000000004
6.5,62.6882,44.1907
6.75,62.1161,43.945
7.0,61.8513,44.138
7.25,63.6374,44.2507
7.5,64.7776,45.1987
7.75,65.2651,44.9477
8.0,48.8387,43.9563
8.25,49.0209,44.1294
8.5,52.4136,45.4065
8.75,55.9396,46.3564
9.0,60.620900000000006,45.7559
9.25,61.517799999999994,45.3526
9.5,64.5215,45.8863
9.75,66.2452,47.004400000000004
10.0,68.26310000000001,47.095699999999994
10.25,67.07300000000001,47.0782
10.5,53.143600000000006,44.8487
10.75,53.436099999999996,44.7006
11.0,63.844800000000006,45.7386
11.25,65.6973,47.2648
11.5,66.2959,46.0855
11.75,70.1842,46.3013
12.0,68.56049999999999,46.0666
12.25,69.9166,46.2046
12.5,69.18039999999999,46.8341
12.75,66.88419999999999,46.3093
13.0,61.5325,45.5008
13.25,60.1828,45.8194
13.5,66.5146,46.2601
13.75,70.4414,46.3495
14.0,68.6698,44.6218
14.25,70.1983,44.5018
14.5,68.7049,44.484700000000004
14.75,72.56739999999999,45.0556
15.0,69.9422,45.112899999999996
15.25,69.2998,43.8697
15.5,61.096,44.5176
15.75,62.9029,45.9031
16.0,62.37429999999999,45.3064
16.25,70.7603,48.65209999999999
16.5,68.63159999999999,46.165299999999995
16.75,67.9379,44.8072
17.0,68.571,44.330799999999996
17.25,68.5081,43.882
17.5,70.3113,43.9797
17.75,73.0252,43.696600000000004
18.0,70.783,43.5574
18.25,69.07650000000001,43.2352
18.5,67.5607,43.0078
18.75,68.78110000000001,42.686800000000005
19.0,70.1307,42.667
19.25,70.6867,42.5359
19.5,72.0952,42.5056
19.75,71.7345,42.8299
20.0,76.932,43.4166
20.25,76.4387,42.3778
20.5,75.6307,41.9788
20.75,75.8635,42.3905
21.0,75.3658,43.5194
21.25,77.4631,42.9896
21.5,78.4548,44.497699999999995
21.75,73.93509999999999,44.7808
22.0,75.3187,45.8103
22.25,74.601,45.0079
22.5,71.221,45.079
22.75,71.0778,44.852799999999995
23.0,71.059,44.808099999999996
23.25,70.5618,45.6423
23.5,75.6058,46.9091
23.75,75.67060000000001,46.6117
24.0,70.13929999999999,46.381699999999995
24.25,70.8991,47.4032
24.5,68.9503,47.6059
24.75,67.65,46.6015
25.0,71.227,46.3703
25.25,70.6798,46.6033
25.5,71.46010000000001,45.9842
25.75,71.1655,45.5194
26.0,73.7824,46.832499999999996
26.25,72.613,45.7769
26.5,72.6793,46.7318
26.75,71.9692,44.5906
27.0,67.8494,44.6446
27.25,67.1094,44.213499999999996
27.5,67.363,43.8763
27.75,66.0003,44.0053
28.0,66.3019,44.1886
28.25,68.4553,44.5768
28.5,64.9996,44.0098
28.75,65.1526,44.4166
29.0,65.63889999999999,44.5837
29.25,64.5253,44.4472
29.5,69.5335,45.4936
29.75,63.9289,44.9503
30.0,65.1307,45.620799999999996
30.25,65.9239,45.6787
30.5,67.6583,45.4555
30.75,68.4134,44.6713
31.0,79.2363,46.4528
31.25,93.4374,45.4905
31.5,96.6601,47.6394
31.75,112.73010000000001,47.6101
32.0,107.3388,45.9592
32.25,131.23850000000002,48.1168
32.5,137.6195,50.8531
32.75,139.8424,50.048100000000005
33.0,148.4266,47.042699999999996
33.25,160.0,49.071799999999996
33.5,154.4968,47.2779
