Hora_decimal,P_3f_S,Q_3f_S
0.0,539.152,52.0521
0.25,539.152,52.0521
0.5,533.914,49.6525
0.75,537.3430000000001,49.77290000000001
1.0,538.914,50.917500000000004
1.25,540.675,51.753299999999996
1.5,542.73,52.0432
1.75,540.605,50.1459
2.0,539.601,49.9795
2.25,542.4159999999999,50.825700000000005
2.5,540.274,51.3994
2.75,541.081,51.374300000000005
3.0,537.475,51.083999999999996
3.25,537.8050000000001,50.53360000000001
3.5,537.088,50.6092
3.75,538.129,50.83749999999999
4.0,535.5060000000001,51.21639999999999
4.25,55.2589,32.2624
4.5,52.867000000000004,33.0537
4.75,52.0108,31.667099999999998
5.0,53.5312,30.4296
5.25,51.6826,27.82132
5.5,53.2546,28.36631
5.75,47.8178,28.531869999999998
6.0,47.2542,28.85582
6.25,49.703,29.253369999999997
6.5,49.899100000000004,29.48086
6.75,49.327,29.23486
7.0,49.0624,29.429360000000003
7.25,50.849000000000004,29.5439
7.5,51.98989999999999,30.496299999999998
7.75,52.4776,30.245800000000003
8.0,36.0515,29.255760000000002
8.25,36.2337,29.42897
8.5,39.6072,30.6996
8.75,43.114599999999996,31.6456
9.0,47.7748,31.0289
9.25,48.65,30.6154
9.5,51.6313,31.140099999999997
9.75,53.3314,32.2468
10.0,55.325199999999995,32.3296
10.25,54.126099999999994,32.3068
10.5,40.187799999999996,30.0684
10.75,40.4703,29.915010000000002
11.0,50.871100000000006,30.9536
11.25,52.712199999999996,32.4769
11.5,53.2981,31.287799999999997
11.75,57.1765,31.5071
12.0,55.5412,31.267899999999997
12.25,56.88510000000001,31.399
12.5,56.1387,32.0263
12.75,53.83149999999999,31.4953
13.0,48.4687,30.685000000000002
13.25,47.1139,30.9953
13.5,53.441500000000005,31.4341
13.75,57.364599999999996,31.5271
14.0,55.587599999999995,29.78954
14.25,57.1173,29.67562
14.5,55.622800000000005,29.65758
14.75,59.4816,30.2236
15.0,56.8566,30.2862
15.25,56.22789999999999,29.04931
15.5,48.03699999999999,29.70366
15.75,49.858599999999996,31.1051
16.0,49.3417,30.517
16.25,57.7252,33.8731
16.5,55.5891,31.3765
16.75,54.8889,30.007889999999996
17.0,55.5156,29.52627
17.25,55.464,29.07994
17.5,57.278499999999994,29.18076
17.75,60.0052,28.90379
18.0,57.7762,28.776809999999998
18.25,56.0844,28.456900000000005
18.5,54.587199999999996,28.24172
18.75,55.8262,27.92454
19.0,57.1972,27.91372
19.25,57.7786,27.79413
19.5,59.2155,27.780859999999997
19.75,58.883500000000005,28.127789999999997
20.0,64.1102,28.73659
20.25,63.618500000000004,27.70051
20.5,62.811400000000006,27.30162
20.75,63.046099999999996,27.714679999999998
21.0,62.5492,28.842600000000004
21.25,64.65,28.312530000000002
21.5,65.6472,29.83066
21.75,61.1318,30.117400000000004
22.0,62.5196,31.150199999999998
22.25,61.8104,30.349800000000002
22.5,58.4405,30.427
22.75,58.300200000000004,30.1972
23.0,58.28139999999999,30.1524
23.25,57.784800000000004,30.9895
23.5,62.828199999999995,32.253499999999995
23.75,62.892900000000004,31.955199999999998
24.0,57.362700000000004,31.730800000000002
24.25,58.123599999999996,32.7576
24.5,56.175000000000004,32.9614
24.75,54.873400000000004,31.951500000000003
25.0,58.4491,31.713099999999997
25.25,57.9019,31.946199999999997
25.5,58.681700000000006,31.3247
25.75,58.387,30.859
26.0,61.00450000000001,32.1751
26.25,59.835100000000004,31.1199
26.5,59.901399999999995,32.0751
26.75,59.19030000000001,29.928240000000002
27.0,55.069100000000006,29.979779999999998
27.25,54.328599999999994,29.546419999999998
27.5,54.5821,29.20842
27.75,53.2201,29.34048
28.0,53.5232,29.527630000000002
28.25,55.6773,29.919200000000004
28.5,52.221599999999995,29.3517
28.75,52.3738,29.754779999999997
29.0,52.858000000000004,29.915599999999998
29.25,51.74380000000001,29.77539
29.5,56.7519,30.821800000000003
29.75,51.1443,30.263199999999998
30.0,52.3453,30.929499999999997
30.25,53.1395,30.9927
30.5,54.87429999999999,30.7708
30.75,55.6301,29.99092
31.0,66.4596,31.800799999999995
31.25,80.639,30.846700000000002
31.5,83.84140000000001,33.020900000000005
31.75,99.8942,33.0235
32.0,94.4846,31.3925
32.25,118.3699,33.5779
32.5,124.73589999999999,36.3339
32.75,126.9415,35.5402
33.0,135.51500000000001,32.5909
33.25,147.0923,34.636900000000004
33.5,141.5891,32.8414
33.75,169.2909,33.1167
34.0,157.2766,33.3791
34.25,148.51160000000002,35.2586
34.5,135.4003,34.939499999999995
34.75,135.35060000000001,32.4355
35.0,160.54250000000002,38.8297
35.25,151.6232,35.7675
35.5,163.6769,42.3142
35.75,163.5532,42.4657
36.0,158.07489999999999,43.4899
36.25,161.4109,42.927
36.5,146.6735,35.969899999999996
36.75,143.6995,35.347300000000004
37.0,139.96249999999998,35.6063
37.25,121.1332,35.42830000000001
37.5,119.2447,34.2808
37.75,124.913,36.71
38.0,108.12190000000001,33.1549
38.25,103.6611,33.0523
38.5,108.9154,32.4737
38.75,116.0788,34.8176
39.0,111.35060000000001,33.1245
