Hora_decimal,P_3f_S,Q_3f_S
0.0,493.96,33.922200000000004
0.25,493.96,33.922200000000004
0.5,493.93600000000004,33.9239
0.75,493.933,33.9252
1.0,493.942,33.924
1.25,493.91700000000003,33.9309
1.5,493.942,33.922799999999995
1.75,493.94399999999996,33.922200000000004
2.0,493.94399999999996,33.9205
2.25,493.93499999999995,33.9256
2.5,493.94100000000003,33.922200000000004
2.75,493.94100000000003,33.923199999999994
3.0,493.93399999999997,33.9256
3.25,493.94399999999996,33.9212
3.5,493.93399999999997,33.9259
3.75,493.918,33.930299999999995
4.0,493.93600000000004,33.9256
4.25,12.777560000000001,14.850569999999998
4.5,12.777550000000002,14.850829999999998
4.75,12.77886,14.85744
5.0,12.7822,14.87001
5.25,12.784590000000001,14.882359999999998
5.5,12.78523,14.88584
5.75,12.7872,14.895950000000001
6.0,12.78878,14.9042
6.25,12.78818,14.901209999999999
6.5,12.78849,14.90273
6.75,12.78855,14.90307
7.0,12.788260000000001,14.9016
7.25,12.787869999999998,14.89962
7.5,12.786999999999999,14.89515
7.75,12.78693,14.894759999999998
8.0,12.786729999999999,14.89371
8.25,12.78675,14.89366
8.5,12.80586,14.899939999999999
8.75,12.82447,14.90356
9.0,12.8455,14.919700000000002
9.25,12.86721,14.93003
9.5,12.8895,14.93889
9.75,12.9132,14.950109999999999
10.0,12.93723,14.958560000000002
10.25,12.946259999999999,14.96358
10.5,12.95524,14.973029999999998
10.75,12.96528,14.978349999999999
11.0,12.97311,14.97738
11.25,12.984480000000001,14.98042
11.5,12.99705,14.99006
11.75,13.00704,14.98635
12.0,13.01873,14.99092
12.25,13.0308,14.997779999999999
12.5,13.041070000000001,14.999929999999999
12.75,13.05213,15.00627
13.0,13.06326,15.00816
13.25,13.068480000000001,15.016440000000001
13.5,13.072379999999999,15.01815
13.75,13.0761,15.01426
14.0,13.08165,15.02442
14.25,13.08039,15.01815
14.5,13.081529999999999,15.019199999999998
14.75,13.08516,15.02409
15.0,13.08504,15.018820000000002
15.25,13.0713,15.01257
15.5,13.05842,15.00627
15.75,13.04364,14.99013
16.0,13.03217,14.981650000000002
16.25,13.03449,14.970690000000001
16.5,13.04181,14.980530000000002
16.75,13.048390000000001,14.99127
17.0,13.05477,14.99654
17.25,13.04355,14.9941
17.5,13.03221,14.991
17.75,13.01934,14.98482
18.0,13.00623,14.972640000000002
