Hora_decimal,P_3f_S,Q_3f_S
0.0,2407.822,161.8068
0.25,2407.822,161.8068
0.5,2381.482,150.7668
0.75,2378.901,150.0279
1.0,2390.043,154.03840000000002
1.25,2405.032,160.78359999999998
1.5,2410.823,163.2164
1.75,2400.912,156.4489
2.0,2402.4610000000002,157.9822
2.25,2398.882,155.5378
2.5,2386.645,154.7247
2.75,2391.7129999999997,152.2395
3.0,2376.614,155.6926
3.25,2380.265,153.2798
3.5,2384.038,154.5885
3.75,2382.874,156.7697
4.0,2382.768,160.5172
4.25,445.249,71.251
4.5,431.50300000000004,73.9032
4.75,422.66499999999996,63.9403
5.0,429.31500000000005,56.6738
5.25,409.70399999999995,42.8599
5.5,418.002,47.3426
5.75,389.86400000000003,49.884
6.0,384.818,47.868700000000004
6.25,398.203,49.4948
6.5,386.25199999999995,48.8344
6.75,378.83,45.884100000000004
7.0,379.051,48.4688
7.25,383.428,49.897800000000004
7.5,393.956,56.9319
7.75,388.192,53.2896
8.0,346.543,55.2431
8.25,350.155,56.0594
8.5,363.94,61.4517
8.75,376.14700000000005,67.414
9.0,377.755,62.135400000000004
9.25,382.354,66.38170000000001
9.5,401.207,72.9642
9.75,418.35900000000004,77.839
10.0,415.802,78.8458
10.25,413.623,76.8106
10.5,351.505,62.5395
10.75,356.935,64.1235
11.0,381.034,71.8823
11.25,404.248,80.6549
11.5,404.51,78.2269
11.75,422.64300000000003,83.43560000000001
12.0,413.342,79.8671
12.25,420.236,78.8124
12.5,416.052,76.9734
12.75,411.115,77.1015
13.0,397.252,70.3403
13.25,384.18100000000004,74.2413
13.5,421.95400000000006,79.2477
13.75,443.418,80.50569999999999
14.0,423.626,72.08959999999999
14.25,430.091,73.235
14.5,423.841,69.7296
14.75,421.95799999999997,66.4993
15.0,438.64300000000003,69.9832
15.25,452.70400000000006,64.7231
15.5,415.84899999999993,66.4295
15.75,435.58,78.4987
16.0,447.69100000000003,77.19229999999999
16.25,483.055,90.5067
16.5,460.24,78.5164
16.75,454.932,69.3494
17.0,471.529,66.44239999999999
17.25,466.86600000000004,62.2893
17.5,477.336,64.30460000000001
17.75,486.895,64.26169999999999
18.0,506.14,69.0851
18.25,489.502,62.6786
18.5,484.15200000000004,62.8589
18.75,472.278,55.0089
19.0,479.77299999999997,54.280199999999994
19.25,479.448,53.379999999999995
19.5,507.082,57.8044
19.75,510.801,58.19179999999999
20.0,523.4480000000001,58.69499999999999
20.25,537.108,55.846599999999995
20.5,543.462,53.3776
20.75,543.033,57.9353
21.0,537.8249999999999,57.0647
21.25,544.061,52.670100000000005
21.5,549.066,61.819900000000004
21.75,534.4680000000001,65.7293
22.0,537.159,70.9881
22.25,527.5440000000001,68.6849
22.5,515.889,67.1079
22.75,510.17100000000005,66.9041
23.0,520.185,65.066
23.25,509.826,67.2004
23.5,513.5550000000001,68.1019
23.75,510.01200000000006,65.1875
24.0,492.519,69.1557
24.25,500.967,76.1566
24.5,490.68,77.6928
24.75,485.41200000000003,71.93969999999999
25.0,491.28700000000003,68.0436
25.25,483.163,66.3743
25.5,488.15400000000005,64.70439999999999
25.75,497.09700000000004,63.6397
26.0,502.44000000000005,72.16829999999999
26.25,499.68600000000004,64.9967
26.5,499.12899999999996,70.97399999999999
26.75,486.909,60.7971
27.0,469.95900000000006,58.8151
27.25,477.534,57.1126
27.5,485.27200000000005,56.4418
27.75,481.69300000000004,59.94749999999999
28.0,475.99299999999994,61.5535
28.25,481.269,61.1537
28.5,460.74300000000005,60.6631
28.75,452.32800000000003,59.6991
29.0,447.18899999999996,55.9884
29.25,440.28,53.592800000000004
