Hora_decimal,Vmedia_PCC_0700_pu,Vmedia_PCC_2220_pu,Vmedia_PCC_2380_pu,Vmedia_PCC_1250_pu,Vmedia_PCC_1630_pu,Vmedia_PCC_1950_pu,Vmedia_PAC_0016_pu,Vmedia_0622_Residuos_pu,Vmedia_1242_Solos_pu,Vmedia_1832_Remates_pu,Vmedia_3062_Biotecnologia_pu,Vmedia_3592_Ibama_pu,Vmedia_3722_Tambo_pu,Vmedia_3792_Laticinios_pu,Vmedia_4792_Antena_pu,Vmedia_5092_Suinocultura_pu,Vmedia_5152_Pomar_pu
0.000000,0.973932,0.977186,0.976583,0.971950,0.971199,0.970616,0.977925,0.971103,0.967565,0.967211,0.972058,0.972000,0.971285,0.971402,0.974378,0.971477,0.972136
0.250000,0.973932,0.977186,0.976583,0.971950,0.971199,0.970616,0.977925,0.971103,0.967565,0.967211,0.972058,0.972000,0.971285,0.971402,0.974378,0.971477,0.972136
0.500000,0.974169,0.977370,0.976762,0.972210,0.971472,0.970894,0.978113,0.971494,0.967918,0.967647,0.972273,0.972252,0.971527,0.971636,0.974525,0.971714,0.972364
0.750000,0.974159,0.977352,0.976742,0.972200,0.971457,0.970876,0.978097,0.971441,0.967932,0.967586,0.972227,0.972142,0.971464,0.971577,0.974509,0.971650,0.972350
1.000000,0.974180,0.977398,0.976796,0.972210,0.971463,0.970881,0.978137,0.971376,0.967973,0.967502,0.972321,0.972268,0.971579,0.971686,0.974580,0.971761,0.972427
1.250000,0.974026,0.977277,0.976678,0.972043,0.971291,0.970708,0.978012,0.971148,0.967850,0.967255,0.972226,0.972068,0.971497,0.971598,0.974462,0.971674,0.972327
1.500000,0.974094,0.977363,0.976772,0.972102,0.971344,0.970760,0.978091,0.971191,0.967836,0.967282,0.972288,0.972168,0.971538,0.971644,0.974591,0.971715,0.972382
1.750000,0.974160,0.977400,0.976805,0.972185,0.971433,0.970850,0.978132,0.971400,0.967745,0.967520,0.972248,0.971982,0.971450,0.971568,0.974614,0.971639,0.972318
2.000000,0.974250,0.977508,0.976921,0.972270,0.971520,0.970938,0.978233,0.971514,0.967914,0.967623,0.972385,0.972302,0.971598,0.971718,0.975218,0.971786,0.972486
2.250000,0.974235,0.977475,0.976883,0.972259,0.971507,0.970923,0.978204,0.971455,0.967923,0.967568,0.972276,0.972227,0.971441,0.971576,0.975178,0.971641,0.972441
2.500000,0.974282,0.977499,0.976904,0.972318,0.971570,0.970987,0.978231,0.971462,0.968064,0.967602,0.972362,0.972261,0.971567,0.971685,0.975202,0.971764,0.972505
2.750000,0.974316,0.977539,0.976946,0.972352,0.971604,0.971020,0.978269,0.971508,0.967977,0.967642,0.972373,0.972286,0.971559,0.971685,0.975241,0.971756,0.972491
3.000000,0.974173,0.977371,0.976766,0.972215,0.971470,0.970889,0.978112,0.971394,0.967968,0.967542,0.972248,0.972068,0.971477,0.971591,0.974407,0.971671,0.972377
3.250000,0.974251,0.977456,0.976856,0.972293,0.971548,0.970968,0.978192,0.971494,0.967955,0.967641,0.972336,0.972195,0.971568,0.971682,0.974496,0.971756,0.972427
3.500000,0.974226,0.977444,0.976843,0.972261,0.971512,0.970932,0.978179,0.971480,0.968032,0.967609,0.972329,0.972368,0.971564,0.971682,0.974488,0.971756,0.972473
3.750000,0.974080,0.977290,0.976683,0.972115,0.971365,0.970784,0.978033,0.971330,0.967755,0.967461,0.972120,0.972136,0.971323,0.971447,0.974318,0.971521,0.972239
4.000000,0.974025,0.977240,0.976632,0.972057,0.971307,0.970727,0.977983,0.971267,0.967744,0.967397,0.972127,0.971991,0.971368,0.971483,0.974255,0.971564,0.972223
4.250000,0.992101,0.992499,0.992129,0.991680,0.991560,0.991493,0.992837,0.988630,0.987145,0.987909,0.987526,0.987355,0.986736,0.986859,0.989717,0.986936,0.987623
4.500000,0.992112,0.992497,0.992128,0.991689,0.991568,0.991504,0.992835,0.988538,0.987364,0.987811,0.987735,0.987645,0.987089,0.987171,0.989696,0.987256,0.987768
