Hora_decimal,P_3f_S,Q_3f_S
0.0,493.951,29.465290000000003
0.25,493.951,29.465290000000003
0.5,493.93,29.46775
0.75,493.927,29.46891
1.0,493.93399999999997,29.467769999999998
1.25,493.91,29.474629999999998
1.5,493.93600000000004,29.46649
1.75,493.937,29.46593
2.0,493.937,29.46443
2.25,493.928,29.46929
2.5,493.93399999999997,29.466
2.75,493.93399999999997,29.46698
3.0,493.928,29.4694
3.25,493.937,29.465020000000003
3.5,493.927,29.46971
3.75,493.91200000000003,29.47403
4.0,493.93,29.4694
4.25,12.568950000000001,14.73999
4.5,12.568940000000001,14.74016
4.75,12.57024,14.74677
5.0,12.572580000000002,14.758769999999998
5.25,12.574959999999999,14.771070000000002
5.5,12.57561,14.77458
5.75,12.57756,14.784569999999999
6.0,12.579130000000001,14.792819999999999
6.25,12.57855,14.7899
6.5,12.57885,14.791409999999999
6.75,12.57892,14.79175
7.0,12.578619999999999,14.790289999999999
7.25,12.57825,14.788349999999998
7.5,12.577390000000001,14.78391
7.75,12.57732,14.783539999999999
8.0,12.57705,14.78211
8.25,12.57706,14.782070000000001
8.5,12.59619,14.78843
8.75,12.614820000000002,14.79215
9.0,12.634870000000001,14.80785
9.25,12.65658,14.818190000000001
9.5,12.678899999999999,14.82713
9.75,12.70158,14.83784
10.0,12.72562,14.846329999999998
10.25,12.734639999999999,14.851320000000001
10.5,12.74358,14.86046
10.75,12.75261,14.86523
11.0,12.7605,14.864519999999999
11.25,12.77187,14.86759
11.5,12.78444,14.87724
11.75,12.79446,14.873639999999998
12.0,12.80613,14.878160000000001
12.25,12.8172,14.884530000000002
12.5,12.82747,14.88665
12.75,12.838529999999999,14.892949999999999
13.0,12.849630000000001,14.8947
13.25,12.85483,14.90295
13.5,12.85875,14.904779999999999
13.75,12.862499999999999,14.90099
14.0,12.86804,14.91111
14.25,12.866800000000001,14.904869999999999
14.5,12.867930000000001,14.90589
14.75,12.87057,14.910300000000001
15.0,12.870429999999999,14.90498
15.25,12.85769,14.89923
15.5,12.844769999999999,14.892779999999998
15.75,12.83001,14.8767
16.0,12.818529999999999,14.868179999999999
16.25,12.820910000000001,14.85744
16.5,12.828199999999999,14.867220000000001
16.75,12.83478,14.877930000000001
17.0,12.841159999999999,14.883209999999998
17.25,12.829930000000001,14.88078
17.5,12.8186,14.87769
17.75,12.806759999999999,14.87211
18.0,12.79364,14.859900000000001
18.25,12.77888,14.85753
18.5,12.760380000000001,14.845410000000001
18.75,12.74277,14.8422
19.0,12.72129,14.8332
19.25,12.69582,14.8218
19.5,12.66841,14.80527
19.75,12.63978,14.78247
20.0,12.611419999999999,14.76087
20.25,12.610020000000002,14.758140000000001
20.5,12.609119999999999,14.75801
20.75,12.60708,14.75672
21.0,12.606360000000002,14.75768
21.25,12.60286,14.758040000000001
21.5,12.59724,14.74775
21.75,12.59298,14.74407
22.0,12.58878,14.74083
22.25,12.58035,14.738850000000001
22.5,12.57021,14.73284
22.75,12.568350000000002,14.73693
23.0,12.568370000000002,14.73726
23.25,12.56776,14.73414
23.5,12.56834,14.736989999999999
23.75,12.5685,14.73782
24.0,12.5674,14.732220000000002
24.25,12.56634,14.726880000000001
24.5,12.566130000000001,14.72568
24.75,12.56727,14.731380000000001
25.0,12.56868,14.73866
25.25,12.568639999999998,14.73858
25.5,12.569099999999999,14.740950000000002
25.75,12.56925,14.74171
26.0,12.56868,14.73882
26.25,12.56862,14.738519999999998
26.5,12.56856,14.73818
26.75,12.569659999999999,14.743780000000001
27.0,12.570049999999998,14.7459
27.25,12.57048,14.74812
27.5,12.570620000000002,14.748840000000001
27.75,12.570049999999998,14.74596
28.0,12.5694,14.742510000000001
28.25,12.56872,14.739120000000002
28.5,12.56885,14.73967
28.75,12.56955,14.74326
29.0,12.57068,14.749110000000002
29.25,12.571439999999999,14.75301
29.5,12.5714,14.752859999999998
29.75,12.574449999999999,14.76839
30.0,12.57522,14.77266
30.25,12.57415,14.767199999999999
30.5,12.57387,14.765730000000001
30.75,12.57305,14.76153
31.0,12.56743,14.73326
31.25,12.588060000000002,14.72423
31.5,12.608330000000002,14.69837
31.75,12.625309999999999,14.66577
32.0,12.642759999999999,14.644860000000001
32.25,12.65696,14.616340000000001
32.5,12.67188,14.59625
32.75,12.68904,14.58452
33.0,12.69875,14.526819999999999
33.25,12.694579999999998,14.50981
33.5,12.69481,14.51149
33.75,12.69478,14.51074
34.0,12.703240000000001,14.545180000000002
34.25,12.7155,14.50227
34.5,12.73556,14.499379999999999
34.75,12.75499,14.49324
35.0,12.77326,14.47881
35.25,12.79683,14.5002
35.5,12.818349999999999,14.510649999999998
35.75,12.843129999999999,14.527180000000001
36.0,12.86794,14.544610000000002
36.25,12.84955,14.54565
36.5,12.83487,14.554210000000001
36.75,12.821829999999999,14.555430000000001
37.0,12.81032,14.55704
37.25,12.837619999999998,14.591579999999999
37.5,12.86513,14.62265
37.75,12.89322,14.652160000000002
38.0,12.927549999999998,14.69533
38.25,12.91739,14.68495
38.5,12.90736,14.66977
38.75,12.910529999999998,14.72309
39.0,12.914,14.77812
39.25,12.90392,14.78097
39.5,12.894589999999999,14.784410000000001
39.75,12.88662,14.784510000000001
40.0,12.88061,14.786190000000001
40.25,12.86967,14.789199999999997
40.5,12.859079999999999,14.790640000000002
40.75,12.847350000000002,14.789719999999999
41.0,12.83884,14.800930000000001
41.25,12.833509999999999,14.78837
41.5,12.83958,14.832030000000001
41.75,12.83586,14.832529999999998
42.0,-238.7048,18.63596
42.25,-234.498,18.52624
42.5,-234.12,18.485599999999998
42.75,-231.45010000000002,18.40557
43.0,-231.07979999999998,18.37441
43.25,-228.21800000000002,18.29136
43.5,-227.43349999999998,18.24866
43.75,-230.49169999999998,18.30825
44.0,-236.7562,18.46624
44.25,-235.37490000000003,18.456
44.5,-233.2833,18.39507
44.75,-230.4348,18.31491
45.0,450.526,26.90037
45.25,450.471,26.920090000000002
45.5,443.055,26.459539999999997
45.75,443.017,26.4968
46.0,443.04999999999995,26.489530000000002
46.25,443.073,26.48506
46.5,443.04599999999994,26.487949999999998
46.75,443.04999999999995,26.48589
47.0,450.65,26.943399999999997
47.25,12.61479,14.731469999999998
47.5,12.60933,14.726890000000001
47.75,12.60378,14.72121
48.0,12.60024,14.72599
48.25,12.59634,14.72438
48.5,12.592020000000002,14.72523
48.75,12.5871,14.71839
49.0,12.581809999999999,14.7141
49.25,12.57677,14.71113
49.5,12.57178,14.71311
49.75,12.56643,14.70875
50.0,12.56334,14.711120000000001
50.25,12.56265,14.70773
50.5,12.562349999999999,14.706150000000001
50.75,12.5643,14.716000000000001
51.0,12.56706,14.7305
51.25,12.56706,14.73047
51.5,12.566189999999999,14.725999999999999
51.75,12.56648,14.72738
52.0,12.566100000000002,14.72552
52.25,12.56547,14.72232
52.5,12.56519,14.720749999999999
52.75,12.56571,14.72339
53.0,12.5658,14.723930000000001
53.25,12.56658,14.72793
53.5,12.568380000000001,14.73714
53.75,12.56986,14.74482
54.0,12.569600000000001,14.743580000000001
54.25,12.56937,14.742449999999998
54.5,12.57078,14.74956
54.75,12.56887,14.74005
55.0,12.564589999999999,14.71829
55.25,12.559149999999999,14.690570000000001
55.5,12.551750000000002,14.65295
55.75,12.551979999999999,14.61748
56.0,12.558309999999999,14.5926
56.25,12.56264,14.55473
56.5,12.570139999999999,14.53328
56.75,12.58093,14.53406
57.0,12.590600000000002,14.52473
57.25,12.621590000000001,14.54474
57.5,12.650089999999999,14.53641
57.75,12.69325,14.563099999999999
58.0,12.745440000000002,14.592109999999998
58.25,12.742739999999998,14.579230000000003
58.5,12.74333,14.5766
58.75,12.74502,14.580650000000002
59.0,12.746229999999999,14.57762
59.25,12.74221,14.57978
59.5,12.738990000000001,14.58586
59.75,12.738150000000001,14.59534
60.0,12.73578,14.59774
60.25,12.74626,14.609779999999999
60.5,12.75424,14.614420000000003
60.75,12.766960000000001,14.641390000000001
61.0,12.780859999999999,14.67337
61.25,12.781760000000002,14.6862
61.5,12.78247,14.70479
61.75,12.782419999999998,14.71324
62.0,12.78478,14.73528
62.25,12.78369,14.747959999999999
62.5,12.780650000000001,14.75103
62.75,12.77638,14.7429
63.0,12.774280000000001,14.74587
63.25,12.779029999999999,14.74731
63.5,12.785229999999999,14.756239999999998
63.75,12.791050000000002,14.76269
64.0,12.79681,14.76512
64.25,12.787889999999999,14.76941
64.5,12.778189999999999,14.7707
64.75,12.76914,14.77445
65.0,12.76089,14.782699999999998
65.25,12.757359999999998,14.792279999999998
65.5,12.752279999999999,14.79869
65.75,12.74643,14.80085
66.0,-221.40769999999998,18.097520000000003
66.25,-216.2579,17.975929999999998
66.5,-214.00549999999998,17.89154
66.75,-208.4735,17.75412
67.0,-205.8328,17.662390000000002
67.25,-203.16389999999998,17.58088
67.5,-203.938,17.57133
67.75,-207.335,17.62896
68.0,-212.83089999999999,17.785890000000002
68.25,-216.2172,17.85835
68.5,-215.6319,17.85852
68.75,-214.63170000000002,17.83535
69.0,466.342,27.785610000000002
69.25,466.331,27.78261
69.5,466.303,27.79637
69.75,466.324,27.781869999999998
70.0,466.318,27.791980000000002
70.25,466.313,27.79401
70.5,466.318,27.79139
70.75,474.682,28.317439999999998
71.0,12.56787,14.73438
71.25,12.56672,14.72877
71.5,12.56856,14.73804
71.75,12.56868,14.73875
72.0,12.56856,14.73819
72.25,12.56793,14.735009999999999
72.5,12.5679,14.734829999999999
72.75,12.566940000000002,14.72988
73.0,12.567510000000002,14.7327
73.25,12.567530000000001,14.73284
73.5,12.568439999999999,14.737549999999999
73.75,12.567530000000001,14.732940000000001
74.0,12.56745,14.732520000000001
74.25,12.56823,14.73636
74.5,12.56796,14.7352
74.75,12.5672,14.73122
75.0,12.56732,14.731770000000001
75.25,12.56721,14.73123
75.5,12.567510000000002,14.732709999999999
75.75,12.568090000000002,14.735699999999998
76.0,12.5683,14.736870000000001
76.25,12.56803,14.7355
76.5,12.5679,14.734829999999999
76.75,12.56737,14.7321
77.0,12.5679,14.734739999999999
77.25,12.56916,14.74113
77.5,12.57389,14.76535
77.75,12.57531,14.77299
78.0,12.576989999999999,14.78168
78.25,12.5778,14.78592
78.5,12.57663,14.78004
78.75,12.575099999999999,14.77217
79.0,12.575140000000001,14.77224
79.25,12.57517,14.77239
