Hora_decimal,P_3f_S,Q_3f_S
0.0,486.35699999999997,28.98799
0.25,486.35699999999997,28.98799
0.5,486.336,28.991509999999998
0.75,486.33399999999995,28.99247
1.0,486.342,28.99107
1.25,486.321,28.99776
1.5,486.342,28.989579999999997
1.75,486.3430000000001,28.989910000000002
2.0,486.345,28.98798
2.25,486.336,28.99306
2.5,486.342,28.990099999999998
2.75,486.341,28.99077
3.0,486.336,28.99307
3.25,486.3430000000001,28.98876
3.5,486.336,28.99319
3.75,486.321,28.997639999999997
4.0,486.336,28.99281
4.25,12.56323,14.75917
4.5,12.56323,14.75943
4.75,12.56437,14.76519
5.0,12.56671,14.77722
5.25,12.56887,14.78839
5.5,12.56965,14.792480000000001
5.75,12.571439999999999,14.80173
6.0,12.57295,14.809650000000001
6.25,12.57244,14.80705
6.5,12.57265,14.80808
6.75,12.57265,14.80808
7.0,12.57238,14.80674
7.25,12.572030000000002,14.805010000000001
7.5,12.571299999999999,14.80122
7.75,12.57124,14.800889999999999
8.0,12.57067,14.798
8.25,12.5707,14.79798
8.5,12.589929999999999,14.80489
8.75,12.60868,14.80913
9.0,12.62866,14.8246
9.25,12.65044,14.83518
9.5,12.67291,14.84503
9.75,12.69577,14.856650000000002
10.0,12.71986,14.8653
10.25,12.728830000000002,14.87008
10.5,12.73738,14.877139999999999
10.75,12.74641,14.88195
11.0,12.75451,14.882359999999998
11.25,12.76606,14.886330000000001
11.5,12.7786,14.89585
11.75,12.78874,14.89287
12.0,12.80038,14.897279999999999
12.25,12.811509999999998,14.90386
12.5,12.82168,14.905459999999998
12.75,12.83269,14.91161
13.0,12.84367,14.91274
13.25,12.848889999999999,14.921
13.5,12.853060000000001,14.92418
13.75,12.856930000000002,14.920949999999998
14.0,12.862300000000001,14.9302
14.25,12.8611,14.92416
14.5,12.862119999999999,14.92468
14.75,12.86479,14.9292
15.0,12.8647,14.92414
15.25,12.851939999999999,14.918289999999999
15.5,12.838910000000002,14.911249999999999
15.75,12.82438,14.89629
16.0,12.81289,14.887849999999998
16.25,12.815550000000002,14.8785
16.5,12.82264,14.88731
16.75,12.82909,14.897279999999999
17.0,12.83546,14.90257
17.25,12.824169999999999,14.899829999999998
17.5,12.81289,14.89695
17.75,12.80113,14.89182
18.0,12.78805,14.87979
18.25,12.77316,14.876739999999998
18.5,12.75469,14.864800000000002
18.75,12.736930000000001,14.86084
19.0,12.71548,14.852
19.25,12.69003,14.840679999999999
19.5,12.66277,14.82487
19.75,12.634149999999998,14.80217
20.0,12.606069999999999,14.782030000000002
20.25,12.60472,14.779459999999998
20.5,12.60381,14.77937
20.75,12.60175,14.77788
21.0,12.60092,14.778410000000001
21.25,12.597480000000001,14.77899
