Hora_decimal,P_3f_S,Q_3f_S
0.0,3319.8999999999996,275.1972
0.25,3319.8999999999996,275.1972
0.5,3301.66,264.4858
0.75,3300.4399999999996,266.8354
1.0,3305.41,259.9765
1.25,3309.1000000000004,271.5408
1.5,3301.67,266.5378
1.75,3300.3999999999996,262.78270000000003
2.0,3288.08,257.9147
2.25,3293.0200000000004,258.6172
2.5,2585.683,216.5761
2.75,2584.369,213.12
3.0,2586.7709999999997,229.08299999999997
3.25,2578.072,224.6298
3.5,2581.817,224.1757
3.75,2587.9880000000003,237.02460000000002
4.0,2591.776,240.486
4.25,1235.771,172.4911
4.5,1210.955,184.0602
4.75,1203.475,168.7181
5.0,1182.408,133.92610000000002
5.25,1162.499,105.5766
5.5,1120.192,106.7081
5.75,1043.135,110.0532
6.0,1002.069,99.74629999999999
6.25,1010.737,102.4348
6.5,1007.008,102.70940000000002
6.75,1010.739,102.5364
7.0,1007.0050000000001,108.5302
7.25,1008.22,113.1404
7.5,1028.103,115.5641
7.75,1030.59,116.27449999999999
8.0,1009.8030000000001,141.6633
8.25,1006.046,142.3791
8.5,1008.54,152.7447
8.75,1027.187,165.54340000000002
9.0,1032.018,144.028
9.25,1029.5910000000001,148.0174
9.5,1033.343,151.28740000000002
9.75,1030.908,151.962
10.0,1050.884,161.1142
10.25,1052.149,161.4402
10.5,1047.386,165.813
10.75,1056.077,161.395
11.0,1075.877,161.9592
11.25,1068.4270000000001,170.811
11.5,1067.173,158.81199999999998
11.75,1111.966,170.16559999999998
12.0,1104.562,183.6251
12.25,1119.508,173.1855
12.5,1148.152,179.9506
12.75,1133.2330000000002,185.4765
13.0,1200.473,180.8703
13.25,1143.297,183.5113
13.5,1145.719,171.5543
13.75,1185.491,172.38240000000002
14.0,1165.687,158.08429999999998
14.25,1191.773,168.0168
14.5,1194.275,169.3808
14.75,1186.89,160.42079999999999
15.0,1205.438,171.5874
15.25,1230.2659999999998,154.8222
15.5,1227.8419999999999,162.9655
15.75,1245.29,179.4031
16.0,1247.722,186.439
16.25,1292.3490000000002,205.2236
16.5,1270.031,198.0549
16.75,1263.771,176.0688
17.0,1273.7250000000001,163.63049999999998
17.25,1266.218,153.9802
