Segmento,Year,LDCurve,Hour,Meter,kWh,kvarh,Max kW,Max kVA,Zone kWh,Zone kvarh,Zone Max kW,Zone Max kVA,Overload kWh Normal,Overload kWh Emerg,Load EEN,Load UE,Zone Losses kWh,Zone Losses kvarh,Zone Max kW Losses,Zone Max kvar Losses,Load Losses kWh,Load Losses kvarh,No Load Losses kWh,No Load Losses kvarh,Max kW Load Losses,Max kW No Load Losses,Line Losses,Transformer Losses,Line Mode Line Losses,Zero Mode Line Losses,3-phase Line Losses,1- and 2-phase Line Losses,Gen kWh,Gen kvarh,Gen Max kW,Gen Max kVA,13.8 kV Losses,Aux1,Aux6,Aux11,Aux16,Aux21,Aux26,13.8 kV Line Loss,Aux2,Aux7,Aux12,Aux17,Aux22,Aux27,13.8 kV Load Loss,Aux3,Aux8,Aux13,Aux18,Aux23,Aux28,13.8 kV No Load Loss,Aux4,Aux9,Aux14,Aux19,Aux24,Aux29,13.8 kV Load Energy,Aux5,Aux10,Aux15,Aux20,Aux25,Aux30
S00000_FORA_PONTA,0, ,41.0," ""GERAL""       ",73372.0,9186.0,3522.0,3532.0,53555.0,8439.0,2825.0,2855.0,0.0,0.0,2581.0,2240.0,4796.0,12999.0,134.0,365.0,300.0,-764.0,4495.0,13763.0,28.0,109.0,139.0,4657.0,139.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,4796.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,4495.0,0.0,0.0,0.0,0.0,0.0,0.0,53555.0,0.0,0.0,0.0,0.0,0.0,0.0
S00001_PONTA,0, ,44.0," ""GERAL""       ",0.0,599.0,0.0,217.0,3916.0,521.0,1342.0,1356.0,0.0,0.0,187.0,162.0,351.0,974.0,118.0,326.0,22.0,-36.0,330.0,1010.0,8.0,110.0,4.0,348.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,3916.0,0.0,0.0,0.0,0.0,0.0,0.0
S00002_FORA_PONTA,0, ,65.0," ""GERAL""       ",42218.0,4980.0,3533.0,3544.0,32470.0,4596.0,2457.0,2475.0,0.0,0.0,1298.0,1127.0,2414.0,6529.0,130.0,350.0,161.0,-372.0,2254.0,6900.0,24.0,109.0,79.0,2335.0,79.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,2414.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,2254.0,0.0,0.0,0.0,0.0,0.0,0.0,32470.0,0.0,0.0,0.0,0.0,0.0,0.0
S00003_PONTA,0, ,68.0," ""GERAL""       ",0.0,541.0,0.0,204.0,3537.0,477.0,1238.0,1251.0,0.0,0.0,187.0,162.0,348.0,961.0,117.0,322.0,18.0,-49.0,330.0,1011.0,7.0,110.0,3.0,345.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,3537.0,0.0,0.0,0.0,0.0,0.0,0.0
S00004_FORA_PONTA,0, ,137.0," ""GERAL""       ",100869.0,13166.0,3520.0,3526.0,83754.0,12501.0,2939.0,2954.0,0.0,0.0,4274.0,3708.0,7744.0,20989.0,131.0,355.0,284.0,-1853.0,7460.0,22843.0,26.0,109.0,140.0,7604.0,140.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,7744.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,7460.0,0.0,0.0,0.0,0.0,0.0,0.0,83754.0,0.0,0.0,0.0,0.0,0.0,0.0
S00005_PONTA,0, ,140.0," ""GERAL""       ",0.0,564.0,0.0,218.0,4031.0,482.0,1497.0,1508.0,0.0,0.0,187.0,162.0,352.0,978.0,119.0,332.0,22.0,-32.0,330.0,1010.0,9.0,110.0,4.0,349.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,4031.0,0.0,0.0,0.0,0.0,0.0,0.0
S00006_FORA_PONTA,0, ,161.0," ""GERAL""       ",47201.0,5144.0,3521.0,3527.0,37316.0,4692.0,2989.0,3007.0,0.0,0.0,1296.0,1126.0,2434.0,6582.0,130.0,352.0,187.0,-299.0,2247.0,6881.0,25.0,109.0,95.0,2340.0,95.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,2434.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,2247.0,0.0,0.0,0.0,0.0,0.0,0.0,37316.0,0.0,0.0,0.0,0.0,0.0,0.0
S00007_PONTA,0, ,164.0," ""GERAL""       ",0.0,582.0,0.0,223.0,4104.0,497.0,1567.0,1578.0,0.0,0.0,187.0,162.0,353.0,981.0,120.0,335.0,23.0,-29.0,330.0,1010.0,10.0,110.0,4.0,349.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,4104.0,0.0,0.0,0.0,0.0,0.0,0.0
S00008_FORA_PONTA,0, ,185.0," ""GERAL""       ",46694.0,4961.0,3521.0,3529.0,36955.0,4526.0,2790.0,2804.0,0.0,0.0,1297.0,1126.0,2429.0,6567.0,130.0,351.0,180.0,-317.0,2249.0,6884.0,24.0,109.0,91.0,2338.0,91.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,2429.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,2249.0,0.0,0.0,0.0,0.0,0.0,0.0,36955.0,0.0,0.0,0.0,0.0,0.0,0.0
S00009_PONTA,0, ,188.0," ""GERAL""       ",0.0,701.0,0.0,272.0,4198.0,612.0,1590.0,1607.0,0.0,0.0,187.0,162.0,354.0,985.0,120.0,336.0,25.0,-25.0,329.0,1009.0,10.0,110.0,4.0,350.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,4198.0,0.0,0.0,0.0,0.0,0.0,0.0
S00010_FORA_PONTA,0, ,209.0," ""GERAL""       ",48717.0,5291.0,3517.0,3526.0,38470.0,4813.0,3004.0,3017.0,0.0,0.0,1296.0,1126.0,2442.0,6602.0,130.0,352.0,197.0,-272.0,2245.0,6874.0,24.0,109.0,100.0,2343.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2442.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,2245.0,0.0,0.0,0.0,0.0,0.0,0.0,38470.0,0.0,0.0,0.0,0.0,0.0,0.0
S00011_PONTA,0, ,212.0," ""GERAL""       ",0.0,670.0,0.0,251.0,4324.0,576.0,1651.0,1664.0,0.0,0.0,187.0,162.0,356.0,990.0,121.0,339.0,26.0,-19.0,329.0,1010.0,11.0,110.0,4.0,351.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,4324.0,0.0,0.0,0.0,0.0,0.0,0.0
S00012_FORA_PONTA,0, ,233.0," ""GERAL""       ",49935.0,6182.0,3531.0,3539.0,39704.0,5662.0,2964.0,2994.0,0.0,0.0,1295.0,1125.0,2452.0,6635.0,129.0,350.0,211.0,-227.0,2241.0,6862.0,24.0,108.0,107.0,2345.0,107.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,2452.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,2241.0,0.0,0.0,0.0,0.0,0.0,0.0,39704.0,0.0,0.0,0.0,0.0,0.0,0.0
S00013_PONTA,0, ,236.0," ""GERAL""       ",0.0,1010.0,0.0,408.0,4836.0,891.0,1923.0,1955.0,0.0,0.0,186.0,162.0,360.0,1014.0,124.0,353.0,31.0,7.0,329.0,1007.0,14.0,110.0,4.0,356.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,4836.0,0.0,0.0,0.0,0.0,0.0,0.0
S00014_FORA_PONTA,0, ,305.0," ""GERAL""       ",126262.0,16088.0,3518.0,3528.0,106774.0,15112.0,2897.0,2914.0,0.0,0.0,4266.0,3704.0,7832.0,21208.0,130.0,353.0,410.0,-1518.0,7422.0,22727.0,25.0,109.0,205.0,7626.0,205.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,7832.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,7422.0,0.0,0.0,0.0,0.0,0.0,0.0,106774.0,0.0,0.0,0.0,0.0,0.0,0.0
S00015_PONTA,0, ,308.0," ""GERAL""       ",0.0,691.0,0.0,254.0,4407.0,594.0,1705.0,1717.0,0.0,0.0,187.0,162.0,356.0,993.0,122.0,341.0,27.0,-17.0,329.0,1010.0,12.0,110.0,4.0,352.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,4407.0,0.0,0.0,0.0,0.0,0.0,0.0
