Hora_decimal,P_3f_S,Q_3f_S
0.0,682.722,43.2624
0.25,682.722,43.2624
0.5,682.827,43.272
0.75,682.824,43.2723
1.0,682.83,43.2717
1.25,682.815,43.272999999999996
1.5,682.833,43.2727
1.75,682.83,43.2709
2.0,682.836,43.2682
2.25,682.821,43.2673
2.5,682.827,43.2676
2.75,682.827,43.2663
3.0,682.824,43.2717
3.25,682.833,43.2702
3.5,682.824,43.269099999999995
3.75,682.812,43.2724
4.0,682.827,43.2762
4.25,682.818,43.2787
4.5,682.8290000000001,43.2802
4.75,682.845,43.2768
5.0,682.863,43.2654
5.25,11.02685,14.7851
5.5,11.02813,14.79186
5.75,11.03016,14.802259999999999
6.0,11.032,14.81185
6.25,11.03161,14.80988
6.5,11.03165,14.81005
6.75,11.03148,14.809190000000001
7.0,11.03123,14.807929999999999
7.25,11.03092,14.806339999999999
7.5,11.03025,14.802890000000001
7.75,11.030069999999998,14.80193
8.0,11.029309999999999,14.798029999999999
8.25,11.02939,14.79827
8.5,11.04861,14.805140000000002
8.75,11.06723,14.808800000000002
9.0,11.08737,14.824929999999998
9.25,11.109179999999999,14.835820000000002
9.5,11.13195,14.847169999999998
9.75,11.15507,14.8601
10.0,11.17889,14.86741
10.25,11.1878,14.87183
10.5,11.195689999999999,14.875609999999998
10.75,11.20477,14.88063
11.0,11.21308,14.882089999999998
11.25,11.22487,14.887319999999999
11.5,11.23757,14.89766
11.75,11.247539999999999,14.89373
12.0,11.25887,14.89655
12.25,11.27004,14.90342
12.5,11.27976,14.90267
12.75,11.29082,14.90897
13.0,11.30139,14.90802
13.25,11.30689,14.91777
13.5,11.311620000000001,14.923820000000001
13.75,11.31538,14.920079999999999
14.0,11.32068,14.92896
14.25,11.31925,14.921690000000002
14.5,11.32004,14.92104
14.75,11.32277,14.92587
15.0,11.32263,14.920560000000002
15.25,11.30997,14.91527
15.5,11.29678,14.907340000000001
15.75,11.282350000000001,14.8929
16.0,11.270790000000002,14.88408
16.25,11.2734,14.874489999999998
16.5,11.28029,14.882249999999999
16.75,11.28678,14.892509999999998
17.0,11.293330000000001,14.898620000000001
17.25,11.28205,14.895930000000002
17.5,11.271049999999999,14.89469
17.75,11.25948,14.890369999999999
18.0,11.24642,14.87846
18.25,11.23144,14.87502
18.5,11.212800000000001,14.862150000000002
18.75,11.195070000000001,14.85829
19.0,11.17386,14.85061
19.25,11.148489999999999,14.83983
19.5,11.12161,14.826059999999998
19.75,11.09261,14.80125
20.0,11.06433,14.780090000000001
20.25,11.062999999999999,14.77767
20.5,11.06213,14.77778
20.75,11.06015,14.776769999999999
21.0,11.059280000000001,14.77704
21.25,11.055990000000001,14.778380000000002
21.5,11.05034,14.76788
21.75,11.045819999999999,14.76296
22.0,11.04187,14.761009999999999
22.25,11.03332,14.75844
22.5,11.02295,14.751179999999998
22.75,11.02125,14.75618
23.0,11.021329999999999,14.756699999999999
23.25,11.02045,14.752220000000001
23.5,11.02121,14.75612
23.75,11.021270000000001,14.75637
24.0,11.01977,14.748629999999999
24.25,11.01878,14.743580000000001
24.5,11.01842,14.741609999999998
24.75,11.01951,14.747209999999999
25.0,11.02131,14.756450000000001
25.25,11.021070000000002,14.755379999999999
25.5,11.021640000000001,14.75837
25.75,11.02196,14.75996
26.0,11.02166,14.75843
26.25,11.021329999999999,14.75676
26.5,11.02143,14.75721
26.75,11.02224,14.76135
27.0,11.02242,14.76237
27.25,11.02317,14.76621
27.5,11.02349,14.76789
27.75,11.02272,14.76395
28.0,11.02182,14.75927
28.25,11.02101,14.755130000000001
