Hora_decimal,P_3f_S,Q_3f_S
0.0,3525.82,273.3669
0.25,3525.82,273.3669
0.5,3508.7200000000003,263.4849
0.75,3507.6099999999997,265.5961
1.0,3512.1400000000003,259.469
1.25,3515.4700000000003,269.9303
1.5,3508.84,265.46439999999996
1.75,3507.67,262.045
2.0,3496.6000000000004,257.68399999999997
2.25,3501.01,258.3134
2.5,3498.8,256.7633
2.75,3497.6699999999996,253.6565
3.0,3499.75,267.99490000000003
3.25,3491.93,263.9674
3.5,3495.31,263.5833
3.75,3500.83,275.17679999999996
4.0,3504.2799999999997,278.25800000000004
4.25,3514.2999999999997,283.8381
4.5,3491.95,294.19280000000003
4.75,3485.25,280.2926
5.0,3466.4399999999996,248.8919
5.25,3500.81,228.04739999999998
5.5,3501.1000000000004,210.35450000000003
5.75,969.427,109.2782
6.0,932.462,100.0638
6.25,940.276,102.4778
6.5,936.914,102.7244
6.75,940.2739999999999,102.56479999999999
7.0,936.9110000000001,107.96530000000001
7.25,938.002,112.1051
7.5,955.9110000000001,114.27629999999999
7.75,958.148,114.90709999999999
8.0,939.289,137.40380000000002
8.25,935.915,138.0919
8.5,938.239,147.5595
8.75,955.096,159.1568
9.0,959.521,139.8802
9.25,957.3900000000001,143.4835
9.5,960.832,146.4792
9.75,958.692,147.1112
10.0,976.72,155.33069999999998
10.25,977.8770000000001,155.62709999999998
10.5,973.495,159.2568
10.75,981.36,155.3476
11.0,999.261,155.98
11.25,992.603,164.0538
11.5,991.512,153.2813
11.75,1031.884,163.4872
12.0,1025.211,175.56830000000002
12.25,1038.694,166.1497
12.5,1064.516,172.2587
12.75,1051.095,177.22480000000002
13.0,1111.624,172.8603
13.25,1060.133,175.2722
13.5,1062.394,164.704
13.75,1098.247,165.4977
14.0,1080.397,152.5951
14.25,1103.8960000000002,161.5267
14.5,1106.135,162.73669999999998
14.75,1099.4830000000002,154.6664
15.0,1116.2079999999999,164.7438
15.25,1138.5430000000001,149.637
15.5,1136.275,156.7399
15.75,1151.9759999999999,171.5597
16.0,1154.18,178.0144
16.25,1194.4099999999999,194.98909999999998
16.5,1174.295,188.4898
16.75,1168.667,168.7122
17.0,1177.665,157.58499999999998
17.25,1170.877,148.86249999999998
17.5,1166.383,137.5907
17.75,1165.201,132.6831
18.0,1193.15,136.1556
18.25,1180.78,126.4202
18.5,1180.777,134.5471
18.75,1158.2559999999999,126.4345
19.0,1154.796,116.877
19.25,1147.978,110.7955
19.5,1159.0030000000002,105.52199999999999
19.75,1204.801,111.6059
20.0,1248.2690000000002,109.58180000000002
20.25,1265.036,107.4357
20.5,1273.931,101.2415
20.75,1259.234,108.63999999999999
21.0,1255.691,108.0614
21.25,1254.623,98.75070000000001
21.5,1260.206,120.29740000000001
21.75,1246.82,134.0694
22.0,1236.926,138.9502
22.25,1226.705,136.748
22.5,1222.3039999999999,143.0207
22.75,1199.8960000000002,134.93280000000001
23.0,1206.507,130.78910000000002
23.25,1207.613,142.2931
23.5,1200.926,135.2848
23.75,1195.414,136.6896
24.0,1203.3229999999999,153.23919999999998
24.25,1214.462,163.0651
24.5,1205.576,172.3088
24.75,1196.648,160.269
25.0,1179.899,142.90339999999998
25.25,1178.765,145.5968
25.5,1173.0810000000001,140.55270000000002
25.75,1179.751,133.1864
26.0,1175.356,140.5411
26.25,1188.7289999999998,138.0334
26.5,1179.866,141.561
26.75,1174.258,131.06459999999998
27.0,1154.135,136.5794
27.25,1150.798,127.94669999999999
27.5,1153.02,122.5506
27.75,1159.714,130.2287
28.0,1165.366,140.28570000000002
28.25,1182.115,143.8966
28.5,1170.967,150.763
28.75,1154.179,148.5607
29.0,1144.072,137.0345
29.25,1129.513,132.5559
29.5,1114.942,132.46380000000002
29.75,1036.556,126.83179999999999
30.0,1007.417,124.50379999999998
30.25,1025.318,128.3849
30.5,1045.467,122.3212
30.75,1082.497,119.4684
31.0,1200.133,140.4277
31.25,1343.529,134.8129
31.5,1557.7479999999998,163.7338
31.75,1803.1870000000004,179.6296
32.0,1998.027,202.97430000000003
32.25,2174.955,219.2783
32.5,2298.305,252.7696
32.75,2396.551,267.8025
33.0,2630.2870000000003,320.865
33.25,2736.227,323.246
33.5,2761.274,319.276
33.75,2750.216,295.4953
34.0,2683.742,270.9023
34.25,2820.978,332.352
34.5,2887.0510000000004,366.87600000000003
34.75,2887.1259999999997,390.977
35.0,2976.0519999999997,418.51200000000006
35.25,2947.081,412.419
35.5,2929.09,405.562
35.75,2906.566,405.569
36.0,2852.415,416.701
36.25,2796.902,406.334
36.5,2748.966,390.66900000000004
36.75,2727.45,374.999
37.0,2672.718,370.783
37.25,2576.448,365.31
37.5,2499.426,341.852
37.75,2372.535,344.172
38.0,2287.598,321.534
38.25,2303.094,329.545
38.5,2345.667,346.90999999999997
38.75,2194.715,288.1569
39.0,2008.783,228.6585
39.25,1967.219,223.7051
39.5,1931.9750000000001,219.9351
39.75,1921.91,211.4584
40.0,1900.593,200.3007
40.25,1853.549,195.72
40.5,1825.4430000000002,188.7431
40.75,1782.809,191.5759
41.0,1682.997,178.9322
41.25,1677.385,199.52609999999999
41.5,1532.883,151.9933
41.75,1502.621,161.9978
42.0,0.04780000000000004,196.4443
42.25,-0.096276,187.6173
42.5,-0.018182000000000004,192.4511
42.75,-0.09563600000000001,193.517
43.0,-0.026129999999999987,188.0238
43.25,-0.092897,192.9614
43.5,-0.033305999999999975,189.8894
43.75,0.09281199999999998,182.6337
44.0,0.143492,167.5118
44.25,-0.06387400000000003,156.98239999999998
44.5,-0.08145599999999997,153.2777
44.75,-0.11464600000000001,143.3834
45.0,3521.49,207.15120000000002
45.25,3529.8999999999996,227.68679999999998
45.5,3499.51,252.25059999999996
45.75,3498.31,271.0194
46.0,3476.92,270.9233
46.25,3486.16,254.27159999999998
46.5,3465.79,247.0595
46.75,3467.95,245.0394
47.0,3500.7700000000004,244.1773
47.25,3486.2799999999997,252.0485
47.5,3500.5,249.0718
47.75,1370.1119999999999,162.4582
48.0,1360.1129999999998,149.3637
48.25,1361.142,149.0781
48.5,1345.646,153.3406
48.75,1344.333,165.4087
49.0,1338.7559999999999,172.6445
49.25,1344.402,166.11180000000002
49.5,1325.337,157.9938
49.75,1318.493,169.9932
50.0,1317.417,152.4601
50.25,1315.2269999999999,164.7803
50.5,1306.298,172.1097
50.75,1291.676,152.939
51.0,1268.288,122.492
51.25,1269.3799999999999,125.0088
51.5,1278.314,132.439
51.75,1273.8319999999999,129.7567
52.0,1268.2740000000001,138.9077
52.25,1268.287,147.9577
52.5,1270.582,156.1549
52.75,1263.8,151.868
53.0,1253.711,150.42489999999998
53.25,1239.1309999999999,150.3129
53.5,1189.797,143.9937
53.75,1132.693,146.6563
54.0,1122.569,151.3054
54.25,1130.4279999999999,148.7713
54.5,1120.399,134.2631
54.75,1154.159,144.3637
55.0,1279.6100000000001,146.0883
55.25,1411.728,160.0478
55.5,1635.663,170.2328
55.75,1823.0790000000002,195.8178
56.0,1997.699,221.7544
56.25,2200.826,247.22279999999998
56.5,2303.31,276.8313
56.75,2365.818,271.42269999999996
57.0,2449.228,278.2271
57.25,2460.802,265.8456
57.5,2546.366,299.4361
57.75,2547.63,281.6319
58.0,2563.7709999999997,274.9676
58.25,2605.564,290.0472
58.5,2595.934,318.057
58.75,2594.306,307.48199999999997
59.0,2586.484,309.469
59.25,2563.004,297.4787
59.5,2513.01,296.2996
59.75,2451.6499999999996,286.613
60.0,2401.918,304.827
60.25,2374.7889999999998,297.5365
60.5,2341.3050000000003,300.3097
60.75,2233.754,296.85260000000005
61.0,2138.995,274.4596
61.25,2056.099,276.0523
61.5,1951.7579999999998,250.2023
61.75,1914.93,237.66339999999997
62.0,1808.1739999999998,212.2454
62.25,1786.9350000000002,202.6449
62.5,1765.659,199.93200000000002
62.75,1767.846,214.7842
63.0,1755.359,208.7072
63.25,1765.557,207.26739999999998
63.5,1747.559,198.69060000000002
63.75,1713.9889999999998,204.60100000000003
64.0,1725.2150000000001,205.5692
64.25,1674.835,195.6263
64.5,1627.701,198.00220000000002
64.75,1583.962,196.5754
65.0,1530.134,178.45049999999998
65.25,1459.551,176.207
65.5,1424.8029999999999,159.2275
65.75,1400.097,154.7454
66.0,0.031191000000000024,182.40820000000002
66.25,-0.12559660000000003,171.2491
66.5,-0.09131199999999998,172.99779999999998
66.75,-0.0011079999999999979,158.9404
67.0,-0.07777599999999998,156.1509
67.25,-0.06715000000000003,157.4885
67.5,0.006490999999999997,150.6048
67.75,0.09540499999999999,156.7877
68.0,0.12920099999999995,143.01670000000001
68.25,0.09666499999999997,144.1822
68.5,0.0003610000000000002,154.41320000000002
68.75,-0.03632099999999999,149.959
69.0,3523.06,212.22050000000002
69.25,3502.51,207.8956
69.5,3503.59,217.2
69.75,3476.7999999999997,219.3334
70.0,3475.79,224.6425
70.25,3476.83,226.9983
70.5,3500.7700000000004,230.84430000000003
70.75,3486.31,229.24649999999997
71.0,3485.0699999999997,231.11860000000001
71.25,3500.5,220.40860000000004
71.5,1216.259,119.6366
71.75,1216.298,117.8848
72.0,1198.774,128.5393
72.25,1214.3760000000002,133.8419
72.5,1222.2800000000002,135.1042
72.75,1226.672,149.309
73.0,1204.484,148.9094
73.25,1216.7150000000001,141.4698
73.5,1210.9850000000001,130.55360000000002
73.75,1213.284,139.0498
74.0,1198.836,147.8423
74.25,1192.02,139.9263
74.5,1196.456,143.9254
74.75,1204.358,149.1308
