Hora_decimal,P_3f_S,Q_3f_S
0.0,1277.416,241.2748
0.25,1277.416,241.2748
0.5,1291.435,243.21689999999998
0.75,1292.3070000000002,245.30849999999998
1.0,1282.3870000000002,233.6744
1.25,1274.4859999999999,238.9587
1.5,1262.126,232.06810000000002
1.75,1267.451,235.018
2.0,1255.483,230.2714
2.25,1264.166,233.12170000000003
2.5,1290.3029999999999,232.4186
2.75,1285.74,231.99849999999998
3.0,1303.174,244.6553
3.25,1296.6960000000001,244.9676
3.5,1295.112,243.57459999999998
3.75,1303.248,251.1842
4.0,1306.932,251.3286
4.25,1319.532,256.2349
4.5,1304.163,264.20459999999997
4.75,1315.6760000000002,260.6424
5.0,1290.035,235.69889999999998
5.25,606.482,189.01
5.5,555.259,184.3573
5.75,515.5070000000001,183.1898
6.0,486.525,176.59199999999998
6.25,483.55,177.6232
6.5,492.517,178.9911
6.75,504.044,179.7726
7.0,502.35200000000003,182.5767
7.25,507.306,186.3509
7.5,512.919,183.7079
7.75,525.302,187.363
8.0,434.601,190.7922
8.25,440.34900000000005,192.62669999999997
8.5,476.043,203.689
8.75,507.56999999999994,211.8089
9.0,521.433,197.0396
9.25,531.263,199.1556
9.5,524.223,194.55479999999997
9.75,518.237,189.44119999999998
10.0,549.3910000000001,199.9314
10.25,548.7650000000001,200.0217
10.5,480.401,199.85540000000003
10.75,484.829,196.36339999999998
11.0,541.949,198.755
11.25,538.487,200.5779
11.5,544.0459999999999,191.4501
11.75,579.972,198.4813
12.0,601.5160000000001,217.9041
12.25,622.143,212.3225
12.5,637.234,222.13390000000004
12.75,636.354,225.5109
13.0,571.344,209.9805
13.25,562.5840000000001,209.89770000000001
13.5,564.462,199.4855
13.75,599.711,199.8526
14.0,619.509,199.76439999999997
14.25,637.8679999999999,206.3875
14.5,657.525,214.67360000000002
14.75,662.823,208.978
15.0,652.899,214.93269999999998
15.25,663.711,208.91129999999998
15.5,563.6220000000001,197.1365
15.75,572.748,201.6596
16.0,586.991,211.5958
16.25,625.725,224.3675
16.5,653.46,229.5396
16.75,666.282,221.5457
17.0,641.617,211.1279
17.25,654.11,208.0143
17.5,637.4970000000001,195.3891
17.75,631.746,193.3746
18.0,629.649,190.4272
18.25,624.183,185.0432
18.5,636.0989999999999,194.76520000000002
18.75,621.351,194.18560000000002
19.0,607.082,185.0647
19.25,603.7049999999999,181.7665
19.5,588.597,173.1171
