Hora_decimal,P_3f_S,Q_3f_S
0.0,674.643,42.7637
0.25,674.643,42.7637
0.5,674.655,42.7566
0.75,674.6519999999999,42.7566
1.0,674.655,42.7569
1.25,674.639,42.7599
1.5,674.6610000000001,42.761
1.75,674.6610000000001,42.7581
2.0,674.664,42.7559
2.25,674.651,42.7545
2.5,11.12052,14.41216
2.75,11.12082,14.413339999999998
3.0,11.11995,14.40891
3.25,11.12046,14.411440000000002
3.5,11.120239999999999,14.41039
3.75,11.11929,14.40567
4.0,11.11899,14.40391
4.25,11.11832,14.40059
4.5,11.11845,14.40114
4.75,11.11989,14.40829
5.0,11.12256,14.4218
5.25,11.19015,14.77187
5.5,11.19093,14.77603
5.75,11.19303,14.78674
6.0,11.19476,14.79573
6.25,11.194130000000001,14.79259
6.5,11.19444,14.79413
6.75,11.194500000000001,14.794419999999999
7.0,11.19417,14.792819999999999
7.25,11.19377,14.79072
7.5,11.19287,14.78605
7.75,11.192789999999999,14.78566
8.0,11.19239,14.78358
8.25,11.1924,14.7835
8.5,11.21148,14.7896
8.75,11.23001,14.79278
9.0,11.25015,14.80897
9.25,11.271840000000001,14.81927
9.5,11.294160000000002,14.82821
9.75,11.31687,14.83898
10.0,11.34083,14.84705
10.25,11.34984,14.85199
10.5,11.35872,14.86088
10.75,11.36775,14.865670000000001
11.0,11.375599999999999,14.86471
11.25,11.38696,14.86777
11.5,11.39958,14.87774
11.75,11.40945,14.87327
12.0,11.42108,14.877590000000001
12.25,11.43216,14.883980000000001
12.5,11.44235,14.88566
12.75,11.45337,14.891850000000002
13.0,11.46435,14.892959999999999
13.25,11.46968,14.901799999999998
13.5,11.47368,14.904049999999998
13.75,11.47734,14.899819999999998
14.0,11.48298,14.91046
14.25,11.48163,14.90364
14.5,11.48271,14.904499999999999
14.75,11.48546,14.90936
15.0,11.48521,14.90354
15.25,11.47246,14.89775
15.5,11.45954,14.89124
15.75,11.44467,14.87453
16.0,11.43312,14.865739999999999
16.25,11.43534,14.85419
16.5,11.44269,14.864239999999999
16.75,11.44937,14.87546
17.0,11.45578,14.88092
17.25,11.44462,14.87885
17.5,11.43336,14.876240000000001
17.75,11.42158,14.87087
