Hora_decimal,P_3f_S,Q_3f_S
0.0,2079.067,142.08270000000002
0.25,2079.067,142.08270000000002
0.5,2050.522,130.0024
0.75,2047.6979999999999,129.1848
1.0,2059.8430000000003,133.5589
1.25,2076.255,140.8965
1.5,2082.529,143.5728
1.75,2071.7110000000002,136.1957
2.0,2073.406,137.8705
2.25,2069.505,135.18259999999998
2.5,2056.144,134.32389999999998
2.75,2061.679,131.5996
3.0,2045.2,135.3831
3.25,2049.1769999999997,132.7588
3.5,2053.3,134.1607
3.75,2052.058,136.5346
4.0,2051.913,140.6547
4.25,2050.423,141.5011
4.5,2035.3749999999998,144.3398
4.75,2025.6819999999998,133.3168
5.0,2033.049,125.3269
5.25,422.49699999999996,33.5988
5.5,431.572,38.497
5.75,400.796,41.2538
6.0,395.276,39.0391
6.25,409.91499999999996,40.8244
6.5,396.84400000000005,40.098200000000006
6.75,388.726,36.8674
7.0,388.96900000000005,39.6976
7.25,393.75600000000003,41.2657
7.5,405.272,48.967200000000005
7.75,398.969,44.9861
8.0,353.438,47.1572
8.25,357.389,48.054100000000005
8.5,372.43899999999996,53.949400000000004
8.75,385.766,60.4695
9.0,387.499,54.687599999999996
9.25,392.501,59.3256
9.5,413.09299999999996,66.5297
9.75,431.82,71.85679999999999
10.0,428.99100000000004,72.9477
10.25,426.596,70.71539999999999
10.5,358.642,55.0569
10.75,364.565,56.7771
11.0,390.922,65.3132
11.25,416.291,74.899
11.5,416.568,72.25540000000001
11.75,436.38800000000003,77.972
12.0,426.2,74.0484
12.25,433.72300000000007,72.9023
12.5,429.123,70.8475
12.75,423.712,70.9926
13.0,408.524,63.551899999999996
13.25,394.22900000000004,67.8256
13.5,435.53700000000003,73.3184
13.75,459.00800000000004,74.7081
14.0,437.36,65.5001
14.25,444.433,66.7637
14.5,437.591,62.9133
14.75,435.52600000000007,59.3776
15.0,453.76599999999996,63.169200000000004
15.25,469.164,57.4268
15.5,428.867,59.2688
15.75,450.468,72.5002
16.0,463.73,71.0863
16.25,502.40400000000005,85.668
16.5,477.443,72.5458
16.75,471.629,62.508399999999995
17.0,489.77000000000004,59.3129
17.25,484.68600000000004,54.7773
17.5,496.15200000000004,56.9881
17.75,506.62799999999993,56.951899999999995
18.0,527.691,62.248799999999996
18.25,509.514,55.237399999999994
18.5,503.68499999999995,55.4465
18.75,490.725,46.8609
19.0,498.953,46.0817
19.25,498.63300000000004,45.116
19.5,528.896,49.98910000000001
19.75,533.001,50.443
20.0,546.855,50.98700000000001
20.25,561.798,47.8857
20.5,568.752,45.1959
20.75,568.284,50.16969999999999
21.0,562.588,49.216800000000006
21.25,569.413,44.4123
21.5,574.894,54.434799999999996
21.75,558.934,58.7076
22.0,561.88,64.45490000000001
22.25,551.376,61.937599999999996
22.5,538.644,60.21639999999999
22.75,532.395,59.98779999999999
23.0,543.348,57.98350000000001
23.25,532.017,60.3129
23.5,536.0939999999999,61.300999999999995
23.75,532.221,58.1091
24.0,513.09,62.4478
24.25,522.33,70.1147
24.5,511.08000000000004,71.7907
24.75,505.31399999999996,65.4868
25.0,511.74,61.2175
25.25,502.854,59.3881
25.5,508.31100000000004,57.5626
25.75,518.091,56.3989
26.0,523.9380000000001,65.73179999999999
26.25,520.9259999999999,57.893100000000004
26.5,520.317,64.4253
26.75,506.94800000000004,53.2828
27.0,488.40700000000004,51.10289999999999
27.25,496.692,49.2461
27.5,505.158,48.522000000000006
27.75,501.244,52.357
28.0,495.01,54.109
28.25,500.78200000000004,53.6755
28.5,478.33,53.129200000000004
28.75,469.125,52.0642
29.0,463.501,47.9987
29.25,455.94399999999996,45.368500000000004
29.5,479.19100000000003,55.6212
29.75,434.77500000000003,46.0216
30.0,432.576,49.2367
30.25,456.16600000000005,56.9524
30.5,464.36699999999996,54.1815
30.75,475.678,47.6037
31.0,559.1279999999999,60.1074
31.25,636.903,55.89529999999999
31.5,693.142,73.93860000000001
31.75,816.0509999999999,79.1537
32.0,819.749,80.5846
32.25,969.6010000000001,99.52029999999999
32.5,1015.847,123.1652
32.75,1078.607,144.0126
33.0,1331.862,191.0927
33.25,1349.974,191.679
33.5,1314.819,188.4561
33.75,1446.677,180.0256
34.0,1255.7820000000002,148.6002
34.25,1426.847,211.17059999999998
34.5,1350.6019999999999,215.3555
34.75,1458.47,247.1723
35.0,1528.4299999999998,273.5534
35.25,1487.2669999999998,261.1701
35.5,1558.4030000000002,280.7128
35.75,1548.269,275.9425
36.0,1526.339,279.3313
36.25,1507.5770000000002,271.8061
36.5,1423.984,248.1945
36.75,1416.315,239.041
37.0,1396.815,241.38899999999998
37.25,1308.268,231.7006
37.5,1297.628,227.1329
37.75,1277.839,231.3471
38.0,1178.5529999999999,208.6473
38.25,1190.453,218.1532
38.5,1210.265,215.7142
38.75,1008.5710000000001,156.6867
39.0,859.447,103.9264
39.25,838.1210000000001,101.8341
39.5,788.577,94.1193
39.75,779.555,87.4082
40.0,795.1669999999999,84.42490000000001
40.25,771.326,85.1841
40.5,749.315,76.2487
40.75,719.8779999999999,81.0312
41.0,707.796,82.3656
41.25,755.283,103.41380000000001
41.5,639.8889999999999,67.3314
41.75,617.617,69.624
42.0,-385.031,90.0065
42.25,-367.337,85.2733
42.5,-362.997,84.529
42.75,-344.54100000000005,87.0646
43.0,-337.706,87.22959999999999
43.25,-327.19,90.91720000000001
43.5,-307.891,94.5869
43.75,-316.993,88.6735
44.0,-320.31100000000004,82.298
44.25,-314.52700000000004,78.5356
44.5,-311.097,74.576
44.75,-314.302,69.2543
45.0,2045.233,116.06709999999998
45.25,2056.413,128.72979999999998
45.5,2033.5660000000003,134.7166
45.75,2040.339,145.5767
46.0,2014.6979999999999,146.55610000000001
46.25,2016.9520000000002,138.4581
46.5,2006.317,129.7538
46.75,1991.7060000000001,125.06309999999999
47.0,2044.163,129.8142
47.25,2041.879,138.783
47.5,2061.415,139.1926
47.75,634.771,80.39869999999999
48.0,608.0550000000001,70.8517
48.25,605.674,68.066
48.5,567.838,60.6055
48.75,583.008,67.67689999999999
49.0,583.164,74.33630000000001
49.25,599.284,75.5212
49.5,597.145,76.1232
49.75,581.191,77.1702
50.0,594.271,70.7402
50.25,587.94,77.1666
50.5,593.0939999999999,81.8745
50.75,576.0840000000001,72.53450000000001
51.0,555.618,50.445899999999995
51.25,544.8,50.260600000000004
51.5,557.125,55.198899999999995
51.75,556.35,52.0171
52.0,546.232,57.151300000000006
52.25,546.933,62.621500000000005
52.5,532.659,60.34310000000001
52.75,531.4499999999999,57.4992
53.0,543.837,64.1907
53.25,520.278,59.17400000000001
53.5,511.9069999999999,58.6682
53.75,493.26000000000005,60.2485
54.0,504.475,69.3107
54.25,512.751,69.2777
54.5,500.25600000000003,57.4667
54.75,525.507,64.0122
55.0,591.52,64.35470000000001
55.25,668.218,70.8237
55.5,748.485,78.7165
55.75,831.3409999999999,97.1034
56.0,835.587,93.8286
56.25,965.842,113.291
56.5,1020.41,134.3543
56.75,1021.712,126.1221
57.0,1063.013,135.2385
57.25,1049.72,126.9572
57.5,1110.2930000000001,144.7806
57.75,1123.0910000000001,139.9292
58.0,1111.6670000000001,135.2308
58.25,1130.282,145.3372
58.5,1045.079,153.8213
58.75,1066.643,142.3073
59.0,1118.075,154.9575
59.25,1155.758,142.216
59.5,1123.553,158.1376
59.75,1123.0610000000001,157.835
60.0,1075.174,158.899
60.25,1070.441,145.5892
60.5,1098.314,154.76
60.75,988.5520000000001,157.8538
61.0,899.623,125.58409999999999
61.25,854.0129999999999,128.1023
61.5,878.6500000000001,129.0763
61.75,877.794,124.3239
62.0,871.318,102.79039999999999
62.25,754.9839999999999,92.5436
62.5,735.5509999999999,88.45840000000001
62.75,754.146,105.76320000000001
63.0,742.921,92.2498
63.25,745.5219999999999,93.6202
63.5,728.7919999999999,86.5635
63.75,715.732,90.4677
64.0,708.515,89.0195
64.25,697.987,84.2825
64.5,670.602,82.4425
64.75,632.323,77.6925
65.0,616.366,73.12469999999999
65.25,581.695,70.6909
65.5,585.057,67.8141
65.75,571.351,64.8391
66.0,-336.13,82.7406
66.25,-318.671,79.966
66.5,-329.236,75.50019999999999
66.75,-310.93399999999997,67.604
67.0,-301.56100000000004,66.4777
67.25,-294.98249999999996,70.77120000000001
67.5,-272.32779999999997,70.8999
67.75,-275.8665,76.706
68.0,-293.9007,67.27189999999999
68.25,-274.5708,70.88040000000001
68.5,-283.399,76.02420000000001
68.75,-280.32099999999997,70.8864
69.0,2079.052,121.405
69.25,2066.805,118.2569
69.5,2073.9129999999996,123.8956
69.75,2045.536,123.19489999999999
70.0,2041.846,122.0715
70.25,2056.942,126.3794
70.5,2061.34,123.9701
70.75,2057.3460000000005,124.39939999999999
71.0,2068.4680000000003,127.077
71.25,2083.261,117.99080000000001
71.5,562.008,58.3561
71.75,555.415,57.003
72.0,543.303,57.6052
72.25,537.3,57.700599999999994
72.5,524.6189999999999,52.4007
72.75,521.838,59.897999999999996
73.0,522.222,59.892199999999995
73.25,533.499,59.273500000000006
73.5,529.671,56.543400000000005
73.75,546.0930000000001,65.8798
74.0,535.5840000000001,68.9602
74.25,530.685,65.0013
74.5,523.0730000000001,63.557199999999995
74.75,536.06,70.86019999999999
75.0,511.521,68.1468
75.25,514.899,67.9048
75.5,504.98400000000004,67.2065
75.75,500.58299999999997,65.3326
