Mes,Posto,N_pontos_SIM31,Consumo_P_SIM31_kWh,Injecao_P_SIM31_kWh,Consumo_Q_SIM31_kVArh,DemandaMax_P_SIM31_kW,DemandaMax_Inj_SIM31_kW,N_pontos_META
JANEIRO,FORA_PONTA,2712,1233267.3985,0.0,144961.9082,4545.87,0.0,2712
JANEIRO,PONTA,264,114199.45875,0.0,11558.474625,2279.757,0.0,264
FEVEREIRO,FORA_PONTA,2448,1325254.37825,0.0,153768.73199,5318.29,0.0,2448
FEVEREIRO,PONTA,240,120238.74825,0.0,12530.963225,2581.706,0.0,240
MARCO,FORA_PONTA,2736,1421935.04325,0.0,151369.2751,5476.68,0.0,2736
MARCO,PONTA,240,137176.93725,0.0,11764.89825,3054.4,0.0,240
ABRIL,FORA_PONTA,2640,1056831.2415,0.0,87362.6979925,3682.9,0.0,2640
ABRIL,PONTA,240,116821.76475,0.0,6931.982175,2330.322,0.0,240
MAIO,FORA_PONTA,2724,1131591.4345,0.0,73331.2591475,3628.69,0.0,2724
MAIO,PONTA,252,128315.319,0.0,6259.2528025,2780.016,0.0,252
JUNHO,FORA_PONTA,2640,1313455.73145,0.0,61433.1666775,4749.42,0.0,2640
JUNHO,PONTA,240,138978.514,0.0,5067.189925,2935.418,0.0,240
JULHO,FORA_PONTA,2700,1283486.83775,0.0,49329.1072321875,4660.1900000000005,0.0,2700
JULHO,PONTA,276,141345.06650000002,0.0,4533.291896,3518.23,0.0,276
AGOSTO,FORA_PONTA,2724,1185956.906275,0.0,54999.130427475,3672.04,0.0,2724
AGOSTO,PONTA,252,131778.86525,0.0,5802.01343,2631.996,0.0,252
SETEMBRO,FORA_PONTA,2616,1079705.83,0.0,65134.2766825,3058.03,0.0,2616
SETEMBRO,PONTA,264,129705.96275,0.0,6782.1702,2308.118,0.0,264
OUTUBRO,FORA_PONTA,2700,1093698.20425,0.0,84538.90845,3996.05,0.0,2700
OUTUBRO,PONTA,276,133696.359,0.0,8787.06715,2452.274,0.0,276
NOVEMBRO,FORA_PONTA,2652,1182599.908,0.0,105511.04522,5383.889999999999,0.0,2652
NOVEMBRO,PONTA,228,122444.20175000001,0.0,9752.431875,3251.65,0.0,228
DEZEMBRO,FORA_PONTA,2712,1209916.07475,0.0,121380.06265,5348.88,0.0,2712
DEZEMBRO,PONTA,264,124265.00075,0.0,12470.7502,3036.28,0.0,264
