Hora_decimal,P_3f_S,Q_3f_S
0.0,724.58,102.6688
0.25,724.58,102.6688
0.5,734.548,103.8193
0.75,736.138,106.9785
1.0,729.935,95.8219
1.25,716.4570000000001,100.13900000000001
1.5,703.883,92.85929999999999
1.75,711.656,96.4118
2.0,697.544,90.0173
2.25,706.1569999999999,93.0162
2.5,717.371,92.0284
2.75,711.235,91.7079
3.0,729.413,103.07860000000001
3.25,717.977,101.7567
3.5,718.37,100.6157
3.75,725.5999999999999,110.6429
4.0,728.618,109.9043
4.25,741.506,114.6678
4.5,732.11,123.7279
4.75,734.06,119.40969999999999
5.0,705.452,92.4329
5.25,708.6189999999999,79.7188
5.5,657.745,76.4585
5.75,615.2479999999999,76.6831
6.0,583.278,69.15090000000001
6.25,579.648,69.967
6.5,546.847,70.91460000000001
6.75,542.814,73.8166
7.0,521.817,76.9058
7.25,495.22799999999995,80.5526
7.5,476.20500000000004,75.74350000000001
7.75,463.69399999999996,81.04129999999999
8.0,335.82500000000005,85.8406
8.25,308.257,88.7772
8.5,305.564,100.9083
8.75,311.183,112.73859999999999
9.0,291.994,99.6311
9.25,268.8731,101.70570000000001
9.5,236.38920000000002,100.0694
9.75,199.68169999999998,98.36280000000001
10.0,194.5529,107.9397
10.25,176.7393,111.8729
10.5,83.203,114.74260000000001
10.75,68.0478,112.0551
11.0,95.39590000000001,112.5753
11.25,71.5666,117.45859999999999
11.5,63.7291,111.20570000000001
11.75,75.3625,119.281
12.0,70.1316,139.58100000000002
12.25,88.18979999999999,131.8971
12.5,107.27169999999998,141.4374
12.75,105.64410000000001,146.2821
13.0,38.1644,131.34
13.25,51.114799999999995,128.99919999999997
13.5,80.50460000000001,116.6343
13.75,149.458,118.22720000000001
14.0,194.36849999999998,112.8988
14.25,192.1623,124.81989999999999
14.5,179.7015,133.7575
14.75,157.8304,131.6012
15.0,122.10300000000001,141.19260000000003
15.25,171.6679,127.188
15.5,116.69220000000001,111.7499
15.75,177.7636,113.29820000000001
16.0,259.346,125.26700000000001
16.25,306.04999999999995,133.2244
16.5,356.98400000000004,138.8741
16.75,383.916,127.50040000000001
17.0,390.981,118.7813
17.25,445.39200000000005,113.5462
17.5,470.60400000000004,97.455
17.75,500.029,90.3995
18.0,546.253,87.6234
18.25,589.4259999999999,83.0005
18.5,638.0740000000001,91.30109999999999
18.75,665.207,90.1635
19.0,684.0509999999999,80.4274
19.25,713.5329999999999,74.7014
19.5,693.224,64.1668
19.75,737.7470000000001,70.2474
20.0,771.2830000000001,66.95909999999999
20.25,773.874,67.2315
20.5,776.869,63.2517
20.75,761.535,66.611
21.0,760.983,66.4663
21.25,753.153,61.2091
21.5,754.011,75.1439
21.75,756.465,85.9996
22.0,744.226,85.9827
22.25,742.657,85.8687
22.5,750.225,94.1737
22.75,733.3779999999999,86.5204
23.0,728.278,83.22500000000001
23.25,739.629,93.1255
23.5,728.8209999999999,84.7538
23.75,725.652,89.4046
24.0,755.103,103.6538
24.25,757.525,106.88050000000001
24.5,760.294,115.3631
24.75,756.189,108.6848
25.0,731.194,93.6645
25.25,739.226,98.3177
25.5,726.674,94.4122
25.75,723.9570000000001,87.2402
26.0,715.4190000000001,86.6701
26.25,729.677,90.934
26.5,722.662,88.498
26.75,730.2760000000001,88.2168
27.0,726.923,96.8592
27.25,714.062,88.693
27.5,708.252,83.7793
27.75,719.537,88.6522
28.0,732.259,97.48150000000001
28.25,745.4019999999999,102.14909999999999
28.5,755.12,110.1328
28.75,746.351,108.76799999999999
29.0,740.443,100.39189999999999
29.25,732.365,97.7252
29.5,693.989,88.1106
29.75,653.5509999999999,91.42060000000001
30.0,626.713,85.3227
30.25,622.615,82.3067
30.5,639.634,78.2304
30.75,666.647,81.11880000000001
31.0,671.3879999999999,91.4499
31.25,715.9390000000001,89.6232
31.5,851.944,103.05560000000001
31.75,955.9110000000001,112.0972
32.0,1004.74,120.2475
32.25,1029.2939999999999,122.33909999999999
32.5,1117.028,141.6036
32.75,1163.671,143.2448
33.0,1148.382,156.8772
33.25,1216.16,159.2587
33.5,1257.613,160.081
33.75,1105.975,145.87509999999997
34.0,1182.821,151.1177
34.25,1134.525,159.0782
34.5,1120.058,176.5771
34.75,1001.482,175.6052
35.0,1041.785,188.0627
35.25,1065.988,198.85159999999996
35.5,970.042,173.7926
35.75,950.014,180.6822
36.0,918.2800000000001,193.108
36.25,902.0160000000001,189.4037
36.5,945.582,194.6481
36.75,926.2130000000001,185.851
37.0,784.0910000000001,161.6762
37.25,755.3779999999999,167.8798
37.5,748.414,156.0353
37.75,663.8520000000001,158.56910000000002
38.0,665.9639999999999,157.5771
38.25,686.8589999999999,157.99439999999998
38.5,714.303,179.4705
38.75,793.74,172.3684
39.0,744.775,158.8146
39.25,720.643,153.70080000000002
39.5,608.412,139.3757
39.75,628.0440000000001,138.0864
40.0,647.3430000000001,137.0394
40.25,692.421,135.87630000000001
40.5,732.278,138.3643
40.75,756.752,135.4202
41.0,703.212,119.7778
41.25,702.441,120.98049999999999
41.5,699.073,102.59309999999999
41.75,728.291,109.91329999999999
42.0,764.223,106.76339999999999
42.25,767.8499999999999,101.3346
42.5,803.468,106.8964
42.75,822.797,105.22189999999999
43.0,868.307,98.9647
43.25,884.038,101.15299999999999
43.5,861.406,94.2936
43.75,875.8610000000001,91.3638
44.0,892.654,79.4358
44.25,885.041,71.7075
44.5,878.702,71.8386
44.75,873.4300000000001,66.3222
45.0,859.372,66.2447
45.25,857.617,76.49350000000001
45.5,861.615,98.1642
45.75,854.889,109.1721
46.0,856.231,107.6257
46.25,864.172,97.1034
46.5,852.787,97.5365
46.75,870.4960000000001,99.9174
47.0,836.179,93.088
47.25,822.185,92.6464
47.5,817.022,89.28020000000001
47.75,812.2900000000001,96.64340000000001
48.0,828.8330000000001,91.51820000000001
48.25,832.469,93.88629999999999
48.5,853.712,105.63550000000001
48.75,836.351,112.21340000000001
49.0,829.952,113.3235
49.25,820.888,105.29979999999999
49.5,802.0409999999999,96.1757
49.75,810.579,107.9709
50.0,796.156,95.1943
50.25,800.567,102.1315
50.5,786.134,105.751
50.75,787.019,93.88380000000001
51.0,781.279,81.6503
51.25,792.3779999999999,84.80969999999999
51.5,791.2,88.04520000000001
51.75,787.253,88.30600000000001
52.0,792.037,93.7704
52.25,792.708,98.27199999999999
52.5,806.867,109.28009999999999
52.75,802.0340000000001,107.78960000000001
53.0,780.269,99.9875
53.25,785.961,104.21019999999999
53.5,740.706,98.1114
53.75,698.894,99.6625
54.0,678.038,95.5247
54.25,680.423,93.05930000000001
54.5,643.581,88.98179999999999
54.75,636.2860000000001,92.4011
55.0,692.969,94.13
55.25,731.8670000000001,104.5872
55.5,865.498,107.7286
55.75,948.876,116.5346
56.0,969.73,128.7425
56.25,1039.613,139.1655
56.5,1109.5149999999999,157.7708
56.75,1170.1660000000002,163.17489999999998
57.0,1193.282,162.9866
57.25,1204.609,160.6063
57.5,1221.935,183.457
57.75,1191.648,170.9159
58.0,1187.4769999999999,167.7649
58.25,1191.4250000000002,177.7818
58.5,1101.445,183.5935
58.75,1066.771,187.9545
59.0,1019.06,185.7971
59.25,971.0400000000001,187.13299999999998
59.5,948.4010000000001,175.3119
59.75,883.8879999999999,168.099
60.0,881.3829999999999,189.8358
60.25,869.356,194.75019999999998
60.5,824.047,189.6278
60.75,817.5999999999999,183.5205
61.0,679.3140000000001,170.2678
61.25,640.167,174.1228
61.5,540.102,152.4412
61.75,524.511,147.92159999999998
62.0,423.788,143.0436
62.25,513.7819999999999,144.7502
62.5,518.353,147.1012
62.75,510.443,147.3926
63.0,505.685,154.0743
63.25,530.828,150.1845
63.5,411.69800000000004,127.4376
63.75,415.52000000000004,131.1593
64.0,499.31,139.9339
64.25,527.105,137.3298
64.5,546.137,140.6806
64.75,578.8910000000001,143.2376
65.0,583.0509999999999,128.9475
65.25,589.226,127.79559999999998
65.5,591.968,109.8338
65.75,621.3349999999999,106.26159999999999
66.0,629.079,99.4194
66.25,648.074,91.3972
66.5,703.339,97.42849999999999
66.75,727.25,89.6519
67.0,771.684,87.3501
67.25,794.8050000000001,85.11280000000001
67.5,772.9870000000001,77.2411
67.75,782.6310000000001,77.9333
68.0,814.4359999999999,71.0809
68.25,804.68,68.0612
68.5,809.8230000000001,73.74260000000001
68.75,804.203,74.1989
69.0,791.528,62.5681
69.25,781.311,60.6965
69.5,776.7090000000001,65.7267
69.75,774.396,68.3265
70.0,776.812,75.3467
70.25,762.69,73.9059
70.5,768.8109999999999,78.8879
70.75,756.561,76.8573
71.0,743.931,76.2081
71.25,744.331,81.6811
71.5,719.912,70.6157
71.75,727.368,69.7168
72.0,721.935,81.0086
72.25,744.16,87.26060000000001
72.5,766.608,94.2646
72.75,773.037,102.1911
73.0,748.191,101.4083
73.25,749.877,93.735
73.5,747.798,84.3534
73.75,734.091,84.7402
74.0,728.9490000000001,91.1733
74.25,725.528,86.2048
74.5,738.325,92.0463
74.75,733.293,90.47149999999999
75.0,751.976,101.7746
75.25,745.732,105.07660000000001
75.5,738.556,110.7327
75.75,725.6769999999999,109.4428
76.0,739.62,111.30199999999999
76.25,750.761,112.06930000000001
76.5,739.549,116.28800000000001
76.75,752.788,119.16159999999999
77.0,736.11,115.59580000000001
77.25,719.189,111.75730000000001
77.5,661.908,81.0089
77.75,632.361,88.3296
78.0,601.8100000000001,75.3484
78.25,597.694,68.6774
78.5,563.367,74.83670000000001
78.75,558.704,79.5261
79.0,563.594,75.6905
79.25,529.3340000000001,78.7019
79.5,506.41099999999994,83.3062
79.75,507.562,86.8152
80.0,402.039,89.29230000000001
80.25,395.88,90.5481
80.5,416.664,105.2456
80.75,393.25200000000007,109.983
81.0,371.469,102.7348
81.25,333.449,107.5316
81.5,286.55550000000005,105.4488
81.75,272.6521,110.2444
82.0,250.3905,115.36249999999998
82.25,224.0421,121.2388
82.5,106.2808,126.1195
82.75,89.8261,127.026
83.0,76.76350000000001,122.7757
83.25,92.7183,124.3249
83.5,110.64689999999999,115.9641
83.75,98.45779999999999,118.13149999999999
84.0,153.5684,140.0042
84.25,155.542,138.6147
84.5,166.3611,141.34429999999998
84.75,156.0238,140.8202
85.0,65.8889,130.92090000000002
85.25,65.1472,124.1678
85.5,100.05529999999999,130.9681
85.75,104.2902,129.5184
86.0,115.34140000000001,127.4242
86.25,130.05939999999998,128.5581
86.5,145.7835,133.26729999999998
86.75,135.1632,135.0689
87.0,155.8671,137.1596
87.25,175.3616,137.161
87.5,101.0528,115.8855
87.75,120.65599999999999,119.37540000000001
88.0,166.0784,125.1327
88.25,229.2733,123.66310000000001
88.5,265.05960000000005,121.8206
88.75,322.304,123.7001
89.0,340.304,105.3937
89.25,379.076,98.42080000000001
89.5,415.91100000000006,86.6593
89.75,449.83500000000004,83.2457
90.0,479.42499999999995,74.4958
90.25,546.803,76.0145
90.5,603.808,86.0845
90.75,641.071,83.4353
91.0,704.404,83.35390000000001
91.25,727.4739999999999,87.1806
91.5,714.259,73.4937
91.75,721.399,76.3543
92.0,776.194,79.57390000000001
92.25,765.787,78.0918
92.5,762.442,83.8035
92.75,764.557,77.3479
93.0,739.1569999999999,74.146
93.25,743.1,78.1882
93.5,728.029,80.74600000000001
93.75,727.918,82.6507
94.0,726.68,82.7152
94.25,737.712,77.4293
94.5,745.0450000000001,88.0628
94.75,740.031,86.5523
95.0,733.25,87.6182
95.25,740.577,95.9916
95.5,731.187,86.6777
95.75,733.467,85.6326
96.0,742.653,98.7132
96.25,757.423,99.3775
96.5,758.853,103.4745
96.75,755.963,112.9179
97.0,728.173,108.3653
97.25,747.034,106.4696
97.5,723.1800000000001,93.7336
97.75,719.568,93.9769
98.0,708.453,90.2464
98.25,704.2850000000001,92.7658
98.5,712.701,93.0681
98.75,719.2270000000001,89.16409999999999
99.0,722.042,99.72959999999999
99.25,718.789,97.7739
99.5,722.182,102.3372
99.75,722.8240000000001,108.2407
100.0,746.674,118.0258
100.25,732.22,111.4009
100.5,745.501,120.95160000000001
100.75,737.825,118.44
101.0,730.429,119.24680000000001
101.25,719.819,116.46719999999999
101.5,648.085,94.0835
101.75,623.626,82.4856
102.0,603.08,75.0154
102.25,597.154,75.42760000000001
102.5,591.211,74.24430000000001
102.75,547.5210000000001,80.2306
103.0,533.927,78.8773
103.25,499.81499999999994,79.9877
103.5,487.863,89.6055
103.75,472.842,94.34009999999999
104.0,373.401,96.7731
104.25,356.35900000000004,101.2488
104.5,392.52899999999994,117.09470000000002
104.75,370.209,114.1549
105.0,328.322,114.1541
105.25,302.682,111.3997
105.5,287.25649999999996,104.8374
105.75,293.1645,109.2572
106.0,253.4521,120.8828
106.25,219.1223,119.759
106.5,136.7675,123.3692
106.75,118.8343,125.79050000000001
107.0,98.10619999999999,121.98830000000001
107.25,139.52370000000002,124.6324
107.5,119.568,116.863
107.75,137.5891,115.8047
108.0,176.3343,132.43169999999998
108.25,167.04829999999998,133.5637
108.5,199.79590000000002,136.2246
108.75,205.82389999999998,132.4251
109.0,100.7137,122.19619999999999
109.25,124.831,125.76850000000002
109.5,129.9931,116.5456
109.75,155.68200000000002,120.6061
110.0,224.1968,124.47579999999999
110.25,148.7998,125.6568
110.5,182.3607,133.579
110.75,163.971,137.9694
111.0,135.6821,140.15730000000002
111.25,165.6608,137.48770000000002
111.5,98.84909999999999,122.7623
111.75,141.3637,120.6139
112.0,199.8836,124.754
112.25,256.74490000000003,119.8287
112.5,285.0722,119.28219999999999
112.75,331.4,123.50039999999998
113.0,332.992,109.1232
113.25,395.172,103.7637
113.5,409.54200000000003,91.81360000000001
113.75,472.73199999999997,94.0728
114.0,511.12699999999995,83.9863
114.25,537.754,80.42479999999999
114.5,596.9639999999999,80.4409
114.75,635.3489999999999,79.332
115.0,679.706,73.5647
115.25,701.788,73.525
115.5,682.568,62.2767
115.75,710.6300000000001,63.6862
116.0,747.647,60.024699999999996
116.25,769.978,58.1124
116.5,758.281,53.873999999999995
116.75,750.787,63.220600000000005
117.0,741.663,52.358200000000004
117.25,754.0,57.801199999999994
117.5,744.2189999999999,54.692499999999995
117.75,720.483,52.7445
118.0,715.902,58.50240000000001
118.25,729.315,58.6788
118.5,732.83,62.193
118.75,737.3889999999999,71.801
119.0,722.324,63.370000000000005
119.25,720.887,66.8162
119.5,706.928,60.68990000000001
119.75,708.383,63.38680000000001
120.0,738.6519999999999,77.5312
120.25,734.3879999999999,81.0179
120.5,743.115,90.7169
120.75,752.2669999999999,92.03139999999999
