Hora_decimal,P_3f_S,Q_3f_S
0.0,1217.239,131.0215
0.25,1217.239,131.0215
0.5,1198.58,120.2803
0.75,1197.365,122.6329
1.0,1202.311,115.77799999999999
1.25,1206.037,127.3236
1.5,1198.566,122.3434
1.75,1197.322,118.6037
2.0,1184.903,113.74879999999999
2.25,1189.885,114.45320000000001
2.5,1187.448,112.7756
2.75,1186.174,109.32499999999999
3.0,1188.657,125.29650000000001
3.25,1179.94,120.8457
3.5,1183.693,120.38329999999999
3.75,1189.883,133.2237
4.0,1193.636,136.66649999999998
4.25,1204.805,142.8345
4.5,1180.005,154.4079
4.75,1172.5230000000001,139.0541
5.0,1151.449,104.2361
5.25,1131.537,75.8648
5.5,1089.228,76.9877
5.75,1012.1680000000001,80.3152
6.0,971.104,69.9936
6.25,979.7750000000001,72.68730000000001
6.5,934.766,72.99080000000001
6.75,920.3149999999999,72.8984
7.0,897.8969999999999,79.0212
7.25,871.731,83.8959
7.5,864.4720000000001,86.6769
7.75,839.566,87.83019999999999
8.0,791.385,113.7928
8.25,750.971,115.37699999999998
8.5,716.774,126.76579999999998
8.75,698.058,140.7624
9.0,664.826,120.63640000000001
9.25,631.15,125.8928
9.5,603.8499999999999,130.5602
9.75,570.6800000000001,132.7397
10.0,560.1030000000001,143.481
10.25,537.2379999999999,145.1536
10.5,508.831,150.9681
10.75,494.148,147.9946
11.0,490.77000000000004,150.01330000000002
11.25,461.235,160.3813
11.5,438.163,149.8865
11.75,461.38599999999997,162.7862
12.0,432.721,177.8462
12.25,446.60299999999995,167.4434
12.5,474.63599999999997,174.23499999999999
12.75,459.461,179.7668
13.0,526.708,175.19819999999999
13.25,494.101,175.9739
13.5,521.8199999999999,162.1668
13.75,587.354,161.1635
14.0,593.899,145.0447
14.25,590.017,156.9588
14.5,563.208,160.3762
14.75,527.406,153.4931
15.0,518.814,166.81799999999998
15.25,591.421,146.4095
15.5,638.485,151.1831
15.75,706.907,164.3873
16.0,761.327,168.4368
16.25,825.367,186.1911
16.5,823.1800000000001,177.9475
16.75,837.8340000000001,154.92340000000002
17.0,869.746,141.4848
17.25,904.719,130.0709
17.5,943.039,115.96539999999999
17.75,985.624,109.19
18.0,1061.19,111.9648
18.25,1092.451,100.279
18.5,1136.4189999999999,108.7699
18.75,1151.8780000000002,99.4117
19.0,1179.613,88.67
19.25,1209.868,81.96809999999999
