MES,R$SIM2,R$SIM32,Economia_R$,Economia_%
JAN,1117415.92,949801.59,167614.33,15.0
FEV,1228604.83,1022635.38,205969.45,16.764
MAR,1306672.45,1084872.97,221799.48,16.974
ABR,1001741.32,899247.68,102493.64,10.232
MAI,1037628.3,962675.75,74952.55,7.223
JUN,1131286.86,1069020.03,62266.83,5.504
JUL,1178825.34,1097065.39,81759.95,6.936
AGO,1069320.95,981160.56,88160.39,8.245
SET,1018156.29,915314.77,102841.52,10.101
OUT,1045136.29,917805.38,127330.91,12.183
NOV,1196094.84,953217.4,242877.44,20.306
DEZ,1186981.31,968901.38,218079.93,18.373
TOTAIS,13517864.699999997,11821718.280000001,1696146.4199999997,12.547443384309062
