Hora_decimal,P_3f_S,Q_3f_S
0.0,42.4743,30.4713
0.25,42.4743,30.4713
0.5,38.577400000000004,28.73751
0.75,41.2368,28.84257
1.0,42.178200000000004,29.54905
1.25,43.3583,30.0437
1.5,45.138099999999994,30.267500000000002
1.75,44.1267,29.070500000000003
2.0,43.1713,28.996609999999997
2.25,45.6619,29.692949999999996
2.5,43.653800000000004,29.972720000000002
2.75,44.4816,30.015500000000003
3.0,41.335300000000004,29.75204
3.25,41.5612,29.39147
3.5,40.7561,29.52997
3.75,41.922799999999995,29.72367
4.0,39.4818,29.946039999999996
4.25,40.6602,30.0394
4.5,37.482600000000005,30.262499999999996
4.75,37.6278,29.41294
5.0,38.3624,28.0711
5.25,37.701499999999996,26.088099999999997
5.5,38.4584,26.522920000000003
5.75,33.6953,26.68103
6.0,33.2333,26.97539
6.25,35.1786,27.2822
6.5,-5.75429,27.63066
6.75,-24.27897,27.590429999999998
7.0,-43.080600000000004,27.955750000000002
7.25,-68.6867,28.38596
7.5,-94.8215,29.640479999999997
7.75,-121.77350000000001,29.946049999999996
8.0,-163.8775,29.674619999999997
8.25,-200.30810000000002,30.7152
8.5,-234.50870000000003,32.649100000000004
8.75,-268.6667,34.8037
9.0,-301.846,36.0518
9.25,-332.4,36.962599999999995
9.5,-360.712,38.9032
9.75,-390.89199999999994,40.9583
10.0,-419.499,42.7471
10.25,-444.65000000000003,44.1025
10.5,-480.33000000000004,43.8896
10.75,-503.41600000000005,45.2059
11.0,-517.009,47.6733
11.25,-538.321,50.004099999999994
11.5,-558.736,50.931200000000004
11.75,-576.769,52.7609
12.0,-599.787,54.130300000000005
12.25,-599.23,54.42259999999999
12.5,-600.889,54.8369
12.75,-602.779,54.52760000000001
13.0,-607.788,53.7713
13.25,-584.446,52.0019
13.5,-554.0350000000001,50.3972
13.75,-524.6289999999999,48.6636
14.0,-498.999,45.7175
14.25,-527.616,47.666700000000006
14.5,-558.331,49.665499999999994
14.75,-583.3720000000001,52.085499999999996
15.0,-613.63,54.232
15.25,-565.8910000000001,49.6583
15.5,-524.092,46.6151
15.75,-471.63300000000004,44.3624
16.0,-420.078,40.999700000000004
16.25,-394.071,42.4799
16.5,-375.078,39.6814
16.75,-353.919,37.6352
17.0,-331.649,36.133199999999995
17.25,-288.8266,33.9623
17.5,-244.06100000000004,32.2578
17.75,-198.34879999999998,30.6503
18.0,-155.5627,29.38935
18.25,-111.8831,28.123359999999998
18.5,-70.0485,27.054100000000005
18.75,-28.487970000000004,26.43074
19.0,4.352720000000001,26.22311
19.25,42.5362,25.946310000000004
19.5,43.6481,25.977829999999997
19.75,43.9991,26.334970000000002
20.0,47.9818,26.704790000000003
20.25,47.8367,25.88102
20.5,47.5313,25.63624
20.75,47.3407,25.922710000000002
21.0,47.5513,27.056720000000002
21.25,48.96339999999999,26.49082
21.5,49.6883,27.779130000000002
21.75,46.1732,28.17136
22.0,46.3645,28.789189999999998
22.25,46.399699999999996,28.279230000000002
22.5,43.322700000000005,28.27839
22.75,43.177,28.141379999999998
23.0,43.5125,28.248669999999997
23.25,43.1774,29.027610000000003
23.5,47.6014,29.88964
23.75,47.2997,29.80513
24.0,42.8879,29.65833
24.25,43.4321,30.3963
24.5,41.6991,30.5559
24.75,40.4872,29.64263
25.0,42.7367,29.17042
25.25,42.231899999999996,29.39743
25.5,43.4299,29.14808
25.75,43.1363,28.66561
26.0,44.999399999999994,29.589
26.25,44.5382,29.0728
26.5,44.05,29.51036
26.75,43.9036,27.982059999999997
27.0,40.0379,27.879559999999998
27.25,39.5007,27.529360000000004
27.5,39.7037,27.330779999999997
27.75,39.1169,27.45541
28.0,38.8862,27.615499999999997
28.25,40.6002,27.900769999999998
28.5,37.589,27.44756
28.75,37.7195,27.70991
29.0,38.682,27.961260000000003
29.25,37.4794,27.874670000000002
29.5,41.0815,28.52331
29.75,36.814099999999996,28.2304
30.0,37.7763,28.72962
30.25,38.2956,28.76433
30.5,39.7176,28.56401
30.75,40.0112,28.029739999999997
31.0,2.351171,29.333920000000003
31.25,-26.84251,29.16489
31.5,-59.3286,31.230800000000002
